證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 處分子公司,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 發行公司債,　　 償還長期借款,　　 其他非流動負債增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 呆帳費用提列（轉列收入）數,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 預付費用（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 存出保證金減少,　　 收取之股利,　　 短期借款減少,　　 發放現金股利,　　 非控制權益變動,　　 其他預付款項增加,　　　　　 其他營業負債增加（減少）,　　 其他投資活動,　　 舉借長期借款,　　　　 股利收入,　　　　　 持有供交易之金融負債增加（減少）
3023,2015年01月01日至2015年06月30日,,                670882,                670882,,,                 81753,                 15526,                 -4239,                 18739,                 -8323,                 -1989,                  3210,                   -733,                              0,                 47971,                151915,,,                 -2632,                191999,               -354756,                 -8470,                 99524,                -29212,                  8164,                -95454,               -190837,,                  7845,                 49288,                              0,                126355,                 62185,                              0,                245673,                 54836,                206751,                877633,                  8323,                -16551,               -194097,                675308,,                              0,                -93869,                -86201,                 31423,               -119873,                 23680,                -45838,                  1913,                 -2759,               -291524,,                298235,                              0,                 -2369,                   -211,                295655,                -57789,                621650,              2412474,              3034124,              3034124,                              0,,,,,,,,,,,,,,,,,
3023,2015年01月01日至2015年03月31日,,                319775,                319775,,,                 40259,                  7162,                 -6588,                  9473,                 -3949,                 -3277,                    332,                   -733,,                 37003,                 79682,,,                 -2632,                -15610,                -98616,                 26757,                 30189,                -22573,                  2205,                -92760,               -173040,,                -21897,                -54358,,                138440,                  9146,,                 71331,               -101709,                -22027,                297748,                  3949,                 -8423,                -42158,                251116,,                              0,                -94778,                 -7598,,               -132433,,                -25566,                  2114,                 -1475,               -259736,,                135686,,                 -1140,                   -106,                134440,                -25786,                100034,              2412474,              2512508,              2512508,,,,,,,,,,,,,,,,,,
3023,2014年度,,              1043522,              1043522,,,                167884,                 60009,                 -1014,                 40581,                 15051,                -30992,                 22663,                -13469,                    343,                -14284,,,,                -27304,                -67353,               -143704,                  3894,               -292800,,                  4368,                -72532,               -689356,,                 23517,                174310,,                 71419,                  8833,,                278097,               -411259,               -166737,                876785,                -15051,                -30721,               -215451,                615562,,                107667,,                              0,                  5893,,                 20000,               -165117,                 18295,                 -4366,                  3455,,,                300000,               -516294,                   -423,               -224257,                138261,                533021,              1879453,              2412474,              2412474,,,                 -2250,                              0,                244522,                -93925,                     18,                              0,                 21083,                511637,               -519177,                              0,,,,,,
3023,2014年01月01日至2014年09月30日,,                879853,                879853,,,                130856,                 29827,                 -1107,                 25753,                 -4681,                -25260,                 15526,                -14076,                    343,                 -2668,,,,                -27371,                 63449,               -419358,                 23968,                -60600,               -101831,                  3408,                -38493,               -556828,,                 43334,                172298,,               -100040,                 39108,,                154700,               -402128,               -247615,                632238,                  4681,                -19287,               -178929,                438703,,                107667,,,                  5000,,                 20000,               -137512,                 25901,                 -2426,                 39713,,                366334,                300000,               -514677,                   -305,               -367825,                -10524,                100067,              1879453,              1979520,              1979520,,,,,                154513,,                              0,                              0,                 21083,,               -519177,,                              0,,,,,
3023,2014年01月01日至2014年06月30日,,                589788,                589788,,,                 83799,                 21682,                 -5091,                 16926,                 -4681,                 -4986,                  5553,                -14076,                    343,                 -2090,                 97379,,,                -25980,                 45374,               -336824,                 14466,                 73563,               -159784,                  5480,                -17385,               -401090,,                 27362,                182392,                              0,                -79505,                 50297,                              0,                180546,               -220544,               -123165,                466623,                  4681,                -14365,               -109372,                347567,,                107667,                              0,                              0,                  5000,                              0,                 20000,                -69963,                 13420,                 -2294,                 73830,,                346487,                300000,               -291822,                   -200,                354465,                -69782,                706080,              1879453,              2585533,              2585533,                              0,,,,,,,,,,,,,,,,,
3023,2014年01月01日至2014年03月31日,,                275043,                275043,,,                 41888,                 10920,                 -6534,                  8562,                 -1619,                   -954,                    281,                -14076,,                  2915,                 41383,,,                  4020,                 14770,                -52487,                 27319,                 -1161,                 27905,                  9596,                  9377,                 39339,,                    616,                 31439,,               -138183,                 35860,,                -70268,                -30929,                 10454,                285497,                  1619,                 -6974,                -22825,                257317,,                107667,                              0,                              0,,                              0,,                -53510,                  9690,                 -1256,                 62591,,                309112,,               -245689,                   -102,                 63321,                -14246,                368983,              1879453,              2248436,              2248436,,,,,,,,,,,,,,,,,,
3023,2013年度,,                867044,                867044,,,                169643,                 66077,                -86647,                 37075,                  6754,                -22725,                  4243,                              0,                 71031,                 -6433,,,,                 -4000,                -59592,                -88582,                -25833,                -47667,,                -13829,                -41423,               -313914,,                    519,                290467,,                 90343,                -14723,,                365749,                 51835,                273957,              1141001,                 -6754,                -38035,               -216924,                879288,,                 44443,,                -19789,                  5000,,                 20000,                -92543,                 26061,                 -2450,                 -6101,,,                              0,               -175901,                   -410,               -792448,                 98325,                179064,              1700389,              1879453,              1879453,,,                -16896,                              0,                222122,                -32988,                   -857,                              0,                 13177,               -208052,               -415342,                  7257,,,,,,
3023,2013年01月01日至2013年12月31日,,                867044,                867044,,,                169643,                 66077,                -86647,                 37075,                  6754,                -22725,                  4243,,                 17155,                 -6433,,,,                 -4000,                -59592,                -88582,                -25833,                -47667,,                -13829,                -41423,               -313914,,                    519,                304375,                -13908,                 90343,                -14723,,                365749,                 51835,                273957,              1141001,                 -6754,                -38035,               -216924,                879288,,                 44443,,                -19789,                  5000,,                 20000,                -92543,                 26061,                 -2450,                 -6101,,,                              0,               -175901,                   -410,               -802258,                108135,                179064,              1700389,              1879453,              1879453,,,                -16896,                 53876,                222122,                -32988,                   -857,                              0,                 13177,               -208052,               -415342,                 -2553,,,,,,
3023,2013年01月01日至2013年09月30日,,                698192,                698192,,,                128122,                 34586,                -53371,                 27951,                 -4825,                -17366,                  2237,                              0,                              0,                  5722,,,,                -30000,                -45077,               -147606,                 23934,                 46415,                -33884,                -23025,                -13394,               -222637,,                  1648,                310904,,                 39344,                 20659,,                371922,                149285,                272341,                970533,                  4825,                -27280,               -162967,                785111,,                              0,,,                  5000,,                 20000,                -77033,                  9288,                 -2521,                -24601,,               -153664,                              0,               -129142,                    382,               -697766,                 81200,                143944,              1700389,              1844333,              1844333,,,,,                123056,,                   -633,                  8411,                 13177,,               -415342,,                   -923,,,,,
3023,2013年01月01日至2013年06月30日,,                405045,                405045,,,                 84861,                 30798,                 52773,                 19390,                 -3735,                 -9574,                    428,                              0,                              0,                  3863,,,,                -30000,                 12427,                -36323,                  7287,                  6178,                -68460,                -15741,                -15661,               -140293,,                  1697,                334476,                              0,                 29490,                  5706,,                370947,                230654,                409458,                814503,                  3735,                -19714,               -103025,                695499,,                              0,,,                  5000,,                 20000,                -52746,                  4187,                 -1100,                -24659,,,                              0,                -92184,                   -203,               -520046,                110949,                261743,              1700389,              1962132,              1962132,,,,,                178804,,                   -422,,,               -427659,,,,,,,,
