證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 長期應收租賃款增加,　　 長期應收租賃款減少,　　 其他非流動資產減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 應付短期票券增加,　　 應付短期票券減少,　　 其他非流動負債增加,　　 其他非流動資產增加,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他營業資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 支付之股利,　　 存入保證金增加,　　 其他非流動負債減少,　　 庫藏股票買回成本,　　 非控制權益變動,　　　　 處分投資性不動產損失（利益）,　　　　　 其他營業負債增加（減少）
2427,2015年01月01日至2015年09月30日,,                 21349,                 21349,,,                 10604,                  4291,                  1977,                  3125,                 -7159,                 -3427,                -18765,                  5623,                     74,                    -71,                   -648,                 -4376,,,                 12520,                    124,                 21226,                  3165,               -180618,                 -3491,                 15017,                 -5083,                 37256,                -99884,,                 -2538,                 -1312,                 41159,                -47806,                 63316,                  7427,                 -1119,                 59127,                -40757,                -45133,                -23784,                 15568,                  3427,                 -3033,                   -174,                 -7996,,                -30000,               -120000,                 19502,                 -8275,                    301,                 -7960,                              0,                   -956,                              0,                  8644,                    617,                   -461,               -138588,,                169747,                              0,                 -3478,                -46079,                120190,                  1859,                -24535,                349214,                324679,                324679,,,,,,,,,,,,,,,,,
2427,2015年01月01日至2015年06月30日,,                 -4169,                 -4169,,,                  7056,                  2862,                    681,                  2016,                 -5119,                 -1608,                -14023,                  5608,                     50,                   -356,                   -424,                 -3257,,,                  8596,                    248,                 84289,                  3737,                 74454,                 -1422,                  4195,                 -3270,                 19764,                190591,,                 -2538,                 -1173,                -30847,                -50440,                 38384,                    773,                 -2448,                -48289,                142302,                139045,                134876,                  1747,                  1608,                 -1964,                   -337,                135930,,,               -120000,                 10382,                 -5593,                    300,,                  1624,                   -935,,                  5831,                    316,                   -327,               -108402,,                 69747,,                 -2725,,                 17022,                 -3530,                 41020,                349214,                390234,                390234,                              0,                -50000,                              0,,,,,,,,,,,,,,
2427,2015年01月01日至2015年03月31日,,                -12308,                -12308,,,                  3456,                  1428,                    578,                  1076,                 -2222,,                 -4720,                  5620,                     25,                   -316,,                  4925,,,                  7813,                      3,                 70163,                  4661,                 79646,                      6,                 -2577,                 -3071,                 17001,                173645,,                 -2538,                   -852,                -65689,                -51718,                 33514,                  1062,                  1326,                -84895,                 88750,                 93675,                 81367,                    540,,                 -1023,                    -12,                 80872,,,               -120000,,                 -1562,                    303,                              0,                  5340,                   -897,,                  2942,                    628,                   -173,               -113419,,                 89747,,                   -939,,                 88808,                 -1266,                 54995,                349214,                404209,                404209,,,,                              0,,,,,,,,,,,,,
2427,2014年度,,                 29433,                 29433,,,                 15038,                  5703,                 -2420,                    869,                 -9834,                 -4143,                 -7751,                  1537,                     98,                   -197,                    103,,,,                 21598,                  1368,                 99650,                   -503,                -32401,                 -3232,               -135219,                  2002,                 31316,                -15421,,                  2538,                    742,               -169640,                 -6584,                -95340,                 -5510,,               -273165,               -288586,               -289583,               -260150,                  3110,                  4143,                   -709,                   -310,               -253916,,,                -64590,                  4461,                 -8596,                  2408,,                  2672,                 -1588,,                  1310,                 11522,                    424,                -51977,,                646719,               -486466,                 -2960,                              0,                183059,                  4461,               -118373,                467587,                349214,                349214,                200000,               -150000,,                              0,,                              0,                              0,                   -997,                              0,                    629,                              0,                              0,                              0,                -24234,                              0,,
2427,2014年01月01日至2014年09月30日,,                 20759,                 20759,,,                 11335,                  4280,                 -1877,                    377,                 -7173,                 -4143,                 -6367,                  1060,                     73,                   -191,                   -193,                 -2819,,,                 18245,                  1132,                126030,                  1069,               -171031,                 -2344,                  4656,                 -2697,                 41353,                 16413,,                  6565,                    222,               -109620,                -60808,                 33344,                 -4342,                   -792,               -135431,               -119018,               -121837,               -101078,                  2124,                  4143,                   -377,                   -259,                -95447,,                              0,                -64590,                  4461,                 -4315,                    766,                              0,                  3703,                 -1421,                 -1725,                              0,                 11224,                    619,                -51278,,                              0,                              0,                 -1801,                              0,                 -1801,                    497,               -148029,                467587,                319558,                319558,,,,,,,,,,,,,,,,,
2427,2014年01月01日至2014年06月30日,,                 16465,                 16465,,,                  7591,                  2843,                 -3993,                    244,                 -5010,                              0,                 -2992,                    898,                     49,                   -169,                              0,                   -539,,,                  7830,                  1110,                161797,                  1640,                 61517,                   -954,                 -2677,                 -2599,                 20276,                247940,,                              0,                    121,               -183558,                -48832,                -26506,                 -3736,                 -2194,               -264705,                -16765,                -17304,                   -839,                  1756,                              0,                   -189,                   -110,                    618,,,                -64590,                              0,                 -2286,                    823,,                  2920,                   -442,,                  3877,                    266,                    200,                -59232,,                 50000,,                   -800,,                 99215,                 -3403,                 37198,                467587,                504785,                504785,                 50000,                              0,                     15,,,,,,,,,,,,,,
2427,2014年01月01日至2014年03月31日,,                  5662,                  5662,,,                  4011,                  1460,                 -1596,                              0,                 -2485,,                    440,                      6,                     24,                     52,,                  1912,,,                  2407,                  1006,                 96248,                  2474,                 96659,                 -1207,                  5306,                 -7548,                 19936,                215281,,                              0,                   -106,               -202611,                -51016,                 -9487,                 -3520,                 -3598,               -270338,                -55057,                -53145,                -47483,                    906,,                              0,                    -18,                -46595,,,                              0,,                 -1180,                              0,                -14351,                 11004,                    -89,,                  1008,                              0,                    282,                 -5190,,                              0,,                 -2042,,                 -2042,                   -470,                -54297,                467587,                413290,                413290,,,,                 -1864,,,,,,,,,,,,,
2427,2013年度,,                -15249,                -15249,,,                 16337,                  5624,                 -6105,                  1005,                -12152,                 -3620,                 -1224,                -41253,                     98,                    561,                              0,,,,                 13298,                   -271,                  1976,                  1404,                217363,                 -1944,                -21796,                    644,                -25420,                185646,,                   -137,                    426,                -38188,                 29870,                  8477,                  2772,,                 -1242,                184404,                143857,                128608,                 12051,                  3620,                 -1152,                 -2410,                140715,,,                 -6658,                              0,                 -7451,                125923,,                  6031,                 -2756,,                  3397,                    131,                   -231,                117426,,                              0,               -262206,                              0,                              0,               -266680,                 12152,                  3613,                463974,                467587,                467587,                              0,                              0,,                   -960,,                    985,                   -803,                -40547,                    392,                 -4462,                     -2,                    471,                    -49,                              0,                 -4896,,
2427,2013年01月01日至2013年12月31日,,                -15249,                -15249,,,                 16337,                  5624,                 -6105,                  1005,                -12152,                 -3620,                 -1224,                -41253,                     98,                    561,,,,,                 13298,                   -271,                  1976,                  1404,                217363,                 -1944,                -21796,                    644,                -25420,                185646,,                   -137,                    426,                -38188,                 29870,                  8477,                  2772,,                 -1242,                184404,                143857,                128608,                 12051,                  3620,                 -1152,                 -2410,                140715,,                              0,                 -6658,,                 -7451,                125923,                              0,                  6031,                 -2756,                              0,                  3397,                    131,                   -231,                117426,,                              0,               -262206,,                              0,               -266680,                 12152,                  3613,                463974,                467587,                467587,,,                              0,                   -960,,                    985,                   -803,                -40547,                    392,                 -4462,                     -2,                    471,                    -49,                              0,                 -4896,,
2427,2013年01月01日至2013年09月30日,,                -24260,                -24260,,,                 12523,                  4159,                 -1669,                  1205,                 -9385,                 -3620,                 -1070,                -38727,                              0,,                              0,,,,                 13981,                    476,                  9264,                  3591,                300492,                   -919,                -15893,                  2527,                    -57,                313462,,                   -137,                    710,                -84861,                -28033,               -148977,                   -556,,               -268030,                 45432,                  8618,                -15642,                 11055,                  3620,                 -1353,                   -130,                 -2452,,,                 -6658,                              0,                 -5960,                124011,,                  5242,                 -2567,                              0,                    816,                    533,                   -107,                115310,,               -262206,,                              0,,               -266868,                  8698,               -145312,                463974,                318662,                318662,,,,,,,                   -803,                -36814,,                 -6176,                     -2,                    283,                    -49,,                 -4896,                    573,
