證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 預付投資款增加,　　 預付投資款減少,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 處分無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 員工購買庫藏股,　　 取得子公司股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 其他應收款－關係人減少,　　 員工執行認股權,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　　　　 負債準備增加（減少）
2908,2015年01月01日至2015年09月30日,,                755270,                755270,,,                502896,                116708,                    797,               -144349,                140047,                -13505,                              0,                  5226,                              0,                  1828,                -28019,                              0,                -37500,                544129,,,               -172564,                 -4213,                 62151,                 76324,                343921,                  3785,                 97126,                -10422,                -74591,                321517,,                -26566,               -732891,                -62780,                 73587,               -205102,                 23432,               -930320,               -608803,                -64674,                690596,                 13335,                              0,               -137566,               -134366,                431999,,                              0,               -148399,                 18285,                              0,                              0,                              0,                 44404,               -144602,                              0,               -660946,                  2319,                              0,                 32425,                -36343,                              0,               -892857,,                              0,                -46122,                     40,                              0,              6427096,             -5490544,                 13758,                              0,               -577401,                              0,                157398,                -55968,                              0,                428257,                -69720,               -102321,              2316128,              2213807,              2213807,                              0,,,,,,,,
2908,2015年01月01日至2015年06月30日,,                555672,                555672,,,                309561,                 78344,                    793,                215217,                 87322,                -10022,,                  5226,,                    978,                -17144,                              0,                -25000,                645275,,,                167623,                 36911,                559891,                177343,                680439,                 18339,                 80003,                     15,                 47148,              1767712,,                -27229,             -1027004,               -434771,                 68400,                -11821,                  6647,             -1425778,                341934,                987209,              1542881,                  9553,,                -86810,                -66885,              1398739,,,                -73192,                 24455,                              0,,,                 44404,               -144602,,               -439965,                 15785,,                 27346,                -21155,                              0,               -566924,,,               -753223,                     20,,              3749696,             -3457731,                  7802,,,,                157398,                -55968,,               -352006,                -57099,                422710,              2316128,              2738838,              2738838,,,,,,,,,
2908,2015年01月01日至2015年03月31日,,                389298,                389298,,,                156502,                 44878,                    832,                -44974,                 41535,                 -5411,,                              0,,                    166,                 -6822,                 10816,                -12500,                185022,,,                  9320,                 16796,                249251,                172722,                512315,                -27044,                 72883,                     54,                -86543,                919754,,                -22914,               -612782,               -315572,                -20528,                 50090,                -15688,               -937394,                -17640,                167382,                556680,                  4269,,                -40176,                 -7046,                513727,,,                              0,                 24455,                              0,,,                 44404,               -144602,,               -130767,                  2018,,                -38390,                    -38,,               -242920,,                327777,                              0,                      9,,                              0,               -420713,                  6444,                              0,,,                              0,                -55968,,               -142451,                -62223,                 66133,              2316128,              2382261,              2382261,                              0,                              0,                              0,,,,,,
2908,2014年度,,                883144,                883144,,,                644286,                165887,                   -808,               -317254,                188093,                -17992,,                  8250,                              0,                  5038,                 -2115,                248185,                -50000,,,,                 81141,                -73659,               -524925,                 44715,               -541749,                178200,                 23704,                 -1445,               -231855,             -1045873,,                -66187,                495112,               -462306,               -138635,                -23095,                 11639,               -183472,             -1229345,               -357775,                525369,                 17790,,               -177343,               -190271,                175545,,                              0,,,                  2853,                              0,                -44404,,                              0,                              0,               -731541,                  7187,                -41211,,                -40477,                              0,             -1305612,,                493119,                              0,                 69960,                              0,              3510564,             -2875675,                 27465,,               -502088,                              0,                322759,                -13596,                              0,              1032508,                 -4752,               -102311,              2418439,              2316128,              2316128,,,,,                871570,               -465474,                  7455,                              0,
2908,2014年01月01日至2014年09月30日,,                665692,                665692,,,                502334,                136421,                   -760,                -45687,                126995,                -16454,                              0,                  8250,                              0,                  3374,                 -6955,                              0,                -37500,                670018,,,                 16971,               -120207,               -664606,                -38671,                393595,               -122809,                108323,                 -1454,               -383369,               -812227,,                -96419,                376591,               -293989,                115044,                 20088,                -16099,                105216,               -707011,                -36993,                628699,                 16917,                              0,               -123250,               -263381,                258985,,                              0,                              0,                 13893,                  2853,                              0,                              0,                              0,                              0,                              0,               -330918,                     57,                -12523,                              0,                -16811,                              0,               -343449,,                271765,                              0,                 69985,                              0,              2426264,             -2005268,                 15665,                              0,               -502088,                              0,                322759,                -13596,                              0,                585486,                 20474,                521496,              2418439,              2939935,              2939935,                              0,,,,,,,,
2908,2014年01月01日至2014年06月30日,,                470257,                470257,,,                323945,                 91424,                 -1303,                  6692,                 83894,                 -8654,,                  8250,,                  2221,                 -4660,                              0,                -25000,                476809,,,               -117302,                -49387,               -320197,               -123594,                405763,                 37088,                 28475,                    -98,               -439463,               -578715,,                -94034,                177037,               -466403,                316085,                 41259,                -16411,                -42467,               -621182,               -144373,                325884,                  9527,,                -80604,               -102665,                152142,,,                -31121,                              0,                  2115,,,                              0,                              0,,               -197890,                     52,,                -12538,                 -2818,                              0,               -242200,,,               -167513,                 39987,,              1316308,             -1086610,                 11714,,,,                322759,                -13596,,                423049,                 -5455,                327536,              2418439,              2745975,              2745975,,,,,,,,,
2908,2014年01月01日至2014年03月31日,,                323396,                323396,,,                167294,                 40303,                 -1359,                 -2407,                 38580,                 -3622,,                  8250,,                  2141,                 -2460,                 -5160,                -12500,                229060,,,                 -4954,                   -421,               -187529,               -252996,                500490,                 12469,                 97651,                   -130,               -173451,                 -8871,,                -88961,                 74289,               -373959,                    680,                 10207,                -20049,               -397793,               -406664,               -177604,                145792,                  3051,,                -37831,                -12977,                 98035,,,                -29504,                              0,                  2115,,,                              0,                              0,,                -66295,                     52,,                 15371,                 -1562,,                -79823,,                              0,               -415877,                 59964,,                726822,               -553300,                  8851,                              0,,,                322759,                              0,,                149219,                  8404,                175835,              2418439,              2594274,              2594274,                              0,                              0,                              0,,,,,,
2908,2013年度,,                732722,                732722,,,                668398,                143140,                  4501,                -34036,                152665,                -19754,,                              0,                              0,                  7838,                 -9950,                 -1553,                -50000,,,,                -39092,                     31,               -303563,                -95212,               -313375,                -42611,                -50212,                    337,                198932,               -644765,,                 82029,                817872,               -360783,                   -692,                  7771,                -10873,                535324,               -109441,                751808,              1484530,                 23636,,               -151766,               -114397,              1242003,,                              0,,,                  6969,                  4867,                              0,,                 -8053,                              0,               -703022,                 14588,                -91844,,               -119806,                 21673,             -1040751,,                492534,                              0,                  9997,                              0,              2496413,             -2181995,                 17528,,               -526055,                              0,                              0,                              0,                              0,                308422,                 27038,                536712,              1881727,              2418439,              2418439,,,,,                861249,                              0,               -166123,                              0,
2908,2013年01月01日至2013年12月31日,,                732722,                732722,,,                668398,                143140,                  4501,                -34036,                152665,                -19754,,,                              0,                  7838,                 -9950,                 -1553,                -50000,,,,                -39092,                     31,               -303563,                -95212,               -313375,                -42611,                -50212,                    337,                198932,               -644765,,                 82029,                817872,               -360783,                   -692,                  7771,                -10873,                535324,               -109441,                751808,              1484530,                 23636,,               -151766,               -114397,              1242003,,                              0,,,                  6969,                  4867,,,                 -8053,                              0,               -703022,                 14588,                -91844,,               -119806,                 21673,             -1040751,,                492534,                              0,                  9997,                              0,              2496413,             -2181995,                 17528,,               -526055,                              0,,                              0,                              0,                308422,                 27038,                536712,              1881727,              2418439,              2418439,,,,,                861249,,               -166123,                              0,
2908,2013年01月01日至2013年09月30日,,                508896,                508896,,,                491954,                102987,                   -453,                -28118,                109452,                -11852,                              0,                              0,                              0,                  5923,                 -5018,                    163,                -37500,,,,                 29763,                  3085,               -565390,               -435218,                470233,                -48115,                 27380,                    304,               -250034,               -767992,,                -15020,                472863,               -274910,                202237,                 91608,                -31554,                445224,               -322768,                304770,                813666,                 16199,                              0,               -107885,               -168668,                553312,,                              0,,,                  4840,                              0,                              0,,                 -8053,                              0,               -421875,                 14588,               -138379,                              0,                -37957,                 21673,               -727789,,                155116,                              0,                 49973,                              0,                736027,               -593635,                 15591,                              0,               -526055,                              0,                              0,                              0,                              0,               -162983,                  6624,               -330836,              1881727,              1550891,              1550891,                              0,,,,                627538,,               -162626,                              0,
2908,2013年01月01日至2013年06月30日,,                355439,                355439,,,                330783,                 53601,                   -447,                -16591,                 73707,                 -5419,,                              0,,                  4665,                 -4136,                -10537,                -25000,,,,                 32734,                  1951,               -396691,               -204584,                597295,               -147109,                -28313,                 -1186,                -36883,               -182786,,                 86874,                 81147,               -413545,                184415,                100117,                -16290,                 22718,               -160068,                240558,                595997,                  6010,,                -70421,                -55716,                475870,,,,,                  3692,,,,                 -8053,,               -341256,                    199,,                -63414,                -20654,                 21673,               -593435,,,                -67048,                 40000,,                358122,               -593635,                  6942,,,,                              0,                              0,,               -255619,                 10976,               -362208,              1881727,              1519519,              1519519,,,,,                400626,,               -185622,,
2908,2013年01月01日至2013年03月31日,,                276352,                276352,,,                194613,                 39624,                   -436,                -41416,                 33899,                 -2169,,                              0,,                     94,                 -2777,                -17351,                -12500,,,,                -56640,                -27649,               -191112,               -322842,                394233,                -83963,                -34105,                    189,                -97472,               -419361,,                 70312,                 15820,                 57782,                152302,                 63599,                 34597,                394412,                -24949,                166632,                442984,                  1278,,                -31632,                -10440,                402190,,,,,                              0,,,,                 -8053,,               -119151,                     94,,                 70838,                              0,,                -56272,,,                 -6672,                              0,,                200000,               -593635,                              0,                   -656,,,                              0,,,               -400963,                -29845,                -84890,              1881727,              1796837,              1796837,                              0,                              0,                              0,,                191581,,                              0,,
2908,2012年01月01日至2012年12月31日,,                686727,                686727,,,                653700,                162781,                  3174,                152768,                195366,                -16960,,,                 -6798,                  5301,                -48482,               -194698,                -44771,,,,               -159435,                 34136,                439334,                -49436,                519035,                347335,                 54744,                     14,                737929,              1923656,,                 -2728,                383578,                274327,                -51399,               -192515,                -24557,                386706,              2310362,              3171743,              3858470,                 12934,,               -197921,               -183093,              3490390,,                 28771,,,                    175,                    635,,,                              0,              2109643,               -563593,                  8304,                 -8440,,               -603063,                130758,              1105190,,                              0,             -1275677,                              0,                -29923,              7505202,             -9442595,                 22618,,               -387538,               -291985,,               -416136,               -443020,             -4759054,                -48572,               -212046,              2093773,              1881727,              1881727,,,,,                861381,,                              0,                  2000,
2908,2012年01月01日至2012年09月30日,,                638811,                638811,,,                644803,                133501,                 -2787,                131829,                151792,                -11066,                -39185,,                  1356,                  4890,                -45033,               -168136,                -32271,,,,               -174249,                  5625,               -100323,               -252514,                816376,                366880,               -201669,                     40,                355410,                815576,,                 -1365,               -386784,                -33933,                203207,               -165767,                -33253,               -417895,                397681,              1167374,              1806185,                  7427,                 39185,               -153460,               -118251,              1581086,,                 30458,,,                    175,                    635,                -23611,,                              0,              2109643,               -278705,                    656,                              0,                  2602,               -263444,                130757,              1711166,,                              0,               -913294,                              0,                -29923,              1172310,             -2424947,                    524,                              0,               -387538,               -291985,,               -416136,               -472096,             -3763085,                -15499,               -486332,              2093773,              1607441,              1607441,                              0,,,,                769693,,                              0,                  2000,
2908,2012年01月01日至2012年06月30日,,                464191,                464191,,,                367539,                 90759,                  1272,                125988,                111255,                 -8892,,,,                  3628,                 -3348,               -151804,                -20817,,,,               -329307,                 -8345,               -344397,                 39918,                909687,                360380,                 78636,                -46280,                182083,                842375,,                  3237,               -271836,                -40362,                 21113,               -132580,                -43825,               -464253,                378122,                893702,              1357893,,,               -112420,               -111413,              1134060,,                 30458,,,                    175,,                -23611,,                              0,,               -262790,                              0,,                  1734,               -263444,                              0,               -515478,,,               -860526,                              0,                 -9923,              1172310,             -1500000,                  7954,,,               -151305,,,                -97254,             -1438744,                 -4996,               -825158,              2093773,              1268615,              1268615,                              0,,,,                515580,,                              0,                  2000,
2908,2012年01月01日至2012年03月31日,,                300068,                300068,,,                266453,                 35719,,                123413,                 61410,                 -9290,,,,                  2990,                -43779,,                     24,,,,,                -21612,                 64687,                276703,                738090,                -57405,                -40726,                 -2127,                -26641,                930969,,                182454,               -600757,               -330089,                 12339,                 -5676,                 14586,               -709277,                221692,                658632,                958700,                  4899,,                -63189,                 -8363,                892047,,                 41700,,,,,,,                              0,,               -176041,                171157,,                  4505,                -23741,                  1850,               -435043,,,             -1209052,                 89900,,              4266169,             -4260129,                    812,,,                -48642,,,,             -1160942,                -31720,               -735658,              2093773,              1358115,              1358115,,,,,                436940,               -454473,,,                 17866
