證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他應收款增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 其他非流動負債增加,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　　 應收帳款－關係人（增加）減少,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 其他金融資產增加,　　 其他非流動資產減少,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 其他應付款－關係人增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分以成本衡量之金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 收取之股利,　　 其他投資活動,　　 發行特別股負債,　　 其他非流動負債減少,　　 發放現金股利,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　　　　 預付費用（增加）減少
2515,2015年01月01日至2015年06月30日,,              2242666,              2242666,,,                 90930,                    745,                 -2889,                 14822,                -80903,                 20753,                    865,                 -8439,                    174,                 36058,,,                   -908,               -249259,               -151002,                214697,               -548433,                -17178,                 60729,               -691354,,                 60301,                -99906,                177971,               -139499,                -29496,                257657,                -31786,                  6319,                201561,               -489793,               -453735,              1788931,                 67623,                -36204,               -305557,              1514793,,               -155000,               -116861,                153036,                 80875,                              0,                              0,               -119760,                  1469,                -82100,                 45677,                              0,                 26035,                -10768,               -396509,                  2957,                -30000,               -600949,,                              0,               -329000,                 24284,                              0,                              0,             -1678322,                              0,                              0,                 44360,                  4274,                              0,             -1934404,                 -8025,             -1028585,              2481070,              1452485,              1742648,               -290163,,,,,,,,,,,,,,,,,,,,,,,
2515,2015年01月01日至2015年03月31日,,              2160087,              2160087,,,                 44674,                     40,                  3449,                  7722,                -38314,                 -5631,                    551,                 -3559,,                  8932,,,                -10402,                -18198,               -207374,                388324,               -144900,                -37730,                 44486,               -168578,,                -24871,               -147369,                321020,               -107974,                -28502,                174598,                 45093,                  1066,                233061,                 64483,                 73415,              2233502,                 25121,                -13817,               -283330,              1961476,,,                -65765,                 74304,,                 46071,,,                              0,                -56889,                 29340,                -56538,                              0,                -10768,                              0,                              0,                              0,               -520358,,               -209500,                              0,,               -274318,                              0,,             -1830048,                              0,                 27891,                  3747,,             -2282228,                 -8482,               -849592,              2481070,              1631478,              1631478,                              0,               -182784,                -15000,               -470478,                  5365,,,,,,,,,,,,,,,,,,,
2515,2014年度,,                355646,                355646,,,                189076,                    685,                  3448,                 74719,               -128395,                 77826,                  1096,                -16614,,,,,                  5027,                178695,                361818,                312078,               -348785,                107680,               -125943,              2346324,,                  8252,               -224907,               -417929,               -435064,                -40584,                292194,                 36397,,               -827305,              1519019,              1879740,              2235386,                129116,               -126093,               -228479,              2009930,,,               -347400,                303544,,,,                              0,                              0,                -78028,                 12892,               -101684,,                -29772,                              0,                -66350,                -43192,               -788218,,             -2560094,,               -112671,,                800000,,              2657696,,                -40620,,                 -5734,                523364,                 40594,              1785670,                695400,              2481070,              2481070,                              0,              1855754,,                284846,,,                158880,                360721,                              0,                -43640,                 -2024,                  3335,                              0,               -611438,                              0,               -120024,                              0,                  5053,                              0,                              0,                   -186,               -215027,,
2515,2014年01月01日至2014年09月30日,,                223719,                223719,,,                137891,                   -256,                  6548,                 57037,                -90216,                 17314,                    655,                -12264,                              0,,,,                   -668,                -65845,                679568,                317440,               -213607,                113157,               -106318,              1600677,,                -20568,                -71111,               -411459,               -208561,                 16915,                168085,                 23276,,               -539924,              1060753,              1336342,              1560061,                 90240,                -94552,               -205921,              1349828,,,               -327775,                235619,,,,                              0,                              0,                -30714,                     40,                -57815,                              0,                -29772,                              0,                -70974,                -54630,               -266207,,             -2840094,                              0,                              0,                -80524,                800000,              2626449,                              0,                -22341,                              0,                   -748,                 -2137,                480605,                 11853,              1576079,                695400,              2271479,              2575319,               -303840,                876950,,                401809,,,                158880,                275589,,                -36501,,,               -220359,                              0,,               -120024,                              0,                  5053,,,,,                  3335,
2515,2014年01月01日至2014年06月30日,,                 84340,                 84340,,,                 86575,                   -445,                  4048,                 40298,                -58722,                 -6150,                    595,                 -7992,                              0,                 58207,,,                 -1032,                275474,                -68821,                268103,               -651077,                 32947,               -114333,               -258739,,                 -4581,                263759,               -530927,               -206441,                 -1838,                249430,                 67221,                 -1048,               -164425,               -423164,               -364957,               -280617,                 58816,                -63441,                -21484,               -306726,,                              0,               -224173,                154363,               -220419,                              0,                  5053,                              0,                              0,                -29657,                     40,                -60237,                              0,                -29772,                575733,                -75656,                -38655,                 56620,,                              0,             -2562094,                              0,                -80435,                800000,              3027870,                              0,                              0,                -33571,                    322,                              0,              1152092,                 -5457,                896529,                695400,              1591929,              1611929,                -20000,,,,,,,,,,,,,,,,,,,,,,,
2515,2014年01月01日至2014年03月31日,,                 54318,                 54318,,,                 39367,                   -440,                    826,                 20890,                -29369,                  2971,                    279,                 -5486,,                 29038,,,                    563,                 16607,                  1657,                236361,               -228684,                -11916,                -76537,                298936,,                -32543,                 35896,               -464538,               -119040,                   -609,                 36053,                 57023,                 -1559,               -489317,               -190381,               -161343,               -107025,                 29355,                -32612,                 -3060,               -113342,,,               -137699,                 96557,,                  4133,,,                              0,                -23604,                     19,                              0,                  3245,                -29772,                 66160,                -80615,                -10090,               -111666,,                -17000,                              0,,                 -8457,                800000,,               -353061,                 -9121,                              0,                   -164,,                412197,                 11316,                198505,                695400,                893905,              1783876,               -889971,                360885,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,
2515,2013年度,,                272708,                272708,,,                176754,                   -290,                    -21,                 96126,               -143706,                137981,                  1064,                -60324,,,,,                  8366,                -49331,                136459,               -805337,                393315,               -145254,                -28052,               -323265,,                -21040,                 97625,               -355123,                908034,                124562,                 84531,               -105467,,                733070,                409805,                617389,                890097,                143658,               -141933,                -54494,                837328,,,               -365182,                419760,,,,                -59131,                    559,                -88028,                  1677,                -89873,,                              0,                              0,                 -7025,               -230550,               -669519,,                238090,,                 36661,,                              0,,               -793160,,                -15384,,                -52983,               -793945,                 53509,               -572627,              1268027,                695400,              1547521,               -852121,                166569,,               -202196,,,                              0,                207584,                              0,                 12151,                -12203,                              0,                              0,                109941,                              0,                              0,               -163207,                  3736,                              0,                              0,                 -1292,               -205877,,
2515,2013年01月01日至2013年09月30日,,                155301,                155301,,,                 92059,                              0,                    -16,                 71803,               -100733,                117093,                    819,                -46188,                     13,,,,                  8559,               -163068,                -31429,               -883258,               -519926,               -151807,                -75872,             -1318175,,                -18281,               -121615,               -735552,              1126094,                 -1747,                830117,               -111911,,                954520,               -363655,               -228805,                -73504,                100787,               -103069,                -30844,               -106630,,,               -290081,                376973,,,,                -59131,                    559,                -65336,                     30,               -289156,                282828,                -31060,                 67790,                    818,               -152393,               -557850,,              4096000,             -3974910,              5411128,             -5375000,                              0,                981136,             -1044082,                148287,               -139922,                  3559,                -47442,                 58754,                 32658,               -573068,              1268027,                694959,              1259431,               -564472,                498626,,               -329965,,,                              0,                134850,,                -12585,,,                              0,                 93481,,                              0,               -163207,                              0,,,,,                              0,
2515,2013年01月01日至2013年06月30日,,                 49346,                 49346,,,                 62658,                 -1374,                              0,                 48098,                -68004,                 86275,                    567,                -14698,                     13,,,,                  6236,                667662,                -43589,               -476485,               -373768,               -139016,                -97699,               -456659,,               -103272,               -164063,               -670613,                385007,                   -148,                485308,                -32715,,               -100496,               -557155,               -443620,               -394274,                 68054,                -67203,                -30034,               -423457,,,               -237905,                264142,,,                              0,                -59131,                    559,                -17962,                     18,                 -5688,                              0,                -28056,                 25639,                              0,               -170014,               -328166,,                166885,                              0,,                -34085,                              0,                              0,               -409569,                  4158,                              0,                  4170,                              0,               -268441,                 42284,               -977780,              1268027,                290247,              1196473,               -906226,,,,                    790,,,                113535,,,,,                              0,                107693,,,               -208251,,,,,,,
2515,2013年01月01日至2013年03月31日,,                 11560,                 11560,,,                 31320,                              0,                              0,                 23535,                -32963,                 36359,                    365,                    -99,,,,,                  5178,                 -9735,                 68376,               -357231,                -53848,                -57018,                -24269,               -318424,,                 37596,               -150984,               -370414,                213682,                    -88,                466115,                -25715,,                167815,               -150609,                -92092,                -80532,                 32894,                -33793,                 -3188,                -84619,,,               -128607,                 69916,,,,,                    559,                 -8107,                              0,                -35111,                              0,                -28056,                              0,                -11863,               -174395,               -290248,,                              0,                141277,,                -55437,                              0,,                -90662,                  5281,                              0,                 -1158,,                   -699,                 26207,               -349359,              1268027,                918668,              1777197,               -858529,                180404,,                -55854,,,,                 58517,,,                 -2377,,,                 81270,,,,,,,,,,                -70281
