證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 遞延借項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分按攤銷後成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 其他金融資產增加,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 除列按攤銷後成本衡量金融資產淨損失（利益）,　　　 不影響現金流量之收益費損項目,　　　　 處分投資性不動產損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得無形資產,　　 處分投資性不動產,　　 其他非流動資產減少,　　 償還公司債,　　 償還長期借款,　　 其他非流動資產增加,　　 處分不動產、廠房及設備,　　 發行公司債
2509,2015年01月01日至2015年09月30日,,                -49293,                -49293,,,                  4722,                    450,                 11675,                 44406,                 -4485,                 -4771,                      2,                              0,                 51999,,,                -39987,                -35567,                 -6907,                 33685,             -1979504,                 -2670,                -32452,                -88569,                 15870,             -2136101,,                 19210,                 19327,                 42423,                566075,                 12816,                    859,                660710,             -1475391,             -1423392,             -1472685,                  4605,                  4771,                -61782,                -10789,             -1535880,,                              0,                 -1377,                -18940,                 -1181,                -21498,,              2177779,               -920337,                 54623,                -65000,                  2326,                 -2200,               -182102,                 36000,              1101089,                  8637,               -447652,              1392771,                945119,                945119,,,,,,,,,,,,,,,,,,
2509,2015年01月01日至2015年06月30日,,               -108651,               -108651,,,                  3128,                    315,                   -934,                 28180,                 -3846,,                              0,                              0,                 26843,,,                -19989,                -50786,                 -5922,                  5181,             -1456619,                  3843,                -10679,               -111298,                 10894,             -1635375,,                100651,                 57353,                 41632,                321925,                 -4536,                    704,                517729,             -1117646,             -1090803,             -1199454,                  3965,,                -35886,                 -5121,             -1236496,,                              0,                   -307,                 -9326,                 -1282,                -10915,,              1522170,               -765682,                 54623,                -65000,                              0,                 -2200,,                 36000,                779911,                -15807,               -483307,              1392771,                909464,                909464,,,,,,,,,,,,,,,,,,
2509,2015年01月01日至2015年03月31日,,                -56307,                -56307,,,                  1582,                    158,                  2530,                 13996,                 -1958,,,,                 16308,,,                     32,                 -1094,                    395,                 15263,             -1072416,                  3305,                -12862,               -213423,                  2324,             -1278476,,                -29326,                 34126,                 69221,                241128,                  1546,                    551,                317246,               -961230,               -944922,             -1001229,                  1958,,                -18734,                     -7,             -1018012,,                              0,                   -307,                 -9564,                     60,                 -9811,,                738572,                -64690,,                -10000,,                 -2200,,                 36000,                697682,                 -6418,               -336559,              1392771,              1056212,              1056212,                              0,,,,,,,,,,,,,,,,,
2509,2014年度,,               -206033,               -206033,,,                  6873,                    657,                 15885,                 11277,                -11998,                 -4906,                     92,                 -2977,,,,,                              0,                 -1602,                -13159,             -1302971,               -214788,                -86277,               -264988,                -48627,             -1932412,,                 37310,                 30773,                 -9637,                642819,                  6227,,                708219,             -1224193,             -1199658,             -1405691,                 11997,                  4906,                -27162,                 -4309,             -1420259,,,                   -859,                 25000,                    695,                 25080,,              2024000,               -280000,                 64604,                -35000,                 38540,                              0,               -227628,                -59659,              1524857,                 27350,                157028,              1235743,              1392771,              1392771,,,                              0,                  9632,                              0,                 24535,                    727,               -654368,                647934,                  6678,                              0,                              0,                              0,                              0,                              0,,,
2509,2014年01月01日至2014年09月30日,,               -137703,               -137703,,,                  5144,                    495,                   -308,                  3818,                 -8811,                 -4842,                     12,                 -2977,                 -7469,,,                  1953,                 -9450,                     58,                -10224,             -1188581,                 19146,                -58711,                -12950,                -38544,             -1297303,,                110220,                 -6863,                  2118,                504748,                 29695,                    547,                640465,               -656838,               -664307,               -802010,                  8810,                  4842,                -15898,                 -4238,               -808494,,                  6678,                   -841,               -195000,                    897,               -188266,,              1070000,               -222500,                 44675,                -35000,                 32605,                              0,               -227628,                -59659,                602493,                  8660,               -385607,              1235743,                850136,                850136,,,,,,,,,,,,,,,,,,
2509,2014年01月01日至2014年06月30日,,                -57510,                -57510,,,                  3403,                    330,                -21084,                  2633,                 -8593,,                     12,                 -2977,                -26276,,,                -14887,                 -3366,                    290,                -34061,               -661013,                 23299,                -48237,                 -1100,                -34640,               -773715,,                172205,                -59369,                 93316,                330257,                  1058,                    373,                537840,               -235875,               -262151,               -319661,                  8592,,                 -9670,                 -4198,               -324937,,                  6678,                   -839,                 12500,                  1002,                 19341,,                430000,                -51000,                 34691,                -35000,                 32605,                              0,,                -59659,                351637,                    939,                 46980,              1235743,              1282723,              1282723,,,,,,,,,,,,,,,,,,
2509,2014年01月01日至2014年03月31日,,                -25016,                -25016,,,                  1687,                    165,                 -6434,                  1021,                    -72,,,,                 -6610,,,                -31701,                   -626,                    796,                     92,               -244420,                -38361,                 -4930,                -60500,                -23945,               -403595,,                 51839,                -65194,                 -7373,                 88376,                    559,                    190,                 68397,               -335198,               -341808,               -366824,                     71,,                 -4303,                    -56,               -371112,,                  6678,                   -194,                 12500,                   -164,                 18820,,                210000,                 -1000,,                              0,,                              0,,                              0,                209000,                 10549,               -132743,              1235743,              1103000,              1103000,                 -2977,,,,,,,,,,,,,,,,,
2509,2013年度,,                454373,                454373,,,                  9933,                    686,                 -1781,                 37972,                 -5422,                 -5250,                     26,                              0,,,,,                  2742,                  1583,                  6599,               -465885,               -266572,                -55048,                              0,                 28716,               -747865,,                    866,                 65000,                 87257,                483764,                 -9214,,                628530,               -119335,               -657250,               -202877,                  5649,                  5250,                -40944,                -61931,               -294853,,,                   -463,                542586,                -29126,              1511274,,                580000,               -363000,                 35000,                -20346,                              0,                 -6400,               -151753,                 30000,               -868633,                 12530,                360318,                875425,              1235743,              1235743,,,               -577799,                              0,                  3720,               -537915,                    857,               -161788,                 63297,                              0,                   -350,              1097866,                   -748,               -943900,                -28234,,,
2509,2013年01月01日至2013年12月31日,,                454373,                454373,,,                  9933,                    686,                 -1781,                 37972,                 -5422,                 -5250,                     26,,,,,,                  2742,                  1583,                  6599,               -465885,               -266572,                -55048,,                 28716,               -747865,,                    866,                 65000,                 87257,                483764,                 -9214,,                628530,               -119335,               -657250,               -202877,                  5649,                  5250,                -40944,                -61931,               -294853,,,                   -463,                542586,                -29126,              1511274,,                580000,               -363000,                 35000,                -20346,                              0,                 -6400,               -151753,                 30000,               -868633,                 12530,                360318,                875425,              1235743,              1235743,,,               -577799,,                  3720,               -537915,                    857,               -161788,                 63297,,                   -350,              1097866,                   -748,               -943900,                -28234,,                              0,
2509,2013年01月01日至2013年09月30日,,                484831,                484831,,,                  8011,                    512,                  2705,                 36885,                 -2477,                 -5250,                      5,                              0,,,,                   -737,                  2468,                  1196,                 14492,               -173384,               -251783,                -15528,                              0,                 32939,               -390337,,                -14704,                 20583,                 75525,                459379,                 -8419,,                532952,                142615,               -391073,                 93758,                  2477,                  5250,                -42155,                -61763,                 -2433,,,                   -270,                              0,                564733,              1659029,,                520000,               -362000,                 74654,                -60000,                              0,                 -6400,               -151753,                 30887,               -921793,                 10195,                744998,                875425,              1620423,              1620423,,,               -577799,,                  3720,               -533688,                    588,,,                              0,                   -350,              1097866,                 -2950,               -938947,                -28234,,,
