證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 存入保證金增加,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動負債減少,　　　　 其他項目,　　 其他非流動負債增加,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 不影響現金流量之收益費損項目合計,　　 處分子公司,　　 取得投資性不動產,　　 收取之股利,　　 發放現金股利,　　 現金增資,　　 員工執行認股權,　　 其他非流動資產增加,　　 處分無活絡市場之債券投資,　　 對子公司之收購（扣除所取得之現金）,　　　　 非金融資產減損迴轉利益,　　　　　 其他營業負債增加（減少）,　　 舉借長期借款,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　 營業活動之現金流量－直接法,　　 營業活動之付現類別,　　　 營業活動之付現類別合計,　　 退還（支付）所得稅,　　 其他現金流入（出）,　　 其他非流動資產減少
3406,2015年01月01日至2015年09月30日,,             -1192382,             -1192382,,,              1153469,                 25118,                  1961,                113911,                 -4995,                 20582,                 44104,              1354150,,,                -15239,                691176,                -51652,                 -5812,               -257601,                 -9220,                -82097,                269555,,                 16074,               -484176,               -157314,                -16053,               -641469,               -371914,                982236,               -210146,                -10462,               -220608,,                              0,               -544611,                 84187,                  4280,                 -8809,                  4995,               -459958,,                295311,                145881,                  5198,               -121077,                325313,                -52853,               -408106,              1153555,                745449,                745449,,,,,,,,,,,,,,,,,,,,,,,,,,
3406,2015年01月01日至2015年06月30日,,             -1121468,             -1121468,,,                764782,                 17062,                  1408,                 75528,                 -4419,                 25598,                117055,                997014,,,                -18431,              1056993,                 12742,                 -1994,               -163664,                -22579,               -144586,                718481,,                  7686,               -736680,               -215070,                -30862,               -974926,               -256445,                740569,               -380899,                 -8288,               -389187,,,               -290567,                 47194,,                 -5982,                  4419,               -244936,,                195858,                 99097,,                -83503,                216442,                 43510,               -374171,              1153555,                779384,                779384,                  4990,,,,,,,,,,,,,,,,,,,,,,,,,
3406,2015年01月01日至2015年03月31日,,               -569116,               -569116,,,                385856,                  8465,                    659,,                 -1975,                 23042,                 67754,                521118,,,                -14493,              1519495,                -13232,               -382565,               -274956,                 -9004,                146595,                971840,,                -63997,               -603500,               -166147,                -19670,               -853314,                118526,                639644,                 70528,                   -274,                 70254,,,               -194205,                 19830,,                 -5977,                  1975,               -178377,,                 97174,                   -451,,                -35420,                 66366,                 21626,                -20131,              1153555,              1133424,              1133424,,                 37317,                  5063,,,,,,,,,,,,,,,,,,,,,,,
3406,2014年度,,               -832503,               -832503,,,              1413216,                 35699,                 -4585,,                 -6293,                 -8208,                 64226,,,,                  1614,             -1293628,                  8366,                152906,             -1222629,                  8166,                579723,             -1765482,,                 69828,                359685,                118006,                 60956,                608475,             -1157007,                474329,               -358174,                -23887,               -382061,,,             -1164617,                130598,,                -16190,                  6321,               -941523,,                796639,                397691,,               -134818,              1057218,                -78570,               -344936,              1498491,              1153555,              1153555,,                139376,                 -2294,,                 -2095,                              0,              1631336,                100270,                              0,                  2095,                              0,                              0,                              0,,,,,,,,,,,,,
3406,2014年01月01日至2014年09月30日,,               -793187,               -793187,,,              1041768,                 25810,                 -1273,                103539,                 -4721,                -17859,                 41733,              1188997,,,                  1775,             -1380576,                -11751,               -186721,               -682313,                  7707,                -29245,             -2281124,,                116848,                535062,                136570,                 41265,                829745,             -1451379,               -262382,             -1055569,                -22003,             -1077572,,                100270,               -617015,                 77005,                 -1435,                 -8476,                  4750,               -444901,,                853746,                 -1858,                 -2299,               -104999,                744590,                  6768,               -771115,              1498491,                727376,                727376,,,,,,,,,,,,,,,,,,,,,,,,,,
3406,2014年01月01日至2014年06月30日,,               -780875,               -780875,,,                688971,                 17322,                 -1226,                 65952,                 -3020,                -11704,                 67176,                823471,,,                  1592,               -422941,                 -3453,                 75527,                -69475,                  3277,               -162065,               -577538,,                 18298,               -184919,                 39787,                 23811,               -103023,               -680561,                142910,               -637965,                -17652,               -655617,,,               -526832,                 68447,,                 -4503,                  3049,               -459839,,                516348,                 -1239,,                -67204,                445247,                 31346,               -638863,              1498491,                859628,                859628,                 -2658,,,,,,,,,,,,,,,,,,,,,,,,,
3406,2014年01月01日至2014年03月31日,,               -423002,               -423002,,,                349790,                  8507,                 -1343,,                 -1252,                 -7540,                 17083,                396125,,,                  1570,               -135218,                -39432,                155955,                  3121,                 -5803,                -57340,                -77147,,                -13490,               -239015,                -63735,                 34491,               -281749,               -358896,                 37229,               -385773,                -15746,               -401519,,,               -273074,                  7514,,                 -1323,                  1281,               -265602,,                -37058,                   -620,,                -26532,                -66899,                 17373,               -716647,              1498491,                781844,                781844,,                 30880,                 -2689,,,,,,,,,,,,,,,,,,,,,,,
3406,2013年度,,               -434574,               -434574,,,              1416709,                 34190,                    375,,                -16623,                -15294,                 47184,,,,                  6240,              1457543,                 69090,               -184264,                429449,                -14790,               -499267,              1264001,,               -221482,             -1012178,               -173668,               -135051,             -1542379,               -278378,              1319734,                885160,               -274519,                610641,,,             -2065273,                 27249,,                -24058,                 16726,             -2045070,,                398028,               -607525,,               -104273,              1199148,                -27823,               -263104,              1761595,              1498491,              1498491,,                106269,                    176,,                   -698,                 26000,              1598112,                              0,                   -412,                    698,               -199179,              1700000,                 11921,,,,,,,,,,,,,
3406,2013年01月01日至2013年12月31日,,               -434574,               -434574,,,              1416709,                 34190,                    375,,                -16623,                -15294,                 47184,,,,                  6240,              1457543,                 69090,               -184264,                429449,                -14790,                 -5531,              1757737,,               -221482,             -1012178,               -173668,               -135051,             -1542379,                215358,              1813470,              1378896,               -274519,              1104377,,,             -2065273,                 27249,,                -24058,                 16726,             -2538806,,                398028,               -607525,,               -104273,              1199148,                -27823,               -263104,              1761595,              1498491,              1498491,,                106269,                    176,,                   -698,                 26000,              1598112,,                   -412,                    698,               -199179,              1700000,                 11921,               -493736,                              0,                              0,,,,,,,,,,
3406,2013年01月01日至2013年09月30日,,               -353387,               -353387,,,              1051660,                 25626,                 -2273,,                -15033,                -11461,                 25224,,,,                  7722,                452646,                 29137,               -364964,                353233,                -11955,,                465819,,               -223255,               -411516,               -119498,                 83566,               -670703,               -204884,                973002,                619615,               -272805,                346810,,                              0,             -1860315,                 24866,,                -30337,                 14986,             -2230473,,                191457,               -606906,                    101,                -80507,              1013691,                 -8828,               -878800,              1761595,                882795,                882795,,                 78143,,,,                 26000,              1177886,,                   -412,,               -199179,              1700000,                  8725,               -379261,,,,,,,,,,,,
