證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分無形資產損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 應付租賃款減少,　　 發放現金股利,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應收帳款－關係人（增加）減少,　　 其他金融負債減少,　　 非控制權益變動,　　　 不影響現金流量之收益費損項目,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 不影響現金流量之收益費損項目合計,　　 收取之股利,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 預付設備款減少,　　 應付租賃款增加,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　　 其他應付款－關係人增加（減少）,　　 採用權益法之被投資公司減資退回股款,　　 其他金融資產減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 其他非流動資產減少,　　 存出保證金減少
4927,2015年01月01日至2015年09月30日,,                465667,                465667,,,                405614,                  5563,                   -154,                 70787,                   -785,                              0,                 -1215,                              0,                              0,                 10925,                490735,,,                -37711,                  9063,             -1097912,                -86030,               -314152,                -13279,             -1540021,,                  4382,                              0,                458209,                              0,                133434,                 -1098,                  4409,                599336,               -940685,               -449950,                 15717,                    785,                -61142,                -55947,               -100587,,               -946982,                  2540,                  2258,                   -145,                 16818,               -925511,,              5123821,             -5089782,                              0,                727325,               -209266,                -56967,               -306289,                              0,                188842,                255259,               -581997,                754492,                172495,                172495,,,,,,,,,,,,,,,,,,,,
4927,2015年01月01日至2015年06月30日,,                170948,                170948,,,                267869,                  3749,                    202,                 44771,                   -786,                              0,                    121,                              0,                              0,                  3959,                319885,,,                 -9451,                  9063,               -272030,                -49384,               -417541,                -24198,               -763541,,                   -550,                              0,                307116,                              0,                 58255,                 -3721,                  2776,                363876,               -399665,                -79780,                 91168,                    786,                -39123,                -23616,                 29215,,               -698801,                              0,                  2287,                    -71,                  4856,               -691729,,               -294834,,,                283745,               -133502,                -40369,,,               -184960,                374987,               -472487,                754492,                282005,                282005,                              0,                              0,                              0,,,,,,,,,,,,,,,,,
4927,2015年01月01日至2015年03月31日,,                 77629,                 77629,,,                133706,                  1872,                   -365,                 22553,                   -175,,                     79,                              0,,,                157670,,,                  1921,                  9063,                212601,                -24959,               -407148,                 -9732,               -218254,,                  3591,                              0,                248925,                              0,                 50654,                  2122,                  1966,                307258,                 89004,                246674,                324303,                    175,                -19348,                   -134,                304996,,               -265419,                              0,                  2026,                   -417,                -25368,               -289178,,               -376106,,,                172068,                -55998,                -16683,,,               -276719,                -23657,               -284558,                754492,                469934,                469934,                              0,                              0,,,,,,,,,,,,,,,,,,
4927,2014年度,,                463139,                463139,,,                479341,                  7500,                  8249,                102520,                 -1305,                   -514,                    677,                    854,                     13,                              0,,,,                  2211,                 -9063,               -418061,                -60321,               -166421,                 -9018,               -660633,,                 -2397,                   -964,                611068,                 -6179,                 73022,                 -3310,                  9647,                680887,                 20254,                617589,              1080728,                  1305,               -100523,                -36660,                945364,,             -1010774,                    171,                 -1071,                -14241,                -16919,               -994551,,                -79319,,                645973,                210020,               -419946,                -59714,               -179545,                529223,                645750,                 -9817,                586746,                167746,                754492,                754492,                     40,,                   -942,,                              0,                597335,                    514,                              0,                 48283,                              0,                              0,,,,,,,,,
4927,2014年01月01日至2014年09月30日,,                397040,                397040,,,                350352,                  5184,                  7060,                 79202,                   -618,                   -511,                    541,                    851,                     12,                              0,                442073,,,                  4132,                              0,               -579107,                -56322,               -211319,                -18477,               -861093,,                 -1442,                   -964,                642185,                 -5382,                122846,                 -3351,                  3987,                757879,               -103214,                338859,                735899,                    618,                -77256,                -36312,                622949,,               -823019,                    170,                  1129,                -14189,                -11623,               -847532,,                              0,                -47834,                645973,                126206,               -328722,                -36681,               -180487,                529223,                707678,                -24081,                459014,                167746,                626760,                626760,,,,,,,,,,,,,,,,,,,,
4927,2014年01月01日至2014年06月30日,,                221006,                221006,,,                224878,                  2850,                  5694,                 54216,                   -483,                   -511,                    431,                    849,                     12,                              0,                287936,,,                  4132,                              0,               -187105,                -37045,               -203789,                 -8415,               -432182,,                 -1140,                   -964,                530827,                 -4274,                 69688,                 -6088,                  2502,                590551,                158369,                446305,                667311,                    483,                -52911,                -15892,                598991,,               -615494,                    159,                  1145,                 -1848,                -12317,               -628355,,                306322,,,                 14322,                -96791,                -26479,,,                196432,                -56781,                110287,                167746,                278033,                278033,                     40,                              0,                   -942,,,,,,,,,,,,,,,,,
4927,2014年01月01日至2014年03月31日,,                117227,                117227,,,                105998,                  1188,                  1964,                 27623,                   -123,,                    361,                    849,,,                137860,,,                  4132,                              0,                -53637,                -23494,               -190772,                 -2436,               -266167,,                   -334,                   -964,                491466,                 -2254,                 54103,                  3279,                  1552,                546848,                280681,                418541,                535768,                    123,                -26086,                   -196,                509609,,               -345233,                    159,                   -280,                              0,                 -3169,               -348523,,                 25640,,,                 11098,                -36400,                 -6843,,,                 -6505,                -87191,                 67390,                167746,                235136,                235136,                     40,                              0,,,,,,,,,,,,,,,,,,
4927,2013年度,,                391139,                391139,,,                331787,                  3578,                   -987,                 56685,                 -1160,                              0,                  2436,                              0,                              0,                  1010,,,,                 -4132,                  7589,               -250678,               -128586,                482126,                 -3605,                103324,,                 -6888,                -10117,               -449754,                  6179,                  5708,                   -506,                  1277,               -454101,               -350777,                 42572,                433711,                  1160,                -57589,                -30798,                346484,,             -1993216,                    582,                   -453,                 -4268,                              0,             -1967299,,                858432,,                              0,                715397,               -135657,                -37739,               -278848,                              0,              1437513,                 76804,               -106498,                274244,                167746,                167746,                    610,,                   -734,,                              0,                393349,                              0,                              0,                              0,                 30056,                316662,,,,,,,,,
4927,2013年01月01日至2013年12月31日,,                391139,                391139,,,                331787,                  3578,                   -987,                 56685,                 -1160,,                  2436,,,                  1010,,,,                 -4132,                  7589,               -250678,               -128586,                482126,                 -3605,                103324,,                 -6888,                -10117,               -449754,                  6179,                  5708,                   -506,                  1277,               -454101,               -350777,                 42572,                433711,                  1160,                -57589,                -30798,                346484,,             -1993216,                    582,                   -453,                 -4268,                              0,             -1967299,,                858432,                              0,                              0,                715397,               -135657,                -37739,               -278848,,              1437513,                 76804,               -106498,                274244,                167746,                167746,                    610,,                   -734,,,                393349,,                              0,,                 30056,                316662,,,                              0,                              0,                              0,                              0,                              0,,
4927,2013年01月01日至2013年09月30日,,                319100,                319100,,,                245610,                  2606,                    638,                 38570,                   -683,                              0,                  2798,                              0,                              0,                  1024,,,,                              0,                    265,               -314929,               -122483,                228517,                 -6885,               -214865,,                              0,                 -8859,               -427706,                              0,                 54418,                    792,                  2791,               -378564,               -593429,               -299438,                 19662,                    683,                -34493,                -29702,                -43850,,             -1591411,                    195,                   -754,                 -4230,                 17855,             -1578345,,              1242474,,                              0,                381200,               -103991,                 -5912,               -278848,                              0,              1527974,                 54543,                -39678,                274244,                234566,                234566,                    650,,                   -734,,                              0,                293991,,                              0,,,                293785,                  3428,,,,,,,,
