證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得投資性不動產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 員工購買庫藏股,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存入保證金減少,　　 其他非流動負債增加,　　 停業單位稅前淨利（淨損）,　　 取得以成本衡量之金融資產,　　 預付投資款增加,　　 應付短期票券減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 存出保證金增加,　　 償還公司債,　　 短期借款增加,　　 處分子公司股權（未喪失控制力）,　　　　 呆帳費用提列（轉列收入）數
2365,2015年01月01日至2015年09月30日,,                121650,                121650,,,                 63392,                 18085,                 12151,                  9200,                 -9320,                 -5473,                              0,                 -4426,                 -3821,                -20039,                 10020,                 16474,                -17692,                    105,                 68656,,,                    793,                  4405,                263257,                 36128,                408709,                 36421,                  5842,                  8489,                764044,,                    -20,               -435699,                 95879,                104868,                 -1803,               -236775,                527269,                595925,                717575,                  9320,                  9291,                -52383,                683803,,               -134435,                158677,                              0,                -50656,                  4293,                  2530,                 -2950,               -228038,               -250579,,                 65500,               -179936,                              0,               -269443,                   -759,                              0,               -102508,                              0,                 -9313,                              0,               -496459,                -10417,                -73652,              1816488,              1742836,              1742836,,,,,,,,,,,,,,,,
2365,2015年01月01日至2015年06月30日,,                 75321,                 75321,,,                 42870,                 11102,                  4165,                  6321,                 -6976,,                              0,                  2084,,                -20513,                  3791,                  5985,                -13437,                    160,                 35552,,,                   -443,                  3023,                234343,                  5328,                220961,                 32796,                 18759,                  4528,                519295,,                     84,               -419361,                -33586,                 88530,                 -1063,               -365396,                153899,                189451,                264772,                  6976,                  5502,                -50830,                226420,,               -101930,                131765,                              0,                -46997,                              0,                  2068,                 -2950,                -10158,                -28202,,                140000,               -179936,                              0,                -12956,,,                 -9310,                              0,                 -6321,,                -69182,                  6288,                135324,              1816488,              1951812,              1951812,                   -659,                              0,,,,,,,,,,,,,,
2365,2015年01月01日至2015年03月31日,,                 28764,                 28764,,,                 21248,                  6210,                   -399,                  3118,                 -3567,,,                  1198,                     17,                -10438,                  6369,                 10628,                  9391,,                 43775,,,                   -590,                  2826,                244675,                 28006,                  5954,                 20944,                  5193,                 13758,                320766,,                              0,               -286395,                -68987,                 79379,                    -14,               -276017,                 44749,                 88524,                117288,                  3567,                  5502,                -14306,                112051,,                -54810,                 62410,,                -40140,                              0,                    576,,                 -7680,                -39644,,                 80000,,                              0,                 -6499,                 -1194,,                              0,,                 -3119,,               -110748,                 -1751,                -40092,              1816488,              1776396,              1776396,,,                              0,                              0,                              0,               -179936,,,,,,,,,,
2365,2014年度,,                166109,                166109,,,                 76192,                 38524,                 -8506,                 11415,                -17591,                 -3474,                  5319,                -14738,                -83433,                   -656,                 44491,                119660,                 24947,,,,,                  3702,                  5844,                311683,                -17227,                -84823,                -24057,                   -168,                 -6245,                188709,,                 -9262,               -107902,                -67732,                146122,,                -38665,                150044,                342194,                508303,                 17745,                 17158,                -43074,                500132,,               -220461,                284582,                 23276,               -491525,                249153,,               -505485,                -89269,               -754108,,               -386000,                 79936,                591000,               -106633,                  4086,                -57908,               -165645,                  9941,                -11413,                 -5250,                -47886,                -50031,               -351893,              2168381,              1816488,              1816488,,,                              0,                 -3000,,,,                192150,                    109,                              0,                              0,                 -1379,                              0,,,
2365,2014年01月01日至2014年09月30日,,                125012,                125012,,,                 57464,                 29869,                 -4180,                  7664,                -13475,                 -3598,                  5319,                -12788,                -83154,                  2276,                  8069,                101202,                 12427,                              0,                107095,,,                    997,                  9307,                165567,                -53171,                -15201,                 -6397,                -36730,                 -2558,                 61814,,                 -8172,                  7305,                 -5861,                 77602,                   -120,                 70754,                132568,                239663,                364675,                 13629,                 17949,                -31016,                365237,,               -190770,                261885,                 23276,               -490183,                247315,                 -1801,               -505485,                -24041,               -679804,,               -191000,                179932,                591000,               -100210,                    513,                -57908,               -109713,                  9941,                 -7631,                 -5250,                309674,                -18153,                -23046,              2168381,              2145335,              2145335,,,,,,,,,,,,,,,,
2365,2014年01月01日至2014年06月30日,,                 42365,                 42365,,,                 37481,                 20287,                 -1707,                  3217,                 -9449,,                  5319,                 -9240,,                 -2101,                   -964,                 52705,                 11523,                     98,                107169,,,                  1716,                 -1114,                291120,                 -2188,                -11163,                 17356,                -36138,                -14757,                244832,,                 -6766,                -98135,               -104359,                 30083,                     24,               -179153,                 65679,                172848,                215213,                  9495,                 13684,                -31007,                207385,,               -109595,                151569,                 23276,               -477914,                  1130,                    470,               -505485,                -17436,               -933985,,                -40000,                    -28,                591000,                 -7154,,,                -71558,                  9941,                 -3188,,                479806,                 -8115,               -254909,              2168381,              1913472,              1913472,                              0,                    793,,,,,,,,,,,,,,
2365,2014年01月01日至2014年03月31日,,                 46099,                 46099,,,                 19791,                  9630,                 -5461,                  1831,                 -4681,,,                  2298,                   -142,                 -1386,                    747,                  6164,                  5794,,                 34585,,,                  1595,                  8062,                147728,                 10505,                136093,                  3443,                 -8014,                  5796,                305208,,                 -4278,               -313813,               -106666,                 17117,                     -1,               -407641,               -102433,                -67848,                -21749,                  4681,                  3820,                 -6300,                -19548,,                -39222,                 67504,,                 -3598,                    184,                              0,,                 -6861,                 -6400,,               -390000,,                 41000,                 -3246,                    280,,                   -883,,                 -1557,,               -454406,                 -1139,               -481493,              2168381,              1686888,              1686888,,,                              0,                -19838,                 -4569,               -100000,,,,,,,,,,
2365,2013年度,,                 70162,                 50517,,,                 97191,                 48528,                  3999,                  4335,                -17165,                 -4632,                  6579,                    798,                  2758,                -13963,                 89743,                 75189,                 -9053,,,,,                 48593,                 -3586,                 -7047,                -31657,                171372,                  4653,                 -5138,                 -4821,                172369,,                  8270,                115566,                 14687,                 32119,,                179306,                351675,                635982,                686499,                 17168,                 12401,                -35323,                680745,,                -48374,                251630,                 32000,               -122757,                    495,,                              0,                -58101,                     92,,                420500,               -199858,                              0,               -207629,                              0,                -57350,                -54683,                 16416,                -10789,                  6188,               -211805,                  6006,                475038,              1693343,              2168381,              2168381,,,                -19645,                -53970,,,,                284307,                  8664,                 11274,                -12105,                              0,               -124600,,,
2365,2013年01月01日至2013年09月30日,,                127935,                123636,,,                 78961,                 34902,                  5428,                  2081,                -12087,,                    556,                  5545,                  3029,                -26226,                 79436,                 65158,                 -4064,,,,,                 48530,                 -2517,               -148644,                -31859,                 45309,                 -1974,                  4929,                 -8622,                -94848,,                 12117,                 69751,                -17417,                 58314,,                122820,                 27972,                260691,                384327,                 12094,                  2200,                -34658,                363963,,                -29143,                232930,                              0,                -72787,                    152,,                              0,                 -7115,                 77800,,                400500,                -99952,                              0,               -205713,                              0,                -57350,                -54683,                              0,                 -8235,                    642,               -149383,                    727,                293107,              1693343,              1986450,              1986450,,                      8,                 -4299,                -34132,,,,                232719,                     55,,                -12105,                              0,               -124600,,,
2365,2013年01月01日至2013年06月30日,,                103277,                100536,,,                 58552,                 23852,                  1919,                  4547,                 -7196,,                    384,                  7635,                  2153,                -23469,                 12705,                 53002,                 -4414,,,,,                 46545,                 -6733,               -309927,                -38929,                -37328,                    618,                  2921,                -22157,               -364990,,                 15306,                 76400,                -17509,                 20261,,                 94484,               -270506,               -140836,                -40300,                  7199,                  2200,                -26284,                -57185,,                -15981,                215863,                              0,                -13301,                    152,                              0,                              0,                -13086,                142246,,                179400,,                              0,               -203806,,,                -54683,                              0,                 -6002,                    642,               -258974,                 -1766,               -175679,              1693343,              1517664,              1517664,,                      7,                 -2741,                -19296,,                -49932,,                129670,                     26,,                -12105,,               -124600,,,
