證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 預付投資款增加,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 存出保證金減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 未實現外幣兌換損失（利益）,　　　　　 其他流動資產（增加）減少,　　 存入保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資,　　 處分不動產、廠房及設備,　 匯率變動對現金及約當現金之影響,　　 存出保證金增加,　　 按攤銷後成本衡量之金融資產到期還本,　　　　 金融資產重分類淨損失（利益）,　　 處分無活絡市場之債券投資,　　　　 呆帳費用提列（轉列收入）數,　　　　 其他項目,　　 取得持有至到期日金融資產,　　 取得無形資產,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
1435,2015年01月01日至2015年09月30日,,                    632,                    632,,,                  5263,                    182,                 10712,                     60,                 -1987,                 -4854,                  2872,                 12248,,,                   -425,                     61,                     18,                     61,                   -595,                   -880,,                    106,                     10,                    -12,                     71,                    175,                   -705,                 11543,                 12175,                  1987,                  4854,                    -60,                     33,                 18989,,                -99927,                 78323,               -108105,                              0,                              0,                  1663,                              0,                     64,               -127982,,                    248,                    248,               -108745,                233566,                124821,                124821,,,,,,,,,,,,,,,,,,,,,
1435,2015年01月01日至2015年06月30日,,                     38,                     38,,,                  3487,                    122,                   -476,                     40,                 -1337,                   -323,                  2568,                  4081,,,                    -57,                   -169,                 -3712,                     52,                   -486,                 -4372,,                    597,                    -31,                 -1615,                      5,                 -1044,                 -5416,                 -1335,                 -1297,                  1337,                    323,                    -40,                     99,                    422,,                -81959,                 67891,                -11705,,,                              0,                              0,                     45,                -25728,,                    248,                    248,                -25058,                233566,                208508,                208508,,,,,,,,,,,,,,,,,,,,,
1435,2015年01月01日至2015年03月31日,,                    723,                    723,,,                  1735,                     61,                 -1068,                     19,                   -664,                              0,                  1730,                  2179,,,                   -714,                   -299,                     85,                     22,                 -1050,                 -1956,,                    114,                    -31,                  1358,                    676,                  2117,                    161,                  2340,                  3063,                    664,                              0,                    -19,                    -68,                  3640,,                -11723,                 10049,,,,,                              0,                     45,                 -1629,,,                    200,                  2211,                233566,                235777,                235777,                    366,                              0,                    200,,,,,,,,,,,,,,,,,,
1435,2014年度,,                 -1655,                 -1655,,,                  6267,                    242,                 -1189,                     77,                 -2693,                   -696,                    116,,,,                    160,                    243,                    234,                    -76,                    154,                    715,,                   -103,                     -9,                    -96,                     63,                   -145,                    570,                  2055,                    400,                  2693,                    696,                    -77,                    -68,                  3644,,                -29692,                 19911,,                 -1898,,                 10859,                 -7919,                     19,                -13576,,                    366,                    366,                 -9566,                243132,                233566,                233566,,,,,                   -639,                  1485,                 -5495,                    639,                              0,,,,,,,,,,,,
1435,2014年01月01日至2014年09月30日,,                    985,                    985,,,                  4623,                    182,                   -565,                     57,                 -1651,                   -910,                              0,                  1736,,,                    160,                    190,                    269,                    -88,                   -248,                    283,,                    -80,                     26,                   -971,                    327,                   -698,                   -415,                  1321,                  2306,                  1651,                    910,                    -57,                              0,                  4810,,                -21569,                 11663,                              0,                 -1897,                 -4000,                 10858,                 -3503,                     19,                 -8429,,                    105,                    105,                 -3514,                243132,                239618,                239618,,,,,,,,,,,,,,,,,,,,,
1435,2014年01月01日至2014年06月30日,,                     12,                     12,,,                  3091,                    121,                   -838,                     38,                 -1085,                   -139,                              0,                  1188,,,                    160,                    305,                    279,                   -142,                    445,                  1047,,                    -94,                    -14,                 -1102,                    440,                   -770,                    277,                  1465,                  1477,                  1085,                    139,                    -38,                     56,                  2719,,                -11459,                 11653,                              0,,,                  3663,                 -3133,                              0,                    724,,                    105,                    105,                  3548,                243132,                246680,                246680,,,,,,,,,,,,,,,,,,,,,
1435,2014年01月01日至2014年03月31日,,                      3,                      3,,,                  1545,                     60,                   -125,                     19,                   -478,                    -73,                              0,                    948,,,                   -128,                    340,                    279,                   -148,                              0,                  2287,,                    -46,                     -2,                   -592,                    442,                   -198,                  2089,                  3037,                  3040,                    478,                     73,                    -19,                    -53,                  3519,,                              0,                              0,,,,,                 -3133,                              0,                 -3133,,,                              0,                    386,                243132,                243518,                243518,                              0,                  1944,                              0,,,,,,,,,,,,,,,,,,
1435,2013年度,,                -11247,                -11247,,,                  5643,                    263,                   -437,                    131,                 -2280,                 -3715,                  3962,,,,                    128,                    701,                    195,                 -1352,                -25885,                -26213,,                   -891,                   -445,                   -172,                   -132,                 -1640,                -27853,                -24286,                -35533,                  2280,                  3715,                   -131,                   -108,                -29777,,                -10201,                  4064,,                              0,,                 15665,                 -2554,                     19,                 18293,,                 -1233,                 -1233,                -12717,                255849,                243132,                243132,,,,,                              0,                  3567,                 11300,                              0,                              0,,,,,,,,,,,,
1435,2013年01月01日至2013年12月31日,,                -11247,                -11247,,,                  5643,                    263,                   -437,                    131,                 -2280,                 -3715,                  3962,,,,                    128,                    701,                    195,                 -1352,                -25885,                -26213,,                   -891,                   -445,                   -172,                   -132,                 -1640,                -27853,                -24286,                -35533,                  2280,                  3715,                   -131,                   -108,                -29777,,                -10201,                  4064,,,,                 15665,,                     19,                 18293,,                 -1233,                 -1233,                -12717,                255849,                243132,                243132,,                              0,,,,                  3567,,,,,,,                 11300,                              0,                              0,                 -2554,                              0,,,,
1435,2013年01月01日至2013年09月30日,,                 -2471,                 -2471,,,                  4207,                    202,                    480,                     98,                 -1595,                              0,,,,,                    272,                    640,                    231,                     69,                 -4059,                 -2828,,                   -878,                   -459,                 -1493,                    -34,                 -2864,                 -5692,                 -2300,                 -4771,                  1595,                              0,                    -98,                    -46,                 -3320,,                 -7760,                  4064,,                              0,                              0,                 12332,                              0,,                  5736,,                 -1516,                 -1516,                    900,                255849,                256749,                256749,,                     19,,,,                  3392,                 -2900,,,                              0,,,,,,,,,,,
1435,2013年01月01日至2013年06月30日,,                 -2933,                 -2933,,,                  2810,                    141,                    417,                     65,                   -991,                              0,,,,,                    278,                   -196,                     98,                     38,                 -1987,                 -1750,,                   -687,                   -375,                 -1184,                     13,                 -2233,                 -3983,                 -1541,                 -4474,                    991,                              0,                    -65,                    -76,                 -3624,,                              0,                  4064,,,,                  9667,                 -6503,,                  1428,,                    -50,                    -50,                 -2246,                255849,                253603,                253603,,                     19,,,,                  2442,,,,,                 -5800,,,,,,,,,,
1435,2013年01月01日至2013年03月31日,,                 -1219,                 -1219,,,                  1405,                     81,                   -122,                     33,                   -354,                              0,,,,,                    -40,                     85,                    110,                      6,                 -1035,                   -896,,                   -157,                   -435,                 -1563,                     14,                 -2141,                 -3037,                 -2058,                 -3277,                    354,                              0,                    -33,                    -44,                 -3000,,,                  4064,,,,                  6667,                              0,,                 40031,,                    -50,                    -50,                 36981,                255849,                292830,                292830,,                    -22,,,,                    979,                 -2900,,,,,                    -64,                 32200,,,,,,,,
1435,2012年01月01日至2012年12月31日,,                  1028,                  1028,,,                  5752,                     66,                 -1126,                    120,                 -1863,                -49071,                  2000,,,,                     61,                    785,                    334,                   -266,                    100,                  1028,,                    832,                    182,                  1479,                    -13,                  2480,                  3508,                -12061,                -11033,                  1863,                 49071,                   -120,                    -90,                 39691,,                 -6124,                  5946,,,,                 12088,,                              0,                 10632,,                  2075,                  2075,                 52398,                203451,                255849,                255849,,                     14,,,,                -15569,,,,,,,                              0,                  1984,                 26569,                   -324,                   -954,,,,
1435,2012年01月01日至2012年09月30日,,                  9722,                  9722,,,                  4342,                     44,                   -260,                     87,                 -1170,,,,,,                     61,                   -806,                    495,                   -326,                              0,                   -562,,                  1195,                    157,                   -191,                   -559,                    602,                     40,                 31636,                 41358,                  1170,,                    -87,                    -39,                 42402,,                 -6124,                  2763,,,,                  8665,,,                  5018,,                  2163,                  2163,                 49583,                203451,                253034,                253034,,                     14,,,,                 31596,,,                              0,,                              0,,,                  1984,                 26569,                   -181,                   -105,,,,
1435,2012年01月01日至2012年06月30日,,                 13728,                 13728,,,                  2946,                     24,                     33,                     59,                   -717,,,,,,                     61,                    753,                    790,                   -321,                   -724,                    559,,                    243,                     -4,                     52,                    -45,                    246,                    805,                 31703,                 45431,                    717,,                    -59,                      6,                 46095,,                 -6124,                  2763,,,,                  2665,,,                   -800,,                              0,                              0,                 45295,                203451,                248746,                248746,,                              0,,,,                 30898,,,                              0,,                              0,,,                  1984,                 26569,,                   -104,,,,
1435,2012年01月01日至2012年03月31日,,                   -943,                   -943,,,                  1513,                     11,                 -1615,,,,,,,,                    -25,                     66,                  1564,                   -278,                   -384,                    943,,                    512,                     45,                   -354,                    -37,                    166,                  1109,                  1018,                     75,,,,                     28,                    103,,                    -91,                  2759,,,,                              0,,,                  2668,,                              0,                              0,                  2771,                203451,                206222,                206222,,                              0,,,,                    -91,                              0,,,,,,                              0,,,,,,,                    103,                              0
