證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 應付公司債匯率影響數,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現銷貨利益（損失）,　　　　 已實現銷貨損失（利益）,　　　　 投資性不動產公允價值調整損失(利益),　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 其他借款增加,　　 償還特別股負債,　　 其他非流動負債增加,　　 其他非流動負債減少,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損迴轉利益,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 取得備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　 處分待出售非流動資產,　　 處分不動產、廠房及設備,　　 短期借款增加,　　 發行公司債,　　 發行特別股負債,　　 發放現金股利,　　 處分採用權益法之投資,　　 其他非流動資產減少,　　 其他投資活動,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得待出售非流動資產
1314,2015年01月01日至2015年09月30日,,                175018,                175018,,,              1305761,                  9542,               -638863,                141628,               -134287,                163020,               -613651,                  2655,                 -5609,                146768,                    735,                    521,                   -931,                              0,                 19264,                396553,,,               -447659,                612693,                 30645,                -77159,                241470,                398230,               -152530,                605690,,               -299141,                  5336,                 40322,               -269809,                 33469,               -489823,                115867,                512420,                687438,                165910,                -51609,                -18456,                783283,,               -403760,                584981,                    500,               -286000,               -627111,               -259298,                544235,               -446453,,             -1095282,              1660000,             -1965000,                              0,               -156509,                              0,                 -4415,                  1823,             -1559383,                 13341,             -1209212,             10412190,              9202978,              9202978,,,,,,,,,,,,,,,,,,,,
1314,2015年01月01日至2015年06月30日,,                549206,                549206,,,                867847,                  3833,               -414070,                 96466,                -92823,               -102300,               -394846,                  2655,                 -5609,                              0,                              0,                    539,                   -931,                              0,                 12591,                -99175,,,                 51668,                190779,                 18062,                -28523,                283134,                330416,               -163508,                682028,,                384325,                  9315,               -157026,               -139058,                -27072,                 70484,                752512,                653337,              1202543,                112747,                -38471,                -18456,              1258363,,               -403760,                584981,                    500,               -286000,               -336510,                -52037,                544235,                 51409,,             -1764933,                              0,               -200000,                              0,               -156509,,                -14227,                  1823,             -2133846,               -102150,               -926224,             10412190,              9485966,              9485966,                -11527,                -61000,,,,,,,,,,,,,,,,,,
1314,2015年01月01日至2015年03月31日,,                192950,                192950,,,                433159,                  1907,               -128446,                 51297,                -47415,                -43560,               -208802,                    353,                 -1762,                  2300,                              0,                    546,                   -931,,                  6352,                 20391,,,                 51669,               -378690,                 41904,                -74411,                138965,                444623,               -134137,                 89923,,                -26822,                 13215,               -220886,                -82208,                119120,               -197581,               -107658,                -87267,                105683,                 59869,                -21512,,                144040,,               -403760,                177431,,,               -162336,                  1595,                287539,                -99531,,             -1082579,                              0,                              0,,,                              0,                 -2478,                              0,             -1085057,                -17666,             -1058214,             10412190,              9353976,              9353976,,                -44607,,,,,,,,,,,,,,,,,,
1314,2014年度,,                352591,                352591,,,              2063849,                  7521,                506814,                 83211,                -60826,                 47916,               -561268,                  5088,                -61523,,              1268992,                   -931,,             -5172872,              1357004,,,,                505171,                -82085,                 27124,                -54220,                484249,             -1032043,               -393603,               -545407,,               -494757,                -11946,               -362885,               -163504,                -58309,             -1091401,             -1636808,             -2153833,             -1801242,                 64608,                -79750,                -34138,             -1850522,,               -178234,                 22104,,                -30000,             -1415905,                   -693,                408463,             -1194265,,               -821865,              1300000,,                399213,,                204091,                              0,                 26278,              5235621,                 34811,              2225645,              8186545,             10412190,             10412190,,                              0,,               -517025,                              0,                              0,                              0,                              0,                              0,              4127904,                              0,                              0,,,,,,,,
1314,2014年01月01日至2014年09月30日,,              1399782,              1399782,,,              1478761,                  7556,                              0,                 56479,                -41115,                              0,               -417980,                  4520,                              0,                  2406,                 48722,                              0,                   -474,             -2333603,                              0,             -1194728,,,                              0,               -649090,                 25516,               -104746,                 30261,               -861940,               -376537,             -1936536,,                376538,                  1582,                -26098,               -486794,                 29808,               -104964,             -2041500,             -3236228,             -1836446,                 41632,                -58229,                -33093,             -1886136,,               -273913,                              0,                              0,                              0,             -1068065,               -246071,                422826,             -1165223,,               -771202,              1800000,                              0,                299386,                              0,                 88179,                              0,                 26278,              1442641,                -14280,             -1622998,              8186545,              6563547,              6563547,,,,,,,,,,,,,,,,,,,,
1314,2014年01月01日至2014年06月30日,,              1645308,              1645308,,,                981417,                  5051,                              0,                 35836,                -28978,                              0,               -277439,                  3097,                              0,                 94858,                 28271,                              0,                   -474,             -2333603,                              0,             -1491964,,,                              0,               -714114,                 25477,                  2055,               -340450,               -290560,               -124935,             -1442527,,               -548280,                    485,                 86304,               -373330,                 39166,               -795655,             -2238182,             -3730146,             -2084838,                 33712,                -37987,                -27176,             -2116289,,               -192649,                              0,                              0,                              0,               -589393,               -237001,                406015,               -613028,,             -1176424,              1000000,                              0,                299386,                              0,,                 -5429,                 26278,                143811,                -23454,             -2608960,              8186545,              5577585,              5577585,                              0,                              0,,,,,,,,,,,,,,,,,,
1314,2014年01月01日至2014年03月31日,,               -193925,               -193925,,,                488879,                  2540,                              0,                 17133,                -13258,                              0,               -145338,                     71,                              0,                110815,                 16103,                              0,                   -474,,                              0,                476471,,,                              0,               -448510,                 15552,                -14613,               -360787,               -519665,                -28494,             -1356517,,               -681184,                 -4829,               -115539,               -191562,                 32905,               -960209,             -2316726,             -1840255,             -2034180,                 18141,                -14867,,             -2030906,,               -160496,                              0,,,               -271856,               -242369,                173812,               -500909,,               -175758,                720000,               -220000,,,                 75331,                              0,                 26278,                425851,                 -5045,             -2111009,              8186545,              6075536,              6075536,,                              0,,,,,,,,,,,,,,,,,,
1314,2013年度,,              5319661,              5319661,,,              1935542,                  9866,                -46086,                 14261,                -33902,                              0,               -367613,                 14426,                     -3,,                 23453,                   -474,,             -6705316,                              0,,,,               -424451,                507101,                 17579,                 -4379,                140984,                516096,              1169238,              1922168,,               -595581,                 -4931,               -323269,             -1212275,                 56174,             -2079882,               -157714,             -5381292,                -61631,                 30157,                -14996,                -88998,               -135468,,                -10968,                              0,,               -599995,             -1268853,                 -7527,                710711,               -647035,,                              0,                400000,,                599900,,                              0,                -15591,                202411,              3579071,                 77185,              2873753,              5312792,              8186545,              8186545,,                -67732,,             -5223578,               -241200,                  2510,                766565,                  1722,              3386798,                              0,                165548,             -1159995,,,,,,,,
1314,2013年01月01日至2013年12月31日,,             -1385980,             -1385980,,,              1935867,                  9866,,                 14261,                -33902,,               -367613,                 14426,                     -3,                -46086,                 23453,,,,,,,,               -424451,                507101,                 17579,                 -4379,                140510,                516096,              1169238,              1921694,,               -595581,                 -4931,               -323269,             -1212275,                 56174,             -2079882,               -158188,              1324349,                -61631,                 30157,                -14996,                -88998,               -135468,,                -10968,,                              0,               -599995,             -1268853,,                710711,               -647035,,,                400000,                              0,                599900,,                -15591,,                202411,              3579071,                 77185,              2873753,              5312792,              8186545,              8186545,,                -67732,,              1482537,               -241200,                  2510,                766565,                  1722,              3386798,,                165548,             -1159995,                              0,                 -7527,                              0,,,,,
1314,2013年01月01日至2013年09月30日,,             -1144397,             -1144397,,,              1449016,                  7287,,                  5372,                -23800,,               -272757,                  7100,,                              0,                              0,,,,,,,,               -355329,                159917,                 62802,                758303,                 92027,                -62680,              1224540,              1879580,,               -882853,                -10381,             -1268247,               -984606,                -70949,             -3217036,             -1337456,               -194256,             -1338653,                 18917,                 -4592,                -45713,             -1370041,,                              0,,,               -599995,               -982143,                 -6896,                707831,             -1051168,,                              0,                220000,,                              0,,                150745,,                202411,              2284747,                 -3781,               -140243,              5312792,              5172549,              5172549,                 -5882,                -23136,,              1143200,               -171655,,,                  1690,              1711591,,,,,,,,,,,
