證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動資產減少,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 其他金融資產減少,　　 短期借款減少,　　 員工執行認股權,　　 庫藏股票買回成本,　　 非控制權益變動,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 其他金融資產增加,　　 短期借款增加
3130,2015年01月01日至2015年09月30日,,                309565,                309565,,,                 45128,                 10869,                    459,                              0,                              0,                -11054,                  7839,                     12,                    119,                 53372,,,                 -3897,                -33610,                    623,                   -879,                -37763,,                   -239,                     34,                -56569,                 52792,                -12299,                 -1301,                -17582,                -55345,                 -1973,                307592,                 11287,                              0,                -10625,                308254,,                -74369,                    170,                              0,                    119,                 -9009,                   -104,                -83193,,               -231782,               -231782,                  1375,                 -5346,              1716860,              1711514,              1711514,,,,,,,,,,,,,,
3130,2015年01月01日至2015年06月30日,,                205366,                205366,,,                 28983,                  7712,                    509,                              0,                              0,                 -7338,                  5302,                     16,                    119,                 35303,,,                 -3025,                -23123,                 -1614,                 -2207,                -29969,,                   -223,                     66,                -79693,                 48884,                   -525,                   -909,                -32400,                -62369,                -27066,                178300,                  7352,                              0,                 -4520,                181132,,                -47245,,,                    176,                 -4817,,                -51955,,,,                 -1070,                128107,              1716860,              1844967,              1844967,                    -69,,,,,,,,,,,,,
3130,2014年度,,                370177,                370177,,,                 48781,                 15225,                    667,                   -154,                      6,                -11488,                  4076,                   -143,,,,,                   -296,                 -3714,                  4721,                 -1403,                   -692,,                     28,                  1135,                 94351,                 36670,                     38,,                130838,                130146,                179832,                550009,                 11121,                     -6,                -49444,                511680,,                -44880,                  1168,,                    -47,                -10465,,                -23314,,               -197991,               -197991,                 -6064,                284311,              1432549,              1716860,              1716860,                    555,,                 -7284,                 49686,                 -1384,                 30355,                              0,                              0,                              0,                              0,                              0,,,
3130,2014年01月01日至2014年09月30日,,                292094,                292094,,,                 35623,                 11204,                  1485,                   -123,                      6,                 -8081,                  1425,                   -162,                              0,                 41377,,,                 -1758,                -37917,                 -2152,                 -5413,                -47240,,                   -168,                   -411,                  3396,                 59894,                -12486,                 -1201,                 49024,                  1784,                 43161,                335255,                  7987,                     -6,                -49063,                294173,,                -25285,                  1134,                   -277,                              0,                 -8856,                   -906,                -34190,,               -197991,               -197991,                    -55,                 61937,              1432549,              1494486,              1494486,,,,,,,,,,,,,,
3130,2014年01月01日至2014年06月30日,,                167751,                167751,,,                 23187,                  7164,                    692,                    -82,                      6,                 -4987,                              0,                      5,                              0,                 25985,,,                 -1423,                -11488,                 -4329,                 -1417,                -18657,,                   -193,                    453,                -20037,                 45797,                 -3841,                   -806,                 21373,                  2716,                 28701,                196452,                  4739,                     -6,                -25668,                175517,,                -14177,,,                  2217,                 -6471,,                -17693,,,,                 -1325,                156499,              1432549,              1589048,              1589048,                    738,,,,,,,,,,,,,
3130,2014年01月01日至2014年03月31日,,                 65309,                 65309,,,                 11029,                  3388,                    627,                    -41,                      6,                 -2324,,                      5,,,,,                 -1269,                 10619,                 -3543,                   -637,                  5170,,                     18,                    158,                -80368,                 29542,                -16318,,                -67361,                -62191,                -49501,                 15808,                  2019,                     -6,                 -3912,                 13909,,                 -1065,                              0,,                  2208,                   -768,,                   -103,,,                              0,                   -359,                 13447,              1432549,              1445996,              1445996,                   -478,,,                 12690,                   -393,,,,,                              0,,,,
3130,2013年度,,                292451,                292451,,,                 46010,                 14465,                    108,                   -188,                    126,                 -8455,                              0,                    225,,,,,                  3644,                -36173,                 -1006,                  4074,                -29461,,                    201,                 -2974,                 44307,                 11980,                 17804,,                 71727,                 42266,                 94557,                387008,                  8348,                   -126,                -31159,                364071,,                -34044,                     33,,                  2950,                -10433,,                -34532,,               -147709,               -127633,                  2319,                204225,              1228324,              1432549,              1432549,                    862,,                              0,                 52291,                    409,                              0,                  6100,                 -5861,                 45904,                -18138,                 -1829,,,
3130,2013年01月01日至2013年12月31日,,                292451,                292451,,,                 46010,                 14465,                    108,                   -188,                    126,                 -8455,,                    225,,,,,                  3644,                -36173,                 -1006,                  4074,                -29461,,                    201,                 -2974,                 44307,                 11980,                 17804,,                 71727,                 42266,                 94557,                387008,                  8348,                   -126,                -31159,                364071,,                -34044,                     33,,                  2950,                -10433,,                -34532,,               -147709,               -127633,                  2319,                204225,              1228324,              1432549,              1432549,                    862,,,                 52291,                    409,,,                 -5861,                 45904,                -18138,                 -1829,                              0,                  6100,
3130,2013年01月01日至2013年09月30日,,                215750,                215750,,,                 34675,                 11121,                    557,                   -144,                    104,                 -6170,                              0,                    236,,,,,                    974,                -43028,                 -3073,                 -3213,                -48340,,                     -4,                 -1396,                 10141,                 19293,                   -224,,                 26530,                -21810,                 18569,                234319,                  6245,                   -104,                -30920,                209540,,                -32757,                     21,,                    285,                 -9807,,                -39547,,               -147709,               -159962,                  1360,                 11391,              1228324,              1239715,              1239715,                  2711,,,                 40379,                 -1280,,,,                  5885,                -18138,,,,
3130,2013年01月01日至2013年06月30日,,                129605,                129605,,,                 23272,                  7710,                   -316,                    -96,                     69,                 -4020,,                    236,,,,,                 -1317,                -25962,                 -3843,                 -1945,                -33067,,                      4,                    469,                -12112,                 20076,                  9331,,                 16919,                -16148,                 10707,                140312,                  4172,                    -69,                -13215,                131200,,                -27734,                     21,,                 -1210,                 -5084,,                -35064,,,                -18138,                  1512,                 79510,              1228324,              1307834,              1307834,                 -1057,,,                 26855,                   -849,,,,,                -18138,,,,                              0
3130,2013年01月01日至2013年03月31日,,                 51084,                 51084,,,                 11616,                  4119,                   -673,                    -49,                     34,                 -1904,,                    236,,,,,                   -195,                  3134,                 -2396,                    -89,                    454,,                     26,                    244,                -61096,                  9056,                              0,,                -52190,                -51736,                -38357,                 12727,                  1780,                    -34,                   -207,                 14266,,                -14999,                     21,,                    258,                 -1441,,                -17402,,,                -10601,                    980,                -12757,              1228324,              1215567,              1215567,                 -1241,,,                 13379,                   -420,,,,,                -10601,,,,
3130,2012年01月01日至2012年12月31日,,                231614,                231614,,,                 38290,                 15896,                   -723,                    -13,                    250,                 -8664,,                  1172,,,,,                 10110,                 56583,                    676,                   -346,                 67023,,                   -138,                 -1671,                -60196,                 23727,                -10260,,                -50615,                 16408,                 62616,                294230,                  8674,                   -250,                -37434,                265220,,                -52545,                    255,,                  1556,                 -9656,,                -76080,,               -204080,               -315923,                 -1045,               -127828,              1356152,              1228324,              1228324,                    410,,,                 46208,                 -2077,,,                 -9331,                              0,               -102512,                              0,                -30000,                 13900,
3130,2012年01月01日至2012年09月30日,,                160462,                160462,,,                 27548,                 11765,                    108,                              0,                    250,                 -6601,,                  1165,,,,,                  8560,                  7766,                  1426,                 -8945,                  8807,,                    913,                 -2443,                -46908,                 27208,                -14816,,                -37288,                -28481,                  5754,                166216,                  6740,                   -250,                -32578,                140128,,                -47068,                    255,,                  1639,                 -7878,,                -32134,,               -204080,               -219272,                   -514,               -111792,              1356152,              1244360,              1244360,                  1046,,,                 34235,                 -1242,,                 19872,                -15192,                              0,                              0,,,,
