證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 預付設備款增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 員工購買庫藏股,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 處分採用權益法之投資損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 短期借款減少,　　 償還公司債,　　 償還長期借款,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 短期借款增加,　　 應付款項增加,　　 取得採用權益法之投資,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
3653,2015年01月01日至2015年09月30日,,                261389,                261389,,,                227273,                  3293,                  2167,                    305,                 -8543,                              0,                              0,                    937,                 -1282,                 26635,                -32717,                  1240,                219308,,,                 -1260,                 24060,                  2859,                -83684,                -17892,                -75917,,                  3359,                -28606,                -27864,                 -2150,                   -109,                -55370,               -131287,                 88021,                349410,                   -305,                -71490,                277615,,               -343000,                605305,                -35015,                              0,                -34263,                      8,                 -1426,                              0,                   -229,                   -350,                -37615,                  8845,                              0,                162260,,                              0,                   -601,               -404032,                -33975,                              0,               -438608,                 -2466,                 -1199,                987868,                986669,                986669,,,,,,,,,,,,,,,,
3653,2015年01月01日至2015年06月30日,,                123476,                123476,,,                152612,                  2237,                 10066,,                 -6209,,                              0,                    341,                 -1140,                 27477,                  2186,                    826,                188396,,,                   -773,                 21158,                 -1596,               -127815,                  8256,               -100770,,                  3366,                 15453,                -17729,                   -547,                   -109,                    434,               -100336,                 88060,                211536,,                -41073,                170463,,               -195000,                288163,                -11558,                              0,                -16281,                      8,                 -1185,                              0,                   -152,                              0,                -29506,                  4769,,                 39258,,                              0,                   -415,,,                              0,                   -415,                -11352,                197954,                987868,              1185822,              1185822,,,,,,,,,,,,,,,,
3653,2015年01月01日至2015年03月31日,,                 52890,                 52890,,,                 76807,                  1143,                  4294,,                 -2928,,                              0,                    148,                   -244,                  8328,                  2644,                    417,                 90609,,,                   -582,                 92536,                    730,                -53602,                  7354,                 46436,,                    267,                 17551,                -36401,                   -969,                   -109,                -19661,                 26775,                117384,                170274,,                 -4848,                165426,,                -35000,                129244,                -12366,                              0,                -14935,                              0,,                    381,                              0,,                -17012,                  1847,,                 52159,,                              0,                   -410,,,                              0,                   -410,                 -6887,                210288,                987868,              1198156,              1198156,,,,,,,,,,,,,,,,
3653,2014年度,,                472828,                472828,,,                298506,                  5114,                   -186,                              0,                -11078,                   -350,                 14183,                    211,                   -410,                 20110,                 23954,                  1547,,,,                  1510,                 -1547,                    593,               -114571,                 -3317,               -117332,,                      3,                -87851,                 17455,                  2262,,                -67244,               -184576,                160063,                632891,                              0,                -74443,                558448,,               -503060,                431092,,,                -79037,                  2448,                              0,                    622,                 -3220,                   -600,               -127897,                 12650,                    350,               -159438,,                    778,                              0,               -287075,                              0,                 43016,               -243281,                 24311,                180040,                807828,                987868,                987868,,                 -6962,                              0,                344639,                              0,                    887,                              0,                107214,                              0,                              0,                              0,,,,,
3653,2014年01月01日至2014年09月30日,,                380684,                380684,,,                223168,                  3855,                  3711,                              0,                 -8434,                   -350,                 11347,                    168,                   -568,                 23310,                  9756,                  1194,                267157,,,                    683,                 27714,                 -6597,               -146177,                 -3230,               -127607,,                    285,                    987,                 -7274,                    269,                    661,                 -5072,               -132679,                134478,                515162,                              0,                -67058,                448104,,               -193060,                241012,                              0,                 45183,                -39969,                    209,                              0,                  2430,                 -2940,                   -600,               -115732,                 11285,                    350,                -51832,,                  1050,                              0,               -287075,                              0,                 43016,               -243009,                 -4032,                149231,                807828,                957059,                957059,,,,,,,,,,,,,,,,
3653,2014年01月01日至2014年06月30日,,                243351,                243351,,,                149116,                  2581,                  1158,,                 -5599,,                  7337,                    124,                  2449,                 14348,                 -1390,                    799,                170923,,,                  1553,                 21111,                 -9802,                -95511,                 -5132,                -87781,,                   -570,                 -4097,                -15126,                  8058,                    451,                -11284,                -99065,                 71858,                315209,,                -43011,                272198,,               -113061,                 10811,                              0,                112605,                -16322,                    151,                              0,                  2136,                 -1811,                   -600,                -63259,                  6803,,                -62547,,                     40,                              0,,,                 43016,                 43056,                -14236,                238471,                807828,              1046299,              1046299,,,,,,,,,,,,,,,,
3653,2014年01月01日至2014年03月31日,,                 92119,                 92119,,,                 74458,                  1495,                    257,,                 -2498,,                  3553,                     58,                              0,                 14325,                 10697,                    402,                102747,,,                  1173,                 54566,                -10009,                 -2643,                   -138,                 42949,,                   -285,                -31371,                -50414,                  8255,                    211,                -73604,                -30655,                 72092,                164211,,                   -250,                163961,,                 -3061,                              0,                              0,                131025,                -18793,                     28,,                    678,                 -1439,,                -34567,                  4019,,                 77890,,                    203,                              0,,,                 43016,                 43219,                  5133,                290203,                807828,              1098031,              1098031,,,,,,,,,,,,,,,,
3653,2013年度,,                341269,                341269,,,                265871,                  4842,                  2157,                    321,                -10711,                   -491,                  6201,                    662,                              0,                 20824,                  1904,                  1556,,,,                  1536,               -301379,                  5902,                -70675,                  4539,               -359514,,                    760,                 99696,                 22004,                 -1380,,                121514,               -238000,                 61181,                402450,                   -270,                -32750,                369430,,                -56850,                 10049,,,               -103976,                  4069,                   -511,                              0,                 -2326,                              0,                -87618,                  8198,                    491,               -409349,,                              0,                   -158,               -212648,                -30443,                              0,               -442083,                 36229,               -445773,              1253601,                807828,                807828,,                              0,                  6045,                299181,                    563,                    434,               -180875,                              0,                 -1236,               -113400,                -84198,,,,,
3653,2013年01月01日至2013年12月31日,,                341269,                341269,,,                265871,                  4842,                  2157,                    321,                -10711,                   -491,                  6201,                    662,                              0,                 20824,                  1904,                  1556,,,,                  1536,               -301379,                  5902,                -70675,                  4539,               -359514,,                    760,                 99696,                 22004,                 -1380,,                121514,               -238000,                 61181,                402450,                   -270,                -32750,                369430,,                -56850,                 10049,,,               -103976,                  4069,,                   -511,                 -2326,,                -87618,                  8198,                    491,               -409349,,                              0,                   -158,               -212648,                -30443,,               -442083,                 36229,               -445773,              1253601,                807828,                807828,,,                  6045,                299181,                    563,                    434,               -180875,                              0,                 -1236,               -113400,                -84198,                              0,,,                              0,
3653,2013年01月01日至2013年09月30日,,                199548,                199548,,,                204517,                  3712,                    600,                    319,                 -8549,                   -491,                  2162,                   -171,                              0,                 25865,                 -4609,                  1164,,,,                 -2443,               -244343,                  3019,                -53919,                 -5881,               -303004,,                    950,                 74907,                -13388,                -10818,,                 51977,               -251027,                  2380,                201928,                   -268,                -31811,                169849,,                -56850,                 10049,,,                -48158,                    476,,                    315,                 -1806,                              0,                -63870,                  7539,                    491,               -329773,,,                    -68,               -212648,                -30443,                              0,               -436434,                 18792,               -577566,              1253601,                676035,                676035,,,                  6045,                253407,                    563,                    326,               -177959,                              0,,               -113400,                -84198,                 22843,                  4323,,,
