證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 預付設備款減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 存入保證金增加,　　 存入保證金減少,　　 取得以成本衡量之金融資產
1452,2015年度,,                415677,                415677,,,                 40954,                     26,                   -578,                 22411,                     17,                 -9945,                 -8736,                -79193,                   -151,                   -514,                    348,                -35361,,,                -60683,                 24049,                 -2951,                  3419,                -38232,                   -365,                 11959,                    128,                 74262,                 11586,,                  1135,                  3721,                 36561,                    -51,                   -287,                  5269,                 -6171,                 40177,                 51763,                 16402,                432079,                 10342,                 16230,                    -17,                -40516,                418118,,                              0,                  5304,               -118995,                    556,                   -180,                              0,               -113315,,                              0,                              0,                              0,                              0,               -132644,               -132644,                172159,                117232,                289391,                289391,,,,,,,
1452,2015年01月01日至2015年09月30日,,                376343,                376343,,,                 30842,                      4,                    424,                 19290,                     17,                 -8519,                 -8736,                -76855,                     40,,                    348,                -43145,,,                -80604,                -18135,                 20558,                  3278,                -49247,                  1095,                 14954,                   -163,                102330,                 -5934,,                 16484,                 27737,                 19877,,                 -1584,                 -1140,                    570,                 61944,                 56010,                 12865,                389208,                  8907,                 16230,                    -17,                -40356,                373972,,,,                 -6752,                    365,,                -14271,                -20658,,                              0,,                              0,                              0,               -132644,               -132644,                220670,                117232,                337902,                337902,,,,,,,
1452,2015年01月01日至2015年06月30日,,                272957,                272957,,,                 20890,                      4,                   -425,                 24186,                     11,                 -6763,,                -51750,                     83,,                    348,                -13416,,,               -168116,                 24094,                 10116,                 -1322,                -24959,                    721,                 24883,                   -465,                 46437,                -88611,,                   -902,                 -1340,                  8580,,                 -1268,                     76,                    317,                  5463,                -83148,                -96564,                176393,                  6938,                  7494,                    -11,                -24381,                166433,,,,                 -4462,                    222,,                   -468,                 -4708,,                              0,,                              0,                              0,,                              0,                161725,                117232,                278957,                278957,,,,,,,
1452,2015年01月01日至2015年03月31日,,                104896,                104896,,,                 10500,                      4,                   -196,                -17648,                      8,                 -3515,,                 -2578,                     -5,,                    348,                -13082,,,                -53200,                 37075,                -61862,                  2650,                 21896,                    205,                 -4714,                    -13,                269469,                211506,,                    445,                 -3573,                -19191,,                   -680,                  2794,                  2009,                -18196,                193310,                180228,                285124,                  3515,,                     -8,                   -324,                288307,,,,                 -3439,                    143,,                   -463,                 -3759,,                              0,,                              0,                              0,,                              0,                284548,                117232,                401780,                401780,                              0,,,,,,
1452,2014年度,,                197787,                197787,,,                 39227,                     66,                    464,                  1018,                    723,                -13701,                 -8810,                 -9456,                -15928,                 18483,                              0,                 12086,,,                -41233,                -22962,                  2711,                   -796,                 12478,                   -572,                 -9562,                    882,               -104111,               -163165,,                  4261,                 -2075,                  6926,                    142,                -13689,                -33274,                 -5482,                -43191,               -206356,               -194270,                  3517,                 13293,                 10423,                   -723,                 -8151,                 18359,,                 20823,                              0,               -116480,                 17119,                              0,                -10250,                -88788,,                 50000,                -50000,                200000,               -200000,               -106113,               -106113,               -176542,                293774,                117232,                117232,,,                 12086,                 -5482,                              0,                              0,
1452,2014年01月01日至2014年09月30日,,                140046,                140046,,,                 28792,                     53,                    283,                  6110,                    616,                -10199,                 -8810,                 -7441,                -15928,,                              0,                 -6524,,,                 20957,                 18363,                -10577,                  2654,                -29900,                    751,                  1955,                    734,               -137777,               -132840,,                  2423,                  7149,                 -4472,,                -13563,                -21019,                  1010,                -28472,               -161312,               -167836,                -27790,                  9780,                  8810,                   -647,                 -7814,                -17661,,,,               -110860,                 17119,,                              0,                -93741,,                 50000,,                200000,               -150000,               -106113,                 -6113,               -117515,                293774,                176259,                176259,,,,,,,
1452,2014年01月01日至2014年06月30日,,                 83781,                 83781,,,                 18422,                     41,                   -390,                  7439,                    293,                 -6617,,                 -6616,                -15436,,                              0,                 -2864,,,                -13885,                  8862,                 28389,                  2358,                -23267,                    312,                 -8846,                     64,               -109356,               -115369,,                  6066,                 17156,                -15436,,                -12680,                -24789,                  1084,                -28599,               -143968,               -146832,                -63051,                  6241,                              0,                   -330,                -10397,                -67537,,,,               -107280,                 16244,,                              0,                -91036,,                 50000,,                150000,               -100000,,                100000,                -58573,                293774,                235201,                235201,,,,,,,
1452,2014年01月01日至2014年03月31日,,                 47732,                 47732,,,                  8147,                     28,                    148,                  3983,                    282,                 -2875,,                 -1426,                -15482,,                              0,                 -7195,,,                -34725,                  1334,                 -6248,                    883,                 20323,                   -144,                  8801,                  1018,               -270150,               -278908,,                  3811,                  3557,                -23272,,                -12246,                -21617,                    422,                -49345,               -328253,               -335448,               -287716,                  2415,,                   -278,                   -227,               -285806,,,,                 -1796,                 16289,,                -95173,                -80656,,                100000,,                100000,                -50000,,                150000,               -216462,                293774,                 77312,                 77312,                     24,,,,,,
1452,2013年度,,                171054,                171054,,,                 36989,                    238,                   -677,                -22442,                    500,                 -5914,                 -9034,                 -3032,                   -389,                              0,,,,,                181438,                 88304,                -19335,                 -1718,                -13748,                    182,                 -3032,                   -988,                -28625,                202478,,                -55810,                 -7351,                  9674,                     -1,                 15357,                 35132,,                 -6036,                196442,                192681,                363735,                  5805,                  9034,                   -500,                -23816,                354258,,                              0,,                 -8160,                    600,                   -100,                -32487,                -40147,,                 40000,                -40000,                 50000,                -50000,                -66321,                -66271,                247840,                 45934,                293774,                293774,,,                 -3761,                 -3037,                    250,                   -200,
1452,2013年01月01日至2013年12月31日,,                171054,                171054,,,                 36989,                    238,                   -677,                -22442,                    500,                 -5914,                 -9034,                 -3032,                   -389,                              0,,,,,                181438,                 88304,                -19335,                 -1718,                -13748,                    182,                 -3032,                   -988,                -28625,                202478,,                -55810,                 -7351,                  9674,                     -1,                 15357,                 35132,,                 -6036,                196442,                192681,                363735,                  5805,                  9034,                   -500,                -23816,                354258,,,                              0,                 -6936,                    600,                   -100,                -33711,                -40147,,                 40000,                -40000,                 50000,                -50000,                -66321,                -66271,                247840,                 45934,                293774,                293774,,,                 -3761,                 -3037,                    250,                   -200,                              0
