證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金減少,　　 其他金融資產增加,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融資產（增加）減少,　　 處分無活絡市場之債券投資,　　 取得以成本衡量之金融資產,　　 現金增資,　　 取得無活絡市場之債券投資,　　　　　 其他營業負債增加（減少）,　　 取得備供出售金融資產,　　 處分採用權益法之投資,　　 因合併產生之現金流入,　　　　　 其他營業資產（增加）減少,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 支付之股利
3167,2015年01月01日至2015年09月30日,,                273058,                273058,,,                 31653,                    402,                 30086,                 -4439,                 14348,                -34885,                              0,                -17966,                 19199,,,                -11139,                 63409,                 -5416,                 15817,                 32158,                  2688,                  2673,                100190,,                   -506,                -98688,                  6142,                -18627,                 -9107,               -151796,                   -183,               -272765,               -172575,               -153376,                119682,                 21134,                -14414,                -41213,                 85189,,                              0,                              0,                  5045,                -48215,                              0,                   -732,                   -220,                    507,                -43615,,                -30469,                350000,               -162788,                  2588,               -109062,                   -880,                 49389,                 22444,                113407,                713975,                827382,                827382,,,,,,,,,,,,,,,,,,,
3167,2015年01月01日至2015年06月30日,,                154776,                154776,,,                 20117,                    265,                 26919,                   -381,                  9191,                -24708,                              0,                -10779,                 20624,,,                   -484,                 -1351,                    -79,                    497,                -44038,                -10389,                 -1115,                -56959,,                   -507,                 72606,                 -1916,                -16670,                 -2302,               -117155,                    300,                -65644,               -122603,               -101979,                 52797,                 17151,                 -9086,                -27528,                 33334,,                              0,                              0,,                -23477,                              0,                              0,                   -220,,                -23138,,               -126810,                350000,                -85414,                  2474,                              0,,                140250,                -23449,                126997,                713975,                840972,                840972,                     52,                    507,                              0,,,,,,,,,,,,,,,,
3167,2015年01月01日至2015年03月31日,,                 45372,                 45372,,,                  8813,                    128,                 23446,                              0,                  4709,                -13458,                              0,,                 23638,,,                  1202,                 21330,                 12504,                 -2406,                -21432,                 -9954,                 -1755,                   -511,,                     -3,                 -2970,                  8424,                -34889,                  3433,                -51916,                   -547,                -78468,                -78979,                -55341,                 -9969,                 13201,                 -4732,                 -1696,                 -3196,,,                              0,,                 -1352,                              0,                              0,                   -220,                      3,                 -1499,,                              0,                330000,                -33540,                  2522,,,                198720,                 -4772,                189253,                713975,                903228,                903228,                     70,                              0,               -100262,,,,,,,,,,,,,,,,
3167,2014年度,,                306950,                306950,,,                 29864,                  1275,                195905,                   -483,                 13101,                -39592,                -29280,                     34,,,,                  5731,               -422772,                 -4299,                -16784,                135216,                  3989,                  2850,               -286178,,                    444,                 95789,                 -7815,                -13633,                -14529,               -167629,                    545,               -106828,               -393006,               -222182,                 84768,                 49831,                -13215,                -28582,                 92802,,                  4580,,,                -14421,                  4997,                              0,                   -430,,                 -8344,,                195657,                 20000,               -121384,,               -138491,,                -44218,                 27908,                 68148,                645827,                713975,                713975,                    961,                   -507,,,                              0,                              0,                170824,                  9891,                  4476,                 -8000,                              0,,,,,,,,
3167,2014年01月01日至2014年09月30日,,                226880,                226880,,,                 20101,                    977,                119760,                   -437,                 10383,                -29060,                -30787,                    -75,                 90862,,,                  5891,               -277170,                 10483,                 -7561,                  8205,                 -4288,                  2666,               -261774,,                    -63,                116761,                 -3020,                -39278,                -11437,               -111503,                    554,                -47986,               -309760,               -218898,                  7982,                 30692,                 -9960,                -24806,                  3908,,                  4580,                    -94,                              0,                 -9977,                  6309,                  1265,                              0,                              0,                  2083,,                195120,                              0,                -90621,                              0,               -138491,                              0,                -33992,                  3419,                -24582,                645827,                621245,                621245,,,,,,,,,,,,,,,,,,,
3167,2014年01月01日至2014年06月30日,,                178161,                178161,,,                 13145,                    678,                 55414,                   -306,                  6566,                -19439,                -31429,                              0,                 24629,,,                -11054,               -131473,                  8468,                -14493,                -57543,                -10367,                  1556,               -214906,,                    -45,                170775,                  6143,                -29232,                  2442,               -107866,                    179,                 42396,               -172510,               -147881,                 30280,                 22311,                 -6398,                -16741,                 29452,,                              0,                    -10,,                 -6419,                  6315,                              0,                              0,,                    533,,                 42902,                              0,                -60414,                              0,                              0,,                -17512,                -18012,                 -5539,                645827,                640288,                640288,                    647,                              0,                              0,,,,,,,,,,,,,,,,
3167,2014年01月01日至2014年03月31日,,                 75721,                 75721,,,                  6580,                    379,                  1417,                  1626,                  3126,                 -9353,                    118,,                  3893,,,                -12730,               -153408,                 -2411,                 -1009,               -114947,                 -7584,                 -1016,               -293105,,                              0,                154488,                    615,                -38987,                     26,                 80396,                  6616,                203154,                -89951,                -86058,                -10337,                 12974,                 -2941,                 -8609,                 -8913,,,                   -100,,                 -4296,                    632,                     -9,                              0,                              0,                -10002,,                  2551,                              0,                -30207,                              0,,,                -27656,                 -2822,                -49393,                645827,                596434,                596434,                              0,                 -6229,                              0,,,,,,,,,,,,,,,,
3167,2013年度,,                179894,                179894,,,                 40798,                  1372,                 -9473,                  1213,                 14671,                -19336,                  1421,                   -753,,,,                 49069,               -316478,                -26551,                 12734,                118006,                  8753,                 13512,               -140955,,                   -370,                 97444,                 22684,                    -93,                 12521,                -23673,                 -3636,                104877,                -36078,                 30055,                209949,                 31779,                -15226,                -65299,                161203,,                 11504,,,                 -9764,                  5716,                   -195,                   -982,,                  9806,,                 36197,                 30000,               -127499,,               -153876,,                 15672,                 40117,                226798,                419029,                645827,                645827,                              0,                              0,,,                  5983,                 30237,                 66133,                              0,                  3527,                              0,                230850,,,,,,,,
3167,2013年01月01日至2013年12月31日,,                179894,                179894,,,                 40798,                  1372,                 -9473,                  1213,                 14671,                -19336,                  1421,                   -753,,,,                 49069,               -316478,                -26551,                 12734,                118006,                  8753,                 13512,               -140955,,                   -370,                 97444,                 22684,                    -93,                 12521,                -23673,                 -3636,                104877,                -36078,                 30055,                209949,                 31779,                -15226,                -65299,                161203,,                 11504,,,                 -9764,                  5716,                   -195,                   -982,,                  9806,,,                 30000,               -127499,,               -153876,,                 15672,                 40117,                226798,                419029,                645827,                645827,                              0,,                 36197,,                  5983,                 30237,                 66133,                              0,                  3527,,                230850,                              0,                              0,                              0,                              0,                              0,,,
3167,2013年01月01日至2013年09月30日,,                175920,                175920,,,                 29686,                  1028,                -15289,                  1427,                 11339,                -12036,                  1395,                   -754,,,,                 37834,                -49328,                 -8771,                  8050,                 -3469,                     70,                  5282,                -10332,,                   -433,                206025,                 16438,                -37288,                 13226,                 -6712,                 -2145,                189111,                178779,                195575,                371495,                 18697,                -11526,                -51007,                327659,,                 11451,,,                -11998,                  5546,                    -15,                   -697,,                  8705,,                 58780,                 30000,                -81715,,               -153876,,               -146811,                 26302,                215855,                419029,                634884,                634884,,,,,,,                 16796,,                  4418,,,                              0,,,,,,,
