證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）
2546,2015年01月01日至2015年09月30日,,                168291,                168291,,,                    667,                 20944,                    382,                 -1488,                -24492,                   -504,                              0,                 -4491,,,                 -5805,                169410,                212702,               -427408,                -31686,               -218371,                -62917,                 -7269,                    814,                    207,               -370323,,                -59982,                128343,                261285,                -44118,                 -1267,                -13621,                              0,                  1498,                272138,                -98185,               -102676,                 65615,                  1471,                 24492,                   -382,                -38703,                 52493,,                              0,                              0,                  1061,                  1061,,                120000,               -170000,                200000,               -200000,               -159053,               -209053,               -155499,              1337250,              1181751,              1181751,,,
2546,2015年01月01日至2015年06月30日,,                 60264,                 60264,,,                    460,                  2897,                    324,                 -1140,                   -660,                 -2084,                              0,                   -203,,,                 -6515,                 80130,                131930,                -87996,                113792,               -229106,                -57759,                 -3446,                 23986,                    206,                -34778,,               -126970,                 51888,                209083,                -61462,                 -1065,                -13670,                              0,                  2658,                 60462,                 25684,                 25481,                 85745,                  1137,                    660,                   -324,                -28294,                 58924,,                              0,                              0,                    576,                    576,,                120000,               -170000,                100000,               -100000,,                -50000,                  9500,              1337250,              1346750,              1346750,,,
2546,2015年01月01日至2015年03月31日,,                 25316,                 25316,,,                    241,                 -6885,                    316,                   -475,,                 -2844,,                 -9647,,,                -10676,                -19791,                 42949,               -103347,                 68733,                -84129,                -24004,                 -8409,                 20426,                    208,               -118040,,                -79336,                -15667,                156280,                -71274,                     -7,                -13546,                              0,                  1498,                -22052,               -140092,               -149739,               -124423,                    474,,                   -316,                    -51,               -124316,,                              0,                   -211,,                   -211,,                120000,               -170000,                100000,               -100000,,                -50000,               -174527,              1337250,              1162723,              1162723,,,
2546,2014年度,,                224657,                224657,,,                  1234,                  3620,                    678,                 -2370,                -12905,                   -792,                  4278,,,,                 29314,                -92572,                129284,                -83883,                124487,                -40700,                    468,                   -204,                 14715,,                 80909,,                  7807,                235006,               -190085,                 10051,                  4397,                 -1623,,                    532,                 63963,                144872,                138615,                363272,                  2490,                 12905,                   -678,                -39304,                338685,,                -21372,                 -7284,,                -28656,,                401000,               -351000,                350000,               -350000,               -106036,                -56036,                253993,              1083257,              1337250,              1337250,,                 -6257,                 -2122
2546,2014年01月01日至2014年09月30日,,                208438,                208438,,,                    925,                  8706,                    487,                 -1818,                -12905,                 -2203,                  4278,                 -2530,,,                 18639,               -103482,                210522,                -98135,                271921,                 44551,                  9024,                 -3747,                 23417,                              0,                372710,,                -29922,                -17412,               -193578,                -50814,                  3937,                -14374,                     -9,                     -3,               -302175,                 70535,                 68005,                276443,                  1676,                 12905,                   -487,                -39215,                251322,,                -21372,                -51602,                              0,                -72974,,                271000,               -271000,                200000,               -200000,               -106036,               -106036,                 72312,              1083257,              1155569,              1155569,,,
2546,2014年01月01日至2014年06月30日,,                167288,                167288,,,                    617,                  9236,                    332,                 -1316,                 -2370,                 -1019,                  4278,                  9758,,,                 11424,                -99142,                 91801,               -184990,                114196,                 11133,                  5617,                 -2750,                -61947,                              0,               -114658,,                135041,                 71670,                -88363,                -53139,                  5596,                -14007,                     -6,                              0,                 56792,                -57866,                -48108,                119180,                    957,                    780,                   -332,                -24497,                 96088,,                -18535,                 -5921,                              0,                -24456,,                166000,               -166000,                150000,               -150000,,                              0,                 71632,              1083257,              1154889,              1154889,,,
2546,2014年01月01日至2014年03月31日,,                 92933,                 92933,,,                    308,                  5502,                    176,                   -577,,                 -1113,,                  4296,,,                  8322,                -33053,                -43335,                 26800,                 27602,                -93229,                 23013,                 -1729,                -23215,                              0,               -108824,,                 21712,                193545,               -121124,                -64134,                  3496,                -15183,                     -2,                              0,                 18310,                -90514,                -86218,                  6715,                    395,,                   -176,                    -38,                  6896,,                -12207,                 -1191,,                -13398,,                120000,               -120000,                              0,                              0,,                              0,                 -6502,              1083257,              1076755,              1076755,,,
2546,2013年度,,                207131,                207131,,,                  1234,                -30175,                    954,                 -4862,                 -9904,                   -591,                              0,,,,                 32164,               -115271,               -148410,                270239,               -195949,                193801,                 77400,                  2216,                122736,,                238926,,                 -6634,                146698,               -450440,                  8691,                 12522,                 15274,,                -10555,               -285011,                -46085,                -89429,                117702,                  5034,                  9904,                   -954,                -22213,                109473,,                -26151,                 -2235,,                -28386,,                300000,               -350000,                350000,               -400000,               -106036,               -206036,               -124949,              1208206,              1083257,              1083257,,                -43344,                   -567
2546,2013年01月01日至2013年09月30日,,                165618,                165618,,,                    925,                -28113,                    899,                 -3985,                 -9897,                 -3502,                              0,,,,                 22164,                 -4828,               -148694,                321992,                159843,                 28867,                 35182,                 -1496,                 -4662,,                408368,,                -48106,                -39922,               -520271,                -38198,                  6125,                 17884,,                 -6382,               -628876,               -220508,               -264181,                -98563,                  3740,                  9897,                   -899,                -22083,               -107908,,                              0,                 -1301,,                 -1301,,                300000,               -350000,                250000,               -300000,               -106036,               -206036,               -315245,              1208206,                892961,                892961,,                -43673,                     -6
2546,2013年01月01日至2013年06月30日,,                115060,                115060,,,                    617,                -29385,                    691,                 -2856,                   -400,                 -2343,                              0,,,,                 22164,                -40247,                113635,                302896,                -42219,                -27069,                 34573,                   -121,                -30578,,                333034,,               -121242,                -48023,               -391345,                -60243,                  1504,                   -517,,                 -7350,               -627216,               -294182,               -327858,               -212798,                  2637,                    400,                   -691,                -14625,               -225077,,                              0,                   -354,,                   -354,,                220000,               -220000,                200000,               -200000,,                              0,               -225431,              1208206,                982775,                982775,,                -33676,                              0
2546,2013年01月01日至2013年03月31日,,                 58972,                 58972,,,                    309,                -17858,                    415,                 -1220,,                 -2097,,,,,                 44183,                              0,               -147109,               -118603,                200951,                 90362,                 34590,                 -1979,                -28960,,                 73435,,                -71748,               -143838,               -169466,                -49388,                              0,                   -181,,                 -7350,               -441971,               -368536,               -388987,               -330015,                  1254,,                   -340,                   -124,               -329225,,                              0,                -30025,,                -30025,,                170000,               -150000,                100000,                -50000,,                 70000,               -289250,              1208206,                918956,                918956,,                -20451,                              0
