證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款增加,　　 預付設備款減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他營業負債增加（減少）,　　 處分不動產、廠房及設備,　　 存入保證金減少,　　 存入保證金增加
1541,2015年01月01日至2015年09月30日,,                272331,                272331,,,                 29752,                 13896,                     -8,                  5191,                    -89,                 48742,,,                              0,               -294498,                  1316,                -13044,                 -1750,                 -3775,                   -322,               -312073,,                 76811,                 57183,                 15326,                  7261,                 10582,                167163,               -144910,                -96168,                176163,                     89,                 -5112,                  1322,                172462,,                 -5159,                              0,                  1280,                    -59,                -12329,                              0,                -16267,,                              0,                -65470,                 50000,               -134928,               -150398,                  3527,                  9324,                 23946,                 33270,                 33270,,,,,,,
1541,2015年01月01日至2015年06月30日,,                 90453,                 90453,,,                 20167,                  9289,                              0,                  3662,                    -60,                 33058,,,                   -721,                104366,                  6210,                -28620,                 -7755,                   -445,                   -214,                 72821,,                -10647,                 25682,                    718,                    726,                  5112,                 21591,                 94412,                127470,                217923,                     60,                 -3690,                    245,                214538,,                 -3908,                              0,,,                 -4468,                              0,                 -8376,,                              0,               -169370,,,               -169370,                 -2368,                 34424,                 23946,                 58370,                 58370,,,,,,,
1541,2015年01月01日至2015年03月31日,,                 41173,                 41173,,,                 10405,                  4675,,                  1889,                    -44,                 16925,,,                              0,                 59246,                  5092,                -12562,                   -401,                 -2100,                   -108,                 49167,,                -26147,                 11955,                 -5516,                   -654,                  3783,                -16579,                 32588,                 49513,                 90686,                     45,                 -1931,                   -106,                 88694,,                 -2108,                              0,,,                              0,                 -2968,                 -5076,,                              0,                -88130,,,                -88130,                   -749,                 -5261,                 23946,                 18685,                 18685,,,,,,,
1541,2014年度,,                195450,                195450,,,                 41882,                 18007,                 -5505,                  8599,                   -153,,,,                     76,               -349225,                 -6031,                -16036,                   -985,                  1633,                 -2244,               -372812,,                 83690,                -42822,                 28467,                  3733,                    -29,                 73039,               -299773,               -236943,                -41493,                    153,                 -8552,                 -1282,                -51174,,                -23663,,                    158,                   -532,                 -2960,,                -26997,,                 74770,,,,                 74770,                  4070,                    669,                 23277,                 23946,                 23946,,                              0,                 62830,                              0,                              0,                              0,
1541,2014年01月01日至2014年09月30日,,                116092,                116092,,,                 31673,                 13383,                  1352,                  6364,                    -89,                 52683,,,                     76,               -315524,                 -3549,                -32467,                  3241,                    203,                 -2987,               -351007,,                126972,                -27640,                 11383,                  3510,                 -5243,                108982,               -242025,               -189342,                -73250,                     89,                 -6293,                     53,                -79401,,                -18116,                 -2192,                              0,                   -191,                              0,                  3334,                -17165,,                 85000,                              0,                              0,                              0,                 85000,                    134,                -11432,                 23277,                 11845,                 11845,,,,,,,
1541,2014年01月01日至2014年06月30日,,                 57082,                 57082,,,                 22145,                  8862,                    379,                  4089,                    -59,                 35416,,,                     51,               -234904,                 -1001,                -34778,                 -8411,                   -722,                   -555,               -280320,,                109745,                 -5881,                  8414,                  2278,                 12290,                126846,               -153474,               -118058,                -60976,                     59,                 -4067,                     -4,                -64988,,                -20675,                 -1909,,,                              0,                  2727,                -19857,,                 80300,                              0,,,                 80300,                 -1255,                 -5800,                 23277,                 17477,                 17477,,,,,,,
1541,2014年01月01日至2014年03月31日,,                 47294,                 47294,,,                 11308,                  4436,,                  1861,                    -45,                 17560,,,                     60,               -186861,                   -120,                 35005,                 -5854,                    852,                   -115,               -157033,,                 23400,                 -8773,                    451,                  1787,                  3253,                 20118,               -136915,               -119355,                -72061,                     45,                 -1872,                    -16,                -73904,,                -19784,                   -884,,,                  3389,                              0,                -17279,,                 82400,                              0,,,                 82400,                    586,                 -8197,                 23277,                 15080,                 15080,,,,,,,
1541,2013年度,,                -36266,                -36266,,,                 51540,                 17889,                    -41,                  6937,                   -143,,,,                    375,               -247886,                 -2746,                -87336,                  7947,                 -3178,                 -6690,               -339514,,                 84936,                148444,                 10065,                  2540,                  3554,                249479,                -90035,                -13879,                -50145,                    143,                 -6911,                 -1930,                -58843,,                -31110,,                    682,                    -59,                -14068,,                -21818,,                 96100,,,,                 96034,                   -475,                 14898,                  8379,                 23277,                 23277,,                    -26,                 76156,                    -60,                 22737,                    -66,
1541,2013年01月01日至2013年12月31日,,                -36266,                -36266,,,                 51540,                 17889,                    -41,                  6937,                   -143,,,,                    375,               -247886,                 -2746,                -87336,                  7947,                 -3178,                 -6690,               -339514,,                 84936,                148444,                 10065,                  2540,                  3554,                249479,                -90035,                -13879,                -50145,                    143,                 -6911,                 -1930,                -58843,,                -31110,,                    682,                    -59,                -14068,,                -21818,,                 96100,,,,                 96034,                   -475,                 14898,                  8379,                 23277,                 23277,,                    -26,                 76156,                    -60,                 22737,                    -66,
1541,2013年01月01日至2013年09月30日,,                  1808,                  1808,,,                 37402,                 10561,                  1462,                  5032,                   -105,,,,                    102,               -272334,                 -3959,                -38933,                  9015,                 -1153,                 -3363,               -310625,,                 77493,                135639,                 13740,                    277,                   -267,                226822,                -83803,                -29451,                -27643,                    105,                 -5034,                 -2717,                -35289,,                -30483,                              0,                    566,                    -59,                 -2683,,                -30762,,                 68500,,,,                 70730,                   -148,                  4531,                  8379,                 12910,                 12910,,,                 54352,                    -60,                  1897,                  2230,
