證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 除列按攤銷後成本衡量金融資產淨損失（利益）,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現銷貨利益（損失）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他非流動資產減少,　　 預付設備款增加,　　 其他預付款項增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 員工執行認股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 買回應付公司債損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應收票據（增加）減少,　　　　　 應付票據增加（減少）,　　 取得備供出售金融資產,　　 取得無活絡市場之債券投資,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 存出保證金增加,　　 其他非流動資產增加,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 庫藏股票買回成本,　　 預付設備款減少,　　 其他籌資活動,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 應付短期票券減少,　　　　　 應計退休金負債增加（減少）,　　　　　 遞延貸項增加（減少）,　　 處分無活絡市場之債券投資
2499,2015年01月01日至2015年03月31日,,                 70581,                 70581,,,                117134,                  4803,                    271,                              0,                 30070,                              0,                 -1540,                 -3417,                 -2853,                   -390,                 -5336,                              0,                -18651,                    475,                 15640,                    996,                137202,,,                 82598,                625118,                 38632,               -473106,                              0,                -76836,                196406,,                124888,                -33709,                  1193,                    -40,                 92332,                288738,                425940,                496521,                  1540,                -28521,                 -8877,                460663,,                 67830,                 -1259,                -72085,                  1491,                  2512,                  2408,               -125353,                              0,                  3417,               -121039,,                292111,                     32,                              0,                              0,                292143,                 -9979,                621788,              1133300,              1755088,              1755088,,,,,,,,,,,,,,,,,,,,,,,,,
2499,2014年度,,                438114,                438114,,,                391921,                 21719,                 68244,                  3368,                104757,                              0,                 -5323,                -38646,                 47610,                 -2338,                177338,                 74248,,                    727,                -28653,                  4986,,,,                 10943,,                376971,               -427525,               -145872,                 91056,             -1509454,,              1311947,                 56036,                -11801,                    -81,              1354943,               -154511,                665447,              1103561,                  5323,                -99387,                 -5389,              1004108,,                333672,,             -1692941,                  1174,                  6855,,               -438201,                              0,                 38646,             -1813411,,                 85563,                249178,                  8235,                              0,              1074709,                 32314,                297720,                835580,              1133300,              1133300,,                              0,                              0,                819958,             -1415027,                 -1158,                              0,                 -1999,                -60612,                  3685,                 -1425,                              0,                 -2265,                              0,              1060000,               -200000,               -128267,                              0,,,,,,,
2499,2014年01月01日至2014年09月30日,,                637933,                637933,,,                336448,                 16041,                  5958,                 -8396,                 74945,                              0,                 -3336,                -38641,                 35989,                    697,               -101050,                  9986,,                   -240,                -32592,                  3384,,,,                 11861,             -1544139,                470865,               -267410,                              0,                -51601,             -1380424,,              1089827,                -34658,                 30542,                    -70,              1085641,               -294783,                  4410,                642343,                  3336,                -72641,                 -5443,                567595,,                332214,,             -1629621,                    966,                  1747,                              0,,                -16567,                 68486,             -1314337,,                852124,                 99367,                  8235,                              0,                759726,                 12011,                 24995,                835580,                860575,                860575,,                              0,                              0,                299193,,,                              0,                 -2891,                -60840,,                              0,                              0,                -18169,,                              0,               -200000,                              0,                              0,                 10338,                              0,                              0,,,,
2499,2014年01月01日至2014年03月31日,,                178951,                178951,,,                120135,                  5151,                 15819,                              0,                 24253,                              0,                 -1058,                 -2375,                  6674,                   -157,                -81184,                              0,                              0,                    336,                -31911,                  1734,                 57417,,,                 14623,               -143705,                 44305,               -140735,                              0,                248030,                 22518,,                284526,                -35039,                 -6004,                    -17,                243466,                265984,                323401,                502352,                  1058,                -23494,                              0,                479916,,                262912,                              0,                              0,                              0,                  1934,                    654,               -234214,                              0,                 12215,                 43501,,               -141263,                              0,                  8235,                              0,               -133028,                 14238,                404627,                835580,              1240207,              1240207,,,,,,,,,,,,,,,,,,,,,,,,,
2499,2013年度,,                219132,                219132,,,                383777,                 18787,                 41149,                -20058,                104464,                 -7640,                 -2895,               -203362,                 13630,                    948,                -17648,                 33341,,                  4845,                 76316,                              0,,,,                181703,,                125060,                107392,                -80880,                158626,              1472111,,             -1052677,                 -5059,                -12224,                   -167,             -1072534,                399577,                869913,              1089045,                  2895,                -92350,                -17806,                981784,,                140424,,               -226699,                 81335,                              0,,               -413365,                 -3896,                163925,               -851928,,                458151,                150272,                              0,                107800,                -39857,                 11946,                101945,                733635,                835580,                835580,,                 31411,                 13271,                470336,                980210,                 -2407,                -13017,                 -6159,               -198682,                  3739,                -76996,                 -1864,               -300673,               -445189,                              0,                              0,                -66077,               -244814,,,,,,,
2499,2013年01月01日至2013年12月31日,,                219132,                219132,,,                383777,                 18787,                 41149,,                104464,                 -7640,                 -2895,               -203362,                 13630,                    948,                -17648,                 33341,,                  4845,                 76316,,,,,                161645,,                125060,                107392,                -80880,                158626,              1452053,,             -1052677,                 -5059,                -12224,                   -167,             -1072534,                379519,                869913,              1089045,                  2895,                -92350,                -17806,                981784,,                140424,,               -226699,                 81335,,               -300673,               -413365,                 -3896,                163925,               -851928,,                458151,,                              0,                107800,                -39857,                 11946,                101945,                733635,                835580,                835580,,                 31411,                 13271,                490394,                980210,                 -2407,                -13017,                 -6159,               -198682,                  3739,                -76996,                 -1864,,               -445189,                              0,                              0,                -66077,               -244814,,,,                150272,,,
2499,2013年01月01日至2013年09月30日,,                242770,                242770,,,                244372,                 13420,                 43731,                -22666,                 78646,                              0,                 -1597,               -164271,                 20196,                    825,                -17662,                 15950,,                  9874,                 71418,                              0,,,,                177050,                763761,                 50967,                110769,                              0,                354703,              1457250,,             -1512528,                 12147,                -14692,                   -333,             -1515406,                -58156,                271669,                514439,                  1597,                -67432,                 -9426,                439178,,                144228,,               -176670,                 16015,                              0,                              0,,                    119,                 99217,               -289260,,                678418,                 49784,                              0,                110407,                338706,                 11946,                500570,                733635,              1234205,              1234205,,                 24318,                 13271,                329825,,,                -13017,                              0,                -15728,,                -47795,                              0,                -46459,,                              0,                              0,                -66077,               -143426,               -249170,               -290400,                              0,,,,
2499,2013年01月01日至2013年03月31日,,                 98480,                 98480,,,                110600,                  3842,                 15799,                    641,                 25119,                              0,                   -108,                -58960,                  7880,                              0,                              0,                 15950,,                  1136,                -59081,                  2252,,,,                 29834,                589752,                 -8257,                 86368,                              0,                152003,                849700,,               -900271,                -61563,                -16418,                    -40,               -978292,               -128592,                -63522,                 34958,                    108,                -21406,                 -7853,                  5807,,                              0,,                   -298,                              0,                    355,                  3621,               -112757,                              0,                              0,               -109079,,                135164,,                              0,                              0,                185159,                 18086,                 99973,                733635,                833608,                833608,,,,                 65070,,,,                              0,,,,,,,,,,,,,,                 49995,,,
2499,2012年01月01日至2012年12月31日,,                126977,                126977,,,                342859,                 17427,                 85593,,                101570,                -16181,                   -939,                -69502,                 56249,                   -227,               -166846,                197634,,                    962,                -49870,,,,,                 18916,,               -883741,               -605982,                  9136,               -320176,             -3337216,,              1652855,                 21751,                 -9406,                   -302,              1665030,             -1672186,               -978890,               -851913,                    939,                -69884,                -27927,               -948785,,                597361,,                -12753,                154579,,                  4756,                -23891,               -103256,                 75433,                622396,,                 86071,,                  2444,                              0,                544796,                -14662,                203745,                529890,                733635,                733635,,                129908,                 64659,                693296,             -1555369,                    132,                              0,                              0,                 -7508,                              0,                -44115,                -18210,,               -913395,              2000000,               -680000,                              0,                              0,,,,                 49676,,,
2499,2012年01月01日至2012年09月30日,,                190182,                190182,,,                275881,                 13456,                 19407,               -115954,                 75036,                              0,                   -405,                -24852,                 19219,                              0,                -38101,                 33362,,                  1096,                 10880,,,,,                114617,,                -52991,               -617853,                              0,                 14460,             -1885202,,              1522271,                101681,                -14265,                   -313,              1609374,               -275828,                144853,                335035,                    405,                -46538,                -26087,                262815,,                 95119,,                -11956,                    623,,                -10751,               -244018,               -105431,                 24852,               -303185,,             -1227102,                -99822,                  2444,                 -1452,                673974,                -14662,                618942,                529890,              1148832,              1148832,,                 87000,                 64656,                420681,             -1343435,,                              0,,                 -7508,,                -44115,                              0,,,              2000000,,                              0,                              0,,                    -94,                              0,,,,
