證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 預付設備款增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　 取得無形資產,　　 短期借款增加,　　 償還公司債,　　 現金增資,　　　　 其他項目,　　 存出保證金減少,　　　　 處分投資損失（利益）,　　 處分備供出售金融資產,　　 附買回票券及債券負債減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 其他非流動資產減少,　　 預付設備款減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應付帳款－關係人增加（減少）
4722,2015年01月01日至2015年09月30日,,                313664,                313664,,,                 42640,                  4463,                 14605,                   -285,                  9793,                 -1449,                -18045,                   -165,                 19312,                 70869,,,                 27269,                 32363,                  3780,                 21249,                  8533,                 93194,,                -37342,                 19898,                -11199,                 -1298,                    294,                -29647,                 63547,                134416,                448080,                  1449,                 -9788,                -54194,                385547,,                -20534,                    258,                   -136,                              0,                  4600,                              0,                 33380,                 17568,,               -201084,                              0,                -90006,                 80000,                -34283,               -132370,               -377743,                  9195,                 34567,                137555,                172122,                172122,,,,,,,,,,,,,,,,,,,
4722,2015年01月01日至2015年06月30日,,                170594,                170594,,,                 28650,                  2976,                  6109,                    163,                  6598,                 -1257,                 -4805,                     27,                 14812,                 53273,,,                 44015,                 62017,                    253,                -14616,                 -2190,                 89479,,                -97284,                 37698,                -13656,                 -2041,                    863,                -74420,                 15059,                 68332,                238926,                  1257,                 -6750,                -34801,                198632,,                 -7526,                      4,                    -81,                 -9803,,,                 10711,                 -6695,,               -160525,,,,                -18411,,               -178936,                 -5421,                  7580,                137555,                145135,                145135,,,,,,,,,,,,,,,,,,,
4722,2015年01月01日至2015年03月31日,,                 76370,                 76370,,,                 14285,                  1490,                  5171,                   -631,                  3471,                   -493,                   -973,,                 14812,                 37132,,,                 37795,                 20116,                  2150,                -58286,                 -8103,                 -6328,,                -86081,                112080,                -19907,                 -1222,                   -569,                  4301,                 -2027,                 35105,                111475,                    493,                 -3562,                 -1637,                106769,,                 -5643,,                    -98,                    -68,,,                    973,                 -4836,,               -121379,,                    -11,,                 -9206,,               -130596,                 -2471,                -31134,                137555,                106421,                106421,                              0,,,,,,,,,,,,,,,,,,
4722,2014年度,,                227098,                227098,,,                 59289,                  5932,                  1994,,                 13726,                 -2048,                -17492,                     80,                 13987,,,,                 20966,               -202852,                 -5863,                 43768,                 -3723,               -147704,,                 85803,               -103822,                 13456,                  2304,,                 -3756,               -151460,                -75992,                151106,                  2048,                -13716,                -18831,                120607,,                -26964,                    191,                    -46,                -14952,                              0,,                 17492,                -26473,,                              0,                     40,,                 60000,                -63487,               -105896,                -91524,                 29113,                 31723,                105832,                137555,                137555,,,                 75468,                 -1782,                    285,                 -2194,                 17819,                              0,                              0,,,,,,,,,,
4722,2014年01月01日至2014年09月30日,,                137794,                137794,,,                 44791,                  4232,                  1542,                              0,                 10073,                 -1637,                -17492,                     80,                  7934,                 49523,,,                 37337,                -91914,                 -4045,                -13427,                  9569,                -62480,,                -10860,                 23979,                -15962,                  3777,                 -1746,                   -812,                -63292,                -13769,                124025,                  1637,                 -9988,                -21294,                 94380,,                -24623,                    191,                    -31,                -14318,                              0,                 -2194,                 17492,                -23483,,                 -5478,                     37,                              0,                 60000,                -54282,               -105896,               -105619,                  5243,                -29479,                105832,                 76353,                 76353,,,,,,,,,,,,,,,,,,,
4722,2014年01月01日至2014年06月30日,,                 65173,                 65173,,,                 30303,                  2960,                  1104,                              0,                  6511,                 -1284,                              0,                      1,                  5327,                 44922,,,                 55323,                -91173,                 -1554,                  8477,                    760,                -28167,,                 19894,                -27096,                -17476,                  2055,                 -1164,                -23787,                -51954,                 -7032,                 58141,                  1284,                 -6491,                 -5950,                 46984,,                -23228,                    101,                    -16,                -33250,,,                 13271,                -43122,,                 -2513,,,,                -45077,,                -47590,                 -6762,                -50490,                105832,                 55342,                 55342,,,,,,,,,,,,,,,,,,,
4722,2014年01月01日至2014年03月31日,,                 27382,                 27382,,,                 15537,                  1481,                    445,                              0,                  3173,                   -907,                              0,,                  3585,                 23314,,,                 48722,                -35046,                  2656,                 12736,                  4430,                 33498,,                   -138,                 -6151,                -23674,                  2658,                   -582,                -27887,                  5611,                 28925,                 56307,                    907,                 -3060,                    -96,                 54058,,                -10044,,                    -11,                -46660,,,                              0,                -59485,,                -23381,,                              0,,                -15872,,                -39253,                  4559,                -40121,                105832,                 65711,                 65711,                 -2770,,,,,,,,,,,,,,,,,,
4722,2013年度,,                183819,                183819,,,                 59208,                  4610,                    229,,                 16393,                 -2848,                -17402,                   -271,                 11868,,,,                -38855,                -12518,                  1823,                -92875,                  9716,               -132709,,                -83824,                -15890,                 17119,                 -2609,,                -98553,               -231262,               -159475,                 24344,                  2848,                -16981,                -56164,                -45953,,                -69550,                    517,                              0,                              0,                  1163,,                 17402,                -68679,,                -37783,                     98,,                120000,               -141387,               -132370,                107584,                 18368,                 11320,                 94512,                105832,                105832,,,                 71787,                -13255,                    -94,                -18211,                              0,                   -104,                299130,,,,,,,,,,
4722,2013年01月01日至2013年12月31日,,                183819,                183819,,,                 59208,                  4610,                    229,                              0,                 16393,                 -2848,,                   -271,                 11868,,,,                -38855,                -12518,                  1823,                -92875,                  9716,               -132709,,                -83824,                -15890,                 17119,                 -2609,,                -98553,               -231262,               -142073,                 41746,                  2848,                -16981,                -56164,                -28551,,                -69550,                    517,,,                  1163,,,                -86081,,                -37783,,                     98,                120000,               -141387,,                107584,                 18368,                 11320,                 94512,                105832,                105832,,,                 89189,                -13255,                    -94,                -18211,,                   -104,                299130,,                              0,                              0,                              0,               -132370,,,,,
4722,2013年01月01日至2013年09月30日,,                134092,                134092,,,                 44143,                  3142,                    229,,                 12141,                 -1987,                -14655,                   -271,                  7562,,,,                  6254,                -14716,                    966,               -116172,                  7575,               -116093,,                -81993,                -49042,                 14055,                  2288,,               -127392,               -243485,               -193181,                -59089,                  1987,                -12729,                -53557,               -123388,,                -58615,                    515,                              0,,                  1163,                              0,                 14655,                -60124,,                 62645,,                     46,                 72000,                -77516,               -132370,                223831,                  9276,                 49595,                 94512,                144107,                144107,,,                 50304,                -12700,,                -17842,,                   -104,                299130,,,,,,,,,,
