證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動資產減少,　　 其他預付款項增加,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 存出保證金減少,　　 應付短期票券減少,　　 庫藏股票處分,　　 應付短期票券增加,　　 預付設備款減少,　　 短期借款減少,　　 存入保證金增加,　　 其他非流動資產增加
2030,2015年01月01日至2015年09月30日,,                -90575,                -90575,,,                153093,                    592,                 -4993,                              0,                122625,                 -7474,                              0,                  6068,                   -286,                     36,                 16476,                286137,,,                 28600,                 -4403,                 16503,                835093,                -36536,                   -314,                838943,,                 16130,                 35710,                -78587,                -19275,                    954,                -45068,                793875,              1080012,                989437,                  7474,               -121097,                 -1805,                874009,,                -21153,                 18375,               -412496,                  2692,                 -4494,               -480919,                -42026,               -940021,,                102339,                100000,               -268250,                    -51,               -136441,                -30553,               -232956,                 14627,               -284341,              1246491,                962150,                962150,,,,,,,,,,,,,,,
2030,2015年01月01日至2015年06月30日,,                 31070,                 31070,,,                101388,                    394,                 -6630,                              0,                 80699,                 -4121,,                  5696,                   -212,                -70890,                  1379,                107703,,,                  4932,                 23724,                 25300,                689984,               -120155,                   -492,                623293,,                 -3340,                -68292,                -80195,                 23872,                      7,               -127948,                495345,                603048,                634118,                  4121,                -80333,                 -1425,                556481,,                -18140,                 15292,                -19244,                  2692,                -17898,,                -36612,               -191910,,                -25514,                              0,               -239500,                  5117,,                 -2036,               -261933,                -44529,                 58109,              1246491,              1304600,              1304600,                              0,               -118000,,,,,,,,,,,,,
2030,2015年01月01日至2015年03月31日,,                 45192,                 45192,,,                 50981,                    199,                  2364,,                 40716,                 -1848,,                  5282,                   -177,                -23631,                 -1077,                 72809,,,                 32435,                  9189,                   -502,                253101,                -56660,                   -256,                237307,,                -13108,                 25829,                -88011,                 18583,                    415,                -56292,                181015,                253824,                299016,                  1848,                -40197,                   -369,                260298,,                 -9068,                 12239,                 -9250,                  1523,                -19532,,                -15194,                -39282,,                  5457,                              0,                -28750,                  4883,,,                -18410,                 -9358,                193248,              1246491,              1439739,              1439739,,,                              0,                              0,,,,,,,,,,,
2030,2014年度,,                470186,                470186,,,                181788,                    693,                 11392,                     14,                169309,                 -6259,                 30101,                    189,                   -391,                 13749,                 -9602,,,,                 -2958,               -152365,                 22538,               -513529,                 77570,                   -348,               -569092,,                 -3955,                -15141,                 17302,                 13349,                   -369,                 10059,               -559033,               -168050,                302136,                  6259,               -169283,                -13580,                125532,,                -24153,                 23534,                -33202,                  1014,,                              0,               -132644,               -166325,,               -152115,                250000,               -288450,                  4360,,,                -21882,                 59583,                 -3092,              1249583,              1246491,              1246491,,,                              0,,,                390983,                 -1127,                   -874,                              0,                164323,,,,,
2030,2014年01月01日至2014年09月30日,,                402627,                402627,,,                165289,                    503,                 20529,                   -192,                126194,                 -4332,                 30101,                    185,                    -93,                    558,                  7855,                346597,,,                 13184,               -224017,                  4035,               -755012,                 67074,                   -253,               -894989,,                  7047,                 -3648,                 -8379,                 45606,                  1470,                 42096,               -852893,               -506296,               -103669,                  4332,               -126134,                -20508,               -245979,,                -18106,                 11151,                 -4968,                    627,                 -2628,                    498,                -89595,               -103021,,                373601,                250000,               -260862,                  2625,                              0,                              0,                365364,                -64652,                -48288,              1249583,              1201295,              1201295,,,,,,,,,,,,,,,
2030,2014年01月01日至2014年06月30日,,                236738,                236738,,,                109872,                    309,                 13500,                     14,                 82084,                 -3617,,                      1,                    -93,                -17057,                  2027,                187040,,,                -19781,                -50408,                 12438,               -794257,                 15750,                   -562,               -836820,,                 -7543,                -44482,                -10129,                 53024,                   -651,                 -9781,               -846601,               -659561,               -422823,                  3617,                -82102,                 -4197,               -505505,,                -15106,                 11151,                 -4418,                              0,                    788,,                -72093,                -79104,,                433468,                250000,               -233275,                 -1339,,                              0,                448854,                -15418,               -151173,              1249583,              1098410,              1098410,                    574,                              0,,,,,,,,,,,,,
2030,2014年01月01日至2014年03月31日,,                 64023,                 64023,,,                 54646,                    192,                -10066,,                 39565,                   -963,,                              0,                    -43,                -24731,                 -2605,                 55995,,,                -49917,                  5699,                 29048,                158011,                  5321,                   -194,                149221,,                 -5817,                -45451,                -16521,                 32445,                 -2027,                -37371,                111850,                167845,                231868,                    963,                -39718,                   -890,                192223,,                 -5996,                  6067,                   -755,                              0,                    244,,                -54660,                -55100,,               -266857,                200000,               -211538,                 -1538,,,               -279933,                 -3043,               -145853,              1249583,              1103730,              1103730,,,                    258,                    995,,,,,,,,,,,
2030,2013年度,,                 73383,                 73383,,,                216686,                    743,                  4671,                              0,                158668,                 -3269,                              0,                  2642,                   -105,               -107675,                 -3331,,,,                -45749,                275829,                -28349,                202084,                -85710,                  3616,                321152,,                 -7383,                 46950,                    519,                 31092,                 -3455,                 67062,                388214,                657244,                730627,                  3269,               -157792,                -19949,                556155,,                -11070,                 10141,                -96837,                 37180,,                  1392,               -178296,               -231365,,                401296,              3200000,             -3650493,                  2830,,,                -96367,                 14508,                242931,              1006652,              1249583,              1249583,,,                   -569,,,                269030,                   -661,                  6125,                -50000,                              0,,,,,
2030,2013年01月01日至2013年12月31日,,                 73383,                 73383,,,                216686,                    743,                  4671,,                158668,                 -3269,,                  2642,                   -105,               -107675,                 -3331,,,,                -45749,                275829,                -28349,                202084,                -85710,                  3616,                321152,,                 -7383,                 46950,                    519,                 31092,                 -3455,                 67062,                388214,                657244,                730627,                  3269,               -157792,                -19949,                556155,,                -11070,                 10141,                -96837,                 37180,,                  1392,               -178296,               -231365,,                401296,              3200000,             -3650493,,,                              0,                -96367,                 14508,                242931,              1006652,              1249583,              1249583,,,                   -569,,,                269030,                   -661,                  6125,                -50000,,,,,                  2830,
2030,2013年01月01日至2013年09月30日,,                 40125,                 40125,,,                173511,                    556,                  4671,                   -469,                117753,                 -1888,                              0,                   -143,                    -25,               -105577,                  2771,,,,                -58239,                137962,                -25489,                288469,                 30257,                  9286,                382246,,                  5328,                 58539,                -37181,                104571,                  2415,                134959,                517205,                708365,                748490,                  1888,               -116804,                -13659,                619915,,                 -6047,                  1012,                -86750,                  8551,                  9189,,               -148670,               -222715,,                185580,              3200000,             -3710089,                 -3323,,,               -377832,                 20780,                 40148,              1006652,              1046800,              1046800,,,,                              0,,                191160,                  1287,,,,                -50000,,,,
