證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 發行公司債,　　 償還長期借款,　　 其他金融負債減少,　　 其他非流動負債增加,　　 發放現金股利,　　 員工執行認股權,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產減少,　　 短期借款增加,　　 其他非流動負債減少,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 買回應付公司債損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融負債增加（減少）,　　 收取之股利,　　 償還公司債,　　 舉借長期借款,　　　　 處分投資損失（利益）,　　 處分以成本衡量之金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 其他應收款減少,　　 取得採用權益法之投資,　　 取得以成本衡量之金融資產,　　 其他非流動資產減少,　　 應付款項減少
2486,2015年01月01日至2015年09月30日,,               -102058,               -102058,,,                479953,                  1870,                  3223,                 18791,                 41017,                -11210,                    882,                              0,                 -2131,                  2000,                534395,,,                347759,                 53537,                              0,                 18019,                              0,                 -6194,                 23419,                -31198,                  2263,                407605,,                -48705,                268797,                -43631,                 -2501,                 -2638,                171322,                578927,              1113322,              1011264,                 11210,                -24725,                -34319,                963430,,               -539192,                 40243,                 -1353,                 -1624,                 14679,               -487247,,                169037,                              0,               -240000,                -48288,                  1440,               -153816,                  4765,                -32506,                   -280,               -299648,                 27200,                203735,              1336803,              1540538,              1540538,,,,,,,,,,,,,,,,,,,
2486,2015年01月01日至2015年06月30日,,                -98961,                -98961,,,                318670,                  1177,                 -1325,                 20364,                 28290,                 -6975,                    588,                              0,                   -132,                  2000,                362657,,,                303751,                 43616,                   -816,                167346,                    363,                 13544,                 29816,                -31357,                  1440,                527703,,               -254590,                255167,                -39326,                  3443,                   -272,                -35578,                492125,                854782,                755821,                  6975,                -18175,                -12019,                732602,,               -393412,                 22616,                   -903,,                 -2743,               -226071,,,                              0,               -240000,                -45225,                  1459,,                  4765,,                   -280,               -227301,                -35662,                243568,              1336803,              1580371,              1580371,                148371,                 51980,,,,,,,,,,,,,,,,,
2486,2015年01月01日至2015年03月31日,,                 -8857,                 -8857,,,                161976,                    540,                  1988,                  6155,                 14423,                 -2583,                    294,                              0,                     38,                  2000,                184831,,,                160641,                -61735,                    179,                193839,                      3,                  2959,                -35927,                -41344,                    825,                219440,,               -150385,                 72855,                -37051,                    834,                    -12,               -113759,                105681,                290512,                281655,                  2583,                 -8375,                    -12,                275851,,               -239149,                 14164,                   -285,,                 -1432,               -125896,,                              0,                              0,                              0,                -14999,                              0,,                  4642,,                   -180,                116683,                -16996,                249642,              1336803,              1586445,              1586445,                100806,                127237,                    -17,,,,,,,,,,,,,,,,
2486,2014年度,,                258834,                258834,,,                680709,                  1716,                 24059,                  5057,                 57497,                -17872,                  3196,                    592,                 -7461,                 10000,,,,                 17818,                  2874,                    114,               -152955,                  1939,                -13412,                -68862,                -34840,                  3216,               -244108,,                373704,                133208,               -106713,                 -4566,                   -668,                394965,                150857,                904076,              1162910,                 17872,                -43309,                -61368,              1080379,,               -783262,                114747,                 -2152,               -189367,                -22345,               -882379,,               -345258,              1097200,               -820000,                 -7702,                  1125,               -153225,                 18632,,                  1106,               -208122,                 65090,                 54968,              1281835,              1336803,              1336803,,                              0,,,                 -4274,                              0,                753219,                              0,                  4274,                              0,                              0,,,,,,,,
2486,2014年01月01日至2014年09月30日,,                233895,                233895,,,                511201,                  1236,                 20176,                 -5084,                 43600,                -13478,                  2606,                    592,                  3247,                  7000,                571096,,,                -17055,                105481,                    293,               -456671,                  1950,                  5240,               -147649,                -67366,                  2398,               -573379,,                148584,                548278,                -93259,                    843,                   -350,                604096,                 30717,                601813,                835708,                 13478,                -34982,                -49997,                764207,,               -567196,                 67454,                 -1006,                -98652,                -26587,               -625987,,               -403464,              1097200,               -820000,                 -7820,                  1068,               -153225,                 18126,                              0,                  1206,               -266909,                 15290,               -113399,              1281835,              1168436,              1168436,,,,,,,,,,,,,,,,,,,
2486,2014年01月01日至2014年06月30日,,                140841,                140841,,,                344731,                    804,                 10704,                -34840,                 29949,                 -8173,                  1830,                    592,                  6607,                  4000,                356204,,,                 37419,                 93726,                    293,               -341638,                  1907,                 14832,                -81169,                -31196,                  1602,               -304224,,                -56298,                468348,               -104661,                   -461,                   -350,                306578,                  2354,                358558,                499399,                  8173,                -27411,                -20290,                459871,,               -342076,                 51450,                 -1006,,                -18115,               -275213,,,              1097200,               -820000,                -26712,                    880,,                 16650,,                  5800,               -138066,                -18648,                 27944,              1281835,              1309779,              1309779,                 34534,               -411884,,,,,,,,,,,,,,,,,
2486,2014年01月01日至2014年03月31日,,                 57255,                 57255,,,                176694,                    387,                  2356,                -37898,                 15595,                 -1624,                    942,                    592,                    932,                              0,                157976,,,               -148311,                -28802,                    293,                270413,                  1330,                  1572,                -33331,                -36477,                    813,                 27500,,                -55961,                 22083,                -70447,                  2243,                   -118,               -102200,                -74700,                 83276,                140531,                  1624,                -15918,                -12775,                113462,,               -151590,                 45617,                   -106,,                   -479,                -82680,,                -38728,              1097200,               -220000,                -25905,                    909,,                 14373,,                  5800,                833649,                 10033,                874464,              1281835,              2156299,              2156299,                 23878,                              0,                              0,,,,,,,,,,,,,,,,
2486,2013年度,,                250416,                250416,,,                690174,                  1020,                 15910,                -81675,                 76369,                 -2296,                  7291,                 30108,                  9412,                  6200,,,,                 25525,                101019,                   -293,                 94956,                 -1528,                 55027,                144145,                  4932,                  3165,                426948,,                213614,               -251589,                121278,                 12450,                   -390,                 91747,                518695,              1285791,              1536207,                  2296,                -42555,                -69513,              1435961,,               -789928,                 60577,                 -4300,               -218716,                 -4065,               -956432,,                              0,                              0,                              0,                -37528,                 -2294,               -101599,                  4754,,                 12260,               -174133,                 38826,                344222,                937613,              1281835,              1281835,,                135909,,,                 -9526,                 24109,                767096,                 -3616,                  9526,             -2205635,              2020000,,,,,,,,
2486,2013年01月01日至2013年12月31日,,                250416,                250416,,,                690174,                  1020,                 15910,                -82175,                 76369,                 -2296,                  7291,                 30108,                  9412,                  6200,,,,                 25525,                101019,                   -293,                 94956,                 -1528,                 55027,                144145,                  4932,                  3165,                426948,,                213614,               -251589,                121278,                 12450,                   -390,                 91747,                518695,              1285791,              1536207,                  2296,                -42555,                -69513,              1435961,,               -789928,                 60577,                 -4300,               -218716,                 -4065,               -957672,,,,,                -37528,,               -101599,                  4754,,                 13500,               -172893,                 38826,                344222,                937613,              1281835,              1281835,,                135909,                 -2294,,                 -9526,                 24109,                767096,                 -3616,                  9526,             -2205635,              2020000,                    500,                              0,                 -1240,                              0,,,,
2486,2013年01月01日至2013年09月30日,,                184021,                184021,,,                523718,                    681,                  9162,                -48692,                 59660,                 -1404,                  6541,                 13522,                  1039,                  4500,,,,                  8400,                 74650,                   -439,                -26536,                 -3239,                 26424,                 99024,                   -489,                  2371,                180166,,                130732,               -219564,                 52317,                    612,                   -218,                -39737,                140429,                733265,                917286,                  1404,                -24713,                -56853,                837124,,               -528962,                 60055,                 -3300,                              0,                -44807,               -517014,,                              0,                              0,                              0,                -23541,                              0,               -101599,                              0,,                 13500,                 89528,                 17439,                427077,                937613,              1364690,              1364690,,                295246,                 -2243,,,                 24109,                592836,                 -3616,,             -2111835,              2020000,,,,,,,,
