證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不動產、廠房及設備轉列費用數,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 其他非流動資產減少,　　 預付設備款減少,　　　　 股利收入,　　　　　 應付票據－關係人增加（減少）,　　 收取之股利,　　 處分以成本衡量之金融資產,　　　　 其他項目,　　 以成本衡量之金融資產減資退回股款
2313,2015年01月01日至2015年09月30日,,              2603744,              2603744,,,              2063947,                 30883,                  8581,                -13559,                223355,                -75113,                 96899,               -143655,                135280,              2326618,,,                              0,                 69593,             -1491087,               -195061,             -2228331,               -461767,                 24573,             -4282080,,                204591,              3860472,                278031,                 59689,                 17721,                -19974,                -54640,              4345890,                 63810,              2390428,              4994172,                 78998,               -225484,               -317672,              4530014,,                   -156,             -3844735,                199578,                -10607,                  8141,                -23631,                   -762,                -71528,                              0,             -3743700,,              2208360,             -2363769,              3959131,             -3727570,                  4910,                 -1380,               -715092,               -635410,                170300,                321204,              8044726,              8365930,              8365930,,,,,,,,,,,,,
2313,2015年01月01日至2015年06月30日,,              1356914,              1356914,,,              1343024,                 20347,                  3314,                -43015,                146374,                -53713,                 68689,,                -25883,              1459137,,,                              0,                -36378,                947040,               -110924,             -1004959,               -180003,                 24927,               -360297,,                155974,                829297,               -200496,                 15322,                  3793,                -55949,                -36350,                711591,                351294,              1810431,              3167345,                 56470,               -149349,               -210106,              2864360,,,             -2961424,                 58949,                 -5257,                  5884,                -16156,                   -762,                -52184,                              0,             -2970950,,              1049556,               -584238,              1770652,             -1643877,                  3025,                   -983,,                594135,               -138666,                348879,              8044726,              8393605,              8393605,,,,,,,,,,,,,
2313,2015年01月01日至2015年03月31日,,                584630,                584630,,,                672444,                 10149,                  2437,                -53233,                 74544,                -25172,                 42918,,                -15062,                709025,,,,                -22018,              1328917,                -24099,               -207009,                 52794,                 21987,              1150572,,                 33929,                431026,               -489863,                 12539,                  3486,                 39738,                -18008,                 12847,              1163419,              1872444,              2457074,                 29519,                -76527,               -103223,              2306843,,,             -1350119,                 27146,                 -2360,                  3183,                 -4146,,               -111530,,             -1437826,,                277337,               -277337,              1570652,               -564066,                  2793,                   -879,,              1008500,                -50142,              1827375,              8044726,              9872101,              9872101,,,,,,,,,,,,,
2313,2014年度,,              2683856,              2683856,,,              2406815,                 36575,                -16407,                 33712,                252317,                -93701,                117626,                    -25,                280221,,,,                     25,                310784,             -1186804,                 26956,               -646955,               -410236,                 -5472,             -1911702,,                -35213,                925777,                168307,                    171,                 12764,                 10938,,                998003,               -913699,              2103434,              4787290,                 91622,               -247121,               -350452,              4281339,,,             -4808326,                 75859,                -29725,                 20412,                -46239,                -12870,               -102007,                -13646,             -4948096,,              2478465,             -2317958,              7924690,             -5298312,                 33925,                -31712,               -595910,              2193188,               -130353,              1396078,              6648648,              8044726,              8044726,,                              0,              3017133,                -84741,                -31554,,,,,,,,
2313,2014年01月01日至2014年09月30日,,              1644264,              1644264,,,              1745379,                 26111,                -18859,                 11781,                181749,                -69565,                 92269,                    -25,                210902,              2179742,,,                     25,                274354,               -312643,                118333,               -866298,               -393687,                  2156,             -1177760,,                -97393,              1427791,               -104737,                 31949,                  4007,                -25038,                -47919,              1188660,                 10900,              2190642,              3834906,                 70736,               -179234,               -276172,              3450236,,                -32637,             -3601946,                 29950,                -26433,                 17385,                -42949,                -10467,                -55261,                -13646,             -3736004,,              1383934,             -1624608,              6144590,             -3670113,                  6904,                 -5174,               -595910,              1639623,               -260311,              1093544,              6648648,              7742192,              7742192,,,,,,,,,,,,,
2313,2014年01月01日至2014年06月30日,,                871638,                871638,,,              1140190,                 16539,                -24429,                -18474,                121548,                -48403,                 68526,,                246060,              1501557,,,                 -2000,                287202,                688187,                 59665,               -603349,               -317700,                 17244,                129249,,                -47944,                219361,               -335313,                 20502,                    -79,                 49401,                -31078,               -125150,                  4099,              1505656,              2377294,                 45498,               -118799,               -175942,              2128051,,,             -2408722,                 25313,                -15893,                  5581,                -35298,                 -5852,                -23785,                -13646,             -2472302,,                677571,               -679064,              2863550,             -1918738,                  4918,                 -2624,,                945613,               -326447,                274915,              6648648,              6923563,              6923563,,,,,,,,,,,,,
2313,2014年01月01日至2014年03月31日,,                434802,                434802,,,                575099,                  7995,                 -1720,                 -3159,                 60682,                -22722,                 35585,,                 94632,                746392,,,,                140093,                686640,                -30925,                -26554,                -15858,                 16268,                769664,,                -68661,                146500,               -581711,                 29525,                 -2235,                250891,                -14969,               -240660,                529004,              1275396,              1710198,                 25655,                -60993,                -92955,              1581905,,,               -909605,                  5347,                -10514,                  1749,                 -2227,,                -29265,,               -944515,,                 57804,                -57804,              1307700,                -35577,                  2116,                 -2138,,              1272101,                  1465,              1910956,              6648648,              8559604,              8559604,,,,,,,,,,,,,
2313,2013年度,,              2633289,              2633289,,,              2128217,                 30020,                 20101,                 14523,                251634,                -55092,                151382,                              0,                 50635,,,,                  3571,               -361105,                159014,                123138,               -201322,                -58528,                -15517,               -350749,,                -60556,                 59946,                541641,                 21829,                 47003,                -33433,,                510184,                159435,              2750930,              5384219,                 52116,               -249835,               -377085,              4809415,,,             -3037359,                 83365,                -33244,                 60170,                -48259,                 -3097,                  4654,               -148213,             -3121983,,              3017441,             -3589483,              7873195,             -6945837,                  4768,                -12607,               -595910,               -248433,                 91219,              1530218,              5118430,              6648648,              6648648,,                     75,              2591495,                -66246,                              0,,,,,,,,
2313,2013年01月01日至2013年12月31日,,              2633289,              2633289,,,              2128217,                 30020,                 20101,                 14523,                251634,                -55092,                151382,,                 50635,,,,                  3571,               -361105,                159014,                123138,               -201322,                -58528,,               -335232,,                -60556,                 59946,                537182,                 26288,                 47003,                -33433,,                494667,                159435,              2750930,              5384219,                 52116,               -249835,               -377085,              4809415,,,             -3037359,                 83365,                -33244,                 60170,                -48259,                 -3097,                  4654,               -148213,             -3121983,,              3017441,             -3589483,              7873195,             -6945837,                  4768,                -12607,               -595910,               -248433,                 91219,              1530218,              5118430,              6648648,              6648648,,                     75,              2591495,                -66246,,,,                              0,                -15517,                              0,                              0,,
2313,2013年01月01日至2013年09月30日,,              1731035,              1731035,,,              1572875,                 22446,                 13761,                 -7916,                190598,                -32514,                109005,                   -330,                 40447,,,,                  3902,               -195123,                350309,                -41369,               -388654,                -70303,                -25161,               -366399,,               -131979,              1518566,                286905,                 39450,                 49381,                -31599,,              1679709,              1313310,              3221757,              4952792,                 29550,               -191432,               -270709,              4520201,,,             -1913694,                 66833,                 -3865,                 34246,                -41471,                 -1548,                -50874,               -147643,             -2058016,,              2150783,             -2798395,              7273266,             -6032949,                  3187,                -12123,               -595910,                -12141,                 95943,              2545987,              5118430,              7664417,              7664417,,                     75,              1908447,                -51015,                              0,,,,,,,,
