證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金減少,　　 短期借款增加,　　 應付款項增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 收取之股利,　　 處分採用權益法之投資,　　 其他非流動負債增加,　　　　 金融資產減損迴轉利益,　　 採用權益法之被投資公司減資退回股款,　　 取得投資性不動產
3037,2015年01月01日至2015年09月30日,,               -867863,               -867863,,,              6091083,                 65026,                426132,                  1783,                380503,               -137474,                              0,                 10747,                191592,               -113315,                -56928,                -53208,                233925,                              0,                 41848,                 -4883,              7076831,,,                 83356,             -2517715,                -42657,                 16635,                138627,               -330845,                              0,                 -4256,             -2656855,,                142361,              2976515,                -26956,               -122631,                -34762,                 -5283,                  3374,              2932618,                275763,              7352594,              6484731,                224148,               -448008,               -309534,              5951337,,                              0,                 99296,                    800,                -36649,                              0,                  2160,                -62475,                              0,             -7182323,                291482,                 -2464,                -93613,                200155,             -6783631,,               -262657,                              0,              9493650,             -6591702,                 17565,               -761792,               -476238,               -156300,              1262526,                385524,                815756,             21797543,             22613299,             22613299,,,,,,,,,,,,
3037,2015年01月01日至2015年06月30日,,             -1097784,             -1097784,,,              4021169,                 42312,                117077,                  8945,                248039,                -98363,,                  7271,                 69350,               -120476,                -55209,                              0,                 65268,                              0,               -133903,                 -3240,              4168240,,,                 23125,                561658,                -18555,                 48208,                556309,                 62811,,                 21569,              1255125,,                 19580,               -267235,                -69850,               -121125,                -30036,                 -3546,                  1591,               -470621,                784504,              4952744,              3854960,                114805,               -258224,               -206613,              3504928,,,                 94378,,                -15649,,,                -62475,,             -4763770,                291889,                   -199,                -56873,                103755,             -4408944,,              1769300,,              4930850,             -4618604,                  7286,,               -286665,                  1796,              1803963,               -462140,                437807,             21797543,             22235350,             22235350,,,,,,,,,,,,
3037,2015年01月01日至2015年03月31日,,               -751104,               -751104,,,              2018824,                 20656,                  3549,                 14857,                114128,                -51519,,                  3635,                 42085,               -123332,                -19776,                              0,                 32548,                              0,               -104878,                 -1634,              1949143,,,                 42912,              2369017,                  6950,                 56985,                410478,                100701,                              0,                 10150,              2997193,,                 43344,             -1517590,                -66845,               -380538,                -18234,                 -1720,                  1809,             -1939774,              1057419,              3006562,              2255458,                 45277,               -117899,                -58862,              2123974,,                              0,                 36470,,                 -4491,                              0,                              0,                -62475,                              0,             -2261903,                285244,,                -21878,                 83778,             -1943978,,,                              0,              3520900,             -2792719,                  5299,                              0,                -17191,                -41813,              2060155,               -229768,              2010383,             21797543,             23807926,             23807926,                  1277,              1385679,                              0,,,,,,,,,
3037,2014年度,,                404687,                404687,,,              7993464,                 69930,                -70264,                 -2939,                458493,               -217699,                -31649,                  5611,                139443,                 16023,                -22573,                 12069,                268797,                 19955,                 -3553,                 -6591,,,,               -205918,             -2233568,                -29160,                231433,             -1049200,               -410105,                              0,                -29577,             -3726095,,                 15862,                467372,                 76347,              1242587,                 27357,,                  2032,              1821698,             -1904397,              6724120,              7128807,                211704,               -473212,               -275804,              6623144,,                              0,                 51508,,                -88752,                              0,                  2400,               -231689,                              0,            -10279293,                116841,                  5986,                -92035,                199710,            -10282024,,              1530747,                              0,             13944699,            -13206124,                -34090,               -923164,               -346289,                -41266,                924513,                755080,             -1979287,             23776830,             21797543,             21797543,,,,,              8628517,                 -9859,                 31649,                 33300,                              0,,,
3037,2014年01月01日至2014年09月30日,,                942751,                942751,,,              5960174,                 48247,                -48247,                 -1840,                332038,               -165697,                              0,                  1976,                 95161,                  9524,                -14737,                 29804,                 88955,                  8943,                 44086,                 -4740,              6383647,,,                -77562,             -2332300,                -17280,                280219,             -1332152,               -372924,                              0,                -32588,             -3884587,,                 56029,              1089601,                106151,                 50865,                 49627,                 -5435,                              0,              1346838,             -2537749,              3845898,              4788649,                171787,               -361124,               -201530,              4397782,,                              0,                 35270,                              0,                -61049,                              0,                  2400,                -35375,                              0,             -7418380,                104928,                 -9385,                -63656,                 16974,             -7428273,,              3061409,                              0,              8578878,            -10493940,                -23907,               -923164,               -161561,                  9069,                 46784,                 91987,             -2891720,             23776830,             20885110,             20885110,,,,,,,,,,,,
3037,2014年01月01日至2014年06月30日,,                356570,                356570,,,              3998724,                 30600,                -71053,                  1918,                219102,               -117767,,                              0,                -12299,                  2785,                -11791,                 29804,                 49809,                  8943,                105563,                 -3166,              4231172,,,               -104855,               -858334,                  2531,                156276,             -1016673,               -301926,,                 20060,             -2102921,,                 20599,                441241,                110738,                -76105,                 41985,                 -3738,                              0,                534720,             -1568201,              2662971,              3019541,                115423,               -191782,               -107731,              2835451,,,                 28841,,                -61049,,,                              0,,             -5423322,                 85089,                  1463,                -36226,                  9871,             -5395333,,              1266199,,              4167875,             -5322825,                 -2823,,               -161561,                -21066,                -74201,               -117475,             -2751558,             23776830,             21025272,             21025272,,,,,,,,,,,,
3037,2014年01月01日至2014年03月31日,,                 84530,                 84530,,,              2013141,                 14732,                -54130,                -11697,                104733,                -58269,,                              0,                 -3392,                 -2945,                 -5569,                 29804,                 35114,                  8943,                144623,                 -1605,              2213483,,,                -98025,                100144,                 -4667,                212696,               -274853,               -136865,                              0,                  4780,               -196790,,                 39608,               -416152,                 50907,               -344048,                 61668,                 -1534,                              0,               -609551,               -806341,              1407142,              1491672,                 52185,                -90361,                -50238,              1403258,,                              0,                 14478,,                              0,                              0,                              0,                              0,                              0,             -2607121,                 33528,,                -13557,                 22023,             -2544914,,,                              0,              1745594,             -3033871,                 -4689,                              0,                              0,                 59329,             -1497876,                104447,             -2535085,             23776830,             21241745,             21241745,                  5735,               -281041,                 16802,,,,,,,,,
3037,2013年度,,              1213143,              1213143,,,              7987287,                 56110,                -55544,                -19142,                445549,               -193090,                -22792,                              0,                141868,                 32922,                -57167,               -159897,                288659,                405450,               -153688,                -10801,,,,                192034,              2608769,                 20455,               -106518,                816085,                -24861,                    393,                -87564,              3418793,,                 16569,             -2672419,               -294029,               -455702,                 -8381,,                              0,             -3422349,                 -3556,              8682168,              9895311,                201072,               -443929,               -673005,              9002241,,                              0,                 21856,,               -103185,                 98353,                  3002,               -125337,               -183947,            -10349204,                213263,                -24972,                -67156,                123554,            -10088313,,               -739538,                -19480,              9931383,            -10256558,                 45849,             -1692467,                              0,                131261,             -2574928,                412893,             -3248107,             27024937,             23776830,             23776830,,,,,              8685724,                 -8387,                 22792,                305460,                 24622,,,
3037,2013年01月01日至2013年12月31日,,              1213143,              1213143,,,              7987287,                 56110,                -55544,                -19142,                445549,               -193090,,,                141868,                 32922,                -57167,               -159897,                288659,                405450,               -153688,                -10801,,,,                192034,              2608769,                 20455,               -106518,                816085,                -24861,                    393,                -87564,              3418793,,                 16569,             -2672419,               -294029,               -455702,                 -8381,,,             -3422349,                 -3556,              8704960,              9918103,                201072,               -443929,               -673005,              9002241,,                              0,                 21856,,               -103185,                 98353,                  3002,               -125337,               -183947,            -10349204,                213263,                -24972,                -67156,                123554,            -10088313,,               -739538,                -19480,              9931383,            -10256558,                 45849,             -1692467,,                131261,             -2574928,                412893,             -3248107,             27024937,             23776830,             23776830,,,,,              8708516,                 -8387,,                305460,                 24622,,                              0,
3037,2013年01月01日至2013年09月30日,,              1476402,              1476402,,,              6005101,                 40948,                -27842,                -23026,                326969,               -138302,,                              0,                 95800,                 17085,                -53637,                -25514,                237577,                212687,               -136194,                 -6639,,,,                220500,                715482,                 25820,                 -7490,                492396,               -132689,                    393,                -79157,              1235255,,                 30802,             -2031168,                -69857,                 84502,                -37486,,,             -2029857,               -794602,              5730411,              7206813,                138951,               -337586,               -636183,              6371995,,                              0,                 15776,,                -90988,                 88057,                              0,                -66337,               -167037,             -7453224,                160110,                -17240,                -48503,               -122455,             -7701841,,                 46260,                -19484,              6696433,             -6661434,                 37665,             -1692467,                              0,                 28963,             -1564064,                325093,             -2568817,             27024937,             24456120,             24456120,,,,,              6525013,                 -6650,,,,,,
3037,2013年01月01日至2013年06月30日,,              1053073,              1053073,,,              3950552,                 26417,                -25523,                -16713,                225660,                -88115,,,                  4518,                 18453,                -52575,                              0,                180793,                263643,                -22378,                              0,,,,                 70178,                921140,                -10607,                -68605,                494734,                -37589,                    393,                -81027,              1288617,,                 29803,             -1442552,                -43587,                253617,                -13545,,,             -1221200,                 67417,              4532149,              5585222,                 79707,               -259968,               -430844,              4974117,,                              0,                 12519,,                -82988,                 88057,                              0,                -66337,               -175452,             -4014108,                121162,                -23327,                -33893,                 10537,             -4163830,,                839687,                -19498,              1550000,             -4712541,                 44528,,                              0,                187834,             -2109990,                258262,             -1041441,             27531243,             26489802,             26489802,,,,,              4464732,                 -4936,,,,,,
