證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 償還長期借款,　　 發放現金股利,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分投資損失（利益）,　　　　　 應付票據－關係人增加（減少）,　　 舉借長期借款,　　 現金增資,　　　 不影響現金流量之收益費損項目,　　　　 攤銷費用,　　　　 除列按攤銷後成本衡量金融資產淨損失（利益）,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　 取得採用權益法之投資,　　 其他投資活動,　　 取得以成本衡量之金融資產,　　　　 其他項目,　　 短期借款增加,　　 存出保證金減少,　　　　　 應付建造合約款（增加）減少
4755,2015年01月01日至2015年09月30日,,                173560,                173560,,,                137181,                   -433,                  1622,                   -588,                 -1605,                  4359,                -17516,                    -11,                 -3516,                  4279,                123772,,,                 38222,                 40800,               -132914,                  3431,                  4160,                 33501,                 39983,                 -5120,                -54387,                -32324,,                 -1783,                 67608,                  4684,                 -8901,                 70140,                 -2430,                 -6208,                123110,                 90786,                214558,                388118,                    588,                  3019,                 -2561,                -24638,                364526,,                  4720,                -37671,                     11,                   -194,                              0,               -138139,               -171273,,                  5000,                      4,                -14394,                -62457,                  5680,                -66167,                  2844,                129930,                139261,                269191,                269191,,,,,,,,,,,,,,,,,,
4755,2015年01月01日至2015年06月30日,,                100644,                100644,,,                 91871,                   -433,                  1254,                   -433,,                  3714,                -19094,                    -11,                   -272,                  4279,                 80875,,,                 26665,                 40800,                -57150,                 -1015,                -33625,                 37998,                 43642,                 12469,,                 69784,,                 -3562,                 27321,                    778,                 -7161,                  8685,                   -603,                 -1034,                 24424,                 94208,                175083,                275727,                    433,                              0,                 -1633,                -14803,                259724,,                    363,                -23902,                     11,                      6,                              0,                -54934,                -78456,,                  5000,                      1,                 -9596,,                     10,                 -4585,                 -1836,                174847,                139261,                314108,                314108,,,,,,,,,,,,,,,,,,
4755,2015年01月01日至2015年03月31日,,                 40335,                 40335,,,                 45959,                  3092,                    848,                   -176,,                  1717,                -12279,,,                   -721,                 38168,,,                 13778,                 40800,                 20335,                  5816,                -34575,                  3716,                 43676,                 -2926,,                 90620,,                 -1833,                 49640,                  3176,                -13120,                 -1931,                 -2843,                     -7,                 33082,                123702,                161870,                202205,                    176,,                   -807,                     -1,                201573,,                    363,                -11782,,                    -23,                              0,                -22610,                -34052,,                -60000,,                 -4798,,,                -64788,                   -814,                101919,                139261,                241180,                241180,                   -272,                              0,                              0,                     10,,,,,,,,,,,,,,
4755,2014年度,,                171973,                171973,,,                189181,                    444,                  4179,                   -902,                 -1605,                  9549,                  5901,                   -108,                              0,                  1056,,,,                -23708,                -40800,                -15371,                    379,                -37045,                 27093,                -41609,                 -8634,                              0,               -139695,,                  3836,                 16441,                 -3440,                  4584,                  1200,                  1641,,                 20632,               -119063,                 46588,                218561,                    902,                  2181,                 -3992,                -25329,                192323,,                 52171,                -73786,                    197,                  1847,                              0,                -66999,                -86570,,                -46841,                      6,                -19192,                -59840,                 12230,               -133001,                  4273,                -22975,                162236,                139261,                139261,                -42044,,                -19364,                              0,,                              0,                              0,                              0,                165651,                 -3630,                              0,                              0,                              0,,,,,
4755,2014年01月01日至2014年09月30日,,                119823,                119823,,,                142941,                 -2756,                  3281,                   -660,                 -1605,                  7794,                -26845,                   -124,                -40941,                    842,                 81927,,,                -28033,                              0,                 -5339,                  2863,                   -267,                139446,                 -9728,                 -5805,                              0,                 93137,,                  1948,                -28104,                 -7482,                    582,                -15891,                 -1002,                    813,                -49136,                 44001,                125928,                245751,                    660,                  2181,                 -3315,                -25148,                220129,,                 50704,                -65450,                    188,                  1912,                    -24,                -23565,                -36235,,                -61841,                      2,                -33014,                -59840,                 12030,               -142663,                  1418,                 42649,                162236,                204885,                204885,,,,,,,,,,,,,,,,,,
4755,2014年01月01日至2014年06月30日,,                 76960,                 76960,,,                 95883,                 -2756,                  2336,                   -474,,                  6213,                -14670,                   -124,                -32219,                              0,                 54189,,,                  6387,                              0,                -13386,                  5238,                              0,                 57894,                 -2231,                -12331,,                 41571,,                  3729,                 50793,                 -5504,                 -5383,                -18896,                    -69,                  1374,                 26044,                 67615,                121804,                198764,                    474,                    576,                 -2332,                -14401,                183081,,                 40150,                -54166,                    188,                    -74,                    -24,                -17977,                -31903,,                -56841,                      1,                -25997,,                              0,                -82837,                    131,                 68472,                162236,                230708,                230708,,,,,,,,,,,,,,,,,,
4755,2014年01月01日至2014年03月31日,,                 12907,                 12907,,,                 48011,                              0,                  1240,                   -183,,                  2798,                   -997,,,                              0,                 50869,,,                   -348,                              0,                 31348,                  7195,                              0,                 77856,                -15331,                 -3810,,                 96910,,                  1948,                -14670,                 -2919,                  3727,                -31594,                   -414,                    686,                -43236,                 53674,                104543,                117450,                    183,,                 -1244,                   -510,                115879,,                              0,                -30371,,                     15,                    -24,                -14197,                -44577,,                -31841,,                 -4802,,,                -50833,                  1529,                 21998,                162236,                184234,                184234,                              0,                              0,                -14190,                              0,,,,,,,,,,,,,,
4755,2013年度,,                177404,                177404,,,                173651,                -25179,                  5160,                   -503,                   -963,                 12917,                -31044,                              0,                              0,                 -1699,,,,                 16882,                              0,                 20141,                  5323,                  1945,                -56418,                 24500,                107456,                     68,                119897,,                 -4554,               -108232,                -12734,                  6985,                -47467,                    114,,               -166277,                -46380,                 87747,                265151,                    503,                  1827,                 -3651,                -68725,                195105,,                              0,                -20550,                              0,                    -69,                    -40,               -225027,               -290186,,                 62962,                  9919,                -43278,                -51797,                              0,                192200,                    464,                 97583,                 64653,                162236,                162236,                              0,,                -17606,                232000,,                              0,                              0,                  1787,                134127,                   -321,                    -68,                -44500,                              0,,,,,
4755,2013年01月01日至2013年12月31日,,                177404,                177404,,,                173651,                -25179,                  5160,                   -503,                    864,                 12917,                -31044,                              0,                              0,,,,,                 16882,,                 20141,                  5323,                  1945,                -56418,                 24500,                107456,                     68,                119897,,                 -4554,               -108232,                -12734,,                -47467,                    114,,               -166277,                -46380,                 89574,                266978,                    503,,                 -3651,                -68725,                195105,,,                -20550,                              0,                    -69,                    -40,               -225027,               -290186,,                 62962,                  9919,                -60884,                -51797,,                192200,                    464,                 97583,                 64653,                162236,                162236,,,,                232000,,                              0,                              0,                  1787,                135954,                   -321,                    -68,                -44500,                              0,                              0,                 -1699,,,                  6985
4755,2013年01月01日至2013年09月30日,,                155678,                155678,,,                129164,                -25179,                  3544,                   -308,                    864,                  8921,                -34634,                              0,                              0,                 -1699,,,,                 13309,,                 66383,                  6270,                  1514,                -29369,                 22836,                 94554,                     68,                175565,,                 -2774,                -48555,                -11736,                 -1888,                -27780,                   -357,,                -94066,                 81499,                163959,                319637,                    308,,                 -5118,                -68443,                246384,,,                -27723,                              0,                    -80,                    -13,               -204999,               -277315,,                204971,                    -65,                -47905,                -51797,                              0,                105204,                   -195,                 74078,                 64653,                138731,                138731,                              0,,                              0,,,                              0,,                  1787,                 82460,                   -908,                    -68,                -44500,                              0,                              0,,,,
