證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　 其他非流動資產增加,　　 其他投資活動,　　　　　 應收票據（增加）減少,　　　　　 應付票據增加（減少）,　　 存出保證金減少,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 營業活動之付現類別,　　　 營業活動之付現類別合計,　　 取得備供出售金融資產,　　 其他籌資活動,　　 其他金融資產增加
1463,2015年01月01日至2015年09月30日,,                 55816,                              0,                 55816,,,                 28555,                 -1797,                              0,                 -4881,                 -6922,                -12902,                   -377,                  1676,,,                 -2698,               -194363,                -20696,                 53035,                 67900,                -96822,,                -17009,                 69697,                -45268,                 -2222,                  5198,                -91624,                -89948,                -34132,                  4881,                  6922,                              0,                 -3473,                -25802,,                -21600,                  3000,                  4373,                 -7250,                    190,                 -1258,                -22545,,                137600,                              0,                -85994,                              0,                 51606,                              0,                  3259,                555415,                558674,                558674,,,,,,,,,,,,,,,,,,,,
1463,2015年01月01日至2015年06月30日,,                 31088,                              0,                 31088,,,                 19362,                   -669,                              0,                 -3434,,                 -6649,                   -809,                  7801,,,                  1459,               -149872,                 -8237,                 48799,                -12415,               -120266,,                  2942,                 42335,                -38406,                 -1467,                  5404,               -114862,               -107061,                -75973,                  3434,,                              0,                 -3404,                -75943,,                              0,                              0,                  1045,                 -5474,                    190,                 -2219,                 -6458,,                101800,                              0,,                              0,                101800,                              0,                 19399,                555415,                574814,                574814,,,,,,,,,,,,,,,,,,,,
1463,2015年01月01日至2015年03月31日,,                 24278,                              0,                 24278,,,                  9837,                     66,                              0,                 -1662,,                 -7934,                   -365,                    -58,,,                -14597,                -75557,                 -8237,                 58479,                -18013,                -57925,,                 -7302,                 29223,                -33867,                   -713,                -12659,                -70584,                -70642,                -46364,                  1662,,                              0,                 -2040,                -46742,,                              0,,,                 -1500,                    190,                 -1180,                 -2490,,                 30000,,,                              0,                 30000,                              0,                -19232,                555415,                536183,                536183,,,,,,,,,,,,,,,,,,,,
1463,2014年度,,                 63083,                 40342,                103425,,,                 75617,                 -5731,                  2281,                 -8512,                 -5588,                 -3126,                -67235,,,,                -60943,               -264968,                -49708,                 21467,                -72241,               -426393,,                 90444,                231716,                -70422,,                247811,               -178582,               -179434,                -76009,                  8512,                  5588,                 -2281,                 -5704,                -69894,,                -13084,                  6511,                  3817,               -135525,                    351,                  1186,               -148846,,                 97274,                  1029,                -48546,                 73264,                123021,                     -4,                -95723,                651138,                555415,                555415,,                   -351,                 -3207,                 15000,                   -852,                 -3927,,,                -69894,                              0,                -12102,,,,,,,,,
1463,2014年01月01日至2014年09月30日,,                 56481,                -24744,                 31737,,,                 58528,                 -4562,                  1780,                 -5715,                 -4922,                              0,                 -1498,                 43611,,,                -17358,               -159778,                -38554,                 36013,                -73427,               -253104,,                -16010,                152037,                -85768,                 -3244,                 47015,               -206089,               -162478,               -130741,                  5715,                  4922,                 -1780,                 -5166,               -127050,,                -13084,                  6511,                              0,                -98467,                    785,                  3698,               -100557,,                 41662,                  1029,                -48546,                132233,                126378,                  1138,               -100091,                651138,                551047,                551047,,,,,,,,,,,,,,,,,,,,
1463,2014年01月01日至2014年06月30日,,                 35302,                -14733,                 20569,,,                 38718,                 -6580,                  1047,                 -3870,,                              0,                 -1732,                 27583,,,                 -3617,                -97043,                -19277,                 16494,                  2922,               -100521,,                  5087,                105003,                -78252,                 -2568,                 29270,                -71251,                -43668,                -23099,                  3870,,                 -1047,                 -5126,                -25402,,                -13084,                  6511,                              0,                -37764,                    337,                  3844,                -40156,,                 37143,                    548,,                115962,                153653,                   -711,                 87384,                651138,                738522,                738522,,,,,,,,,,,,,,,,,,,,
1463,2014年01月01日至2014年03月31日,,                 11805,                 -6104,                  5701,,,                 19335,                   -347,                    491,                 -1725,,                              0,                   -105,                 17649,,,                -23001,                -17084,                              0,                 15404,                 -7083,                -31764,,                -33380,                 40303,                -88130,                 -1893,                -83100,               -114864,                -97215,                -91514,                  1725,,                   -491,                 -1060,                -91340,,                 -6510,,,                 -7054,                    105,                  3943,                 -9516,,                 31651,,,                 58042,                 89693,                  1692,                 -9471,                651138,                641667,                641667,,,,,,,,,,,,,,,,,,,,
1463,2013年度,,                 69172,                 -9189,                 59983,,,                 71067,                  7267,                  2390,                -20183,                 -5026,                              0,                              0,,,,                -39430,               -248408,                -96386,                -12868,                -29389,               -426481,,                 37527,                269486,                107207,,                411677,                -14804,                 45968,                105951,                 20183,                  5026,                 -2390,                 -1874,                126896,,                   -900,                              0,                              0,                -94870,                  3899,                 -8950,               -100821,,                 19612,                  1831,                              0,                              0,                 21443,                  1151,                 48669,                602469,                651138,                651138,,                 -2343,                              0,                  7600,                 60772,                 -2543,,,                126896,                              0,                              0,,,,,,,,,
1463,2013年01月01日至2013年12月31日,,                 59983,,                 59983,,,                 71067,                  7267,                  2390,                -20183,                 -5026,,                              0,,,,                -39430,               -248408,,                -12868,,               -300706,,                 37527,                237358,                 42949,,                315291,                 14585,                 45968,                105951,                 20183,                  5026,                 -2390,                 -1874,                126896,,                   -900,                              0,,                -94870,                  3899,                 -8950,               -100821,,                 19612,                  1831,,                              0,                 21443,                  1151,                 48669,                602469,                651138,                651138,,                 -2343,,                  7600,                 31383,                 -2543,,,,,,,,,                -29389,,,                              0,,
1463,2013年01月01日至2013年09月30日,,                 -4293,,                 -4293,,,                 52320,                 14747,                  1609,                 -5327,                 -4402,,,,,,,               -133441,                -77109,               -153747,                -42813,               -441268,,,                226270,                176370,,                423901,                -17367,                 48229,                 43936,                  5327,                  4402,                              0,                 -1709,                 51956,,                   -900,                              0,,                -76566,                  2353,,                -82532,,                  9753,                  1876,                              0,                              0,                 11629,                    548,                -18399,                602469,                584070,                584070,,                   -844,                   -107,                  7600,                 65596,                 -1901,,,,,,                -34158,                 23162,                 -7419,,,,,,
