證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 避險之衍生金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 生物資產（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 避險之衍生金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得持有至到期日金融資產,　　 以成本衡量之金融資產減資退回股款,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產增加,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他金融負債增加,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他投資活動,　　 其他非流動負債增加,　　 其他非流動負債減少,　　　 不影響現金流量之收益費損項目,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 處分以成本衡量之金融資產,　　 其他借款增加,　　 取得子公司股權,　　　　　 其他應收款－關係人（增加）減少,　　　　 處分其他資產損失（利益）,　　 現金增資,　　 採用權益法之被投資公司減資退回股款
1613,2015年01月01日至2015年09月30日,,               -368039,               -368039,,,                253963,                 16282,                    252,                287940,                -31698,                 -3185,                  1208,                  4882,                 -1347,                100655,                628952,,,                              0,                              0,                183679,              1260672,                318763,                -38111,               -262875,                 92136,                158064,              1712328,,                     29,                 -5586,                464031,             -1386456,                -33397,                 30155,                -11164,               -942388,                769940,              1398892,              1030853,                 31698,                  3185,               -290325,                 -5290,                770121,,                -52398,                  3960,                              0,               -139331,                     26,                293226,                 -3107,                -14377,                 87999,,             14733280,            -15288014,                 44400,                -46500,                213500,               -449582,               -281458,                -26220,                  2200,             -1098394,                 21782,               -218492,              2569476,              2350984,              2350984,,,,,,,,,,,,,,,,
1613,2015年01月01日至2015年06月30日,,               -241380,               -241380,,,                168686,                 10630,                    242,                196059,                -21838,                   -884,                 -3532,                  4754,,                 46441,                400558,,,                   -844,                              0,                392891,                642519,                125246,                -23233,               -345619,                 84506,                152573,              1028039,,                 -3915,                 -5014,                894710,               -927923,                 76809,                 98324,                 -2596,                130395,              1158434,              1558992,              1317612,                 21838,                    884,               -199054,                 -5131,              1136149,,                -50951,                  3960,                              0,                -78367,                     18,                348178,                 -6686,                -10463,                205689,,             10021026,            -11348638,                 30300,                -31700,                 31000,               -188337,               -221216,,,             -1738850,                -49095,               -446107,              2569476,              2123369,              2123369,                              0,                              0,                -31285,,,,,,,,,,,,,
1613,2015年01月01日至2015年03月31日,,               -219478,               -219478,,,                 87284,                  5241,                    247,                 98213,                -11460,,                   -100,                    -19,,                 32366,                211772,,,                              0,                -73060,                284778,                796006,                107382,                 -9675,               -553995,                 63414,,                614850,,                 -3943,                 21218,                264987,             -1338806,                145171,                 60384,                 -1287,               -852276,               -237426,                -25654,               -245132,                 11460,,                -98744,                   -413,               -332829,,                -51263,,                              0,                -56666,                     19,                396541,                              0,                 -6007,                282624,,              6808882,             -6975967,                 15500,                -16200,                 31000,                -96150,                 24709,,,               -223869,                -28522,               -302596,              2569476,              2266880,              2266880,,                -15643,,,,,,,,,,,,,,
1613,2014年度,,               -231267,               -231267,,,                328852,                 19574,                -32024,                426769,                -98999,                 -2444,                -10538,                 16919,,,,,,,                 37833,                778454,               -658819,                182260,                -34263,                 93172,,                 26134,                424771,,                     49,                 15070,                -10989,              2245830,                 -4560,,,              2251764,              2676535,              3279785,              3048518,                 98999,                  2444,               -486261,                 32772,              2696472,,,                              0,,               -242325,                  4273,              2650430,                -13450,,              2398928,,             21321941,            -27236626,                 66600,                -68400,                209000,               -337179,               -417497,,                 56000,             -6315727,                154019,             -1066308,              3635784,              2569476,              2569476,,,,,                -49859,                  5000,                603250,                 21692,                -15328,                              0,                 92281,                 -1847,,,,
1613,2014年01月01日至2014年09月30日,,               -193924,               -193924,,,                248186,                 14144,                              0,                353045,                -78509,                   -464,                -10253,                 18510,                              0,                 -4625,                540034,,,                 25494,                 17451,                -55472,               -393258,               -111464,                -25230,               -250639,                -18483,                 21070,               -790531,,                 -4433,                 -9144,                -26149,              2403836,                 23799,                128531,                -11288,              2505152,              1714621,              2254655,              2060731,                 78509,                    464,               -411059,                 29869,              1758514,,                              0,                              0,                 -1688,               -167026,                    102,              2074923,                   -275,                 -3544,              1902492,,             17893168,            -22505662,                 50400,                -52200,                 96500,               -245576,               -172547,                 45354,                 56000,             -4834563,                 19787,             -1153770,              3635784,              2482014,              2482014,,,,,,,,,,,,,,,,
1613,2014年01月01日至2014年06月30日,,               -131288,               -131288,,,                165733,                 10853,                              0,                239846,                -58095,                   -464,                 -2037,                  2530,,                 -4649,                353717,,,                 25326,                  7307,               -682187,               -607831,               -308630,                -23674,               -282637,                -16669,                 70112,             -1818883,,                  9061,                    534,                134620,              1665459,                 10570,                240574,                 -5662,              2055156,                236273,                589990,                458702,                 58095,                    464,               -279828,                 30492,                267925,,                              0,                              0,                 -1688,               -113938,                     86,              1789406,                   -811,                 -6417,              1668638,,             14555392,            -17385983,                 34200,                -35400,                 29000,               -163775,                -38962,,,             -2972262,                -24597,             -1060296,              3635784,              2575488,              2575488,                  2000,                 33266,                              0,,,,,,,,,,,,,
1613,2014年01月01日至2014年03月31日,,               -115767,               -115767,,,                 82727,                  4748,                              0,                126718,                              0,,                  1347,                     52,,                 -1358,                214234,,,                 25681,                 24182,               -304234,               -256505,               -260564,                 -5551,                327875,                -21510,,               -470626,,                  7035,                -25969,                295226,              1687894,               -125229,                 70010,                 -1904,              1907063,              1436437,              1650671,              1534904,                              0,,               -167269,                 30993,              1398628,,                              0,,                   -100,                -48161,                     76,              1647506,                    597,                 -3072,              1596846,,              5784341,             -9377046,                 17400,                -18000,                 29000,                -81175,                 15951,,,             -3629529,                 35521,               -598534,              3635784,              3037250,              3037250,,                              0,,,,,,,,,,,,,,
1613,2013年度,,                -63937,                -63937,,,                370815,                 37070,                    941,                500963,               -140197,                 -2537,                 -2156,                  1055,,,,,,,                -12971,               -989776,                297351,                586730,                -25787,               -209620,,                -16701,               -370774,,                   -901,                 13313,                 16044,               -999584,                230476,,,               -941605,             -1312379,               -546171,               -610108,                140197,                              0,               -490710,                -48479,             -1009100,,,               -238719,,               -241899,                  2006,             -1966652,                 -7518,,             -2441817,,             23713593,            -20650058,                 73500,                -75100,                 48000,               -252642,                 -1681,,                  2000,              2857019,                 73364,               -520534,              4156318,              3635784,              3635784,,,,,                    254,                              0,                766208,               -199039,                 -1914,                 10965,                              0,                   -593,,,,
1613,2013年01月01日至2013年12月31日,,                -63937,                -63937,,,                370815,                 37070,                    941,                500963,,                 -2537,                 -2156,                  1055,,,,,,,                -12971,               -989776,                297351,                586730,                -25787,               -209620,,                -16701,               -370774,,                   -901,                 13313,                 16044,               -999584,                230476,,,               -941605,             -1312379,               -405974,               -469911,,,               -490710,                -48479,             -1009100,,,               -238719,                   -593,               -241899,                  2006,             -1966652,                 -7518,,             -2440410,,              3063535,,                 -1600,,,               -204642,                 -1681,,,              2855612,                 73364,               -520534,              4156318,              3635784,              3635784,                  2000,,,,                    254,,                906405,               -199039,                 -1914,                 10965,,,,,                              0,
1613,2013年01月01日至2013年09月30日,,               -117168,               -117168,,,                280558,                 31680,                    941,                387006,                -98854,                 -1457,                  8853,                    -98,,                    127,,,,                 -6141,                  9390,               -894021,                295974,                306159,                -10404,                -59020,                  8108,                438465,                 88510,,                 -5496,                 -9395,                336626,                197447,                -49722,                -87227,,                382998,                471508,              1080264,                963096,                 98854,                  1457,               -377732,                -48121,                637554,,,                  8428,                   -323,               -187712,                    633,             -2197566,                -93485,                 77063,             -2392962,,             10563685,             -9214386,                 18000,                -19600,                 36000,               -182731,                322174,                              0,               -238719,              1284423,                 79328,               -391657,              4156318,              3764661,              3764661,,,,,,,                608756,,                    765,,,,,,,
