證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 存出保證金減少,　　 其他應收款－關係人增加,　　 其他金融資產減少,　　 存入保證金減少,　　　　　 預付款項（增加）減少,　　 短期借款減少,　　 停業單位稅前淨利（淨損）,　　 存出保證金增加
3593,2015年01月01日至2015年09月30日,,               -132958,               -132958,,,                 28336,                 27570,                  1380,                 11625,                   -462,                  9353,                              0,                 -2706,                 -4478,                              0,                 70618,,,                    249,                 25607,                 -3413,                    319,                  8665,                -11137,                              0,                -17465,                  2825,,                -15528,                -16741,                 -2174,                 -4859,                    -21,                  7580,                -31743,                -28918,                 41700,                -91258,                    462,                 -7324,                   -354,                -98474,,                              0,               -135294,                 87811,                 -4450,                -64358,               -116291,,                 88978,                 24069,                    262,                113309,                    447,               -101009,                189253,                 88244,                 88244,,,,,,,,,,,,,,,
3593,2015年01月01日至2015年06月30日,,               -113705,               -113705,,,                 18565,                 18843,                    340,                  6622,                   -664,                 18836,                              0,                 -6402,                 10993,,                 67133,,,                   -596,                 26586,                 -9257,                 -2161,                  5978,                  3322,                              0,                -20280,                  3592,,                -14936,                -27219,                -20308,                 -1876,                    -31,                 28768,                -35602,                -32010,                 35123,                -78582,                    664,                 -5079,                    397,                -82600,,,               -100384,                 12652,                 -1254,                -48982,               -137968,,                 85012,,                    247,                 85259,                 -2723,               -138032,                189253,                 51221,                 51221,,,,,,,,,,,,,,,
3593,2015年01月01日至2015年03月31日,,                -47945,                -47945,,,                  9695,                  9657,                     75,                  1748,                    -32,                 18542,,                 -6402,                  3742,,                 37025,,,                    531,                 27714,                 -6719,                    189,                  6493,                 -9170,,                 -3953,                 15085,,                   -169,                -31806,                 -9800,                 -3168,                 23558,                  2894,                -18491,                 -3406,                 33619,                -14326,                     32,                 -1748,                  1034,                -15008,,,                -48030,                  7290,                   -197,                 -9468,                -50405,,                 19737,,,                 19737,                 -1485,                -47161,                189253,                142092,                142092,                              0,,,,,,,,,,,,,,
3593,2014年度,,               -195452,               -195452,,,                 32881,                  1039,                 -3680,                  1540,                 -8066,                  3463,                 91014,                -35458,                 -5544,                              0,,,,                   -531,                 18184,                -41017,                  1296,                    -52,                 33982,                  1632,                 -4954,                  8540,,,                 26372,,                  3190,                     77,                   -403,                 29236,                 37776,                114965,                -80487,                  8286,                 -1540,                  6048,                -67693,,                              0,                -22646,                182521,                   -842,,               -586805,,                -87547,,,                -87553,                  5750,               -736301,                925554,                189253,                189253,                              0,,                              0,                              0,                 77189,                              0,               -500821,                 -1070,               -243947,                              0,                     -6,,,,
3593,2014年01月01日至2014年09月30日,,               -103825,               -103825,,,                 24534,                    721,                 -4230,                  1602,                 -6246,                  1452,                 21264,                -34932,                  1048,                 -3961,                  1252,,,                              0,                 12614,                -15217,                              0,                              0,                    155,                 36564,                   -926,                 33190,,                              0,                  6445,                              0,                 -6751,                              0,                 10677,                 10371,                 43561,                 44813,                -59012,                  6467,                 -1602,                  6013,                -48134,,                135343,                              0,                  1439,                   -842,                -59977,                 75963,,                -91105,                              0,                     -6,                -91111,                  3149,                -60133,                925554,                865421,                865421,,,,,,,,,,,,,,,
3593,2014年01月01日至2014年06月30日,,               -106560,               -106560,,,                 21203,                    471,                 -3311,                  1224,                 -2526,                    -23,                 36034,                -34932,                    355,,                 18495,,,                              0,                  3185,                              0,                              0,                              0,                 36344,                  1632,                 -5336,                 35825,,                              0,                 -4838,                              0,                 -5148,                              0,                -16364,                -26350,                  9475,                 27970,                -78590,                  2637,                   -626,                  9591,                -66988,,,                              0,                    115,                              0,                   -858,                   -743,,                  2126,,                     -6,                  2120,                -11132,                -76743,                925554,                848811,                848811,,,,,,,,,,,,,,,
3593,2014年01月01日至2014年03月31日,,                -29318,                -29318,,,                 10890,                    307,                   -722,                    618,                 -1350,                              0,,                 -5207,                    -34,,                  4502,,,                              0,                  6030,                              0,                              0,                              0,                  4491,,                 -3248,                  7273,,                              0,                 -1831,                              0,                  2478,                              0,                -17165,                -16518,                 -9245,                 -4743,                -34061,                  1353,                 -1224,                  9589,                -24343,,,                              0,                              0,                     30,                              0,                     30,,                  2480,,,                  2480,                 -1336,                -23169,                925554,                902385,                902385,                              0,,,,,,,,,,,,,,
3593,2013年度,,               -457762,               -457762,,,                 62592,                  2184,                  2202,                  3391,                -10919,                 31294,                100518,                -65473,                  6840,                  3969,,,,                              0,                205030,                              0,                    245,                              0,                134033,                   -753,                  3987,                342542,,,               -196081,,                -83782,                     26,                   -953,               -280790,                 61752,                248659,               -209103,                 10958,                 -3061,                   -118,               -201324,,                 23452,                -50638,                 10252,                 -1405,,                -13548,,               -286477,,,               -286471,                 28900,               -472443,              1397997,                925554,                925554,                              0,,                    256,                 50053,                186907,                   -256,                              0,                    172,                              0,                  4875,                      6,,,,
3593,2013年01月01日至2013年12月31日,,               -457762,               -457762,,,                 62592,                  2184,                  2202,                  3391,                -10919,                 31294,                100518,                -65473,                  6840,                  3969,,,,,                205030,                              0,,,                134033,                   -753,                  4232,                342542,,                              0,               -196081,,                -83756,,                   -953,               -280790,                 61752,                248659,               -209103,                 10958,                 -3061,                   -118,               -201324,,                 23452,                -50638,                 10252,                 -1405,,                -13548,,               -286477,,,               -286471,                 28900,               -472443,              1397997,                925554,                925554,,,                    256,                 50053,                186907,                   -256,,                    172,,                  4875,                      6,                              0,,,
3593,2013年01月01日至2013年09月30日,,               -420020,               -420020,,,                 54428,                  1648,                 -4305,                  2899,                 -8640,                 31181,                101143,,                  5823,                 50053,,,,                              0,                181129,                    -19,,,                 67461,                    -49,                  6184,                224373,,                    132,               -176221,,                -60117,,                    914,               -235292,                -10919,                223567,               -196453,                  8681,                 -2377,                    -30,               -190179,,                              0,                -16547,                  9227,                 -1405,,                 -8917,,                              0,,,               -259080,                 22109,               -436067,              1397997,                961930,                961930,,,                    256,,                234486,                   -256,,                     64,,                              0,                              0,                -30333,               -259080,,
