證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 因合併產生之現金流入,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款增加,　　 償還長期借款,　　 其他非流動資產減少,　　　 不影響現金流量之收益費損項目,　　　　 處分採用權益法之投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應付票據－關係人增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 處分採用權益法之投資,　　 其他預付款項增加,　　 取得採用權益法之投資,　　 取得子公司股權,　　 處分子公司股權（未喪失控制力）
1904,2015年01月01日至2015年09月30日,,              1206245,              1206245,,,              1677350,                 45171,                 42231,                371381,                -23208,                -46914,                 46383,                -14876,                 10092,               -146463,              1961147,,,                     12,                569017,                              0,                391540,                195567,                -69056,                399905,               -241437,                 25551,              1271099,,                   -178,               -319056,                -33303,               -781358,                -84224,                116773,                -32437,                -18096,             -1151879,                119220,              2080367,              3286612,                 60387,               -386144,               -416718,              2544137,,             -2117294,                 75504,                 40079,                              0,                 56923,                -59171,             -2003959,,                -36721,                 55276,               -387896,                              0,               -369341,                 50498,                221335,              3621374,              3842709,              3842709,,,,,,,,,,,,,
1904,2015年01月01日至2015年06月30日,,                976018,                976018,,,              1104263,                 29827,                  7508,                254358,,                -21406,                 37876,                -14876,,               -134405,              1263145,,,                      5,               -673026,                              0,              1635144,                219003,                228260,                205990,               -292053,                 -6789,              1316534,,                 -1340,               -676803,                -36525,               -715747,                129479,                333583,                -24171,                -20245,             -1011769,                304765,              1567910,              2543928,,               -275125,               -290211,              1978592,,             -1515450,                 46462,                 40079,                              0,                 20456,                -55645,             -1464098,,                -10929,                              0,,,               -205549,               -217482,                 91463,              3621374,              3712837,              3712837,                              0,               -194620,,,,,,,,,,,
1904,2015年01月01日至2015年03月31日,,                728837,                728837,,,                554473,                 14672,                  3309,                125698,,                -13545,                 19525,                -14876,,               -435731,                253525,,,                      4,               -545684,                              0,                790970,                154214,                 24017,                292111,               -270788,                 77426,                522270,,                -59376,               -696223,                -29023,               -727335,                 96190,                 42549,                -17000,                -16211,             -1406429,               -884159,               -630634,                 98203,,               -114426,                -13012,                -29235,,               -534369,                 21334,                 40079,                -12598,,                              0,               -464601,,,                              0,,,                745431,                    912,                252507,              3621374,              3873881,              3873881,                827468,                -82037,                 20953,,,,,,,,,,
1904,2014年度,,                597468,                597468,,,              2106404,                 58166,                860522,                521562,                -14116,                -74333,                  4702,,                 31948,,,,,                      1,               -441211,                              0,                709467,               -191855,               -186481,               -285298,                305219,                 18660,                -71498,,                 -9318,                238684,               -171154,                 75596,                 68295,                 -1681,,                -79364,                130995,                 59497,              3554352,              4151820,                 57899,               -556343,                -96266,              3557110,,             -2531353,                 44490,,                -40903,,                -18579,             -2546345,,,,               -644021,                 -4610,               -657511,               -344238,                  9016,              3612358,              3621374,              3621374,                174182,               -183062,,,                              0,              3494855,                              0,                  9937,                              0,,,,
1904,2014年01月01日至2014年09月30日,,                 17324,                 17324,,,              1571527,                 43848,                818255,                389365,                -14026,                -67198,                 -3283,                              0,                              0,                              0,              2738488,,,                     -3,                394111,                 12696,              1214506,               -235781,                -19194,                  8586,                 82706,                 79925,              1537552,,                -10728,                -10136,               -160020,               -471976,                  6406,                -82355,                -49761,                -20568,               -799138,                738414,              3476902,              3494226,                 57809,               -405477,                -93683,              3052875,,             -1734285,                 32613,                              0,                -47044,                              0,                -32116,             -1780832,,             -1012930,                390898,               -644021,                 -4610,             -1270663,               -333852,               -332472,              3612358,              3279886,              3279886,,,,,,,,,,,,,
1904,2014年01月01日至2014年06月30日,,               -198341,               -198341,,,              1050291,                 29416,                616397,                272670,,                -35703,                 -2001,                              0,,                              0,              1931070,,,                     -2,                307369,                 12681,              1948219,               -102721,                572982,                 59059,                 96264,               -135331,              2758520,,                 -7868,               -890401,               -184105,               -495265,                -60444,                120129,                -28369,                -13746,             -1560069,              1198451,              3129521,              2931180,,               -270930,               -100226,              2560024,,             -1107689,                  7734,                              0,               -266286,                              0,                -18249,             -1384490,,                              0,                458808,,,                879431,               -181556,              1873409,              3612358,              5485767,              5485767,                420623,                              0,,,,,,,,,,,
1904,2014年01月01日至2014年03月31日,,               -495747,               -495747,,,                520585,                 14586,                421835,                137411,,                -15644,                 -1201,                              0,,                              0,              1077572,,,                      2,                 53431,                 12666,              1149567,                -22950,               -347207,                 35537,                 82537,               -179579,                784004,,                 48705,                185498,                -63472,               -486025,                 59983,                -54211,                -23099,                -11974,               -344595,                439409,              1516981,              1021234,,               -133868,                 13367,                900733,,               -554842,                  4742,                              0,                -20417,,                -18588,               -589105,,,                102143,,,                824927,                 50124,              1186679,              3612358,              4799037,              4799037,                722784,                              0,                              0,,,,,,,,,,
1904,2013年度,,              1443156,              1443156,,,              2006211,                 53319,                -19596,                569471,                -14420,                -66302,                -10120,,                              0,,,,,                    -19,               -101804,                  1666,                302035,                -36067,                683496,               -194616,                350343,               -117910,                887124,,                 -9807,               -100747,                100339,               -119165,                 88100,                -62683,,                 35460,               -146792,                740332,              3258805,              4701961,                 49446,               -568470,               -294530,              3888407,,             -2434227,                229686,,                -35788,,                -14457,             -2249482,,,,               -644021,                 -5532,             -1630678,                159477,                167724,              3444634,              3612358,              3612358,                835187,             -1816312,,,                    -90,              2518473,                 -9201,                -69088,                  5304,,,,
1904,2013年01月01日至2013年12月31日,,              1443156,              1443156,,,              2006211,                 53319,                -19596,                569471,                -14420,                -66302,                -10120,,,,,,,                    -19,               -101804,                  1666,                302035,                -36067,                683496,               -194616,                350343,               -117910,                887124,,                 -9807,               -100747,                100339,               -119165,                 88100,                -62683,,                 35460,               -146792,                740332,              3258805,              4701961,                 49446,               -568470,               -294530,              3888407,,             -2434227,                229686,                              0,                -35788,                              0,                -14457,             -2249482,,                              0,,               -644021,                 -5532,             -1630678,                159477,                167724,              3444634,              3612358,              3612358,                835187,             -1816312,,,                    -90,              2518473,                 -9201,                -69088,                  5304,                              0,                              0,                              0,                              0
1904,2013年01月01日至2013年09月30日,,                990929,                990929,,,              1515328,                 42053,                -28198,                433448,                -14420,                -56005,                 -6428,,,,,,,                     -8,,,              2034456,                 63131,                229495,               -256183,                374399,                -30125,              2415165,,,               -757502,                -94138,               -288233,                 63308,               -267610,,                -22520,             -1348662,              1066503,              2952191,              3943120,                 49446,               -467096,               -277871,              3247599,,             -1784000,                146790,,                -75671,,                              0,             -1653897,,                              0,                              0,               -644021,                 -5532,               -347283,                111163,              1357582,              3444634,              4802216,              4802216,              1055023,               -752753,                 80982,,                    -90,              1885688,,                 18033,                  5304,                -27302,,,
