證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 發放現金股利,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金減少,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計
6409,2015年度,,              1760671,              1760671,,,                 56825,                  3682,                 -1125,                              0,                  5832,                -43060,                 24893,                  2053,                              0,                  3514,                   -107,                              0,                 52507,,,                              0,                -11459,               -119102,                 -9739,                -49267,                 -5633,                 -4974,               -162499,               -362673,,                 -3002,                 64654,                  2168,                113459,                 -3374,                173905,               -188768,               -136261,              1624410,                 43050,                 -5832,               -281800,              1379828,,                              0,                              0,                -97989,                    154,                 -3366,                 -2638,                              0,               -103839,,               -765109,                              0,               -765109,                 26791,                537671,              2796380,              3334051,              3334051,,,,
6409,2015年01月01日至2015年09月30日,,              1336316,              1336316,,,                 42050,                  2838,                 -1550,                              0,                  4265,                -31893,                 18941,                     97,,                  3654,                 18042,                              0,                 56444,,,                              0,                -20882,               -242408,                 46015,                 -6518,                 22558,                -14306,,               -215541,,                 -5423,                127647,                  2831,                 44196,                 -8342,                160909,                -54632,                  1812,              1338128,                 30632,                 -4265,               -239520,              1124975,,                              0,,                -52052,                    155,                 -4974,                 -2490,                              0,                -59361,,,                              0,                              0,                 94375,              1159989,              2796380,              3956369,              3956369,                              0,,,
6409,2015年01月01日至2015年06月30日,,                779027,                779027,,,                 27698,                  1920,                 -1709,                              0,                  3009,                -21335,                 12989,                    142,,                  3004,                    -93,,                 25625,,,                              0,                  9398,               -140875,                 63182,                 -9644,                -49674,                -14170,,               -141783,,                 -2509,                164423,                  4777,                 42914,                 -9729,                199876,                 58093,                 83718,                862745,                 21779,                 -3009,               -152688,                728827,,,,                -25589,                              0,                 -2962,                 -2405,                              0,                -30956,,,                              0,                              0,                -21095,                676776,              2796380,              3473156,              3473156,                              0,                              0,,
6409,2015年01月01日至2015年03月31日,,                367688,                367688,,,                 14156,                    987,                 -1816,                              0,                  1646,                -10300,                  7895,                     37,,                  2294,                  3209,,                 18108,,,,                -11634,                -48717,                 63440,                -33769,                -28587,                   -159,,                -59426,,                    -15,                 33672,                  6532,                -32610,                  3402,                 10981,                -48445,                -30337,                337351,                  9843,                 -1646,                -36417,                309131,,                              0,,                 -7034,                              0,                    -97,                 -1980,                              0,                 -9111,,,                              0,                              0,                 14828,                314848,              2796380,              3111228,              3111228,,,,
6409,2014年度,,              1231694,              1231694,,,                 52378,                  3853,                  3941,                 -1283,                  4860,                -34041,                 40381,                    -70,                   -496,                  1343,                 -4324,                     75,                 66617,,,                336095,                 -9439,               -251590,                -56749,                 18967,               -101272,                -11384,                              0,                -75372,,                 -1138,                193986,                 -2686,                 80482,                 25911,                296555,                221183,                287800,              1519494,                 30526,                 -4860,               -197870,              1347290,,                -14755,                 15251,               -796310,                    635,                 -4819,                 -4569,                    -75,               -804642,,               -492531,                845180,                352649,                 71177,                966474,              1829906,              2796380,              2796380,,,,                 66617
6409,2014年01月01日至2014年09月30日,,                885662,                885662,,,                 38179,                  2884,                  1453,                 -1283,                  3747,                -24200,                 31148,                   -174,,                    584,                  3540,                     74,                 55952,,,                336095,                 -9347,               -328315,                -26279,                 27047,                -94482,                -17242,,               -112523,,                   -610,                307930,                  6672,                  5635,                  7791,                327418,                214895,                270847,              1156509,                 24200,                 -3747,               -151319,              1025643,,                -14755,,               -784503,                    659,                 -2438,                 -3549,                    -76,               -804469,,,                845180,                845180,                  5811,              1072165,              1829906,              2902071,              2902071,                    193,,,
6409,2014年01月01日至2014年06月30日,,                529839,                529839,,,                 24784,                  1920,                  2447,                   -912,                  2598,                -17166,                 21914,                     81,,                    338,                  2116,,                 38120,,,                 59911,                 -7733,               -162162,                  5940,                 21091,                -81705,                 -7636,,               -172294,,                 -2403,                249358,                   -652,                 15749,                  8565,                270617,                 98323,                136443,                666282,                 17166,                 -2598,                -93955,                586895,,,,                -36985,                     15,                 -1381,                 -2649,                   -383,                -55947,,,                845180,                845180,                -14060,              1362068,              1829906,              3191974,              3191974,                    190,                -14754,,
6409,2014年01月01日至2014年03月31日,,                256209,                256209,,,                 12604,                  1058,                    604,                   -493,                  1376,                 -3799,                 12780,                     16,,                  1326,                -10665,,                 14807,,,,                 -3502,                -13508,                  1854,                -14335,                -37570,                 -6190,,                -73251,,                 -1628,                104130,                   -350,                -25617,                 10457,                 86992,                 13741,                 28548,                284757,                  3799,                 -1376,                -17204,                269976,,                -14754,,                -17337,                     14,                   -566,                   -640,                   -387,                -33670,,,                845180,                845180,                 22305,              1103791,              1829906,              2933697,              2933697,,,,
6409,2013年度,,                752760,                752760,,,                 45830,                  4381,                  5934,                 -1404,                  5069,                 -9679,                 51691,                    -46,                              0,                  1818,                  7420,                              0,,,,               -196926,                 -1630,               -181821,                 19381,                 33092,                -32992,                 23725,,               -337171,,                  2788,                110168,                    364,                 82272,                -26327,                169265,               -167906,                -56892,                695868,                  9679,                 -5069,               -138926,                561552,,                              0,                              0,                -49380,                    287,                 -2343,                 -3439,                              0,                -54875,,               -390933,                251430,               -139503,                 43849,                411023,              1418883,              1829906,              1829906,,,,                111014
6409,2013年01月01日至2013年12月31日,,                752760,                752760,,,                 45830,                  4381,                  5934,                 -1404,                  5069,                 -9679,                 51691,                    -46,,                  1818,                  7420,,,,,               -196926,                 -1630,               -181821,                 19381,                 33092,                -32992,                 23725,                              0,               -337171,,                  2788,                110168,                    364,                 82272,                -26327,                169265,               -167906,                -56892,                695868,                  9679,                 -5069,               -138926,                561552,,,,                -49380,                    287,                 -2343,                 -3439,                              0,                -54875,,               -390933,                251430,               -139503,                 43849,                411023,              1418883,              1829906,              1829906,,,,                111014
