證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 預付設備款增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 存入保證金增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 現金增資,　　　 不影響現金流量之收益費損項目,　　　　 處分投資性不動產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 應付短期票券增加,　　　　　 避險之衍生金融資產（增加）減少,　　　　　 遞延貸項增加（減少）,　　 短期借款減少,　　 取得採用權益法之投資,　　　　　 其他應收款－關係人（增加）減少
9908,2015年01月01日至2015年09月30日,,                646899,                646899,,,                181298,                  4684,                 -2888,                 65574,                    826,                 -7215,               -248453,                -76811,                  1164,                -16980,                  4618,                -94183,,,                186861,                  9867,                322632,                    201,                -11154,                  5953,                   -470,               -370000,                   -142,                143748,,                    162,               -228960,                -45669,                 -2270,                 11490,                    936,                 -6221,                130747,               -139785,                  3963,                -90220,                556679,                  7215,                   -826,                -81489,                481579,,                -30026,                249604,                  1780,                              0,                              0,               -232881,                    457,                   -882,                              0,                   -692,                   -900,                 -7432,                308502,                287530,,                              0,                -30000,                  8329,               -510022,                -17725,               -549418,                219691,              1335651,              1555342,              1555342,,,,,,,,,,,
9908,2015年01月01日至2015年06月30日,,                347804,                347804,,,                120532,                  3123,                 -2259,                 -6619,                    462,                 -5118,                -37221,                -50568,                    855,                -19606,                  3588,                  7169,,,                297572,                 -2080,                294904,                 14806,                   -190,                    947,                   -456,               -370000,                    -88,                235415,,                    249,               -220860,                -45627,                     81,                 13126,                   -408,                 -3741,                 97133,               -160047,                 75368,                 82537,                430341,                  5118,                   -462,                -45178,                389819,,                 -9744,                211282,,,,               -172397,                    458,,                    730,                   -692,                   -900,                 -3683,                 19083,                 44137,,,                -30000,                  5913,,                              0,                -24087,                409869,              1335651,              1745520,              1745520,                              0,,,,,,,,,,
9908,2015年01月01日至2015年03月31日,,                145861,                145861,,,                 60400,                  1561,                   -442,                 -9219,                    229,                 -1770,,                -25950,                    925,                -19606,                    999,                  7127,,,                270844,                  1801,                 87732,                -10505,                 -3234,                 -1110,                     78,                -50000,                      6,                295612,,                    -50,                -96576,                -50439,                     40,                 23451,                   -320,                 -1178,                 58387,                -66685,                228927,                236054,                381915,                  1770,                   -229,                     70,                383526,,                 -9744,                211282,,,,                -78985,                              0,                    741,,                   -692,,                 -2624,,                119978,,,                -30000,                  1661,,,                -28339,                475165,              1335651,              1810816,              1810816,,,,,,,,,,,
9908,2014年度,,                772095,                772095,,,                229296,                  5851,                   -909,                -11586,                  1197,                 -8664,               -202310,                -81096,                  1175,                -44511,                  3997,,,,               -739266,                  7332,                 62972,                    667,                  7035,                 -4617,                   -202,               -130000,                    189,               -795890,,                   -211,                -43492,                  3185,                    -49,                112186,                   -237,,                227821,                279442,               -516448,               -623622,                148473,                  8664,                 -1197,                -75157,                 80783,,               -248198,                157776,,                 -9000,                 30040,               -344720,                    489,                 18523,,                 -1013,                   -460,                 -8708,                260167,               -145104,,,,                 17681,               -510023,                -18035,               -500377,               -564698,              1900349,              1335651,              1335651,,,                    386,               -107174,                -19761,                 10000,,,,,
9908,2014年01月01日至2014年09月30日,,                664168,                664168,,,                171010,                  4359,                 -1801,                -13817,                    780,                 -6400,               -200485,                -65719,                    862,                -42438,                  2998,               -150651,,,               -640554,                  9805,                201029,                    700,                    963,                -26318,                   -656,                              0,                   -616,               -455647,,                    821,               -189317,                -17902,                    130,                 69513,                    184,                -18846,                176177,                 20760,               -434887,               -585538,                 78630,                  6400,                   -780,                -74747,                  9503,,               -125088,                 95535,                              0,                 -9000,                 29395,               -258016,                    490,                              0,                 17947,                   -370,                              0,                 -6424,                258342,                  2811,,                100000,                 10000,                 17919,               -510023,                -18035,               -400139,               -387825,              1900349,              1512524,              1512524,,,,,,,,,,,
9908,2014年01月01日至2014年06月30日,,                411164,                411164,,,                112691,                  2885,                   -947,                -19645,                    430,                 -4167,               -100779,                -47314,                    584,                -42438,                  1999,                -96701,,,               -385542,                 16801,                130982,                      4,                 -4087,                -12700,                   -659,                              0,                   -447,               -255648,,                  1433,               -142108,                -14702,                     86,                 36989,                   -967,                -15910,                119386,                -15793,               -271441,               -368142,                 43022,                  4167,                   -430,                -42542,                  4217,,                 -4162,                 95535,,,,               -168224,                    231,,                  2962,                   -370,                              0,                   -349,                  6277,                -68100,,,                -20000,                 13675,,                   -157,                 -6482,                -70365,              1900349,              1829984,              1829984,                              0,,,,,,,,,,
9908,2014年01月01日至2014年03月31日,,                107722,                107722,,,                 55916,                  1427,                  1039,                -18220,                    222,                 -2071,,                -22620,                    125,                 -5028,                    999,                 11789,,,               -183052,                  1169,                -56856,                 -1151,                  9460,                 -8500,                   -155,                              0,                   -154,               -239239,,                   -120,                -27533,                -45467,                     43,                -19110,                 -1002,                 -3329,                 63199,                -33319,               -272558,               -260769,               -153047,                  2071,                   -222,                    -72,               -151270,,                    -76,                 28125,,,,                -82646,                    231,                    861,,                              0,,                    -12,,                -53517,,,                              0,                  8982,,,                  8982,               -195805,              1900349,              1704544,              1704544,,,,,,,,,,,
9908,2013年度,,                720670,                720670,,,                217715,                  5721,                   -167,                  4265,                  1246,                 -7548,               -198312,                -66206,                  2281,               -101910,                  4079,,,,                 52911,                  1724,                -14319,                    242,                 21647,                  1189,                    208,                              0,                    395,                 63997,,                   -282,                 18497,                 19834,                    -44,                 36313,                 -1447,,                250918,                302079,                366076,                230042,                950712,                  7548,                 -1246,                -70308,                886706,,               -390070,                803308,,                              0,                 17579,               -382756,                              0,                 -4148,,                   -141,                 -1116,                 -7324,                253071,                288403,,,,                 22905,               -510023,                -17724,               -484842,                690267,              1210082,              1900349,              1900349,,,                  2802,               -136034,                -21710,                 20000,,,,,
9908,2013年01月01日至2013年12月31日,,                720670,                720670,,,                217715,                  5721,                   -167,                  4265,                  1246,                 -7548,               -198312,                -66206,                  2281,               -101910,                  4079,,,,                 52911,                  1724,                -14319,                    242,                 21647,                  1189,                    208,,                    395,                 63997,,                   -282,                 18497,                 19834,                    -44,,                 34866,,                -13043,                302079,                366076,                230042,                950712,                  7548,                 -1246,                -70308,                886706,,               -390070,                803308,,                              0,                 17579,               -382756,,                 -4148,,                   -141,                 -1116,                 -7324,                253071,                288403,,,                              0,                 22905,               -510023,                -17724,               -484842,                690267,              1210082,              1900349,              1900349,,,                  2802,               -136034,                -21710,                 20000,,                263961,                              0,,
9908,2013年01月01日至2013年09月30日,,                595868,                595868,,,                160556,                  4293,                 -1995,                 12964,                    808,                 -5523,               -197342,                -46123,                  1968,                -86165,                  3080,,,,               -104144,                 18744,                199038,                    499,                 16417,                   -892,                   -435,,                   -407,                128820,,                   -162,               -165875,                  2938,                    138,,                -20218,,                195658,                 -1415,                127405,                -23271,                572597,                  5523,                   -808,                -70353,                506959,,               -385016,                336306,,                              0,                 17579,               -278957,                              0,                 -3491,,                   -141,                 -1117,                 -5725,                258285,                -62277,,                 75000,                              0,                 16132,               -510023,,               -436615,                  8067,              1210082,              1218149,              1218149,                -17724,,                  2803,               -150676,                -13894,,                              0,,,,
