證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 處分投資性不動產損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　 退還（支付）之所得稅,　　 取得無活絡市場之債券投資,　　 預付投資款增加,　　 處分投資性不動產,　 匯率變動對現金及約當現金之影響,　　 短期借款減少,　　　　　 其他應付款－關係人增加（減少）,　　　　 金融資產減損損失,　　　　　 預付款項（增加）減少,　　 其他應收款－關係人增加,　　 現金增資
2358,2015年01月01日至2015年03月31日,,                -29633,                -29633,,,                  8856,                  2733,                  8048,                  1099,                   -212,                    189,                 20713,,,                   -273,                 65994,                 -2191,                 48215,                    657,               -192146,                 -4188,                 21758,                -62174,,                              0,                 26116,                              0,                    568,                     30,                 26714,                -35460,                -14747,                -44380,                    212,                -44168,,                    220,                 -2914,                    110,                              0,                              0,                   -672,                 -3256,,                 -5559,                 -1085,                 -6644,                -54068,                 62073,                  8005,                  8005,,,,,,,,,,,,,,,,
2358,2014年度,,                -42307,                -42307,,,                 33035,                 10546,,                  2919,                   -929,                  1113,,,,                 -1067,                -68368,                 69341,               -103680,                 10869,                 38859,                 -5803,                   -687,                -60536,,,                 23055,                    -77,                -12594,                 -1558,                  8826,                -51710,                -12960,                -55267,                    929,                -54338,,,                -21830,                    222,                    115,                   -429,                    240,                -47309,,                 94020,                 -2691,                 91329,                -10318,                 72391,                 62073,                 62073,,                              0,                              0,                 -7934,                 38750,                              0,                -21127,                 -4500,                              0,                              0,,,,,,
2358,2014年01月01日至2014年09月30日,,                -11966,                -11966,,,                 24401,                  7880,,                  1725,                   -683,,,,,                 -9966,                -48284,                 65941,                -38022,                 11084,                -94139,                 -7546,                   -325,               -121257,,                    165,                 22289,                    -77,                  1807,                 -3398,                 20786,               -100471,                -73942,                -85908,                    683,                -85225,,,                 -8997,,                    301,                   -429,                 -7468,                -30714,,,                 -1620,                 65031,                -50908,                 72391,                 21483,                 21483,,                              0,,                 -6794,                 26529,                              0,                -14121,,                              0,                              0,                 66651,,,,,
2358,2014年01月01日至2014年06月30日,,                -14012,                -14012,,,                 16015,                  5227,,                    858,                   -462,,,,,                    656,                -91361,                 65016,                -13366,                 11300,                -35640,                 -2582,                   -405,                -66382,,                    412,                 23632,                    -77,                 -3280,                 -6762,                 13925,                -52457,                -30819,                -44831,                    462,                -44369,,,                 -7156,,                    101,                   -369,,                 -7692,,,                   -890,                 -5115,                -57176,                 72391,                 15215,                 15215,,,,,                 21638,                              0,                   -268,,,                              0,                 -4225,,,,,
2358,2014年01月01日至2014年03月31日,,                -19015,                -19015,,,                  7314,                  2570,                              0,                    460,                    -13,                              0,                 10331,,,                    256,                 -7578,                 59477,                  9070,                 11732,               -123844,                 -7247,                     -3,                -58137,,                    704,                 37231,                    722,                   -957,                 -5851,                 31849,                -26288,                -15957,                -34972,                     13,                -34959,,                    568,                 -2569,                              0,                   -316,                   -260,                              0,                 -2577,,                   -967,                   -227,                 -1194,                -38730,                 72391,                 33661,                 33661,,,,,,,,,,,,,,,,
2358,2013年度,,               -110339,               -110339,,,                 32453,                  9197,,                  1692,                   -997,                              0,,,,                   -850,                 13308,                   -554,                 12825,                 10038,                -22558,                   -611,                              0,                 11598,,,                -21873,                     38,                  1198,                 -2723,                -23360,                -11762,                 49318,                -61021,                  1592,                -79626,,,                -11585,                              0,                   -580,                              0,                   -309,                 95682,,                  5313,                 -1556,                  3757,                 17948,                 54443,                 72391,                 72391,,                -17220,                 28500,                  7455,                 61080,                -20197,                 -2268,                              0,                110424,                 -1865,,,,,,
2358,2013年01月01日至2013年12月31日,,               -110339,               -110339,,,                 32453,                  9197,                              0,                  1692,                   -997,,,,,                   -850,                 13308,                   -554,                 12825,                 10038,                -22558,                   -766,,                 11598,,,                -21873,                     38,                  1198,                 -2723,                -23360,                -11762,                 49318,                -61021,                  1592,                -79626,,,                -11585,,                   -580,                              0,                   -309,                 95682,,                  5313,                 -1556,                  3757,                 17948,                 54443,                 72391,                 72391,,                -17220,                 36434,                   -479,                 61080,                -20197,                 -2268,,                110424,                 -1865,,,                              0,                    155,                              0,                              0
2358,2013年01月01日至2013年09月30日,,                -44580,                -44580,,,                 24740,                  6700,,                  1316,                   -746,,,,,                 -2641,                    133,                 13819,                 23813,                 -2712,                -37055,                 -2078,                              0,                 -6721,,                              0,                 16629,                     27,                  3150,                   -139,                 19667,                 12946,                 31232,                -13348,                    865,                -32868,,,                 -8593,,                   -422,                              0,                   -309,                 98940,,,                 -1090,                  4724,                 68919,                 54443,                123362,                123362,,                -17220,,                  3496,                 18286,                -20385,                 -2160,,                110424,                 -1877,                  5814,,,,,
2358,2013年01月01日至2013年06月30日,,                -37494,                -37494,,,                 16839,                  4203,,                    886,                   -495,,,,,                 -2333,                  1114,                  5816,                 17478,                 -2496,                    962,                   -290,                   -209,                 20042,,                              0,                -17176,                  1099,                 -3439,                   -106,                -19622,                    420,                 21853,                -15641,                    856,                -14787,,,                 -3354,,                   -415,                              0,,                 -6122,,,                   -699,                 10457,                -12642,                 54443,                 41801,                 41801,,,,,                 21433,                     -2,                 -2353,,,                 -2190,                 11156,,,,,
2358,2013年01月01日至2013年03月31日,,                 -1422,                 -1422,,,                  8359,                  1707,,                    289,                   -249,,,,,                 -1929,                  1077,                -23584,                 19783,                    -12,                -35785,                 -1833,                              0,                -42283,,                              0,                    868,                    -39,                 -1727,                  2981,                  2121,                -40162,                -30056,                -31478,                      6,                -31472,,,                 -2841,,                   -415,                              0,,                 -5477,,,                   -196,                 10892,                -27110,                 54443,                 27333,                 27333,,,,,                 10106,,                 -2221,,,                 -1053,                 11088,                     38,,,,
