證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入（含財務收入）,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 營業外金融商品按公允價值衡量之損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 附賣回債券投資（增加）減少,　　　　　 應收證券融資款（增加）減少,　　　　　 轉融通保證金（增加）減少,　　　　　 應收轉融通擔保價款（增加）減少,　　　　　 客戶保證金專戶（增加）減少,　　　　　 借券擔保價款（增加）減少,　　　　　 借券保證金－存出（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 附買回債券負債增加（減少）,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 融券保證金增加（減少）,　　　　　 應付融券擔保價款增加（減少）,　　　　　 借券保證金－存入增加（減少）,　　　　　 期貨交易人權益增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 代收款項增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產及設備,　　 處分不動產及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付商業本票減少,　　 其他非流動負債增加,　　 其他非流動負債減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 應付商業本票增加,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 取得以成本衡量之金融資產,　　 預付設備款減少,　　 停業單位稅前淨利（淨損）,　　　　 金融資產重分類淨損失（利益）,　　　　 股份基礎給付酬勞成本,　　　　 應付公司債匯率影響數,　　　　　 應收證券借貸款項（增加）減少,　　　　　 應收期貨交易保證金（增加）減少,　　　　　 預付退休金（增加）減少,　　 處分子公司股權（未喪失控制力）,　　　　　 負債準備增加（減少）,　　　　　 附賣回票券投資（增加）減少
2855,2015年01月01日至2015年09月30日,,                782056,                782056,,,                 70833,                 21455,                164452,                235799,                270491,             -1121278,               -157164,                -64079,                  1212,                              0,                  4216,               -574063,,,             -4531662,                111078,              4234746,                -51906,                -47711,               -791565,                -76851,                -95764,                 -5699,               -774754,                  1539,                283946,                -39205,                 -5374,             -1789182,,              6534233,                 31756,                191670,               -246771,               -709545,                763942,              1154583,                  2159,                129734,               -518296,                -29306,                  8382,              7312541,              5523359,              4949296,              5731352,              1088957,                200195,               -186347,              6834157,,                              0,                  7827,                -16656,                    183,                 -1669,                              0,                 29558,                -29725,                -10482,,                              0,             -3224805,             -2500000,                    577,                              0,             -1071726,                -22152,               -268371,                 -2838,             -7089315,                 91316,               -174324,              6355219,              6180895,              6180895,                              0,,,,,,,,,,,,,,,,
2855,2015年01月01日至2015年06月30日,,              1083707,              1083707,,,                 47056,                 14130,                145417,                330855,                176923,               -759111,                -58765,                -50465,                  1212,                              0,                 -3510,               -156258,,,             -5507263,             -1349766,                504422,                -10320,                -37324,               -738324,                -14508,                -13112,                   -531,             -6308064,                  7056,               -563922,                              0,                890201,            -13141455,,              7127419,              1916639,               -652865,               -771686,               -888885,                727641,              3476309,                    169,                 61267,                477532,                -75395,                 28764,             11426909,             -1714546,             -1870804,               -787097,                707057,                 72010,               -128460,               -136490,,                              0,                              0,                -10463,                    183,                   -625,                              0,                137534,                -18536,                108093,,              1333473,,                              0,                    869,,,,               -173415,,              1910927,                -59469,              1823061,              6355219,              8178280,              8178280,                              0,                750000,,,,,,,,,,,,,,,
2855,2015年01月01日至2015年03月31日,,                645816,                645816,,,                 23611,                  6931,                   -438,                 71147,                 76887,               -351057,                 -3959,                -28120,                      1,                              0,                -25230,               -230227,,,             -9662406,                -17120,               -810751,                    219,                 -6032,               -436008,                 12224,                 11042,                   -169,             -8599591,                -21742,               -981546,                              0,               -448768,            -20960648,,              4091784,                228951,               -946725,             -1207731,               -650057,                425003,              6026067,                     24,              1007642,                854535,                -59994,                 28810,              9798309,            -11162339,            -11392566,            -10746750,                297950,                  3670,                 -9231,            -10454361,,                              0,,                 -1999,,                   -375,                              0,                193567,                 -7603,                183590,,              2891691,,                              0,                    654,                              0,,,                -68041,,              9424304,                -27523,               -873990,              6355219,              5481229,              5481229,                              0,              6600000,,,,,,,,,,,,,,,
2855,2014年度,,              1791363,              1791363,,,                 99490,                 18091,                  2285,               -111138,                178055,             -1300487,               -266970,                -71854,                      2,                    448,                 -4531,,,,             -2887007,             -1317467,             -1895243,                 24476,                 57964,               -651794,                 17769,                 38575,                  2366,              1548437,                 26484,               -288473,                322120,                190899,             -4810894,,              2812355,                836096,                283209,                242585,                406262,                635715,             -2169058,                     34,               -158136,                307120,                201187,                    532,              3397901,             -1412993,             -2869602,             -1078239,              1233955,                310042,                -82959,                382799,,                -45416,                 21903,                -36025,                     56,               -143252,               -146510,                              0,                -31490,               -380734,,              5281717,                              0,             -3200000,                  2402,                              0,               -979109,,               -167729,                 -2466,                934815,                130855,              1067735,              5287484,              6355219,              6355219,,                              0,,                              0,             -1456609,                              0,                              0,,,,,,,,,,
2855,2014年01月01日至2014年09月30日,,              1380083,              1380083,,,                 74722,                 10765,                  1808,                235907,                127581,               -982714,               -260836,                -48975,                      2,                    448,                    217,               -841075,,,              3403721,             -2149997,               -904191,                 22451,                 57648,               -540678,                  5461,                 18107,                  1568,             -4004187,                 21028,               -553650,                322120,               -190096,             -4490695,,               -550816,              1828896,                 46341,                -47958,               -364280,                547384,              2832765,                  1474,                966191,                310399,                 44494,                  2853,              5617743,              1127048,                285973,              1666056,                904565,                283866,                -76140,              2778347,,                -45417,                 21903,                -23404,                              0,                -45655,               -142085,                              0,                -29269,               -263927,,              2380402,                              0,             -2500000,                              0,                    -30,               -979109,                              0,               -117970,                 -2466,             -1219173,                 77072,              1372319,              5287484,              6659803,              6659803,                              0,,,,,,,,,,,,,,,,
2855,2014年01月01日至2014年06月30日,,              1250418,              1250418,,,                 49897,                  7351,                  2038,               -313985,                 84707,               -592841,                -30571,                -30524,                              0,                    448,                 -4278,               -827758,,,             -1230749,             -2237159,             -1139143,                 24446,                 55391,               -232919,                 17817,                 30056,                  2172,             -3184191,                 35117,                -10345,                254996,                738423,             -6876088,,                806592,              1984451,               -485152,               -736768,               -365406,                217336,              1704176,                  2029,                 45207,                 20316,                146096,                  8142,              3347019,             -3529069,             -4356827,             -3106409,                567790,                 18127,                -52861,             -2573353,,                -45416,                 14947,                -11089,                              0,                -41350,                -53428,                              0,                -24115,               -160451,,              4051453,,             -1550000,                    905,,,,                -85312,,              2417046,                  4370,               -312388,              5287484,              4975096,              4975096,                              0,                              0,,,,,,,,,,,,,,,
2855,2014年01月01日至2014年03月31日,,                529634,                529634,,,                 24952,                  3511,                  2087,                -36371,                 42215,               -293022,                 -1435,                -14914,                              0,                    448,                   -292,               -272821,,,                509314,             -2768090,             -1026370,                 24695,                 55918,               -254547,                 25618,                 45664,                  2298,             -4427773,                 28218,                -11313,                294484,                636758,             -6865126,,                492981,              1953664,               -356249,               -559281,               -367483,                245661,              4946769,                    -28,               -143956,               -149316,                 74191,                  4584,              6141537,               -723589,               -996410,               -466776,                259604,                  1434,                 -5201,               -210939,,                -45805,,                 -3429,,                -39098,                -24693,                              0,                -14521,               -127546,,                849529,,               -350000,                              0,                   -919,,,                -42785,,                455825,                 42929,                160269,              5287484,              5447753,              5447753,                              0,                              0,,,,,,,,,,,,,,,
2855,2013年度,,              1489487,              1489487,,,                103752,                 10795,                 12334,               -303088,                126838,               -932506,               -143868,                -55919,                    402,                              0,                  3850,,,,             -1624152,               -184897,             -1744158,                -24321,                -46733,                720228,                 15810,                 -8235,                 -1686,             -2917055,                -25556,                  5809,               -105204,                354082,             -5586068,,             -1707598,                783198,                 -9174,                 -6971,               -614980,               -720228,              2863349,                 -6712,                168198,                 51016,                -28199,                   -420,                771479,             -4814589,             -5986399,             -4496912,                942208,                219408,                -87716,             -3423012,,                              0,                  6600,                -17629,                              0,                -11867,                              0,                  3708,                -41364,                -61267,,                              0,               -337076,                              0,                              0,                 -7605,               -688022,,               -123757,                 -2169,              3791371,                 46966,                354058,              4933426,              5287484,              5287484,,              4950000,,                  5600,             -1171810,                   -715,                              0,,,,,,,,,,
2855,2013年01月01日至2013年12月31日,,              1489487,              1489487,,,                103752,                 10795,                 12334,               -303088,                126838,               -932506,               -143868,                -55919,                    402,,                  3850,,,,             -1624152,               -184897,             -1744158,                -24321,                -46733,                720228,                 15810,                 -8235,                 -1686,             -2917055,                -25556,                  5809,               -105204,                354082,             -5586068,,             -1707598,                783198,                 -9174,                 -6971,               -614980,               -720228,              2863349,                 -6712,                168198,                 51016,                -28199,                   -420,                771479,             -4814589,             -5986399,             -4496912,                942208,                219408,                -87716,             -3423012,,,                  6600,                -17629,,                -11867,,                  3708,                -41364,                -61267,,                              0,               -337076,,,                 -7605,               -688022,,               -123757,                 -2169,              3791371,                 46966,                354058,              4933426,              5287484,              5287484,,              4950000,,                  5600,             -1171810,                   -715,,                              0,,,,,,,                              0,,
2855,2013年01月01日至2013年09月30日,,                993834,                993834,,,                 78927,                  7824,                 13142,               -180205,                 94014,               -683884,               -139972,                -38280,                    398,                              0,                  6130,,,,              4159879,               -605313,               -502173,                   -397,                  2535,                384959,                 -8723,                 -8159,                    -23,             -7209580,                 -2454,               -215944,                100617,               -275475,             -4180251,,             -5651888,              1409584,               -189778,               -300869,               -621298,               -384958,              4238182,                 -4924,                885865,                -87330,                126794,                  2000,               -578620,             -4758871,             -5595177,             -4601343,                737202,                203069,                -76114,             -3737186,,                              0,                  6600,                 -9003,,                 -5954,                              0,                  5181,                -20209,                -24100,,              1046320,,                              0,,                -12848,               -688022,,                -93470,                 -2170,              4199810,                 31680,                470204,              4933426,              5403630,              5403630,,              3950000,,                  5600,               -836306,                   -715,,                              0,,,,,,,,,
