證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款減少,　　 存入保證金減少,　　　　　 預付費用（增加）減少,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 存出保證金減少,　　　　 金融資產減損迴轉利益,　　　　 其他項目,　　 處分子公司,　　　　　 其他流動資產（增加）減少
2102,2015年01月01日至2015年09月30日,,                549418,                549418,,,                361917,                108898,                  8961,                 17274,                 24036,                 -7171,                              0,                    -13,                              0,                              0,                513902,,,               -105541,                100207,               -100626,                -38753,                -52127,                -20380,               -217220,,                 35919,                 -7104,                 40494,                  4900,                  1032,                 75241,               -141979,                371923,                921341,                  7403,                -24601,                -77050,                827093,,                              0,               -280286,                    213,                 -1596,                              0,               -159699,               -444704,               -886072,,                 63088,                165037,                 -2658,                    -29,                -68579,                156859,                 21433,                119313,              1088483,              1207796,              1207796,,,,,,,,,,,,
2102,2015年01月01日至2015年06月30日,,                296638,                296638,,,                238043,                 75211,                 -4058,                   -371,                 15982,                 -5237,                              0,                    -13,,                              0,                319557,,,                -88907,,                -84918,                    122,                 -3090,                -27381,               -204174,,,                 56786,                  2110,                  8971,                    680,                 68547,               -135627,                183930,                480568,                  5391,                -17408,                -48892,                419659,,,               -181398,                    213,                   -597,                              0,                    326,               -249916,               -431372,,,                118360,                 -1234,,,                409478,                -26940,                370825,              1088483,              1459308,              1459308,                292404,                    -52,,,,,,,,,,
2102,2015年01月01日至2015年03月31日,,                115152,                115152,,,                118109,                 42301,                  2667,                   -437,                  7892,                 -2435,                              0,                      2,,,                168099,,,                -10757,,               -134497,                -30127,                 88548,,                -81820,,,                 50120,                -14034,                  9071,                    364,                 45521,                -36299,                131800,                246952,                  2566,                 -9725,                -14100,                225693,,,               -107345,                    617,                   -254,                              0,                    322,                 -6964,               -113624,,                 77840,                 25228,                   -527,                    -42,,                102499,                -25329,                189239,              1088483,              1277722,              1277722,,,                  5013,,,,,,,,,
2102,2014年度,,                566309,                566309,,,                442173,                152382,                 -3440,                  4958,                 36304,                -15449,                      7,                  3064,                 -2333,                  9997,,,,                 51048,                   -291,                203420,                  3174,                 46985,               -144927,                159409,,,               -117101,                  1602,                  7362,,               -106535,                 52874,                691784,              1258093,                 17156,                -35983,               -143591,              1095675,,                  3729,               -511028,                    540,,                   -589,                130826,                -63882,               -440014,,               -116290,                 73883,             -1264514,,                -84664,             -1391626,                 20289,               -715676,              1804159,              1088483,              1088483,,                    -41,,,                 11247,                638910,                  1602,                    390,,,,
2102,2014年01月01日至2014年09月30日,,                454499,                454499,,,                327764,                110787,                 -5492,                  1311,                 29328,                -13218,                      7,                  2973,                 -2333,                  9997,                461124,,,                -75232,                309958,                 26513,                -25987,               -177240,                -56523,                  1489,,                              0,                -12323,                   -162,                 20406,                  1188,                  9109,                 10598,                471722,                926221,                 15092,                -26462,               -125782,                789069,,                  3729,               -335570,                    593,                 -2704,                   -589,                104634,                -51809,               -281716,,                206755,                              0,             -1264514,                    -30,                -84664,             -1142453,                   -302,               -635402,              1804159,              1168757,              1168757,,,,,,,,,,,,
2102,2014年01月01日至2014年06月30日,,                360282,                360282,,,                217000,                 74020,                 -5981,                 -1642,                 20087,                 -9967,                      7,                    369,,                  9997,                303890,,,                -44993,,                 49540,                  1658,                -42101,                -47792,                -83688,,,                 11295,                -12327,                  7756,                    787,                  7511,                -76177,                227713,                587995,                 12258,                -19796,                -62488,                517969,,,               -211943,                  2001,                   -676,                   -589,                 70464,                -42770,               -183513,,,                              0,               -841584,,,               -527632,                -13998,               -207174,              1804159,              1596985,              1596985,                313973,                    -21,,,,,,,,,,
2102,2014年01月01日至2014年03月31日,,                204131,                204131,,,                107971,                 34889,                 -5368,                    808,                  9090,                 -5056,                      6,                    734,,,                143074,,,                -30901,,               -117494,                  3763,                 66604,,                -97084,,,                  5273,                -13975,                 14880,                  1396,                  7574,                -89510,                 53564,                257695,                  6018,                -10077,                -12327,                241309,,,               -133129,                              0,                 -1600,                   -589,                  4811,                -11070,               -141577,,                -66252,                              0,               -421584,                    -21,,               -487857,                  8384,               -379741,              1804159,              1424418,              1424418,,,                -19056,,,,,,,,,
2102,2013年度,,                813976,                813976,,,                451006,                 95028,                -10365,                  6590,                 48757,                -17204,                    -60,                    996,                              0,                 10000,,,,                -53214,                 36406,               -277254,                   -721,                129494,                  5108,               -160181,,,                -36272,                 47276,                -11497,,                  1872,               -158309,                426055,              1240031,                 15398,                -47798,               -148364,              1059267,,                              0,               -376905,                    795,,                   -679,                -60253,                -42980,               -478513,,               -228842,                              0,                              0,,                -40317,               -270656,                    365,                310463,              1493696,              1804159,              1804159,,                 -1497,,,                   -384,                584364,                  2365,                  1509,,,,
2102,2013年01月01日至2013年12月31日,,                813976,                813976,,,                451006,                 95028,                -10365,                  6590,                 48757,                -17204,                    -60,                    996,,,,,,                -53214,,               -240848,                   -721,                129494,                  5108,               -160181,,,                -36272,                 47276,                -11497,,                  1872,               -158309,                426055,              1240031,                 15398,                -47798,               -148364,              1059267,,,               -376905,                    795,                  1509,                   -679,                -60253,                -42980,               -478513,,               -228842,                              0,,,                -40317,               -270656,                    365,                310463,              1493696,              1804159,              1804159,,                 -1497,,,                   -384,                584364,                  2365,,,                 10000,                              0,
2102,2013年01月01日至2013年09月30日,,                729822,                729822,,,                345700,                 67450,                -10827,                  6425,                 38464,                -11619,                    -73,                    204,                              0,                 10000,,,,                -32238,               -240224,                -88972,                -24698,                 94905,,               -289127,,                              0,                -39131,                 59461,                 -3103,,                 18529,               -270598,                173545,                903367,                 11241,                -38889,               -131380,                744339,,                              0,               -294500,                     96,                    468,                   -679,                -30222,                -38727,               -363564,,                 73897,,                              0,,                -40317,                 32075,                 18354,                431204,              1493696,              1924900,              1924900,,                 -1505,                  2100,,                 -1581,                444143,                  1302,,,,,
