證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 其他非流動資產增加
3030,2015年01月01日至2015年09月30日,,              1202189,              1202189,,,                 74423,                  4915,                 -1819,                              0,                -13319,                  1703,                 65903,,,                 -7437,             -1059999,                -10746,                -36865,                -22105,             -1137152,,                  2711,                422045,                -45566,                  3342,                 17194,                 -1115,                398611,               -738541,               -672638,                529551,                 18921,                              0,               -281963,                266509,,                -22022,                 13115,                 -7248,                   -102,                    956,                -15301,,             -1015729,             -1015729,                 -1802,               -766323,              2542076,              1775753,              1775753,,,
3030,2015年01月01日至2015年06月30日,,                667282,                667282,,,                 48753,                  3272,                 -1758,                              0,                -10229,                  1232,                 41270,,,                  4991,               -417488,                -28871,                 -7213,                -17012,               -465593,,                 -6865,                255434,                -26936,                  2651,                  4009,                   -531,                227762,               -237831,               -196561,                470721,                  8806,                              0,               -134048,                345479,,                -11397,                  8723,                 -1441,                    144,                    236,                 -3735,,,,                -17442,                324302,              2542076,              2866378,              2866378,,,
3030,2015年01月01日至2015年03月31日,,                341487,                341487,,,                 17913,                  1582,                 -6289,                              0,                 -4864,                    982,                  9324,,,                    644,               -126168,                 -5331,                 -5515,                 -8742,               -145112,,                 -8168,                 90249,                -99096,                  1596,                  4522,                   -366,                -11263,               -156375,               -147051,                194436,                  3824,                              0,                 -7442,                190818,,                 -5263,                  2774,                   -505,                     58,                    557,                 -2379,,,,                 -3189,                185250,              2542076,              2727326,              2727326,,,
3030,2014年度,,              1476703,              1476703,,,                 91905,                  5309,                  8388,                    115,                -15402,                 -3180,,,,                  1687,               -127605,                  2857,               -187280,                 16320,               -294021,,                  7282,                -93567,                 77175,                  2326,                 -1672,                 -1549,                -10005,               -304026,               -216891,              1259812,                 15740,                   -115,               -120325,              1155112,,                -25815,                  9049,                 -4630,                   -304,,                -22264,,               -779513,               -779513,                  5455,                358790,              2183286,              2542076,              2542076,,                 87135,                   -564
3030,2014年01月01日至2014年09月30日,,              1263624,              1263624,,,                 68947,                  3778,                    108,                    115,                -11348,                 -2697,                 58903,,,                 -8751,             -1552208,                 -6584,               -217823,                -12539,             -1797905,,                 30263,                948146,                 39328,                  3247,                  6287,                 -1184,              1026087,               -771818,               -712915,                550709,                 13029,                   -115,               -116326,                447297,,                -22855,                  8384,                 -2302,                   -112,                   -685,                -17570,,               -779513,               -779513,                 -2863,               -352649,              2183286,              1830637,              1830637,,,
3030,2014年01月01日至2014年06月30日,,                342385,                342385,,,                 45251,                  2441,                 -5230,                    115,                 -8058,                 -1839,                 32680,,,                -36974,               -429499,                    553,               -151604,                -55278,               -672802,,                 10744,                217084,                -56727,                  3038,                  6152,                   -815,                179476,               -493326,               -460646,               -118261,                 10448,                   -115,                -32278,               -140206,,                -20741,                  6601,                 -1425,                     37,                 -1129,                -16657,,,,                 -3970,               -160833,              2183286,              2022453,              2022453,,,
3030,2014年01月01日至2014年03月31日,,                 98497,                 98497,,,                 22234,                  1184,                  4813,                    115,                 -3908,                 -1507,                 22931,,,                -33009,                 37242,                 -1283,                 -5419,                 18691,                 16222,,                    151,               -187934,               -111836,                    171,                 -1155,                   -359,               -300962,               -284740,               -261809,               -163312,                  6700,                   -115,                -16802,               -173529,,                -15487,                  4220,                   -498,                    -71,                     91,                -11745,,,,                   -388,               -185662,              2183286,              1997624,              1997624,,,
3030,2013年度,,                980097,                980097,,,                 85642,                  4452,                 -4993,                    597,                -23199,                   -641,,,,                 -8657,                537965,                 -7107,                124893,                -19259,                627835,,                  4067,                -76820,                -62952,                 -5545,                -11390,                 -1556,               -154196,                473639,                535497,              1515594,                 12695,                   -597,               -412642,              1115050,,                -30123,                 16198,                 -6382,                 -5878,,                -27692,,               -824530,               -824530,                 14330,                277158,              1906128,              2183286,              2183286,,                 61858,                 -1507
3030,2013年01月01日至2013年12月31日,,                980097,                980097,,,                 85642,                  4452,                 -4993,                    597,                -23199,                   -641,,,,                 -8657,                537965,                 -7107,                124893,                -19259,                627835,,                  4067,                -76820,                -62952,                 -5545,                -11390,                 -1556,               -154196,                473639,                535497,              1515594,                 12695,                   -597,               -412642,              1115050,,                -30123,                 16198,                 -6382,                 -5878,,                -27692,,               -824530,               -824530,                 14330,                277158,              1906128,              2183286,              2183286,,                 61858,                 -1507
3030,2013年01月01日至2013年09月30日,,                833840,                833840,,,                 63738,                  3316,                   -724,                    597,                -19342,                 -1495,,,,                 10118,               -141295,                 -8055,                 83376,                -17052,                -72908,,                 11372,                229947,               -102246,                   -913,                 -8124,                 -1146,                128890,                 55982,                102072,                935912,                 10300,                   -597,               -412159,                533456,,                -24644,                 12648,                 -4472,                 -5964,,                -25329,,               -824530,               -824530,                  7511,               -308892,              1906128,              1597236,              1597236,,                 46090,                 -2897
3030,2013年01月01日至2013年06月30日,,                365944,                365944,,,                 40869,                  2221,                 -2667,                    597,                -15472,                 -1104,,,,                  9878,                200510,                -11413,                 67923,                   -616,                266282,,                  3672,                -88008,                -94401,                  1408,                 -6010,                   -727,               -184066,                 82216,                106660,                472604,                  7247,                   -597,               -263139,                216115,,                -20632,                  5420,                 -2816,                 -5964,                 -2473,                -26465,,,,                 12444,                202094,              1906128,              2108222,              2108222,,                 24444,
3030,2013年01月01日至2013年03月31日,,                142576,                142576,,,                 18883,                  1054,                 -3110,                    597,                -10831,                   -671,,,,                 10732,                436307,                   -736,                 28297,                  6645,                481245,,                  2836,               -303324,               -110535,                   -102,                 -1635,                   -400,               -413160,                 68085,                 74007,                216583,                  3335,                   -597,                -46057,                173264,,                 -7138,                  1394,                 -1454,                              0,                   -467,                 -7665,,,,                  6509,                172108,              1906128,              2078236,              2078236,,                  5922,
3030,2012年01月01日至2012年12月31日,,              1805781,              1805781,,,                 85092,                  4422,                 12855,                              0,                -10084,                  1582,,,,                 -8108,               -613513,                 15040,                -75818,                 -6659,               -689058,,                 -2282,                313957,                 93482,                  6769,                 14718,                 -1486,                425158,               -263900,               -170033,              1635748,                 10058,                              0,               -215367,              1430439,,                -24857,                  4675,                 -6432,                              0,,                -31580,,               -584161,               -584161,                -11433,                803265,              1102863,              1906128,              1906128,,                 93867,                 -4966
3030,2012年01月01日至2012年09月30日,,              1537786,              1537786,,,                 62704,                  3162,                  7868,                              0,                 -7249,                   -507,,,,                 -2952,             -1446799,                  3278,               -152045,                -25544,             -1624062,,                 11693,                772859,                 74231,                  4644,                 16027,                 -1119,                878335,               -745727,               -679749,                858037,                  7249,                              0,               -206887,                658399,,                -22705,                  4026,                 -5576,                              0,,                -29529,,               -584161,               -584161,                -13297,                 31412,              1102863,              1134275,              1134275,,                 65978,                 -5274
3030,2012年01月01日至2012年06月30日,,                723389,                723389,,,                 41399,                  2021,                  2205,                              0,                 -5477,                    -90,,,,                    162,               -745424,                  6159,               -126161,                -19135,               -884399,,                 10812,                558285,                 43548,                  2122,                  4596,                   -749,                618614,               -265785,               -225727,                497662,                  5308,                              0,               -122681,                380289,,                -21130,                  1420,                 -3461,                 -3982,,                -34015,,,,                 -5247,                341027,              1102863,              1443890,              1443890,,                 40058,                 -6862
3030,2012年01月01日至2012年03月31日,,                296717,                296717,,,                 18892,                    968,                  2294,                              0,                 -2340,                     94,,,,                  3759,               -105255,                  2263,                -28325,                -14646,               -142204,,                 -6962,                214526,                -63297,                    654,                  3713,                   -374,                148260,                  6056,                 25964,                322681,                  2195,                              0,                    -81,                324795,,                 -6404,                    304,                   -480,,,                 -6407,,,,                 -8644,                309744,              1102863,              1412607,              1412607,,                 19908,                    173
