證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 預付設備款增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 發行公司債,　　 償還長期借款,　　 發放現金股利,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 舉借長期借款,　　 其他金融資產減少,　　　 不影響現金流量之收益費損項目,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 對子公司之收購（扣除所取得之現金）,　　 收取之股利,　　 償還公司債,　　　　　 其他應收款（增加）減少,　　 處分無形資產,　　　　 其他項目,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應付建造合約款（增加）減少,　　 取得備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 現金減資,　　　　 非金融資產減損迴轉利益
2542,2015年01月01日至2015年09月30日,,              3450646,              3450646,,,                 44079,                  9145,                271342,                122156,                -43384,                -78363,                    227,                325202,,,                163184,                -45160,                 87724,             -9293123,                261373,                  4576,               -852270,             -9673696,,                -70229,             -1601903,                 -1253,               -133180,                -32609,                402089,                -65437,                291588,                  7827,             -1203107,            -10876803,            -10551601,             -7100955,               -260360,             -7361315,,                -26971,                    196,                 -8011,                    -70,                 -5798,                 47458,                  6804,,             13041702,            -10235371,              2689413,                              0,                              0,                -99384,                              0,               -926287,               -147309,              4322764,                    -53,             -3031800,             10722689,              7690889,              7690889,,,,,,,,,,,,,,,,,,,
2542,2015年01月01日至2015年06月30日,,              2945968,              2945968,,,                 29412,                  6171,                 -7560,                 75390,                -32755,,                    217,                 70875,,,                121361,                444737,                 68996,             -5288220,                 96191,                 -7302,               -213488,             -4777725,,                -59711,             -1684131,                -68588,               -180559,                -32430,                150663,                -24642,                194084,                  7707,             -1697607,             -6475332,             -6404457,             -3458489,               -196980,             -3655469,,                -21790,                    197,                 -2367,                 -1980,                 -3180,                 37576,                  8456,,              5467416,             -5894956,              1788002,,                              0,,,               -593894,                731672,              1488854,                   -218,             -2158377,             10722689,              8564312,              8564312,                 -9386,,,,,,,,,,,,,,,,,,
2542,2015年01月01日至2015年03月31日,,              3003467,              3003467,,,                 12703,                  3149,                -88787,                 43241,                -11739,,                    -26,                -41459,,,                 28528,                518178,                 53126,               -455434,                256437,                -41389,               -190218,                169228,,                 38157,             -1532671,                 15321,               -107363,                 -9206,             -1306396,                    969,                 58055,                  7674,             -2835460,             -2666232,             -2707691,                295776,               -177587,                118189,,                 -9245,                     82,                   -842,                   -397,                 -2893,                 16619,                  3324,,              2116991,             -4339160,                 75831,,,                 -4693,,               -292240,                731672,             -1711599,                   -152,             -1590238,             10722689,              9132451,              9132451,,                              0,,,,,,,,,,,,,,,,,
2542,2014年度,,             11172002,             11172002,,,                 45552,                 13089,                -65283,                316370,                -52666,                              0,                   -843,,,,               -367268,               -527990,                 85866,                137859,                439091,                 82891,                139295,                -10256,,                 17894,                852374,                -92133,                 -2736,                 31485,             -1119480,                 91458,                -32464,,               -253311,               -263567,                 -7348,             11164654,               -911191,             10253463,,                -52740,                  1734,                -11988,               -503202,                -30254,                 42222,               -554228,,             18708858,            -23320907,                228075,                              0,              2000000,                -18697,             -1232473,             -1269003,,             -4904847,                    543,              4794931,              5927758,             10722689,             10722689,,                              0,,                              0,                256219,                    291,                              0,                              0,                   -700,,,,,,,,,,
2542,2014年01月01日至2014年09月30日,,              9570767,              9570767,,,                 31828,                  9968,                 -9003,                240167,                -31048,                              0,                   -847,                241065,,,               -148462,                -86230,                118619,              1974832,                590036,                -34267,               -334542,              2079986,,                -56125,               -362226,                 26450,                303521,                 37692,             -2869490,                  4485,                 24550,                    144,             -2890999,               -811013,               -569948,              9000819,               -848370,              8152449,,                -33119,                  1732,                -12220,               -500687,                -30714,                 28758,               -546250,,             13402353,            -16976948,                              0,               -192035,              2000000,                -14012,             -1181462,               -990108,                -51011,             -4003223,                    211,              3603187,              5927758,              9530945,              9530945,,,,,,,,,,,,,,,,,,,
2542,2014年01月01日至2014年06月30日,,              3197195,              3197195,,,                 20358,                  6567,                  5547,                163758,                -19364,,                   -851,                176015,,,                 68373,               -260686,                125556,             -4352810,                -98396,                  7858,                199325,             -4310780,,                -30305,               -350201,               -102793,                 45405,                 27450,              1227380,                  3855,                 46172,                     58,                867021,             -3443759,             -3267744,                -70549,               -595507,               -666056,,                -21377,                  1733,                 -4820,               -374338,                -18021,                 18832,               -397991,,              9742065,             -7389401,              1652674,,              1500000,,,               -640190,                              0,              4855809,                   -515,              3791247,              5927758,              9719005,              9719005,                 -9339,,,,,,,,,,,,,,,,,,
2542,2014年01月01日至2014年03月31日,,                698727,                698727,,,                 10018,                  3189,                 -7524,                 82542,                 -5549,,                      1,                 82677,,,                 46960,                   -206,                141767,             -4495054,               -192486,                 35779,                -54176,             -4517416,,                -17779,             -1194328,                -16173,                116807,                  4744,                881231,                  2964,                 -2793,                    -15,               -225342,             -4742758,             -4660081,             -3961354,                -33454,             -3994808,,                 -4684,                              0,                   -280,                              0,                -13549,                  5119,                 -5408,,              5582996,             -2432267,                216974,,,                 -4670,,               -313475,                              0,              3049558,                    614,               -950044,              5927758,              4977714,              4977714,,                  7986,,,,,,,,,,,,,,,,,
2542,2013年度,,              7815796,              7815796,,,                 39282,                 17363,               -206535,                334093,                -30276,                   -500,                      8,,,,                  9240,                253544,               -177031,             -8037816,             -1509416,                -25991,             -3041938,            -12529408,,               -102758,                153374,               -158082,                -43423,                 30326,              6483400,               -142700,               -163249,,              6056966,             -6472442,             -6317692,              1498104,             -1308744,                189360,,                -45462,                      2,                 -8321,                              0,                              0,                 29235,                213578,,             21474618,            -18654433,                              0,               -461137,              1495000,                -20537,             -2161740,             -1063461,,                608310,                    752,              1012000,              4915758,              5927758,              5927758,,                232405,,                  1315,                154750,                     78,                  5219,                    500,                              0,,,,,,,,,,
2542,2013年01月01日至2013年12月31日,,              7815796,              7815796,,,                 39282,                 17363,               -206535,                334093,                -30276,                   -500,                      8,,,,                  9240,                253544,               -177031,             -8037816,             -1509416,                -25991,             -3041938,            -12529408,,               -102758,                153374,,                -43423,                 30326,              6483400,               -142700,               -163249,,              6056966,             -6472442,             -6317692,              1498104,             -1308744,                189360,,                -45462,                      2,                 -8321,                232405,,                 29235,                213578,,             21474618,            -18654433,                              0,               -461137,              1495000,                -20537,             -2161740,             -1063461,,                608310,                    752,              1012000,              4915758,              5927758,              5927758,,,,                  1315,                154750,                     78,                  5219,                    500,,,,                              0,                              0,               -158082,                              0,                              0,                              0,                              0,
2542,2013年01月01日至2013年09月30日,,              6585706,              6585706,,,                 27549,                 12646,               -126615,                269774,                -16929,                   -500,                      7,,,,                 -6598,                313153,                -73346,                103806,             -1038689,                -43803,             -3109757,             -3855234,,               -113530,             -1018802,                102227,                  4109,                 26809,              4023527,               -117434,               -173081,,              2733898,             -1121336,               -954089,              5631617,             -1273444,              4358173,,                -29889,                      2,                 -6770,                              0,                              0,                 16929,                217916,,             10500858,            -13386953,,             -1156962,              1495000,                -15878,             -2161740,               -826608,,             -5552283,                    630,               -975564,              4915758,              3940194,              3940194,,                231925,,                  1315,                167247,                     73,                  5219,                    500,,,,,,,,,,,
2542,2013年01月01日至2013年06月30日,,              5603727,              5603727,,,                 18307,                  8220,                -90111,                184741,                -13261,,                      7,,,,                 65525,                 71435,                -54577,              2540837,               -438282,                -40659,             -2355197,               -248698,,                -92677,                378478,                216658,                  2186,                 26892,              1857380,                182121,               -270643,,              2300451,              2051753,              2161288,              7765015,             -1210419,              6554596,,                -22492,                      2,                              0,                239925,                              0,                 13234,                232881,,              5931456,            -10922821,                              0,             -1176015,                              0,                 -9370,,               -547048,,             -6723798,                    719,                 64398,              4915758,              4980156,              4980156,,                              0,,                  1632,                109535,                     56,                 -9000,,,                -37780,                 11212,,,,,,,,
2542,2013年01月01日至2013年03月31日,,              4447652,              4447652,,,                  8989,                  4102,                -77034,                 91721,                 -3973,,                      7,,,,                 33861,                -38173,                -27211,              5848503,                228686,                -37442,             -1913368,              4094856,,                -70113,               -276813,                260094,                 79254,                  9542,               -746620,                146555,               -179560,,               -777663,              3317193,              3342411,              7790063,               -739214,              7050849,,                -10622,                      2,                              0,               -259364,                              0,                  2108,               -266048,,              2434950,             -8035668,                              0,               -869073,,                 -5005,,               -284572,,             -6759368,                    691,                 26124,              4915758,              4941882,              4941882,,                              0,,                  1406,                 25218,                     -2,,,,,                  1828,,,,,,,,
2542,2012年01月01日至2012年12月31日,,              5259088,              5259088,,,                 34126,                 14432,               -140533,                496115,                -21998,                              0,                   -224,,,,                -67933,                -66946,                 11694,            -10946110,             -1220749,                -93980,             -2176116,            -14709501,,                140534,              1587165,,               -128703,                 20807,              3327585,               -524094,                190786,,              4883603,             -9825898,             -9497921,             -4238833,               -708649,             -4947482,,                -39927,                    231,                -14870,                147774,,                 21030,               -118170,,             30292378,            -19877415,              1089923,                              0,                              0,                -19436,             -2827483,               -969796,,              6211020,                   -286,              1145082,              3770676,              4915758,              4915758,,,,                  2331,                327977,                  2993,                              0,                              0,,,,                -56272,               -149361,                266530,               -200000,                  7125,                -39533,             -1477151,
