證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產減少,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得以成本衡量之金融資產,　　　　　 持有供交易之金融資產（增加）減少,　　 其他非流動資產增加,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分以成本衡量之金融資產,　　 存出保證金減少,　　 存出保證金增加,　　 處分無形資產
2615,2015年01月01日至2015年09月30日,,              5831377,              5831377,,,              3320554,                 21572,                552368,               -223417,               -135779,                -39543,               -787295,                              0,                 -2299,                121438,              2827599,,,                -13663,              1261934,               -128000,                272510,                -64524,                -61015,              1267242,,             -7252690,                397712,               -281124,               -108533,                -73737,                 19639,             -7298733,             -6031491,             -3203892,              2627485,             -1166338,              1461147,,               -176152,                 14860,                -80634,             -4139542,                848041,                 -2633,                -38489,                228988,                155931,             -3189630,,                 37000,                              0,              5996430,             -3604322,                -96045,             -4436595,               -591816,                -50522,             -2745870,               -262018,             -4736371,             26784275,             22047904,             22047904,,,,,,,,,,,
2615,2015年01月01日至2015年06月30日,,              3979257,              3979257,,,              2208003,                 14290,                421238,               -157583,                 -1430,                -29294,               -463840,                              0,                 -2299,               -118284,              1870801,,,                   -709,                971091,                168922,                -21897,                 -7738,                109634,              1219303,,             -7252690,                504695,               -216671,               -282705,                -78029,                    828,             -7324572,             -6105269,             -4234468,               -255211,               -708320,               -963531,,               -102294,                 14860,,             -2667535,                473048,                 -1108,                  4043,                156162,                 21583,             -2177131,,                 10000,,              4676850,             -1976411,                 -3453,,               -444541,                 -2585,              2259860,                152286,               -728516,             26784275,             26055759,             26055759,                -75890,,,,,,,,,,
2615,2015年01月01日至2015年03月31日,,              2478956,              2478956,,,              1113241,                  7090,                206226,                -76705,,                -11552,               -202917,                              0,                              0,                -72957,                962426,,,                -11398,                892175,                -67961,                 44874,                -20481,                155571,                992780,,               -110539,               -254313,               -175663,               -342824,                -37501,                  3554,               -917286,                 75494,              1037920,              3516876,                -71739,              3445137,,                -29841,                              0,,             -1451251,                163219,                   -131,,                 73288,,             -1242779,,,,              3152270,             -1341562,                  4943,,               -159063,,              1656588,                 20600,              3879546,             26784275,             30663821,             30663821,,                              0,                  1937,,,,,,,,
2615,2014年度,,              6579193,              6579193,,,              4253614,                 35363,                820373,               -248803,               -110949,                -59076,               -284904,                    476,                -61242,                282716,,,,                  5513,               -652318,                465813,                264529,                182509,                -82195,                183851,,                374885,                837544,                115883,                 77064,,                  3258,              1362014,              1545865,              6238433,             12817626,               -467059,             12350567,,               -477972,                360181,,             -3358298,                295181,                -12432,,                243467,                140942,             -2771229,,,              1800000,              2322380,             -4149373,                105735,             -1774637,               -809493,                 -2502,             -2507890,               -538669,              6532779,             20251496,             26784275,             26784275,                              0,                              0,                 37702,,                 65000,              4692568,                -46620,                              0,                              0,,
2615,2014年01月01日至2014年09月30日,,              4308620,              4308620,,,              3149323,                 27425,                614339,               -179987,               -109968,                -47191,               -211442,                    476,                -61242,                106824,              3288557,,,                  7045,               -408162,                  1894,               -335959,                168016,                 -3098,               -570264,,                 88141,                668586,                -60354,                -13944,                -12554,                  3881,                673756,                103492,              3392049,              7700669,               -382590,              7318079,,               -423816,                360181,                              0,             -2312802,                206882,                 -5683,                 36564,                177786,                140188,             -1820700,,                              0,              1800000,                994660,             -3597483,                 40563,             -1774637,               -668702,                 -2502,             -3208101,               -157213,              2132065,             20251496,             22383561,             22383561,,,,,,,,,,,
2615,2014年01月01日至2014年06月30日,,              2150278,              2150278,,,              2088369,                 19205,                412321,               -116666,                 -1864,                -31775,               -157820,                    476,                -32286,                 34875,              2214835,,,                -11470,               -297923,                375730,                -87331,                 79407,                 27138,                 85551,,                  1025,                192916,               -257074,                 42379,                  7228,                  7323,                 -6203,                 79348,              2294183,              4444461,               -220970,              4223491,,                -68386,                186589,,             -1951016,                152195,                 -4971,                 34187,                109349,                 32315,             -1509738,,                              0,,                994660,             -2728686,                 21986,,               -448066,                 -2503,             -2162609,                  4977,                556121,             20251496,             20807617,             20807617,                              0,,,,,,,,,,
2615,2014年01月01日至2014年03月31日,,                763746,                763746,,,              1040656,                 10361,                204483,                -53883,,                -16650,                -76211,                              0,                 -4733,                 98120,              1202143,,,                -13323,                128064,                340190,                153309,                113212,                 57585,                779037,,                114183,               -276669,             -1307115,               -258163,                  6704,                  3438,             -1717622,               -938585,                263558,              1027304,                -32577,                994727,,                -56056,                 10514,,               -412944,                 67838,                   -169,,                 51197,,               -281648,,,,                604400,             -2146507,                 13441,,               -165873,,             -1694539,               -178448,             -1159908,             20251496,             19091588,             19091588,,                              0,                 57972,,,,,,,,
2615,2013年度,,              2504764,              2504764,,,              4343385,                 45569,                808481,               -160646,                -93921,                -39698,               -173257,                    485,               -226713,                163620,,,,                -17232,               -459912,               -636441,                -92094,               -122061,                -60186,             -1387926,,                125753,               -747690,              1474123,                680854,,                -30190,              1446655,                 58729,              4726034,              7230798,               -139124,              7091674,,               -345949,                186312,,             -7830958,                204113,                -32988,,                150411,                120536,             -7553743,,,                              0,              1995974,             -4297969,                 94107,             -1774639,               -818174,                    482,             -4800219,               -129347,             -5391635,             25643131,             20251496,             20251496,               -152529,                              0,                -42532,,                              0,              4667305,                -56195,                179367,                 10474,,
2615,2013年01月01日至2013年12月31日,,              2504764,              2504764,,,              4343385,                 45569,                808481,               -160646,                -93921,                -39698,               -173257,                    485,               -226713,                163620,,,,                -17232,               -459912,               -636441,                -92094,               -122061,                -60186,             -1387926,,                125753,               -747690,              1474123,                680854,,                -30190,              1446655,                 58729,              4726034,              7230798,               -139124,              7091674,,               -345949,                186312,,             -7830958,                204113,                -32988,,                150411,                120536,             -7553743,,,,              1995974,             -4297969,                 94107,             -1774639,               -818174,                    482,             -4800219,               -129347,             -5391635,             25643131,             20251496,             20251496,               -152529,                              0,                -42532,,,              4667305,                -56195,                179367,                 10474,,
2615,2013年01月01日至2013年09月30日,,              1090241,              1090241,,,              3269891,                 34647,                608158,               -113663,                -93921,                -22963,               -144323,                    485,                -25328,                135060,,,,                -17479,               -359887,               -189762,               -210290,               -168802,                -89058,             -1035278,,                 80235,               -314782,                199834,                531277,,                -16259,                478134,               -557144,              3090899,              4181140,                -83891,              4097249,,                -75474,                115950,,             -6500857,                162829,                -10371,                -72349,                111066,                 96678,             -6325057,,,                              0,              1998112,             -3830953,                 89726,             -1774639,               -580770,                    487,             -4098037,                -28535,             -6354380,             25643131,             19288751,             19288751,               -152529,,,,,              3648043,                 -2171,,,,
