證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 生物資產（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 償還長期借款,　　 發放現金股利,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款減少,　　 其他應收款－關係人增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他金融資產增加,　　 其他非流動資產增加,　　 應付短期票券增加,　　 舉借長期借款,　　　　 處分投資性不動產損失（利益）,　　　　　 其他流動資產（增加）減少
1215,2015年01月01日至2015年09月30日,,                635911,                635911,,,                239110,                  3929,                 -8958,                 22882,                 -3162,                 -1098,                  4375,                257078,,,                 82668,                -11467,                 -5497,                  1168,                -94375,                -64499,                182208,                 90206,,                -86058,                124742,                 52382,                -61143,                 -5306,                 24617,                114823,                371901,              1007812,               -204598,                803214,,               -697424,                  3108,                   -136,                              0,                 -6170,                  3138,               -697484,,                290555,                -39957,               -131250,               -243628,                -23087,                -18124,               -165491,                  3013,                -56748,                351698,                294950,                294950,,,,,,,,,,,
1215,2015年01月01日至2015年06月30日,,                383713,                383713,,,                155048,                  2586,                 -9019,                 16170,                 -2618,                 -1027,                  5435,                166575,,,                101714,                132297,                 -5479,                  3438,               -249998,                -43974,                146801,                 84799,,                -50122,                 22200,                 17402,                -55833,                 -3566,                -69919,                 14880,                181455,                565168,               -122870,                442298,,               -386673,                  2114,                   -136,                              0,                  3673,                  2542,               -378480,,,                -49974,                -87500,,                -16978,                -17690,               -196880,                 -6480,               -139542,                351698,                212156,                212156,                -24738,,,,,,,,,,
1215,2015年01月01日至2015年03月31日,,                221016,                221016,,,                 75953,                  1363,                 -3355,                  8400,                   -396,                   -311,                 12093,                 93747,,,                 76556,                150854,                 -7998,                 -5206,               -533604,                -38186,                 98558,               -259026,,                -89472,                 63628,                   -756,                -39364,                 -1836,                -67800,               -326826,               -233079,                -12063,                 -2871,                -14934,,               -192411,                    359,                   -136,                              0,                  2945,                    376,               -188867,,                265515,                -60050,                -43750,,                 -9378,                 -5462,                146875,                 -3324,                -60250,                351698,                291448,                291448,,                              0,,,,,,,,,
1215,2014年度,,                995381,                995381,,,                297201,                  5159,                   -969,                 34489,                 -1151,                 -2691,                -13774,,,,                 48513,                -52358,                 42600,                 -6761,               -200528,                 -9642,                115124,                -63052,,                 15088,               -111908,                -17005,                 85562,,                -33278,                -96330,                221934,              1217315,               -167957,              1049358,,               -498737,                  8438,                   -646,,,                  1151,               -462243,,               -175733,,               -100000,               -185621,                -33585,                   -272,               -445204,                 15460,                157371,                194327,                351698,                351698,,,,                318264,                 -5015,                    400,                 27151,                 30007,                 20000,,
1215,2014年01月01日至2014年09月30日,,                713489,                713489,,,                222255,                  3786,                   -595,                 27009,                   -860,                 -1814,                -27101,                222680,,,                    931,                  8321,                 42263,                 -8246,               -202719,                -23712,                181760,                 -1402,,                  7001,                -21972,                -13494,                 85819,                 -3801,                 53553,                 52151,                274831,                988320,               -158506,                829814,,               -361712,                  6538,                   -498,                    400,                  1741,                    860,               -352671,,                -23497,                -39915,                -56250,               -185621,                -26968,                   -272,               -332523,                  3919,                148539,                194327,                342866,                342866,,,,,,,,,,,
1215,2014年01月01日至2014年06月30日,,                490764,                490764,,,                148212,                  2514,                   -248,                 18792,                   -707,                 -1258,                -11985,                155320,,,                 19621,                 97076,                 43574,                 -6517,               -282760,                  5074,                 20838,               -103094,,                -72353,                -72680,                -15130,                 60845,                 -2621,               -101939,               -205033,                -49713,                441051,                -96795,                344256,,               -212201,                  4941,                   -249,                    400,                    739,                    707,               -205663,,,                     42,                -37500,,                -18783,                              0,                -71689,                   -224,                 66680,                194327,                261007,                261007,                -15448,,,,,,,,,,
1215,2014年01月01日至2014年03月31日,,                248479,                248479,,,                 74412,                  1265,                    -45,                  9706,                   -158,                   -150,                -13464,                 71566,,,                 65965,                 77941,                 40477,                   -554,                -60918,                  8929,                 77982,                209822,,                -76387,               -105968,                -16009,                 -2692,                 -1374,               -202430,                  7392,                 78958,                327437,                   -978,                326459,,                -76128,                    482,                   -113,                    400,                  9912,                     84,                -75157,,               -157478,                -49931,                -18750,,                 -8410,                              0,               -234569,                  3446,                 20179,                194327,                214506,                214506,,                 -9794,,,,,,,,,
1215,2013年度,,                564570,                564570,,,                282565,                  4441,                 -2231,                 43048,                 -1724,                 -3117,                -15795,,,,                186468,                116645,                -73827,                 96862,                546992,                -33366,               -127836,                711938,,                -43165,                 -9250,                -40316,                 19986,,                -78009,                633929,                941116,              1505686,               -121595,              1384091,,               -439462,                  9230,                 -5746,,,                  1724,               -450112,,               -899799,,                -86250,               -185621,                -43388,                  8236,             -1094850,                 11069,               -149802,                344129,                194327,                194327,,,,                307187,                 -5264,                   -346,                -15512,                 11972,                100000,,
1215,2013年01月01日至2013年12月31日,,                564570,                564570,,,                282565,                  4441,                 -2231,                 43048,                 -1724,                 -3117,                -15795,,,,                186468,                116645,                -73827,                 96862,                546992,                -33366,               -127836,                711938,,                -43165,                 -9250,                -40316,                 19986,,                -78009,                633929,                941116,              1505686,               -121595,              1384091,,               -439462,                  9230,                 -5746,,,                  1724,               -450112,,               -899799,,                -86250,               -185621,                -43388,                  8236,             -1094850,                 11069,               -149802,                344129,                194327,                194327,,,,                307187,                 -5264,                   -346,                -15512,                 11972,                100000,,
1215,2013年01月01日至2013年09月30日,,                313267,                313267,,,                208597,                  3169,                 -1115,                 33256,                 -1547,                 -2218,                 -6202,,,,                 85657,                 91176,                 -7422,                 96765,                528588,               -107227,                 92984,                780521,,               -108228,                -91430,                -53564,                 66929,,               -190365,                590156,                824096,              1137363,               -118940,              1018423,,               -296866,                  6936,                 -5584,,,                  1547,               -289752,,               -665239,,                -37500,               -193135,                -33819,                 15750,               -801986,                  9317,                -63998,                344129,                280131,                280131,,,,                233940,                 -4072,                 -2733,                  6948,                 81957,                 30000,,
