證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 存入保證金增加,　　 其他非流動負債減少,　　 發放現金股利,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 其他非流動負債增加,　　　　　 預付費用（增加）減少,　　　　　 預收款項增加（減少）,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　　 應付建造合約款（增加）減少,　　 備供出售金融資產減資退回股款,　　 發行公司債
1535,2015年01月01日至2015年09月30日,,                463691,                463691,,,                 14693,                  6472,                 20084,                 -1712,                  2219,                -48209,                -11308,                -82278,                   -129,                 -4196,                    -21,                211812,                107427,,,                  4461,                 -1200,                183191,                -30179,               -964465,                  2583,                  1302,                 53230,                 10073,                585245,               -155759,,                              0,                              0,                110871,                 -7925,               -966379,                -49986,                -13444,                 -1590,                  4328,               -924125,             -1079884,               -972457,               -508766,                 52645,               -119252,               -575373,,               -109000,                104196,               -105247,                  4152,                -18277,                    958,                              0,                 27525,                 -4484,                -14715,                -34288,                              0,                    -66,                              0,                130435,                -18811,,                200000,                              0,                349897,                  4112,                              0,               -556841,                 -2219,                 -5051,                  7805,               -591430,              1560457,                969027,                969027,                              0,,,,,,,,,,
1535,2015年01月01日至2015年06月30日,,                307090,                307090,,,                  9739,                  4438,                    411,                 -1361,                  1289,                -35779,,                -60837,                     -8,                              0,                    -21,                  7875,                -74254,,,                 22461,                              0,                -97673,                -59147,               -255575,                123067,               -118252,                 50237,                 16881,                665521,                347520,,                      2,,                 40974,                -23993,               -887742,               -111434,                 -6293,                 -7424,                  3007,               -992903,               -645383,               -719637,               -412547,                 44458,                -39645,               -407734,,               -109000,                              0,                 -4131,                  4152,                -13829,                      8,,                 24979,                 -4129,                -14715,               -136657,                              0,,                    489,                    368,               -252465,,                320000,               -320000,                499812,                  4018,,,                 -1289,                502541,                -26085,               -183743,              1560457,              1376714,              1376714,,                              0,,,,,,,,,
1535,2015年01月01日至2015年03月31日,,                157772,                157772,,,                  4837,                  2211,                    414,                 -1361,                    313,                -19605,,                -33047,,                              0,,                  3937,                -42301,,,                 22461,                              0,                189215,                 14153,               -128074,                   -209,                  1299,                 51527,                -24319,                209848,                335901,,                  8739,,                -49889,                 17502,               -683667,               -189817,                 -4574,                 12291,                  1499,               -887916,               -552015,               -594316,               -436544,                 20011,                 -3890,               -440434,,                 -9000,                              0,,,                 -5548,,                 -3411,                              0,                 -2129,,                -66002,,,                    194,,                -65885,,,                              0,                299976,                  3521,,,                   -313,                303184,                 -2745,               -205880,              1560457,              1354577,              1354577,                              0,,                              0,                              0,                              0,,,,,,
1535,2014年度,,                857530,                857530,,,                 20113,                  8321,                  4856,                 -1100,                    122,                -84719,                -15869,               -161274,                    134,                 -6100,,                 11625,,,,                -20000,                     25,               -285996,                221250,                -63779,                 -2736,                 -1202,                 34588,                118487,             -1100614,             -1099977,,                              0,,                -18899,                 40579,               -784536,                  4971,                -19372,                  7546,,               -769434,             -1869411,             -2093302,             -1235772,                 75602,               -148431,             -1384203,,               -111146,                 67552,                              0,                              0,                -51668,                    419,                              0,                 25106,                 -9672,,                              0,                225845,                    -79,                              0,                149768,                371727,,,                   -806,,,                              0,               -433099,                   -122,               -434027,                 43346,             -1403157,              2963614,              1560457,              1560457,                              0,,,,,,               -223891,                    277,,,
1535,2014年01月01日至2014年09月30日,,                581123,                581123,,,                 15160,                  6251,                              0,                 -1520,                     87,                -58903,                 -8239,               -133099,                    145,                 -5159,                              0,                 10908,               -174369,,,                -20000,                              0,               -215130,                291267,                415721,                    947,                   -142,                 37374,                 85584,               -414786,                180835,,                      2,                    553,                -41389,                 61868,               -411643,                -61379,                -10472,                 16590,                  4622,               -441248,               -260413,               -434782,                146341,                 51077,               -137940,                 59478,,                -80353,                 44918,                              0,                              0,                -36569,                    408,                              0,                 19731,                 -8899,                              0,                              0,                154866,                              0,                    389,                133215,                227706,,                              0,                   -806,                              0,                              0,                              0,               -433099,                    -87,               -433992,                  6256,               -140552,              2963614,              2823062,              2823062,                              0,,,,,,,,,,
1535,2014年01月01日至2014年06月30日,,                343775,                343775,,,                 10142,                  4000,                              0,                 -1620,                     59,                -35452,,                -89600,                    233,                 -4911,                              0,                  3368,               -113781,,,                -20000,                     25,               -119420,                138417,                464559,                -20640,                  8569,                 35186,                130355,               -308543,                308508,,                              0,,                -47810,                  7486,                -55084,                -91343,                 -4705,                  3643,                  3090,               -184723,                123785,                 10004,                353779,                 30835,                -88634,                295980,,                -72933,                 41920,                              0,                              0,                -21360,                    320,,                 19708,                 -7493,                              0,                              0,                 76800,,                    619,                    604,                 38185,,                    749,                              0,                              0,                              0,,,                    -59,                    710,                 -8763,                326112,              2963614,              3289726,              3289726,,                     20,,,,,,,,,
1535,2014年01月01日至2014年03月31日,,                171160,                171160,,,                  5125,                  1668,                              0,                              0,                     10,                -17613,,                -42821,,                 -4911,,                  3143,                -55399,,,                              0,                     25,                 -3570,               -160570,                208884,                    284,                   -645,                 16901,                -11556,               -183467,               -133714,,                    168,,                 59522,                137591,               -307155,               -218544,                 -2400,                 21244,                  1547,                  6940,               -126774,               -182173,                -11013,                 13462,                -28365,                -39378,,                -36350,                 41920,,,                -20140,,                              0,                 54470,                 -2382,,                -64347,,,                    310,,                -13057,,,                   -806,                              0,                              0,,,                    -10,                 -1120,                  9233,                -44322,              2963614,              2919292,              2919292,                              0,,                              0,                314967,                   -304,,,,,,
1535,2013年度,,                748589,                748589,,,                 18209,                  6461,                              0,                    -36,                  6352,                -56544,                -15310,               -128385,                   -165,                -10831,,                 16094,,,,                              0,                    -25,                 64895,                 43625,                366673,                 -1100,                  2367,                 36163,               -212362,                 42693,                342929,,                -11707,,                -14459,                 11337,              1458979,                 52760,                -22504,                -31062,,              1436712,              1779641,              1615486,              2364075,                 50777,                -86566,              2277509,,                -12394,                              0,               -235008,                 37837,                -30269,                  1981,                -67278,                              0,                 -8815,,               -521454,                              0,                              0,                     41,                 56959,               -727623,,,                -83091,,,                 -7046,               -474305,                 -1413,               -565855,                 12851,                996882,              1966732,              2963614,              2963614,                              0,,,,,,               -164155,                 -6632,,,
1535,2013年01月01日至2013年12月31日,,                748589,                748589,,,                 18209,                  6461,,                    -36,                  6352,                -56544,                -15310,               -128385,                   -165,                -10831,,                 16094,,,,,                    -25,                 64895,                 43625,                366673,                 -1100,                  2367,                 36163,               -228132,                 42693,                327159,,                -11707,,                -14459,                 11337,,                 52760,                -22504,                -31062,,              1436712,              1763871,              1599716,              2348305,                 50777,                -86566,              2261739,,                -12394,                              0,               -235008,                 37837,                -30269,                  1981,,,                 -8815,,               -572962,,                              0,                     41,                 56959,               -711853,,                              0,                -83091,,,                 -7046,               -474305,                 -1413,               -565855,                 12851,                996882,              1966732,              2963614,              2963614,,,,,,,               -164155,                 -6632,              1458979,                              0,                              0
1535,2013年01月01日至2013年09月30日,,                564991,                564991,,,                 13692,                  4719,,                    -36,                  6335,                -36506,,               -118171,                    -36,                -10831,,                 12071,,,,                              0,,                  3900,                -20299,                124241,                -20266,                  2420,                 40653,                103732,                -73189,                161192,,                -10495,                              0,                 12598,                  2710,              1155525,                -43419,                -16379,                    575,,              1103358,              1264550,              1135787,              1700778,                 37201,                -83127,              1654852,,                 -6394,                              0,               -235009,                 37837,                 -4069,                     41,                -47532,                              0,                 -8803,,               -105662,                              0,                   -328,                              0,                 34714,               -335205,,,                -83897,,,                 -7046,               -474305,                 -1396,               -566644,                  1074,                754077,              1966732,              2720809,              2720809,                              0,,,,,,               -128763,                  2243,,,
