證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產減少,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 預付設備款增加,　　　 不影響現金流量之收益費損項目,　　　　 利息費用,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 支付之利息,　　 取得無形資產,　　 短期借款增加,　　 取得以成本衡量之金融資產
9926,2015年01月01日至2015年09月30日,,                296127,                296127,,,                134931,                     97,                      2,                 -7665,                -30121,                   -564,                     10,                 -3916,                -65670,                 27104,,,                 -7032,                 84461,                  9877,                  3516,                   -802,                     44,                 90064,,                -11173,                -88295,                -18801,               -151036,                    300,                 -2834,                350093,                 78254,                168318,                195422,                491549,                  7665,                -58727,                440487,,                -69349,                115198,                              0,               -393366,                    207,                     -7,               -302673,                 30121,               -619869,,                  3834,               -200116,               -196282,               -375664,              1209058,                833394,                833394,,,,,,,,,
9926,2015年01月01日至2015年06月30日,,                198316,                198316,,,                 87971,                     54,                      1,                 -5764,                -12122,                    211,                     19,                 -3916,                -41222,                 25232,,,                 -6591,                110277,                  7376,                 -3084,                   -714,                    -29,                107235,,                -11122,               -116308,                -16332,                -55904,                   -205,                    -88,                200811,                    852,                108087,                133319,                331635,                  5764,                -33266,                304133,,                -51379,                115198,                              0,               -255651,                    198,                     -7,               -302673,                 12122,               -482192,,                  2098,,                  2098,               -175961,              1209058,              1033097,              1033097,,,,,,,,,
9926,2015年01月01日至2015年03月31日,,                101708,                101708,,,                 42981,                     32,                              0,                 -1782,                -10722,                    257,                     11,                 -1021,                -19519,                 10237,,,                 -5886,                 14399,                 -4775,                 -9386,                   -186,                    -47,                 -5881,,                 -9471,                -35956,                -25553,                 -5076,                    -65,                    -44,                 73063,                 -3102,                 -8983,                  1254,                102962,                  1782,                   -179,                104565,,                -22708,                 73947,,               -133719,,                     -7,,,                -82487,,                    676,,                    676,                 22754,              1209058,              1231812,              1231812,                              0,,,,,,,,
9926,2014年度,,                319818,                319818,,,                163976,                    128,                     22,                 -7789,                -16842,                   -642,                  1200,                 12165,                -59977,,,,                   -264,                -33543,               -153454,                -27862,                    221,                    -13,               -214915,,                  2999,                    796,                 -7192,                307448,                    117,,                397046,                685846,                470931,                563173,                882991,                  7789,                -22620,                868159,,                -99839,                 36644,                 11641,               -372439,                    771,                    -20,                  8968,                 16842,               -397432,,                  7990,               -192419,               -184429,                286298,                922760,              1209058,              1209058,,,                      1,                 92242,                -15368,                     -1,                              0,,
9926,2014年01月01日至2014年09月30日,,                259180,                259180,,,                117671,                     96,                     22,                 -6144,                -16275,                    289,                   -683,                  4780,                -42099,                 57657,,,                   -155,                101574,               -118014,                -12372,                    383,                 -1631,                -30215,,                   -571,                -85232,                -33462,                 72490,                    621,                 -9681,                288836,                233001,                202786,                260443,                519623,                  6144,                -22409,                503358,,                -83050,                 27757,                 10996,               -282318,                    732,                              0,                    -16,                 16275,               -309624,,                  7477,               -192419,               -184942,                  8792,                922760,                931552,                931552,,,,,,,,,
9926,2014年01月01日至2014年06月30日,,                188976,                188976,,,                 76405,                     64,                     22,                 -4671,                   -500,                    735,                   -683,                 -2173,                -26326,                 42873,,,                   -401,                 51090,                -79540,                  1115,                    932,                -11213,                -38017,,                 -8259,                -77359,                -16281,                 36787,                    300,                 -4303,                188913,                119798,                 81781,                124654,                313630,                  4671,                 -5184,                313117,,                -20824,                  6769,                 10996,               -182305,                    732,                              0,                    -16,                    500,               -184148,,                  5641,,                  5641,                134610,                922760,              1057370,              1057370,,,,,,,,,
9926,2014年01月01日至2014年03月31日,,                 90921,                 90921,,,                 37402,                     32,                     21,                 -1156,                              0,                    756,                      2,                 -1808,                -12154,                 23095,,,                 -1374,                -78946,                -46998,                  1151,                    730,                    -63,               -125500,,                 -8147,                  9426,                -31552,                 -7094,                     41,                 -4300,                100567,                 58941,                -66559,                -43464,                 47457,                  1156,                   -116,                 48497,,                -12315,                  4932,,                -75252,,                              0,,,                -84735,,                    771,,                    771,                -35467,                922760,                887293,                887293,                 -2100,,,,,,,,
9926,2013年度,,                251849,                251849,,,                139449,                    109,                              0,                 -4494,                -17767,                  3603,                   -244,                -24031,                -31373,,,,                     -4,                 -7068,               -152383,                 -6557,                 -1154,                    268,               -166898,,                  2057,                 37340,                  5706,                133014,                    -12,,                317850,                482757,                315859,                381112,                632961,                  4494,                -62782,                574672,,               -177033,                171017,                  5389,               -270157,                    332,                   -236,                  2260,                 17767,               -251129,,                 19439,               -181528,               -162089,                161454,                761306,                922760,                922760,,,                      1,                 65253,                -13198,                     -1,                   -468,,
9926,2013年01月01日至2013年12月31日,,                251849,                251849,,,                139449,                    109,,                 -4494,                -17767,                  3603,                   -244,                -24031,                -31373,,,,                     -4,                 -7068,               -152383,                 -6557,                 -1154,                    268,               -166898,,                  2057,                 37340,                  5706,                133014,                    -12,,                317850,                482757,                315859,                381112,                632961,                  4494,                -62782,                574672,,               -177033,                171017,                  5389,               -270157,                    332,                   -236,                  2260,                 17767,               -251129,,                 19439,               -181528,               -162089,                161454,                761306,                922760,                922760,,,                      1,                 65253,                -13198,                     -1,                   -468,,                              0
9926,2013年01月01日至2013年09月30日,,                172508,                172508,,,                101864,                     76,                              0,                 -3250,                -17768,                  2739,                   -264,                -19602,                -21168,,,,                 -4153,                143994,               -107144,                 -6414,                   -800,                    200,                 25683,,                 -5198,                -52748,                -31552,                 70018,                    418,,                208555,                180800,                206483,                249110,                421618,                  3250,                -62753,                362115,,               -162935,                111547,                  5389,               -146939,                    332,                   -117,                 26274,                 17509,               -149408,,                 19252,               -181528,               -161276,                 51431,                761306,                812737,                812737,,,,                 42627,                 -8693,,                   -468,                  1000,
