證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金減少,　　 其他非流動資產減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他金融資產增加,　　　　　 以成本衡量之金融負債增加（減少）
6281,2015年01月01日至2015年09月30日,,                438010,                438010,,,                 66951,                    510,                  1563,                 -9508,                  1636,                              0,                     17,                 61169,,,                    202,                -30548,                  4165,                430293,                   -119,                 -1903,                402090,,                    259,               -629457,                -71521,                 42272,                   -316,                  3095,               -655668,               -253578,               -192409,                245601,                  9615,                -88350,                166866,,                -72634,                      3,                  1312,                 -3744,                294300,                   -788,                218449,,                              0,                   -763,               -386774,               -387537,                 -2222,                497382,                495160,                495160,,,,,,,
6281,2015年01月01日至2015年06月30日,,                333375,                333375,,,                 44163,                    340,,                 -6697,                    432,                              0,                  1579,                 39817,,,                    850,                -20111,                  2518,               -157597,                -19198,                    617,               -192921,,                   -222,                141948,                 -4330,                226023,                  1739,                  2091,                367249,                174328,                214145,                547520,                  6694,                -44235,                509979,,                -47603,                      2,                              0,                              0,                 35800,                   -629,                -10817,,                    359,                              0,,                    359,                499521,                497382,                996903,                996903,                  1613,,,,,,
6281,2015年01月01日至2015年03月31日,,                177693,                177693,,,                 22014,                    170,,                 -3399,                    373,,,                 19158,,,                   -901,                  7505,                  2446,                 47553,               -159127,                 -1184,               -103708,,                    -23,                -10785,               -190154,                 30529,                   -134,                  1026,               -169541,               -273249,               -254091,                -76398,                  3404,                   -349,                -73343,,                -28643,                              0,                   -871,,                281000,                   -746,                250740,,                    587,                              0,,                    587,                177984,                497382,                675366,                675366,                              0,                              0,,,,,
6281,2014年度,,                511342,                511342,,,                 77543,                    532,,                -13642,                  2790,                     12,,,,,                  1780,                 17964,                 -3779,               -230081,                  2542,                    -30,               -211604,,                 -1038,                 36389,                 57256,                 47274,                 -4746,,                138443,                -73161,                 -5926,                505416,                 13691,                -71671,                447436,,               -135566,                     29,                   -438,                 -1069,                              0,                 -1973,               -155517,,                              0,                 -4323,               -347105,               -351428,                -59509,                556891,                497382,                497382,,,,                 67235,                  3308,                -16500,
6281,2014年01月01日至2014年09月30日,,                435354,                435354,,,                 56396,                    373,                              0,                 -9826,                  2430,                     12,                              0,                 49385,,,                  2265,                 29622,                 -1386,                424358,                    194,                 -2491,                452562,,                    413,               -348707,                 -3332,                 12122,                 -2806,                  2380,               -339930,                112632,                162017,                597371,                  9911,                -71302,                535980,,               -102058,                     29,                 -1277,                   -733,                132500,                 -2112,                 26349,,                              0,                 -2441,               -347105,               -349546,                212783,                556891,                769674,                769674,,,,,,,
6281,2014年01月01日至2014年06月30日,,                303058,                303058,,,                 36345,                    220,,                 -6514,                    321,                     12,                              0,                 30384,,,                  1901,                -98703,                   -606,               -238036,                -47039,                 -1773,               -384256,,                 -1197,                -35354,                  2548,                160768,                 -5616,                  1698,                122847,               -261409,               -231025,                 72033,                  6567,                -28245,                 50355,,                -73914,                     29,                   -850,                   -733,                134500,                 -2069,                 56963,,                              0,                 -3780,,                 -3780,                103538,                556891,                660429,                660429,                              0,,,,,,
6281,2014年01月01日至2014年03月31日,,                162385,                162385,,,                 17626,                     67,,                 -3300,                    239,,,                 14632,,,                   -709,                -40128,                   -379,               -242079,                -81101,                 -1782,               -366178,,                 -1703,               -186028,               -161979,                 28126,                 -3262,                    812,               -324034,               -690212,               -675580,               -513195,                  3336,                   -336,               -510195,,                -34326,                      5,                              0,,                228500,                              0,                194927,,                              0,                 -4186,,                 -4186,               -319454,                556891,                237437,                237437,                    653,                     95,,,,,
6281,2013年度,,                498850,                498850,,,                 60565,                    822,,                -16290,                    365,                              0,,,,,                 -2184,                 78776,                  1702,               -372945,                 -2338,                    286,               -296703,,                  1536,                154317,               -102923,                 53841,                  2980,,                116931,               -179772,               -134310,                364540,                 16474,               -121036,                259978,,               -158432,                    691,                 -6925,                   -534,                408500,                   -234,                243066,,                     22,                              0,               -485948,               -485926,                 17118,                539773,                556891,                556891,,,,                 45462,                  7180,                              0,
6281,2013年01月01日至2013年12月31日,,                498850,                498850,,,                 60565,                    822,,                -16290,                    365,,,,,,                 -2184,                 78776,                  1702,               -372945,                 -2338,                    286,               -296703,,                  1536,                154317,               -102923,                 53841,                  2980,,                116931,               -179772,               -134310,                364540,                 16474,               -121036,                259978,,               -158432,                    691,                 -6925,                   -534,                408500,                   -234,                243066,,                     22,,               -485948,               -485926,                 17118,                539773,                556891,                556891,,,,                 45462,                  7180,                              0,                              0
6281,2013年01月01日至2013年09月30日,,                415887,                415887,,,                 43599,                    608,,                -12646,                    235,                              0,,,,,                 -1723,                 79233,                  1712,                161893,                 -3607,                   -651,                236857,,                    640,               -416043,               -159517,                -45099,                 -1733,,               -616532,               -379675,               -347879,                 68008,                 12893,               -120686,                -39785,,               -123469,                    689,                 -5177,                   -170,                483500,                   -662,                354711,,                    346,                              0,               -485948,               -485602,               -170676,                539773,                369097,                369097,,,,                 31796,                  5220,,
