證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得投資性不動產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 預付設備款減少,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 其他非流動負債減少,　　 發放現金股利,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 預付設備款增加,　　 其他非流動資產減少,　　 其他非流動負債增加,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 其他應收款減少,　　 其他金融資產增加,　　 取得無形資產,　　 處分以成本衡量之金融資產
1109,2015年01月01日至2015年09月30日,,                -54362,                -54362,,,                219721,                  4430,                     51,                 17582,                 -7885,                 -4614,                    641,                  3328,                 -1811,                  2937,                234380,,,                  4783,                  3840,                 86534,                  1751,                 13698,                -26723,                -29348,                   -104,                 54431,,                 19368,                    -88,                174831,                   -370,                 22288,                  3197,                -11169,                208057,                262488,                496868,                442506,                -37997,                404509,,               -245356,                226991,                 10009,                 -2202,               -197060,                  1855,                              0,                  7725,                 -1021,                              0,                              0,                  1634,                  7942,                  4614,               -184869,,                  3186,                              0,                914803,               -915579,                              0,                 -1033,                -86131,                -84200,                -16804,                 -5872,               -191630,                 51100,                 79110,                746356,                825466,                825466,,,,,,,,,,,,,,
1109,2015年01月01日至2015年06月30日,,                  5425,                  5425,,,                145614,                  2698,                     51,                 11825,                 -5209,                 -1348,                    436,                  3324,                 -1470,                  1954,                157875,,,                -39386,                  5206,                 89396,                   -387,                 13885,                  3151,                -20830,                    -58,                 50977,,                -26614,                   -118,                 49195,                   -234,                -36601,                  4660,                 -4128,                -13840,                 37137,                195012,                200437,                -17297,                183140,,               -130188,                116591,                 10009,                 -2202,               -128527,                  1855,,                  8394,                 -1021,                              0,,,                  5276,                  1348,               -119534,,                  3186,,                914803,               -915579,                              0,                   -648,                -67489,,                -11365,,                -77092,                -10795,                -24281,                746356,                722075,                722075,                 -1069,,,,,,,,,,,,,
1109,2015年01月01日至2015年03月31日,,                  7834,                  7834,,,                 72568,                  1368,                     51,                  6515,                 -2161,,                    220,,                   -134,                    985,                 79412,,,                129661,                  5199,                105635,                     65,                 15758,                -34280,                -47654,                   -236,                174148,,                -46519,                   -447,                -20255,                   -283,                -29829,                    276,                   -231,                -97288,                 76860,                156272,                164106,                 -2824,                155264,,                -95333,                 60581,,,                -80069,,,                    977,,,                              0,,                  2153,,               -117126,,                  3186,,                927864,               -928651,                    787,,                -43290,,                 -6018,,                -40104,                 -1402,                 -3368,                746356,                742988,                742988,,                 -5435,                              0,,,,,,,,,,,
1109,2014年度,,                426820,                426820,,,                281505,                  5390,                  9915,                 38317,                -13975,                 -5153,                  1012,                  7910,                -20597,                  3840,,,,                 92420,                  1144,                -23124,                    308,                 27242,               -135960,                 71526,                    -19,                 24148,,                 -8409,                    -78,               -130941,                    737,                 17225,                  5103,,               -126365,               -102217,                234860,                661680,               -113518,                509229,,               -835120,                905040,,                 -4500,               -120411,                  1053,                 -3007,,                              0,                 21675,,,                 14103,                  5153,                -16014,,                269925,               -180252,,               -312506,                  3463,                              0,                 -3339,               -505201,                -38933,,               -727910,                 51280,               -183415,                929771,                746356,                746356,                              0,,                              0,,                 18873,                 10040,                337077,                              0,                 -9389,                -10002,                              0,                              0,,
1109,2014年01月01日至2014年09月30日,,                356615,                356615,,,                198885,                  3894,                  9915,                 31077,                -11337,                 -3840,                    370,                  3981,                -14833,                  2860,                220972,,,                215583,                   -209,                -13542,                  2632,                 24908,               -124433,                 54197,                   -240,                158896,,                -15218,                    -35,               -111824,                    610,                -30699,                 40943,                 -9906,               -126129,                 32767,                253739,                610354,               -111757,                498597,,               -670551,                811293,                              0,                 -4500,               -167284,                    710,                   -755,                              0,                              0,                 21675,                   -685,                 26426,                 11543,                  3840,                 31712,,                125152,                -39931,                              0,               -301755,                  1802,                              0,                -36818,               -505201,                -31693,                              0,               -788444,                 20701,               -237434,                929771,                692337,                692337,,,,,,,,,,,,,,
1109,2014年01月01日至2014年06月30日,,                332909,                332909,,,                132125,                  2602,                  9915,                 23093,                 -8358,                 -1395,                              0,                  3981,                 -8489,                  1912,                155386,,,               -236184,                 -9030,                  2770,                    867,                 43035,                 -4509,                 68386,                   -234,               -134899,,                -37277,                    165,                    -47,                              0,                  6425,                  2232,                 -7123,                -35625,               -170524,                -15138,                317771,                -28612,                289159,,               -300115,                248435,                              0,                              0,               -143497,                    512,,                    188,                              0,                 21676,,,                  8460,                  1395,               -139413,,                123581,,                              0,               -146935,                    888,                              0,                -14000,,                -22661,,                -59127,                -70143,                 20476,                929771,                950247,                950247,                 23533,,,,,,,,,,,,,
1109,2014年01月01日至2014年03月31日,,                135997,                135997,,,                 65913,                  1321,                              0,                 10592,                 -3915,,                              0,,                 -5762,                    970,                 69119,,,                -19452,                 -3443,                  9419,                  2026,                 41981,                -59358,                 12874,                 -8472,                -24425,,                -23243,                   -454,                -26845,                              0,                -18128,                 -4451,                   -340,                -73461,                -97886,                -28767,                107230,                -18015,                 78622,,               -200095,                117197,,,                -13254,,,                      5,,,                 19566,,                  3529,,                -73052,,                127890,,                              0,               -149653,                    372,,                              0,,                -10593,,                -19891,                 -9933,                -24254,                929771,                905517,                905517,,                              0,                  1500,,,,,,,,,,,
1109,2013年度,,                371025,                371025,,,                262196,                  5302,                 30000,                 37923,                -13821,                 -4663,                              0,                  5392,                -26908,                 12102,,,,               -302593,                 -6847,                -77387,                 -7328,                -14489,                -79095,                 62872,                    348,               -423776,,                 46208,                     71,                -98883,                              0,                 20603,                 21975,,                -15491,               -439267,               -173897,                197128,                -27747,                131459,,               -424969,                475718,,                              0,               -178196,                  4858,                -18784,,                   -525,                              0,,,                 13587,                  4663,                 35321,,                 95840,                              0,,               -307961,                              0,                 -2420,                              0,               -159980,                -37922,,               -303021,                101537,                -34704,                964475,                929771,                929771,                -13852,,                 71500,,                              0,                -42153,                265370,                    743,                              0,                 -5465,                195520,                -22699,,
1109,2013年01月01日至2013年12月31日,,                371025,                371025,,,                262196,                  5302,                 30000,                 37923,                -13821,                 -4663,,                  5392,                -26908,                  3805,,,,               -302593,                 -6847,                -77387,                 -7328,                -14489,                -79095,                 62872,                    348,               -423776,,                 46208,                     71,                -98883,,                 20603,                 21975,,                -15491,               -439267,               -182194,                188831,                -27747,                123162,,               -424969,                475718,,,               -178196,                  4858,                -18784,,                   -525,,                -13852,,                 13587,                  4663,                 35321,,                 95840,,,               -307961,                              0,                 -2420,,               -159980,                -37922,                 45384,               -257637,                 64450,                -34704,                964475,                929771,                929771,,                              0,                 71500,,,                -42153,                257073,                    743,,                 -5465,                195520,                -22699,                              0,                              0
1109,2013年01月01日至2013年09月30日,,                144843,                144843,,,                193445,                  4308,                 31312,                 25657,                 -8954,                 -4663,                              0,                  7444,                -22671,                  2833,,,,                   -279,                   -967,                -24120,                 -8121,                 13433,               -100374,                 74513,                 -2543,                -47715,,                 14011,                    -95,               -120013,,                -29445,                 34710,,               -104963,               -152678,                 52414,                197257,                -25868,                145463,,               -326656,                303439,,                              0,               -115173,                  2804,                 -6584,,                   -524,                              0,,                              0,                  8725,                  4663,                 36374,,                              0,                              0,,               -302577,                              0,                 -2165,                              0,               -159980,                -25926,,               -416122,                 89210,               -145075,                964475,                819400,                819400,                 -7867,,                 48600,,,                -23619,                205092,                    743,                              0,                 -4131,                195520,                -21973,,
