證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 其他應付款－關係人減少,　　 其他非流動負債增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 其他應付款－關係人增加,　　 員工執行認股權,　　 其他金融資產減少,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 其他非流動負債減少,　　　　 未實現外幣兌換損失（利益）,　　　　　 其他流動資產（增加）減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
3501,2015年01月01日至2015年09月30日,,                747076,                747076,,,                 99113,                 11963,                 10454,                  1308,                  2507,                -11953,                    -24,                              0,               -172605,                              0,                  6275,                -52962,,,                              0,                 25546,               -108224,                -45048,                  2639,                 85276,                -17682,                -57493,,                    285,                -48436,                 -2874,                 -1876,                 21509,                     67,                -31325,                -88818,               -141780,                605296,                 11953,                     24,                 -2532,               -122924,                491817,,               -605601,                314265,                   -766,               -178552,                127750,               -342904,,              1580000,             -1580000,                 -2487,                   -356,               -300989,               -303832,                 46647,               -108272,              1117947,              1009675,              1009675,,,,,,,,,,
3501,2015年01月01日至2015年06月30日,,                410123,                410123,,,                 63086,                  8378,                  2425,                  1082,                  1549,                 -8464,,                              0,               -173657,                              0,                -17457,               -123058,,,                              0,                  3454,                 93162,                 78638,                  2837,                 39243,                 -6522,                210812,,                    294,                -85372,                 -2093,                -53113,                 -4880,                   -326,               -145490,                 65322,                -57736,                352387,                  8464,,                 -1536,                -70326,                288989,,               -321374,                310518,                              0,               -336023,                140956,               -205923,,              1060000,             -1010000,                 -2487,                   -383,,                 47130,                -46463,                 83733,              1117947,              1201680,              1201680,,,,,,,,,,
3501,2015年01月01日至2015年03月31日,,                161237,                161237,,,                 30035,                  4487,                 -3033,                     54,                    741,                 -4587,,                              0,                    241,                              0,                -16374,                 11564,,,                              0,                  8087,                146259,                 64616,                  3033,                -45090,                  4847,                181752,,                   -615,               -137650,                 -2667,                -69657,                  4900,                    411,               -205278,                -23526,                -11962,                149275,                  4587,,                   -771,                -10065,                143026,,               -241719,                              0,,               -114444,                104042,               -252121,,                250000,               -250000,,                    -61,,                    -61,                 16272,                -92884,              1117947,              1025063,              1025063,,,,,,,,,,
3501,2014年度,,                595692,                595692,,,                106340,                 18139,                  4033,                    931,                  2334,                -24169,                    -20,                  5901,                  2786,                 -1102,                 30529,,,,                  4633,                -57136,               -237687,                -85888,                  2122,               -163569,                  9621,               -527904,,                 -1491,                170390,                 -5970,                 44664,                    535,                  1551,                209679,               -318225,               -172523,                423169,                 24169,                     20,                 -2376,               -106491,                338491,,               -272579,                    976,                -13566,                141144,               -125150,               -269175,,              1140000,               -953300,,                    220,               -340935,                -94755,                 16051,                 -9388,              1127335,              1117947,              1117947,,                145702,                  1384,                 57876,,,,,,
3501,2014年01月01日至2014年09月30日,,                386471,                386471,,,                 76750,                 13556,                    -69,                  1015,                  1591,                -16870,                    -20,                  4427,                  2542,                 -1102,                  6718,                 88538,,,                  4633,                -41919,               -119771,                -11102,                  2442,               -190419,                -11874,               -368010,,                 -1022,                 49521,                 -3416,                 25874,                    987,                  1251,                 73195,               -294815,               -206277,                180194,                 16870,                     20,                 -1537,                -99433,                 96114,,               -197219,                    970,                -12867,                 33689,               -131778,               -307205,,                470000,               -280840,                    120,                    130,               -340935,               -151525,                 66648,               -295968,              1127335,                831367,                831367,,,,,,,,,,
3501,2014年01月01日至2014年06月30日,,                231749,                231749,,,                 53371,                  9194,                 -2760,                    787,                  1351,                -13861,,                  2952,                    585,                 -1102,                  2400,                 52917,,,                  4633,                -33656,                -42809,                 85762,                  9544,               -112032,                 -1080,                -89638,,                 -2623,                 79569,                 -4394,                 -4089,                 -2000,                    834,                 67297,                -22341,                 30576,                262325,                 13861,,                 -1175,                -57560,                217451,,                -83687,                    973,                -12297,                 70908,                -28497,                -52600,,                 50000,                -59740,                              0,                     21,,                 -9719,                -46541,                108591,              1127335,              1235926,              1235926,,,,,,,,,,
3501,2014年01月01日至2014年03月31日,,                107808,                107808,,,                 27253,                  2285,                 -1258,                    665,                    502,                 -7823,,                  1476,                    263,                 -1102,                  6616,                 28877,,,                  4633,                -44598,                 30612,                132658,                 10703,                -30196,                 -9323,                 94489,,                   -508,                 17285,                 -6111,                -32376,                 12957,                    418,                 -8335,                 86154,                115031,                222839,                  7823,,                   -499,                 -3330,                226833,,                -54188,                    987,,                -57076,                -19203,               -129480,,                              0,                              0,,                    -31,,                    -31,                -19254,                 78068,              1127335,              1205403,              1205403,,,,,,,,,,
3501,2013年度,,                615970,                615970,,,                114092,                  7318,                 -3545,                  1272,                  5242,                -30636,                   -139,                 12452,                  1047,                              0,                  4371,,,,                 -3530,                -26798,                180881,                -42146,                   -343,               -203824,                  4473,                -91287,,                      6,                -78171,                    318,                 27112,                 -1385,                  1487,                -50633,               -141920,                -30446,                585524,                 30636,                    139,                 -5479,               -104793,                506027,,               -138333,                    500,                              0,                170936,                 -9080,                 24023,,                 59620,               -275880,,                    602,               -355929,               -504575,                 53115,                 78590,              1048745,              1127335,              1127335,,                111474,                 -2598,                 69610,,,,,,
3501,2013年01月01日至2013年12月31日,,                615970,                615970,,,                114092,                  7318,                 -3545,                  1272,                  5242,                -30636,,                 12452,                  1047,                              0,                  4371,,,,                 -3530,                -26798,                180881,                -42146,                   -343,               -203824,                  4473,                -91287,,                      6,                -78171,                    318,                 27112,                 -1385,                  1487,                -50633,               -141920,                -30307,                585663,                 30636,,                 -5479,               -104793,                506027,,               -138333,                    500,,                              0,                 -9080,                 24023,,                 59620,               -275880,                 -2598,                    602,               -355929,               -504575,                 53115,                 78590,              1048745,              1127335,              1127335,,                111613,                              0,                 69610,                170936,                              0,                              0,,,
3501,2013年01月01日至2013年09月30日,,                506007,                506007,,,                 87168,                 12128,                 -1822,                  2021,                  4036,                -19719,                    -64,                  9640,                    795,                              0,                  4364,,,,                 -3530,                -20932,                 85953,                 27798,                -12008,               -251695,                -28969,               -203383,,                  1800,                -65756,                   -465,                 27628,                 12210,                  1047,                -23536,               -226919,               -128372,                377635,                 19719,                     64,                 -4084,                -98837,                294497,,                -91036,                              0,                              0,,                -19497,                226677,,                286560,               -275880,,                  3000,               -355929,               -285020,                 22332,                258486,              1048745,              1307231,              1307231,,                 98547,                 -3309,                 60538,                337210,,,,,
