證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分以成本衡量之金融資產,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應收建造合約款（增加）減少,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應付帳款－關係人增加（減少）,　　 存入保證金減少,　　 現金增資,　　　　 處分待出售非流動資產損失（利益）,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 短期借款減少,　　 存出保證金減少,　　 償還長期借款,　　 存入保證金增加,　　 庫藏股票買回成本,　　 取得無形資產
5484,2015年01月01日至2015年09月30日,,               -133993,               -133993,,,                  6310,                  1038,                  1471,                     29,                    845,                   -818,                    226,                              0,                 24887,                 -6966,                 27022,,,                   -827,                 30323,                 37614,                 -7178,                    888,                 60820,,                   -277,                -10454,                 15841,                  6036,                 11146,                 71966,                 98988,                -35005,                    822,                   -896,                   -391,                -35470,,                              0,                 -1305,                 -2381,                     24,                   -690,                 -4352,,                 43868,                 43868,                 -5162,                 -1116,                267505,                266389,                266389,,,,,,,,,,,,,,,,
5484,2015年01月01日至2015年06月30日,,               -107172,               -107172,,,                  4434,                    704,                    626,                    -26,                    472,                   -597,                     96,                              0,                  1655,                -13292,                 -5928,,,                    103,                 29057,                -15975,                -11486,                    560,                  2259,,                   -277,                  2177,                 11387,                 15814,                 29101,                 31360,                 25432,                -81740,                    779,                   -453,                   -253,                -81667,,                              0,                 -1305,                 -1220,                     24,                 -1461,                 -3962,,                 42755,                 42755,                   -572,                -43446,                267505,                224059,                224059,,,,,,,,,,,,,,,,
5484,2015年01月01日至2015年03月31日,,                -70173,                -70173,,,                  2338,                    370,                      7,                    -82,                    217,                   -355,,,                -10489,                -12229,                -20223,,,                   -223,                 44240,                -20417,                -18976,                    507,                  1600,,                      7,                 37006,                  4962,                 13728,                 55703,                 57303,                 37080,                -33093,                    424,                    -98,                    -68,                -32835,,,                 -1305,                 -1041,                    513,                 -1334,                 -3167,,                 17915,                 17915,                   -631,                -18718,                267505,                248787,                248787,                 -3531,,,,,,,,,,,,,,,
5484,2014年度,,               -127883,               -127883,,,                 11768,                  1536,                 31524,                   -890,                  1695,                 -1271,                     37,                   -426,                 -9300,                 21359,,,,                  1032,                 44579,                 50733,                 -3539,                  1602,                 94407,,                    251,                -40002,                -22448,                  5250,                -56949,                 37458,                 93490,                -34393,                  1271,                 -1696,                 -1706,                -36524,,                    426,,                 -1323,                     17,                 -1574,                 -2454,,                -26687,                -26687,                  2177,                -63488,                330993,                267505,                267505,                              0,,                              0,                 56032,                              0,                              0,                              0,                              0,,,,,,,,
5484,2014年01月01日至2014年09月30日,,                -66941,                -66941,,,                  9130,                  1152,                    823,                   -912,                  1640,                   -929,                     37,                   -426,                 -8692,                  6207,                  8030,,,                    569,                -10278,                -30734,                -12510,                    793,                -52160,,                    -26,                 14067,                -21876,                  2427,                 -5408,                -57568,                -49538,               -116479,                    748,                 -1688,                 -1292,               -118711,,                    426,                              0,                   -994,                     16,                 -2733,                 -3285,,                  8586,                  8586,                  4016,               -109394,                330993,                221599,                221599,,,,,,,,,,,,,,,,
5484,2014年01月01日至2014年06月30日,,                -52360,                -52360,,,                  6222,                    768,                    820,                 -1076,                    843,                   -657,                              0,                   -426,                   -699,                 -2188,                  3607,,,                    478,                  6183,               -100939,                -44561,                    909,               -137930,,                    -26,                 29431,                -22796,                  2078,                  8687,               -129243,               -125636,               -177996,                    657,                   -864,                   -865,               -179068,,                    426,                              0,                   -946,                              0,                 -2333,                 -2853,,                 45727,                 45727,                  5354,               -130840,                330993,                200153,                200153,,,,,,,,,,,,,,,,
5484,2014年01月01日至2014年03月31日,,                 -8030,                 -8030,,,                  3190,                    384,                     26,                   -375,                    369,                   -370,,,                    -22,                  3540,                  6742,,,                   -263,                -26032,                -87189,                -41144,                    367,               -154261,,                    375,                 74044,                -12911,                 -4149,                 57359,                -96902,                -90160,                -98190,                    765,                   -417,                              0,                -97842,,,                              0,                   -530,                              0,                 -1873,                 -2403,,                  1586,                  1586,                  3139,                -95520,                330993,                235473,                235473,                              0,,,,,,,,,,,,,,,
5484,2013年度,,                -71692,                -71692,,,                 13545,                  5072,                  3089,                    253,                  2506,                   -911,                    -46,                              0,                              0,                 13130,,,,                  2654,               -101849,                128130,                 20143,                   -624,                192847,,                   -575,                -94150,                -48891,                -16334,               -159956,                 32891,                 79307,                  7615,                    682,                 -2673,                 -1864,                  3760,,                              0,,                 -3541,                     49,                 -2765,                 -6257,,                 38574,                 33959,                  4492,                 35954,                295039,                330993,                330993,                144370,,                  9778,                 46416,                     23,                     -6,                 -7876,                  3261,,,,,,,,
5484,2013年01月01日至2013年12月31日,,                -71692,                -71692,,,                 13545,                  5072,                  3089,                    253,                  2506,                   -911,                    -46,,                              0,                 13130,,,,                  2654,               -101849,                128130,                 20143,                   -624,                192847,,                   -575,                -94150,                -48891,                -16334,               -159956,                 32891,                 79307,                  7615,                    682,                 -2673,                 -1864,                  3760,,,,                 -3541,                     49,                 -2765,                 -6257,,                 38574,                 33959,                  4492,                 35954,                295039,                330993,                330993,                144370,,                  9778,                 46416,                     23,                     -6,                 -7876,                  3261,,                              0,,                              0,                              0,                              0,                              0,
5484,2013年01月01日至2013年09月30日,,                -39038,                -39038,,,                 10299,                  3591,                  3261,                   -757,                  1953,                   -659,                      4,,                 -3616,                  8102,,,,                  3261,               -136012,                 29950,                 11937,                     53,                 37345,,                  2357,                -23994,                -44463,                 -8598,                -74704,                -37359,                -15181,                -54219,                    902,                 -2039,                 -1852,                -57208,,                              0,,                 -3037,                              0,                 -1983,                 -5020,,                 56226,                 59487,                  4317,                  1576,                295039,                296615,                296615,                128133,,,                 22178,                     23,                     -6,,                  3261,                              0,,,,,,,
