證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 遞延貸項增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　 其他非流動資產減少,　　 短期借款增加,　　 應付短期票券減少,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他非流動負債減少,　　　　　 預付費用（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 其他營業負債增加（減少）
8341,2015年度,,                623866,                623866,,,                134779,                 54765,                    745,                   -966,                  9223,                 -3602,                    257,                    545,                  2160,                197906,,,               -159936,                 15132,                -34815,                   -395,                -15981,                 19173,                  1553,                 17061,               -158208,,                 11053,                  8358,                  4176,                  3514,                  8339,                 16652,                   -435,                 -4355,                 47302,               -110906,                 87000,                710866,                  3340,                -10112,                -76815,                627279,,               -127708,                  1424,                  1756,                -17878,                 38230,                -23278,               -127454,,                -37155,                 14975,                              0,               -667237,                    490,               -245300,                517500,               -416727,                  5746,                 88844,                393977,                482821,                482821,,,,,,,,,,,,
8341,2015年01月01日至2015年09月30日,,                435395,                435395,,,                 99401,                 42615,                              0,                   -708,                  8021,                 -1948,                    474,,                  2004,                149859,,,                -41962,                 19950,                -65058,                   -686,                -27599,                  7475,                 -1457,                 53948,                -55389,,                 11733,                  8561,                -15871,                  2852,                  6927,                 26752,                   -116,                 -1692,                 39146,                -16243,                133616,                569011,                  1948,                 -8886,                -74074,                487999,,                -84596,                  1150,,                -11255,                  7055,                -17206,               -108664,,                -42896,                  2985,                              0,               -619384,                 -3944,               -245300,                517500,               -391039,                  7053,                 -4651,                393977,                389326,                389326,                 -3812,                              0,                              0,,,,,,,,,
8341,2015年01月01日至2015年06月30日,,                274009,                274009,,,                 64714,                 28672,,                   -523,                  6639,                 -1308,                    628,,                    931,                 99753,,,               -147522,                 10662,                -61358,                   -786,                -22339,                   -620,                    996,                 51689,               -169278,,                  7224,                 14651,                 -6366,                  1760,                 23093,                 22733,                   -122,                 -3067,                 59906,               -109372,                 -9619,                264390,                  1200,                 -7087,                -47945,                210558,,                -52259,                    718,,                 -3058,                  4817,                -13892,                -65405,,                -42896,,                              0,               -598335,                 -3861,,                517500,               -128592,                  3410,                 19971,                393977,                413948,                413948,                 -1731,,,                 -1000,,,,,,,,
8341,2015年01月01日至2015年03月31日,,                116019,                116019,,,                 32883,                 14718,,                   -424,                  5042,                   -473,                    332,,,                 52078,,,                -45812,                 11170,                -70064,                   -469,                -11212,                 -1502,                    365,                  1852,               -115672,,                  2798,                  9089,                -22076,                    830,                  7472,                 10212,                   -128,                 -2297,                  5900,               -109772,                -57694,                 58325,                    465,                 -4888,,                 53902,,                -23608,                    490,,                  4513,                 -7461,                 -3058,                -31070,,                 -6000,,,               -573069,                 -4013,,                517500,                -66583,                   -508,                -44259,                393977,                349718,                349718,                 -1946,,,                 -1001,,,,,,,,
8341,2014年度,,                374183,                374183,,,                137973,                 41602,                   -263,                   -772,                 22627,                 -1548,                 -2319,                              0,                              0,                197300,,,                 83185,                -42328,                  4226,                   -473,                -10709,                -39696,                              0,                 -1594,                 -7389,,                  9214,                 -5263,                 34243,                  2548,                              0,                 89847,                 -3600,                              0,                126989,                119600,                316900,                691083,                  1564,                -22536,                -45980,                624131,,                -50468,                  4134,                   -657,                -12378,                -77610,                -11146,               -148125,,                 43325,                 10994,                210367,               -285942,                  4065,               -200000,                              0,               -217191,                 -8197,                250618,                143359,                393977,                393977,,,,,,,,,,,,
8341,2014年01月01日至2014年09月30日,,                264986,                264986,,,                103729,                 31164,                   -263,                 -1090,                 19091,                   -566,                 -1871,,                  1762,                151956,,,                160598,                -29357,                -47204,                   -506,                 -4381,                -43413,                  6780,                 -9127,                 33390,,                  7728,                 13414,                -11881,                  1933,                              0,                 65182,                    948,                              0,                 77324,                110714,                262670,                527656,                    542,                -18949,                -46873,                462376,,                -70818,                  5383,,                -74135,                              0,                              0,               -130324,,                              0,                  4997,                 97120,               -135925,                 -4309,               -200000,                              0,               -188109,                   -488,                143455,                143359,                286814,                286814,                              0,                  9246,                 50008,,,,,,,,,
8341,2014年01月01日至2014年06月30日,,                162170,                162170,,,                 69424,                 19809,,                   -503,                 11235,                   -513,                 -1454,,                  1165,                 99163,,,                -14707,                -20460,                 -7958,                   -383,                 16471,                -15287,                   -542,                              0,                -42866,,                 13544,                  8655,                   -537,                  1111,                 56600,                              0,                  2509,                              0,                 81882,                 39016,                138179,                300349,                    520,                -10976,                -28953,                260940,,                -23253,                  3046,,                              0,                -94572,                -41335,               -136980,,                 21924,,                178773,               -158610,                 -1681,,                              0,                 23414,                  3500,                150874,                143359,                294233,                294233,                 19134,,,                -16992,,,,,,,,
8341,2014年01月01日至2014年03月31日,,                 88508,                 88508,,,                 34542,                 10331,,                   -307,                  5679,                   -261,                 -1193,,,                 48791,,,                -38875,                 -4554,                -72454,                   -170,                 23482,                -10931,                -16928,                 -2891,               -123321,,                  2355,                  7321,                 -6299,                    639,                 -2455,                 21814,                     87,                 -2019,                 21443,               -101878,                -53087,                 35421,                    274,                 -5648,,                 30047,,                -35552,                  2166,,                  1531,                  9553,                 -1993,                -25825,,                              0,,,                -16674,                   -730,,                              0,                -34396,                    603,                -29571,                143359,                113788,                113788,                 -1530,,,                -16992,,,,,,,,
8341,2013年度,,                303563,                303563,,,                123128,                 24580,                    -34,                   -740,                 23628,                   -827,                -83592,,,,,,                -91522,                -12240,               -104684,                              0,                 31708,                 -2715,                 24467,                 33904,               -121082,,                 -2570,                 10019,                 28485,                  1380,,                 -1607,,,                 35055,                -86027,                 39053,                342616,                    827,                -22099,                -20367,                300977,,                -92780,                  1647,,                 36580,                              0,                -16544,                -75322,,,                -18994,                  8000,               -123434,                  8238,                -80000,,               -244776,                 36763,                 17642,                125717,                143359,                143359,                 -4225,,                              0,,,                 38937,                125080,                   -652,                -38586,,,
8341,2013年01月01日至2013年09月30日,,                187822,                187822,,,                 89813,                 17435,                              0,                   -244,                 17035,                 -1269,                -83490,,                  1070,,,,                -26208,               -125712,                              0,                   -576,                 58825,                -41088,                -13206,                 54051,                -93914,,                 -1870,                 29141,                 -9808,                  1175,,                  1535,,,                 21122,                -72792,                  6495,                194317,                  1301,                -16924,                -20830,                157864,,                -50141,                  3170,,                  4451,                -12513,,                -55033,,,                 -2008,                 10737,                -92000,                 10811,                -80000,,               -152460,                  5275,                -44354,                125717,                 81363,                 81363,,,                              0,,,                 38937,                 79287,                    949,,,,
