證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產及設備損失（利益）,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 存放央行及拆借金融同業（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 持有至到期日金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 員工福利負債準備增加（減少）,　　　　　 其他負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得不動產及設備,　　 處分不動產及設備,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 央行及同業融資增加,　　 央行及同業融資減少,　　 附買回票券及債券負債增加,　　 附買回票券及債券負債減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,　　 符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　　　 股份基礎給付酬勞成本,　　 員工執行認股權
2809,2015年01月01日至2015年09月30日,,              3563283,              3563283,,,                 33166,                              0,                109162,              1079119,             -4932456,                -78037,                -48571,                              0,                              0,             -3837617,,,                386426,               -119182,               -286835,             -2371465,             -1383367,                              0,                    262,                367684,             -3406477,,              6476076,               -484859,                423800,              4784881,                              0,                -48506,                 74593,             11225985,              7819508,              3981891,              7545174,              4711011,             -1059422,             -1160246,             10036517,,                              0,                385047,                -25412,                110517,                470152,,                394348,                              0,                              0,             -9244184,             -1801852,               -470177,            -11121865,                -29481,               -644677,             40387931,             39743254,              8923203,             26019586,              4800465,,,,,,,
2809,2015年01月01日至2015年06月30日,,              2924501,              2924501,,,                 21212,                              0,                119060,                719578,             -3289843,                   -175,                -26152,                              0,,             -2456320,,,                402778,             -1254702,                -57437,             -3327448,             -2533155,                              0,                    350,                 15806,             -6753808,,              7686529,               -335238,               -262932,              4136750,                              0,                -34753,                122602,             11312958,              4559150,              2102830,              5027331,              3245820,               -736248,               -805608,              6731295,,,                590043,                -17027,                    250,                573266,,                              0,               -804034,                              0,             -6741592,,,             -7545626,                -55648,               -296713,             40387931,             40091218,             11201088,             26404616,              2485514,,,,,,,
2809,2015年01月01日至2015年03月31日,,              1325579,              1325579,,,                 10075,,                -10640,                362645,             -1675043,                              0,                -53582,,,             -1366545,,,                -65451,               -119634,                 -9494,             -1192618,             -1860143,                              0,                 -5643,                 85301,             -3167682,,              4799773,               -289764,               -270995,              2661876,                              0,                -15043,                  2362,              6888209,              3720527,              2353982,              3679561,              1544352,               -327939,                -21919,              4874055,,,                546804,                 -4342,,                542462,,,             -2022009,                              0,             -3769058,,,             -5791067,                -29948,               -404498,             40387931,             39983433,             11651501,             26149938,              2181994,,,,,,,
2809,2014年度,,              6033388,              6033388,,,                 37069,,                114470,              1378258,             -6331857,                -61263,                -10784,                  8362,,,,,             -1169661,             -1788604,                194781,            -14102596,            -16983303,                 83843,                  2592,               -262569,            -34025517,,             -2582206,                500856,                597559,             13643425,                 -1177,                -57872,                  2908,             12103493,            -21922024,            -26787769,            -20754381,              6458617,             -1378813,               -384493,            -16059070,,,,                -26597,                170782,              2259154,,                543484,                              0,              5249845,,             -1801852,,              3991477,                 82291,             -9726148,             50114079,             40387931,             11865111,             27750525,                772295,,                              0,             -4865745,              2114969,,,
2809,2014年01月01日至2014年09月30日,,              4732724,              4732724,,,                 26617,                              0,                 47308,              1020482,             -4705456,                -53081,                              0,                              0,                  9770,             -3654360,,,               -204069,             -1347502,                202978,            -11193882,            -10321900,                 72657,                  2945,                 88916,            -22699857,,             -3081910,                 55105,                 83843,              9696043,                   -781,                -47514,                -74011,              6630775,            -16069082,            -19723442,            -14990718,              4605477,               -992315,               -351552,            -11729108,,              1065778,                              0,                -14622,                107965,              1159121,,                              0,             -1185668,              8182027,                              0,             -1801852,                              0,              5194507,                 22835,             -5352645,             50114079,             44761434,             14387405,             30143814,                230215,,,,,,,
2809,2014年01月01日至2014年06月30日,,              3412465,              3412465,,,                 17386,                              0,                 72623,                669371,             -3080121,                -52655,                              0,                 14500,,             -2358896,,,               -117135,               -650385,                188496,             -6433641,             -5039824,                 50011,                  2403,                -17374,            -12017449,,             -2644224,                -88833,               -220259,              5375313,                   -542,                -34248,                -93874,              2293333,             -9724116,            -12083012,             -8670547,              3156904,               -682164,               -267155,             -6462962,,,              1141162,                 -4090,                107965,              1245037,,                              0,               -393375,              4653098,                              0,,,              4259723,                -19402,               -977604,             50114079,             49136475,             16088497,             33047978,                              0,,,,,,,
2809,2014年01月01日至2014年03月31日,,              1450177,              1450177,,,                  8818,,                -41435,                328332,             -1505099,                   -426,                              0,,,             -1209810,,,                 21998,               -458399,                202162,             -4727579,             -5303350,                 21722,                  2022,                -17848,            -10259272,,                904259,                -51987,               -268765,              1988061,                   -302,                -15500,                 19230,              2574996,             -7684276,             -8894086,             -7443909,              1361842,               -279752,                -23131,             -6384950,,,              1039279,                 -3278,,              1036001,,,               -172400,              3631326,                              0,,,              3458926,                 23969,             -1866054,             50114079,             48248025,             15990401,             31951650,                305974,,,,,,,
2809,2013年度,,              4762541,              4762541,,,                 39098,,                567374,              1222437,             -5563599,                -39081,                              0,                              0,,,,,               -208212,              2090758,               -208844,            -11565845,             -6663299,                343988,                   -573,               -178004,            -16390031,,              7085074,                 84855,             -1314203,              6211301,                 -3498,                -92062,               -121769,             11849698,             -4540333,             -8152651,             -3390110,              5354785,             -1212962,               -606249,                145464,,,,                 -7942,                111705,             -1186186,,                              0,             -1217530,              6504442,,             -1801852,,              3485060,                 42043,              2486381,             47627698,             50114079,             16328494,             33537556,                248029,,                161453,             -3612318,             -1289949,,,
2809,2013年01月01日至2013年12月31日,,              4762541,              4762541,,,                 39098,                              0,                567374,              1222437,             -5563599,                -39081,,,,,,,               -208212,              2090758,               -208844,            -11565845,             -6663299,                343988,                   -573,               -178004,            -16390031,,              7085074,                 84855,             -1314203,              6211301,                 -3498,                -92062,               -121769,             11849698,             -4540333,             -8152651,             -3390110,              5354785,             -1212962,               -606249,                145464,,,,                 -7942,                111705,             -1186186,,,             -1217530,              6504442,,             -1801852,,              3485060,                 42043,              2486381,             47627698,             50114079,             16328494,             33537556,                248029,,                161453,             -3612318,             -1289949,,                              0,                              0
2809,2013年01月01日至2013年09月30日,,              3465364,              3465364,,,                 29051,                              0,                526315,                904632,             -4102743,                -38654,,                              0,                              0,,,,               -257807,              1949451,                -21222,             -9567222,             -7804737,                315176,                    430,               -207942,            -15593873,,              7865491,                 28884,             -1159169,              6695502,                   -549,                -75070,               -126715,             13228374,             -2365499,             -5046898,             -1581534,              3871151,               -875161,               -577496,                836960,,,,                 -5949,                111705,             -1357302,,                              0,               -303930,              3454591,,             -1801852,,              1348809,                 24242,                852709,             47627698,             48480407,             14706527,             33279642,                494238,,,             -2681399,             -1463058,,,
