證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 償還長期借款,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 取得採用權益法之投資,　　 其他非流動負債減少,　　 舉借長期借款,　　 非控制權益變動,　　 按攤銷後成本衡量之金融資產到期還本,　　　　 處分採用權益法之投資損失（利益）
2497,2015年01月01日至2015年09月30日,,                277221,                277221,,,                 77361,                 11040,                 11707,                  2823,                 -8612,                 -2525,                    547,                    529,                 -2758,                 90112,,,                    899,               -242634,                 20846,                 -7720,                 -8879,                     -1,               -237489,,                    609,                  6835,                -14563,                -12496,                              0,                -19615,               -257104,               -166992,                110229,                  8453,                  2525,                 -2649,               -146609,                -28051,,                  8158,                              0,                 90494,                              0,               -302342,                  2163,                 -4358,                -13631,                  5492,               -214024,,                428037,                -31617,                 49921,                              0,               -356395,                 89946,                 -3845,               -155974,                422088,                266114,                266114,,,,,,,,,,,
2497,2015年01月01日至2015年06月30日,,                182946,                182946,,,                 51037,                  7520,                  7668,                  1347,                 -5800,                   -875,                  1828,                    583,                 -2758,                 60299,,,                    -60,                -93308,                 26764,                 66921,                  1845,                   -550,                  1612,,                    731,                -69901,                -35234,                -12226,                              0,               -116630,               -115018,                -54719,                128227,                  6850,                    875,                 -1264,                -83377,                 51311,,                  8158,                              0,                 49070,                              0,                -42143,                  1270,                 -2030,                -33847,                  4752,                -14770,,                106414,                 -3694,,                              0,,                102720,                -17064,                122197,                422088,                544285,                544285,                   -251,,,,,,,,,,
2497,2015年01月01日至2015年03月31日,,                115424,                115424,,,                 25369,                  3935,                  6349,                    543,                 -2941,,                  1445,                    329,                 -1872,                 33157,,,                    -32,                -13395,                 17853,                 43698,                  1814,                   -276,                 49662,,                  1230,               -146417,                -48957,                -14486,                              0,               -208630,               -158968,               -125811,                -10387,                  4267,,                   -526,                 -2453,                 -9099,,                  5486,                              0,                 38191,                              0,                -25298,                    576,                 -1220,                -27424,                  3605,                 -6084,,                 26486,                   -789,,                              0,,                 25697,                 -3929,                  6585,                422088,                428673,                428673,,,,,,,,,,,
2497,2014年01月01日至2014年09月30日,,                456184,                456184,,,                 59113,                 13647,                 -6669,                  1969,                -10175,                 -2100,                  2363,                  2575,                              0,                 60723,,,                  7686,                 -9070,                 -8540,                -52182,                -21263,                 15003,                -68366,,                    677,                 38393,                 14394,                    783,                     46,                 54293,                -14073,                 46650,                502834,                  7808,                  2100,                 -2004,                -53074,                457664,,                              0,               -171306,                              0,                 -5600,                -52091,                    721,                -10331,                -30696,                  1994,               -267309,,                 33271,                -62162,                              0,                -23140,               -237597,               -289628,                  2020,                -97253,                469723,                372470,                372470,,,                 60723,                     46,               -171306,                              0,                              0,,,,
2497,2014年01月01日至2014年06月30日,,                318274,                318274,,,                 37944,                  8871,                   -937,                  1263,                 -6445,                              0,                  1855,                  1502,                              0,                 44053,,,                  9128,                 76697,                   -134,                 25209,                -25767,                 15053,                100186,,                    503,                -23976,                 -8791,                 14192,                     46,                -18026,                 82160,                126213,                444487,                  4219,                              0,                 -1409,                -29513,                417784,,                              0,               -173121,                              0,                 -5600,                -39551,                    300,                 -5144,                -22140,                  1523,               -243733,,                 31367,                -59824,,                -22572,,                -51029,                 -7513,                115509,                469723,                585232,                585232,                              0,,,,,,,,,,
2497,2014年01月01日至2014年03月31日,,                186158,                186158,,,                 17656,                  4386,                    513,                    714,                 -2571,,                    864,                     41,                              0,                 21603,,,                  8453,                -45564,                  4797,                 58707,                -16073,                 -4180,                  6140,,                    769,                -16016,                -32629,                  1972,                     46,                -45858,                -39718,                -18115,                168043,                  1729,,                   -797,                 -9079,                159896,,                              0,               -150151,                              0,                 -5600,                -22852,                     59,                 -1201,                -13440,                              0,               -193185,,                  2471,                              0,,                -23214,,                -20743,                  1375,                -52657,                469723,                417066,                417066,,,,,,,,,,,
2497,2013年01月01日至2013年12月31日,,                459044,                459044,,,                 67961,                 17843,                 -2070,                  2929,                 -4044,,                  4167,                 -1272,,,,,                  2900,               -173604,                 -3351,                 -4838,                  8172,                -11221,               -181942,,                     79,                133274,                 28284,                  2071,,                163619,                -18323,                 67191,                526235,                  3309,,                 -3030,                -30471,                496043,,,,,                 -5000,               -107125,                  7990,                -27002,                -36235,                  2651,               -323061,,                257249,               -248252,,                -85943,                -71279,                -82179,                 17293,                108096,                361627,                469723,                469723,                              0,,                 85514,                    -89,               -133252,                -25088,                   -125,                 66171,                              0,,
2497,2013年01月01日至2013年09月30日,,                291540,                291540,,,                 49074,                 13180,                 -1194,                  2328,                 -2302,                 -2100,                  4109,                    412,,,,,                -18562,               -141065,                -12749,                -71881,                  2182,                -10278,               -252353,,                  9178,                207429,                 28673,                  5689,,                250880,                 -1473,                 62034,                353574,                  1992,                  2100,                 -2394,                -19163,                336109,,,,,                 -5000,                -76694,                  2203,                -21389,                -29004,                    819,               -203778,,                122593,               -132795,,                -15676,                -71279,                -97282,                 13176,                 48225,                361627,                409852,                409852,,,                 63507,                    -89,                -49625,                -25088,                   -125,,,,
2497,2013年01月01日至2013年06月30日,,                134718,                134718,,,                 32090,                  8667,                  6860,                  1587,                 -1226,,                  2478,                    453,,,,,                -28205,               -114925,                  8379,                -67487,                    571,                  3746,               -197921,,                 13755,                202869,                  8618,                 -1505,,                223648,                 25727,                 76636,                211354,                  1040,,                 -1439,                -11661,                199294,,,,,                              0,                -60830,                  1430,                -10561,                -19292,                  9315,               -157317,,                              0,                -13454,,                 -9844,,                -23423,                 12035,                 30589,                361627,                392216,                392216,,,                 50909,                    -89,                -52291,                -25088,                   -125,,,,
2497,2013年01月01日至2013年03月31日,,                 47655,                 47655,,,                 15956,                  4145,                 -1094,                    882,                   -501,,                  1269,                    492,,,,,                  9945,                 -8282,                    587,                 14685,                     73,                  3922,                 20930,,                  1287,                -52307,                -29104,                  1254,,                -78959,                -58029,                -36880,                 10775,                    451,,                   -659,                 -2132,                  8435,,,,,                              0,                -25546,                    230,                 -9965,                 -3047,,                -38328,,                  3407,,,                 -4389,,                 -1107,                 11193,                -19807,                371127,                351320,                351320,,,                 21149,                    -89,                              0,,                   -125,,,,
