證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 取得待出售非流動資產,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 償還長期借款,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 以成本衡量之金融資產減資退回股款,　　 存出保證金增加,　　 取得無形資產,　　 現金增資,　　 退還（支付）之所得稅,　　 短期借款減少
2429,2015年01月01日至2015年09月30日,,                -30214,                -30214,,,                 31055,                    627,                    426,                  3140,                    -59,                 -1901,                   -680,                              0,                 -1478,                 31130,,,                  1964,                    154,                  7152,                   -352,                   -467,                              0,                  7822,                  2958,                  1428,                 20659,,                    207,                              0,                 -4821,                 10612,                     77,                   -134,                    -72,                   -802,                  5067,                 25726,                 56856,                 26642,                     59,                 -3129,                 23572,,                              0,                              0,                              0,                -14638,                  4033,                 -5050,                -15655,,                 12000,                   -624,                 11376,                 19293,                 15377,                 34670,                 34670,,,,,,,,,,
2429,2015年01月01日至2015年06月30日,,                -15069,                -15069,,,                 20052,                    417,                    704,                  2026,                    -42,                   -499,                   -680,                              0,                    483,                 22461,,,                  1159,                    154,                 30505,                 -4687,                   -574,                   -137,                  4264,                  3417,                     -9,                 34092,,                    101,                              0,                 -4091,                -38798,                  2018,                      7,                      3,                   -544,                -41304,                 -7212,                 15249,                    180,                     42,                 -2041,                 -1819,,                              0,                              0,                              0,                -14493,                  4033,                   -780,                -11240,,                  2000,                  6226,                  8226,                 -4833,                 15377,                 10544,                 10544,,,,,,,,,,
2429,2015年01月01日至2015年03月31日,,                -11888,                -11888,,,                 10022,                    207,                    179,                    984,                    -19,                    -45,                   -617,,                   -456,                 10255,,,                  1202,                    154,                 34193,                 -4004,                   -351,                              0,                  1284,                  2774,                    -24,                 35228,,                    -40,                              0,                 -1146,                -13695,                    -28,                   -172,                    -13,                   -258,                -15352,                 19876,                 30131,                 18243,                     19,                   -961,                 17301,,                              0,,,                -11601,                  3545,                   -780,                 -8836,,                 10000,,                  3666,                 12131,                 15377,                 27508,                 27508,                 -6334,,,,,,,,,
2429,2014年度,,                -91745,                -91745,,,                 37602,                    560,                   -533,                  2662,                    -89,                  2968,,                              0,                 13016,,,,                  1868,                  3451,                -61095,                    712,                     62,                    924,                  1130,                 -4248,                 -2008,                -59204,,                     37,                              0,                 -1430,                 43892,                 -4726,                    -12,                  2100,,                 38049,                -21155,                 35031,                -56714,                    110,                 -2660,                -59264,,                   -136,                              0,                              0,                -47968,                              0,                 -7602,                -55706,,                 58000,                 31964,                 89964,                -25006,                 40383,                 15377,                 15377,                              0,,                 56186,                 -1812,                              0,                              0,                              0,                              0,,
2429,2014年01月01日至2014年09月30日,,                -66305,                -66305,,,                 27773,                    351,                   -579,                  1653,                    -50,                  1559,                    255,                              0,                  8643,                 39605,,,                    522,                  2953,                -14487,                -13950,                     27,                    924,                    335,                 -5527,                    -48,                -29251,,                  1382,                              0,                 -3648,                 53672,                  4227,                    146,                    706,                 -1400,                 55085,                 25834,                 65439,                   -866,                     50,                 -1601,                 -2417,,                   -137,                              0,                              0,                -38498,                              0,                 -7439,                -46074,,                 39500,                 37778,                 77278,                 28787,                 40383,                 69170,                 69170,,,,,,,,,,
2429,2014年01月01日至2014年06月30日,,                -43421,                -43421,,,                 18151,                    147,                   -404,                    898,                    -34,                  1670,                    255,                              0,                 10681,                 31364,,,                   -682,                  3605,                -89016,                -12207,                   -620,                    -53,                 -3425,                 -2816,                   -168,               -105382,,                    203,                              0,                 -1705,                 89850,                   -824,                   -110,                     47,                   -918,                 86543,                -18839,                 12525,                -30896,                     34,                   -794,                -31656,,                   -137,                              0,                              0,                -25559,                              0,                 -6026,                -31722,,                 44000,                              0,                 44000,                -19378,                 40383,                 21005,                 21005,,,,,,,,,,
2429,2014年01月01日至2014年03月31日,,                -27233,                -27233,,,                  8796,                     74,                    -26,                    355,                    -18,                    861,                              0,,                  7170,                 17212,,,                  3987,                  2995,                -49843,                    361,                     -1,                    -27,                 -2079,                   -666,                              0,                -45273,,                   -106,                              0,                 -4637,                 46758,                   -736,                    156,                    729,                   -487,                 41677,                 -3596,                 13616,                -13617,                     39,                   -297,                -13875,,                   -137,,,                -17328,                              0,                 -6026,                -23491,,                 20500,,                 20500,                -16866,                 40383,                 23517,                 23517,                              0,,,,,,,,,
2429,2013年度,,                -90081,                -90081,,,                 21567,                    134,                 11804,                  3122,                   -131,                  1731,,                              0,                  3342,,,,                 -3566,                 -3508,                102654,                 -2253,                  3351,                 10203,                 -8466,                -11385,                     -5,                 87025,,                   -617,                 -2520,                  3467,               -108478,                  2935,                    207,                    830,,               -105543,                -18518,                 23051,                -67030,                    110,                 -3068,                -69988,,                              0,                              0,                              0,               -185026,                              0,                -10646,               -197744,,                 42000,                              0,                260014,                 -7718,                 48101,                 40383,                 40383,               -101986,,                 41569,                 -1367,                    216,                 -2096,                   -192,                320000,,
2429,2013年01月01日至2013年12月31日,,                -90081,                -90081,,,                 21567,                    134,                 11804,                  3122,                   -131,                  1731,,                              0,                  3342,,,,                 -3566,                 -3508,                102654,                 -2253,                  3351,                 10203,                 -8466,                -11385,                     -5,                 87025,,                   -617,                 -2520,                  3467,               -108478,                  2935,                    207,                    830,,               -105543,                -18518,                 23051,                -67030,                    110,                 -3068,                -69988,,                              0,                              0,                              0,               -185026,                              0,                -10646,               -197744,,                 42000,,                260014,                 -7718,                 48101,                 40383,                 40383,               -101986,,                 41569,                 -1367,                    216,                 -2096,                   -192,                320000,,
2429,2013年01月01日至2013年09月30日,,                -55162,                -55162,,,                 13945,                     61,                 11793,                  2827,                    -45,                  1574,                              0,                              0,                  3719,,,,                 -1220,                 -5503,                 96965,                 -1913,                  3337,                  8838,                -10706,                -10531,                    -48,                 79219,,                   -330,                 -2520,                 -1877,               -110266,                  5350,                    270,                    556,,               -109737,                -30518,                  3356,                -51806,                     40,                 -2620,                -54386,,                              0,                              0,                              0,               -108632,,                -24237,               -134965,,                196232,                              0,                414246,                224895,                 48101,                272996,                272996,               -101986,,                 33874,                   -920,,                 -2096,,                320000,,
