證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他預付款項增加,　　 其他預付款項減少,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 員工執行認股權,　　 庫藏股票買回成本,　　 取得子公司股權,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損損失,　　 員工購買庫藏股,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　　 遞延貸項增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分以成本衡量之金融資產,　　 應付短期票券減少,　　　　 金融資產減損損失,　　 取得採用權益法之投資
1313,2015年01月01日至2015年09月30日,,                311321,                311321,,,              1040252,                115767,                -12846,                261504,               -221645,               -190742,                  5065,                    967,                    -32,               -124505,                -93758,                780027,,,               -320267,                420322,                 39999,                 21666,                296247,               -338886,                119081,,                200915,               -246444,                 76735,                -21677,               -100639,                  7456,                -83654,                 35427,                815454,              1126775,                229152,               -235563,              1120364,,                -44780,                  2612,                -78475,                553677,                -25000,                              0,                302397,             -1680415,                  1145,                -61902,                 64534,                              0,             -1166249,              1103964,                -88232,               -462077,                 77897,                190742,             -1310162,,             12125297,            -12563157,                499685,              2760774,             -3846612,                    605,                     -3,               -231417,                111857,               -134870,                              0,               -315697,             -1593538,                508047,             -1275289,             13568886,             12293597,             12293597,,,,,,,,,,,,,
1313,2015年01月01日至2015年06月30日,,                771597,                771597,,,                702891,                 73750,                    350,                172077,               -154766,                              0,                  4825,                    944,,,,                618222,,,               -277777,                394116,                 54071,                 -9515,                -11640,               -277218,               -127963,,                109566,                539450,                103239,                -16120,               -169715,                  4956,                571376,                443413,              1061635,              1833232,                161102,                -83991,              1910343,,                -17559,,                -44706,                516494,                              0,,,             -1226440,                    931,                -61902,                 62475,                              0,             -1114577,              1103964,                -68543,               -461545,                 77897,                              0,             -1233511,,              8092931,             -7600734,                    -51,              2022428,             -2522592,                    605,                     -3,,                111857,                -62476,                              0,               -230882,               -188917,               -370163,                117752,             13568886,             13686638,             13686638,               -181849,,,,,,,,,,,,
1313,2015年01月01日至2015年03月31日,,                108037,                108037,,,                363365,                 35066,                    386,                 87069,                -83329,,                  2567,                   -492,,,,                182392,,,               -297559,                297366,                 -8792,                 -5768,                 89062,                129661,                203970,,                113202,                559474,                -24162,                -12580,               -130763,                  2468,                507639,                711609,                894001,              1002038,                 77091,                -10914,              1068215,,                              0,,                -35851,                 76741,                              0,,,               -853448,                    802,                -60214,                  2611,                              0,             -1114577,,                 -4966,                              0,,,             -1988902,,              2859024,             -4465805,                798950,              1215484,             -1700000,                    603,                     -3,,                 50885,,                              0,                -91016,             -1367404,               -151076,             -2439167,             13568886,             11129719,             11129719,               -222240,                -35526,,,,,,,,,,,
1313,2014年度,,               -396604,               -396604,,,              1354469,                187975,                 31975,                426527,               -325936,               -165438,                  7319,                     46,                   -153,,                              0,,,,                277658,                602512,                  5541,                -10562,                680786,                -67300,              1488635,,               -198753,             -1182124,                -14184,                 24279,                151110,,             -1080614,                408021,              2174520,              1777916,                337117,               -122714,              1992319,,               -250238,                  2830,,,                -25491,                 15075,,             -1353492,                 34310,                -73973,                 69534,                 -2389,,,               -223680,               -158495,,                165438,             -1600027,,             22399227,            -24786107,,              5109770,             -3606290,                      8,                              0,               -461410,                 88222,                -54908,               -107250,               -420909,             -1439732,                450050,               -597390,             14166276,             13568886,             13568886,                249715,,,                              0,              1766499,                  8528,                130530,               -540737,                741281,                              0,                399915,,
1313,2014年01月01日至2014年09月30日,,                -12243,                -12243,,,                999573,                137079,                 -3711,                331577,               -252757,               -165193,                  4019,                    627,                   -134,                              0,                 21892,              1072972,,,                 32770,                314746,                 31113,                 -8222,                 11078,               -475729,                -94244,,               -329954,               -828938,                 44648,                 25600,                263433,                  6397,               -818814,               -913058,                159914,                147671,                259812,                -89671,                317812,,               -214519,                    330,               -184844,                707412,                -25190,                 15075,                              0,               -834978,                 26366,                -29708,                 29539,                 -2375,                              0,                              0,               -206839,               -153471,                              0,                165193,               -708009,,             19017951,            -21180054,              1198997,              3204119,             -2902550,                      4,                              0,               -461410,                 67551,                              0,               -107250,               -328880,             -1491522,                326830,             -1554889,             14166276,             12611387,             12611387,,,,,,,,,,,,,
1313,2014年01月01日至2014年06月30日,,               -163037,               -163037,,,                666113,                 63462,                  1120,                227244,               -169455,                 -2954,                  3815,                    791,,,,                804717,,,                -38308,               -281094,                 15044,                 -5235,               -213426,               -137270,               -660289,,                -97375,               -373563,                -53023,                 21971,                -40694,                  4271,               -538413,             -1198702,               -393985,               -557022,                173959,                -43602,               -426665,,               -106130,,                 -6523,                703970,                -25190,,,               -486435,                    928,                -29708,                              0,                 -2367,                              0,                              0,                -81564,               -153471,                              0,                  2954,               -183536,,             13756292,            -14459701,                749273,              1900000,             -2403746,                              0,                              0,,                 35258,                              0,               -107250,               -218911,               -748785,                 -2093,             -1361079,             14166276,             12805197,             12805197,                 14581,,,,,,,,,,,,
1313,2014年01月01日至2014年03月31日,,               -223211,               -223211,,,                334691,                 31388,                  1499,                111915,                -80499,,                  2340,                    352,,,,                463980,,,                 51433,               -824623,                 -6260,                 -6714,               -852687,               -220640,             -1859491,,               -131935,                 96423,                -62986,                 24741,                    743,                  2134,                -70880,             -1930371,             -1466391,             -1689602,                 78642,                -31553,             -1642513,,                -24922,,                 -6432,                703970,                   -190,,,               -214375,                    767,                    -76,                              0,                 -1581,                              0,,                -81001,                 -4913,,,                371247,,              7951879,             -7224835,                              0,              1650000,               -600000,                              0,                              0,,                 10970,,               -107250,               -100684,              1580080,                633338,                942152,             14166276,             15108428,             15108428,                 62294,                              0,,,,,,,,,,,
1313,2013年度,,                653641,                653641,,,              1155898,                113273,                  1874,                380842,               -280775,               -139859,                  8230,                  7012,               -217465,,                -47714,,,,               -240534,               -536742,                 -8260,                 -8519,              2205271,                151371,              1562587,,                 96537,               -282025,                  7348,                 60590,                 -4675,,               -114803,              1447784,              2429993,              3083634,                281062,                -52513,              3312183,,               -250077,                646122,,,                -31701,                101987,,             -1491032,                    165,                -74713,                157166,                 -1235,,,               -120364,               -478810,,                139859,              1642177,,             31582262,            -31443460,,              6384317,             -5556733,                      5,                     -8,               -899262,                 49112,                              0,                              0,               -373102,               -256869,                375534,              5073025,              9093251,             14166276,             14166276,                              0,,,                    893,                982209,                  7422,                              0,             -4989517,              8034093,                    234,                              0,,
1313,2013年01月01日至2013年12月31日,,                653641,                653641,,,              1155898,                113273,                  1874,                380842,               -280775,               -139859,                  8230,                  7012,               -217465,,                -47714,,,,               -240534,               -536742,                 -8260,                 -8519,              2205271,                151371,              1562587,,                 96537,               -282025,                  7348,                 60590,                 -4675,,               -114803,              1447784,              2429993,              3083634,                281062,                -52513,              3312183,,               -250077,                646122,,,                -31701,                101987,,             -1491032,                    165,                -74713,                157166,                 -1235,,,               -120364,               -478810,,                139859,              1642177,,             31582262,            -31443460,,              6384317,             -5556733,                      5,                     -8,               -899262,                 49112,,,               -373102,               -256869,                375534,              5073025,              9093251,             14166276,             14166276,,,,                    893,                982209,                  7422,,             -4989517,              8034093,                    234,                              0,                              0,                              0
1313,2013年01月01日至2013年09月30日,,                476213,                476213,,,                853243,                 84958,                  1323,                281214,               -204570,               -139859,                  6174,                  1855,               -217435,,                -24088,,,,               -104747,               -379198,                -17999,                 -5925,              1796722,                234135,              1522988,,                 60081,               -853343,               -236641,                 43196,                 46580,,               -934548,                588440,              1232148,              1708361,                202424,               -106768,              1804017,,                -57000,                617836,,,                 -6701,                101987,,             -1072575,                     31,                -72093,                156765,                   -577,,,               -120364,               -478810,,                139859,              2132390,,             22711322,            -21933203,                249890,              3900000,             -3250000,                      5,                     -8,               -899262,                 36337,,                              0,               -271725,                543356,                100178,              4579941,              9093251,             13673192,             13673192,,,,                    893,                643708,                  5579,,             -3995457,              6919255,                    234,,,
