證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得持有至到期日金融資產,　　 處分持有至到期日金融資產,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金增加,　　 存入保證金減少,　　 其他非流動負債減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 預付投資款增加,　　 應付款項減少,　　 其他應付款－關係人增加,　　 應付款項增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分以成本衡量之金融資產,　　 其他非流動負債增加,　　　　 不動產、廠房及設備轉列費用數,　　　　　 應付建造合約款（增加）減少,　　 其他應付款－關係人減少
1726,2015年01月01日至2015年09月30日,,                949232,                949232,,,                 54274,                  1412,                 17650,                 10272,                    280,                -27948,                -13056,                    -75,                   -169,                              0,                              0,                    309,                  1990,                 44939,,,                              0,                 17775,                195952,                 27448,                 82773,                  5511,                     13,                 66168,                  2845,                 -2415,                 11741,                -21688,                386123,,                -57554,                              0,                -70869,                  2329,                  3376,                -39338,                    -97,                 -1418,                 -1282,               -164853,                221270,                266209,              1215441,                 25444,                 13056,                   -280,               -283895,                969766,,                -53199,                              0,                              0,                              0,                -10800,                  2863,               -185236,                 25191,                              0,                     70,                   -107,               -221218,,                              0,                 -1921,                  3134,                              0,                 -2661,               -615600,                              0,               -617048,                -51936,                 79564,              2723627,              2803191,              2803191,,,,,,,,,,,,
1726,2015年01月01日至2015年06月30日,,                632441,                632441,,,                 38852,                  1055,                  3967,                    367,                    242,                -18600,,                  3688,                   -170,                              0,,                    178,                  1327,                 30906,,,,                 67367,                -53876,                   -229,                 21481,                    974,                      5,                 42745,                 -1702,                 -1039,                 10859,                  4861,                 91446,,                -21564,                              0,                 -9794,                   -198,                 -1147,                -14607,                    253,                 -2430,                   -896,                -50383,                 41063,                 71969,                704410,                 20492,,                   -242,               -183355,                541305,,                -49083,                              0,                              0,,,,               -130893,                 25190,                   -296,,                    -97,               -165979,,                  1981,                              0,                  2278,                              0,,,                              0,                  1929,                -47078,                330177,              2723627,              3053804,              3053804,                -10800,                 -2330,                              0,,,,,,,,,
1726,2015年01月01日至2015年03月31日,,                312234,                312234,,,                 20507,                    520,                 -1183,                 -3852,                    176,                -10104,,                   -163,                   -185,                              0,,                   -523,                    673,                  5866,,,,                 20038,                -16349,                -18103,                -16951,                    109,                      3,                 96555,                 -3139,                     68,                  5878,                  2986,                 71095,,                 60219,                              0,                  3895,                   -132,                   -829,                -74038,,                    860,                   -463,                -10488,                 60607,                 66473,                378707,                 12949,,                   -176,                -63331,                328149,,                -10780,                              0,,                              0,,,               -103653,                    190,                   -103,,                              0,               -114346,,                  5771,,                  2225,                              0,,,                              0,                  7834,                -28925,                192712,              2723627,              2916339,              2916339,,                   -162,,                              0,,,,,,,,
1726,2014年度,,              1241476,              1241476,,,                 77696,                  1688,                 25687,                  7887,                    872,                -40528,                -10108,                  9953,                    -22,                 -7187,                 24870,                    611,                  2620,,,,                              0,                -61468,                -62436,                 10413,                 87330,                 -4297,                    296,                -19709,                    476,                    -26,                138998,                -11336,                 78241,,                 20509,                 -4424,                -26010,                  1201,                    493,                 32788,                 -5826,                 -4514,,                 18574,                 96815,                190854,              1432330,                 37861,                 10108,                   -872,               -237495,              1241932,,,                 36551,                250884,,,                  3350,               -196012,                    425,                              0,                    321,                 -1560,                 93959,,,                -13272,                              0,                   -263,                   -619,               -680400,                  8821,               -685733,                 32112,                682270,              1682956,              2365226,              2365226,,,,,,                 94039,                  4357,                              0,                              0,,,
1726,2014年01月01日至2014年09月30日,,                959094,                959094,,,                 58262,                  1169,                 17964,                  2201,                    713,                -29886,                -10108,                  9019,                    -42,                 -7187,                 24870,                    284,                  1957,                 69216,,,                              0,                 11394,                 38519,                  9045,                  3930,                   -482,                     97,                -29818,                  9449,                   -401,                 -4757,                 -9340,                 27636,,                -11431,                 -4252,                -10962,                    101,                 -2550,                -78682,                 -1467,                 -4575,                 -1726,               -115544,                -87908,                -18692,                940402,                 22735,                 10108,                   -713,               -215834,                756698,,                              0,                 36551,                              0,                 51495,                              0,                              0,               -130116,                    306,                              0,                    674,                 -1561,                -42651,,                    627,                              0,                              0,                   -152,                   -440,               -680400,                  8821,               -671544,                  8242,                 50745,              2168061,              2218806,              2218806,,,,,,,,,,,,
1726,2014年01月01日至2014年06月30日,,                673308,                673308,,,                 38744,                    624,                  9002,                 -6420,                    499,                -19076,,                 10290,                     91,                 -7187,,                   -302,                  1308,                 27573,,,,                 13014,                  3723,                 12291,                 30542,                 -6330,                     -5,                 69058,                  5930,                 -1035,                   -614,                 -9791,                116783,,                 -1531,                 -4174,                -50859,                    410,                 -2818,                -93270,                     91,                 -3339,                 -1237,               -156727,                -39944,                -12371,                660937,                 13938,,                   -499,               -123715,                550661,,                              0,                 36551,                250884,,,,                -75120,                     77,                   -175,,                   -361,                211856,,                              0,                   -415,                              0,                   -657,,,                  8821,                  7464,                -11037,                758944,              2168061,              2927005,              2927005,                              0,                   -285,                              0,,,,,,,,,
1726,2014年01月01日至2014年03月31日,,                345945,                345945,,,                 19487,                    309,                 -3188,                 -2018,                    291,                 -9191,,                  2111,                     35,                 -6359,,                      6,                    585,                  2068,,,,                -86499,                191161,                  8362,                 -5106,                 -3320,                    102,                 62324,                  2804,                 -1426,                    489,                 -1108,                167783,,                -23462,                 -4259,                -83020,                   -458,                 -3020,               -106737,,                    808,                   -658,               -220806,                -53023,                -50955,                294990,                  5739,,                   -191,                -28416,                272122,,                              0,                 32252,,                250884,,,                -10776,                              0,                 -2345,,                   -100,                269915,,                  3964,,                              0,                   -903,,,                  8821,                 13982,                  7649,                563668,              2168061,              2731729,              2731729,,                              0,,                  2100,,,,,,,,
1726,2013年度,,              1259519,              1259519,,,                 79493,                  1105,                    968,                -15004,                    504,                -30913,                -12423,                 16026,                    631,                -86291,                              0,                    325,                  2274,,,,                 39977,                233627,                -45442,                -21284,                -67985,                  6154,                     28,                -59572,                -26354,                    107,               -290170,                  1520,               -229394,,               -116574,                  4166,                 69623,                     54,                  3034,                 77250,                    344,                  1207,,                 34456,               -194938,               -238243,              1021276,                 29214,                 12423,                   -504,               -232462,                829947,,,                              0,               -250884,,,                  1100,                -86964,                    242,                 -5585,                              0,                   -873,               -194625,,,                   -809,                  2056,                              0,                              0,               -567000,                              0,               -565573,                 33229,                102978,              1579978,              1682956,              1682956,,,,,,                -43305,                 -4648,                148339,                    180,,,
1726,2013年01月01日至2013年12月31日,,              1259519,              1259519,,,                 79493,                  1105,                    968,                -15004,                    504,                -30913,                -12423,                 16026,                    631,                -86291,                              0,                    325,                  2274,,,,                 39977,                233627,                -45442,                -21284,                -67985,                  6154,                     28,                -59572,                -26354,                    107,               -290170,                  1520,               -229394,,               -116574,                  4166,                 69623,                     54,,                 77250,                    344,                  1207,,                 34456,               -194938,               -238243,              1021276,                 29214,                 12423,                   -504,               -232462,                829947,,,                              0,               -250884,,,                  1100,                -86964,                    242,                 -5585,                              0,                   -873,               -194625,,                   -809,,                  2056,,,               -567000,                              0,               -565573,                 33229,                102978,              1579978,              1682956,              1682956,,,,                    180,,                -43305,                 -4648,                148339,,                              0,                  3034,                              0
1726,2013年01月01日至2013年09月30日,,                942061,                942061,,,                 60125,                    822,                 -3658,                -12986,                    258,                -22934,                -12423,                 17769,                    490,                -86291,                              0,                    301,                  1706,,,,                 39977,                182911,                 48155,                 16024,                -77156,                  2599,                      9,                -42920,                -23900,                 -8908,               -267734,                  1082,               -129861,,               -135510,                  4133,                 17798,                   -214,                   -475,                 64516,                    287,                  2621,,                -49019,               -178880,               -235701,                706360,                 16652,                 12423,                   -249,               -193262,                541924,,,                              0,               -201184,,,                  1500,                -78258,                    242,                 -7095,                              0,                   -180,               -136635,,                    200,,                  1015,                              0,                              0,               -567000,                              0,               -562782,                 18685,               -138808,              1579978,              1441170,              1441170,,,,,,                -56821,                 -2175,                148340,                  3003,,,
