證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 取得投資性不動產,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 處分不動產、廠房及設備,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資
2701,2015年01月01日至2015年09月30日,,                337960,                337960,,,                  9345,                 -9106,                -38119,               -164142,               -202022,,,                   -151,                 -1659,                   -731,                 -2541,,                              0,                 -1197,                  7162,                     -3,                    198,                  6160,                  3619,               -198403,                139557,                -30723,                108834,,                              0,               -114547,                              0,                              0,                   -279,                              0,                  8354,                 24148,                -82324,,                              0,                              0,                 -1566,                 -1566,                 24944,                 86195,                111139,                111139,,,,,,,,,,
2701,2015年01月01日至2015年06月30日,,                200398,                200398,,,                  6284,                 -6004,                -18524,                -92450,               -110694,,,                   -145,                 -1000,                     67,                 -1078,,                              0,                   -348,                  1913,                      3,                    132,                  1700,                    622,               -110072,                 90326,                -16404,                 73922,,                              0,               -102946,                              0,,                   -266,,                  6176,                 18524,                -78512,,                              0,,                 -1331,                 -1331,                 -5921,                 86195,                 80274,                 80274,,,,,,,,,,
2701,2015年01月01日至2015年03月31日,,                 78122,                 78122,,,                  3153,                 -2800,,                -34581,                -34228,,,                 -1154,                 -1702,                    184,                 -2672,,                              0,                 -1472,                  4670,                              0,                     66,                  3264,                    592,                -33636,                 44486,                   -336,                 44150,,                              0,                -47800,,,                              0,,                  3682,,                -44118,,                              0,,                 -1084,                 -1084,                 -1052,                 86195,                 85143,                 85143,                              0,                              0,                              0,,,,,,,
2701,2014年度,,                331299,                331299,,,                 13283,                -10682,                -30939,               -130828,,,,                     32,                   -888,                    185,                   -671,,                              0,                     58,                  1736,                    -22,,                  2040,                  1369,               -160513,                170786,                -22892,                147894,,                     -8,,                    -75,                  4955,                    -30,                              0,                 10199,                 30939,                -86092,,                              0,                              0,                -39533,                -39533,                 22269,                 63926,                 86195,                 86195,                              0,                              0,,,                 -2716,                              0,               -161882,                    268,                 17307,               -149379
2701,2014年01月01日至2014年09月30日,,                277150,                277150,,,                 10094,                 -7742,                -30939,               -121566,               -150153,,,                     20,                 -1191,                    -69,                 -1240,,                              0,                   -820,                  8315,                    151,                    203,                  7849,                  6609,               -143544,                133606,                -22659,                110947,,                     -8,               -118350,                    -75,                  4955,                    -30,                              0,                  7545,                 20834,                -85129,,                              0,                              0,                   -616,                   -616,                 25202,                 63926,                 89128,                 89128,,,,,,,,,,
2701,2014年01月01日至2014年06月30日,,                162368,                162368,,,                  6817,                 -5136,                -16608,                -63913,                -78840,,,                     17,                   -313,                   -307,                   -603,,                              0,                    342,                  5056,                    188,                    136,                  5722,                  5119,                -73721,                 88647,                -10627,                 78020,,                     -8,                -87950,                    -75,,                              0,,                  5619,                 16608,                -65806,,                              0,,                   -523,                   -523,                 11691,                 63926,                 75617,                 75617,,,,,,,,,,
2701,2014年01月01日至2014年03月31日,,                 57620,                 57620,,,                  3451,                 -2328,,                -16946,                -15823,,,                    -97,                   -574,                    278,                   -393,,                              0,                   -513,                  5144,                    218,                     68,                  4917,                  4524,                -11299,                 46321,                   -313,                 46008,,                     -8,                -29100,,,                              0,,                  3443,,                -25665,,                              0,,                   -308,                   -308,                 20035,                 63926,                 83961,                 83961,                              0,                              0,                              0,,,,,,,
2701,2013年度,,                243189,                243189,,,                 15817,                 -9236,                -25373,                -75003,,,,                    -32,                -13377,                    -35,                -13444,,                   -715,                   -615,                    650,                   -585,,                 -2079,                -15523,                -97989,                145200,                -26580,                118620,,                    -73,,                -67206,                  1835,                 -2540,                 -2042,                  8948,                 25373,                -69103,,                  9938,                 -6682,                -42475,                -39219,                 10298,                 53628,                 63926,                 63926,                              0,                              0,,,                              0,                 11329,                -82466,                   -814,                              0,                -33398
2701,2013年01月01日至2013年12月31日,,                243189,                243189,,,                 15817,                 -9236,                -25373,                -75003,,,,                    -32,                -13377,                    -35,                -13444,,                   -715,                   -615,                    650,                   -585,,                 -2079,                -15523,                -97989,                145200,                -26580,                118620,,                    -73,,                -67206,                  1835,                 -2540,                 -2042,                  8948,                 25373,                -69103,,                  9938,                 -6682,                -42475,                -39219,                 10298,                 53628,                 63926,                 63926,                              0,                              0,,,,                 11329,                -82466,                   -814,,                -33398
2701,2013年01月01日至2013年09月30日,,                200242,                200242,,,                 12215,                 -6869,                -25373,                -61198,,,,                    -50,                -13641,                   -275,                -13966,,                   -715,                   -529,                 10432,                    145,,                  8444,                 -5522,                -86747,                113495,                -26405,                 87090,,                              0,,                -67206,                  1835,                 -2540,                 -2042,                  6872,                 14972,                -63807,,                  9938,                 -6682,                   -912,                  2344,                 25627,                 53628,                 79255,                 79255,,,,,,,                -81225,                   -889,,                -15698
2701,2013年01月01日至2013年06月30日,,                110759,                110759,,,                  8206,                 -4601,                              0,                -22265,,,,                    -80,                -13515,                   -296,                -13891,,                   -715,                    578,                  6318,                    198,,                  5415,                 -8476,                -27136,                 83623,                -13224,                 70399,,                              0,,                -67206,,                 -3924,,                  5141,                              0,                -69387,,                  3256,,                   -835,                  2421,                  3433,                 53628,                 57061,                 57061,,,,,,,                -18660,                   -964,,                 -3398
2701,2013年01月01日至2013年03月31日,,                 34877,                 34877,,,                  4096,                 -2254,,                  1858,,,,                   -123,                 -6142,                    309,                 -5956,,                   -715,                   -523,                  6071,                    153,,                  3949,                 -2007,                  1693,                 36570,                   -289,                 36281,,                              0,,,,                 -1429,,                  3199,,                -33530,,                  3256,,                   -541,                  2715,                  5466,                 53628,                 59094,                 59094,                              0,                              0,                              0,,,,                  3700,                 -1037,,                -35300
2701,2012年01月01日至2012年12月31日,,                246600,                246600,,,                 16965,                 -8868,                -25193,                -64142,,,,                  1016,                   -513,                   -106,                    397,,                   -123,                    576,                   -318,                 -1187,,                   -492,                    -95,                -86632,                159968,                -27668,                132300,,                -91458,,                              0,                              0,                 -1912,                   -383,                  8007,                 25193,               -111867,,                  9937,                              0,                -30424,                -20487,                    -54,                 53682,                 53628,                 53628,                 -5299,                 18786,,,,                              0,                -86537,                    560,,                -70100
2701,2012年01月01日至2012年09月30日,,                204406,                204406,,,                 12824,                 -6619,                -25193,                -59652,,,,                    313,                 -2242,                   -367,                 -2296,,                   -838,                 -1463,                 12194,                   -744,,                  9585,                  7289,                -76650,                127756,                -27492,                100264,,                -91459,,                              0,                              0,                 -1017,                   -383,                  5946,                 18049,               -100478,,                              0,                              0,                   -918,                   -918,                 -1132,                 53682,                 52550,                 52550,                 -5299,                 18786,,,,,                -83939,                    436,,                -50400
2701,2012年01月01日至2012年06月30日,,                126533,                126533,,,                  8567,                 -4479,,                -26793,,,,                    889,                 -1361,                    536,                     64,,                   -838,                   -227,                  3340,                   -983,,                  1587,                  1651,                -26353,                100180,                -14345,                 85835,,,,                              0,,                   -241,,                  4348,,                -17707,,                              0,,                   -794,                   -794,                 67334,                 53682,                121016,                121016,                 -5299,                 18786,,,,,                -28004,                    295,,                -40600
2701,2012年01月01日至2012年03月31日,,                 51488,                 51488,,,                  4319,                 -2183,,                 -5014,,,,                    225,                 -1711,                    281,                 -1205,,                   -838,                   -615,                  4760,                     21,,                  3482,                  2277,                 -5900,                 45588,                   -225,                 45363,,,,,,                   -126,,                  2520,,                -11621,,                              0,,                   -487,                   -487,                 33255,                 53682,                 86937,                 86937,                 -5299,                 18785,                              0,,,,                 -8177,                    154,,                -32800
