證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 處分採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 發行公司債,　　 發放現金股利,　　 現金增資,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 其他籌資活動,　　 處分無活絡市場之債券投資,　　　　 未實現外幣兌換損失（利益）,　　　　　 應付建造合約款（增加）減少,　　 短期借款減少,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款
3056,2015年01月01日至2015年09月30日,,                632880,                632880,,,                  1956,                    132,                 -6328,                  4639,                 -3220,                 -2347,                              0,                     -4,                   -443,                    317,                 -5298,,,                              0,                              0,                    434,                              0,                  1588,                132855,                180975,                315852,,                -30267,                 69726,                              0,                 44230,               -271849,                103707,                              0,                -84453,                231399,                226101,                858981,                  3220,                  2347,                -53337,                -55911,                755300,,               -561465,                 42443,                              0,                  9863,                 -5645,                              0,                              0,                              0,                              0,                   -655,                      4,                   -162,                              0,                    -54,                 -4609,               -158880,               -679160,,                 86790,                              0,                -86473,                              0,                              0,                    317,                     10,                 76467,                592992,                669459,                669459,,,,,,,,,,,,,
3056,2015年01月01日至2015年06月30日,,                 58594,                 58594,,,                  1339,                     90,                 -6328,                  3636,                 -2412,,,,                   -227,,                 -3902,,,                              0,,                    434,,                  1611,               -862663,                 32751,               -827867,,                  3039,                -14705,,                 21462,                327458,                 92885,,                430139,               -397728,               -401630,               -343036,                  2412,,                -40842,                -28452,               -409918,,               -104137,                 41226,                -16356,                              0,                 -5645,,,,,                 -7044,                              0,,,                              0,                 -9474,,               -101430,,                377590,,,                              0,,                377590,                     -6,               -133764,                592992,                459228,                459228,,,,,,,,,,,,,
3056,2015年01月01日至2015年03月31日,,                 66778,                 66778,,,                    713,                     46,                 -4527,                  1813,                   -743,,,,,,                 -2698,,,,,                    444,,                  2269,               -212854,                 75511,               -134630,,                -60513,                -19972,,                  6024,                123453,                104674,,                153666,                 19036,                 16338,                 83116,                    743,,                -20150,                    -11,                 63698,,,,                 -3747,,,,,,,                 -5730,,,,                              0,                   -320,,                 -9797,,                200000,,,,,                200000,                     -3,                253898,                592992,                846890,                846890,,,,,,,,,,,,,
3056,2014年度,,                438317,                438317,,,                  3459,                    508,                  6095,                  1815,                 -3825,,,                    244,                    -41,                              0,,,,                 -1300,,                   -203,                              0,                  7264,               -914446,               -262335,             -1171020,,                 53132,               -111962,                              0,                 33898,                704587,                -73666,,                605989,               -565031,               -555582,               -117265,                  3825,,                -80548,               -112668,               -306656,,                -80000,                 80041,,,                              0,                              0,                              0,,                              0,                -74240,                  1403,,,                    -42,                 -1697,,               -271285,,                402250,                              0,               -269904,                483000,                              0,                615346,                     16,                 37421,                555571,                592992,                592992,,                  1194,                  9449,                              0,               -196750,                              0,                              0,                              0,,,,,
3056,2014年01月01日至2014年09月30日,,                 15202,                 15202,,,                  2656,                    436,                  7711,                      1,                 -2150,                              0,                              0,                    243,                    -41,                              0,                  8856,,,                 -1180,                              0,                   -468,                              0,                  6774,             -1442278,               -185890,             -1623042,,                 12945,                -47145,                              0,                 11605,                946477,                -41375,                              0,                882507,               -740535,               -731679,               -716477,                  2150,                              0,                -60710,               -103222,               -878259,,                -80000,                 80041,               -101700,                              0,                              0,                              0,                              0,                              0,                              0,                -64098,                  1404,                              0,                              0,                    -42,                 -1651,                              0,               -166046,,                775750,                              0,               -269904,                483000,                              0,                988846,                      3,                -55456,                555571,                500115,                500115,,,,,,,,,,,,,
3056,2014年01月01日至2014年06月30日,,                 24784,                 24784,,,                  1833,                    310,                  2538,                      1,                   -990,,,,                    -41,,                  3651,,,                 -1156,,                   -429,,                -73168,             -1039869,               -101537,             -1216159,,                 23977,                 15888,,                    347,                607372,                -48123,,                599461,               -616698,               -613047,               -588263,                    990,,                -37704,                -72674,               -697651,,                -80000,                 80041,                -72329,                              0,                              0,,,,,                -50696,                    927,,,                    -41,                 -1605,,               -123703,,                799126,,,                 14602,,                813728,                     -2,                 -7628,                555571,                547943,                547943,,,,,,,,,,,,,
3056,2014年01月01日至2014年03月31日,,                 21136,                 21136,,,                    989,                    156,                    968,                      1,                   -134,,,,,,                  1980,,,,,                    133,,                  4112,               -459078,                -56083,               -510916,,                 18697,                 31826,,                 -7181,                284718,                -54403,,                273657,               -237259,               -235279,               -214143,                    134,,                -19496,                    -11,               -233516,,,,                -29776,,,,,,,                -20242,,,,                    -42,                 -1920,,                -51980,,                404986,,,,,                404986,                              0,                119490,                555571,                675061,                675061,,,,,,,,,,,,,
3056,2013年度,,              1425427,              1425427,,,                  3027,                    642,                 -4351,                    267,                 -2633,,,                              0,                  7935,                              0,,,,                              0,,                 60099,                              0,                -10238,             -1913690,                -18175,             -1882004,,                  3250,                204230,                              0,                 14372,               -249703,                -17012,,                -44896,             -1926900,             -1922013,               -496586,                  2633,,                -39034,                -32496,               -565483,,               -740000,                743452,,,               -101198,                              0,                              0,,                    758,                -50195,                              0,,,                              0,                   -592,,               -247610,,                407014,                694563,               -133538,                              0,                              0,                967439,                   -865,                153481,                402090,                555571,                555571,,                              0,                  4887,                    -33,                -91680,                     95,                 -8250,                   -600,,,,,
3056,2013年01月01日至2013年12月31日,,              1425427,              1425427,,,                  3027,                    642,                 -4351,                    267,                 -2633,,,,                  7935,                              0,,,,,                  6075,                 54024,                              0,                -10238,             -1913690,                -18175,             -1882004,,                  3250,                204230,,                 14372,               -249703,                -17012,,                -44896,             -1926900,             -1922013,               -496586,                  2633,,                -39034,                -32496,               -565483,,               -740000,                743452,,,               -101198,                              0,                              0,,                    758,                -50195,                              0,,                    -96,                              0,                   -496,,               -247610,,                407014,                694563,               -133538,,                              0,                967439,                   -865,                153481,                402090,                555571,                555571,,,                  4887,                    -33,                -91680,                     95,                 -8250,                   -600,,,                              0,,
3056,2013年01月01日至2013年09月30日,,              1370067,              1370067,,,                  2395,                    744,                 -3813,                              0,                 -1091,,                              0,                              0,                     84,,,,,                              0,                  5525,                 46621,                              0,                 -9769,                792067,                150459,                984903,,                 50605,                272281,                              0,                 59739,               -747854,                 27186,,               -338076,                646827,                645146,              2015213,                  1091,,                -36939,                -32342,              1947023,,               -740000,                253053,,,               -101198,                     95,                              0,                    243,                    758,                   -553,                              0,,                              0,                              0,               -213722,,               -801248,,               -699939,                694563,               -133538,                              0,                              0,               -138914,                   -865,              1005996,                402090,              1408086,              1408086,,,                 -1681,                    -33,                              0,,,,                     76,,,,
