證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得無活絡市場之債務工具投資,　　 應付短期票券增加,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 避險之衍生金融負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 收取之股利,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分採用權益法之投資,　　 存入保證金減少,　　　　 股份基礎給付酬勞成本,　　　　　 避險之衍生金融資產（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 持有供交易之金融資產（增加）減少,　　 取得採用權益法之投資,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 備供出售金融資產減資退回股款,　　　　 其他項目,　　 取得以成本衡量之金融資產,　　 存出保證金增加,　　 其他金融資產減少,　　 預付設備款增加
8105,2015年01月01日至2015年09月30日,,                351482,                351482,,,                639187,                 10529,                 -9040,                              0,                 20731,                -10379,                              0,                  1225,                 30000,                              0,                              0,                682253,,,                  2448,               -481855,                  2514,                  1989,                  1115,                215889,                -10258,                    162,               -267996,,                -23630,                244379,               -104077,                 -2383,                  2504,                 28315,                 -1210,                143898,               -124098,                558155,                909637,                  9812,                -19667,                 -6555,                893227,,                  7683,               -165208,                     59,                 -2400,                              0,                  7195,               -152671,,              1390000,             -1250000,                              0,                              0,                689100,               -594600,                    346,                234846,                 -1820,                973582,              2965908,              3939490,              3939490,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8105,2015年01月01日至2015年06月30日,,                  4190,                  4190,,,                446609,                  7120,                 -8681,                              0,                 13816,                 -7248,                              0,                     57,,                              0,                              0,                451673,,,                  6701,               -316411,                -75522,                 15191,                     34,                151916,                 -6141,                    165,               -224067,,                 -9836,                127328,                 12045,               -105775,                    -78,                  4591,                   -808,                 27467,               -196600,                255073,                259263,                  7063,                -13268,                 -5886,                247172,,                  8174,               -114670,                              0,                 -2400,                              0,                 11104,                -97792,,              1185000,               -925000,                              0,                              0,                751905,               -577900,                    264,                434269,                -27347,                556302,              2965908,              3522210,              3522210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8105,2015年01月01日至2015年03月31日,,                -43031,                -43031,,,                222766,                  3658,                   -493,                              0,                  6732,                 -3506,                              0,                     57,,,                              0,                229214,,,                  6696,                 46976,               -192798,                -12843,                  3867,                -39302,                 -6683,                     59,               -194028,,                 23504,                100533,                 24067,               -137371,                  1217,                    379,                   -405,                 11924,               -182104,                 47110,                  4079,                  3490,                 -6401,                 -6837,                 -5669,,,                -66867,,                 -2100,                 -2642,,               -228063,,                670000,               -435000,,                              0,                300000,               -320200,                  5071,                219871,                -16572,                -30433,              2965908,              2935475,              2935475,               -156454,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,
8105,2014年度,,                 95502,                 95502,,,                880056,                 16125,                  8934,                 -3005,                 44354,                -19117,                  2000,                     59,,                  7234,                    799,,,,                 87162,              1003133,                200510,                 65080,                 -4686,                 93503,                -19438,                   -101,              1425163,,                -50167,               -188233,               -461183,                 33614,                -12171,                   -744,,               -680769,                744394,              1699808,              1795310,                 19176,                -44424,                -15089,              1754973,,,               -101893,                    206,                 -6324,               -198567,                              0,               -282560,,              4719741,             -5498038,                -99728,                -84941,                494500,               -448600,,               -922041,                 68530,                618902,              2347006,              2965908,              2965908,,                              0,,                              0,                              0,                 17975,                955414,                              0,                 -1885,                              0,                              0,                              0,                              0,                 24018,                              0,                 -4975,,,,,,,,,,,,
8105,2014年01月01日至2014年09月30日,,                125482,                125482,,,                659118,                 11969,                  5837,                 -3005,                 37143,                -14721,                  2000,                     53,                  9975,                  9297,                    799,                718465,,,                 86563,                355142,                253270,                 50375,                 -8035,                203633,                -29842,                    -54,                911052,,                -32384,                 65881,               -224229,                 22536,                -10423,                -20831,                 -1749,               -201199,                709853,              1428318,              1553800,                 13641,                -36323,                -13961,              1517157,,                 30303,                -53135,                    205,                 -4544,               -193610,                              0,               -220781,,              4361558,             -4603592,                -99728,                -84941,                400000,               -198900,                  1434,               -224169,                 20056,              1092263,              2347006,              3439269,              3439269,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8105,2014年01月01日至2014年06月30日,,                 51597,                 51597,,,                440361,                  7840,                   -280,                 -3005,                 27571,                -11291,                  2000,                   -205,,                  1761,                    730,                465482,,,                 65394,                 80755,                293177,                 75191,                 -7949,                214918,                171715,                     -6,                893195,,                -26369,                -42806,               -168509,               -280940,                 -7424,                -11596,                 -1164,               -538808,                354387,                819869,                871466,                  8585,                -23518,                -11874,                844659,,                 30494,                -38910,                    205,                 -2644,                -93280,                              0,               -104135,,              2843221,             -2648127,                -99728,                -76741,                400000,               -168700,                  1084,                251009,                -18790,                972743,              2347006,              3319749,              3319749,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8105,2014年01月01日至2014年03月31日,,                 77950,                 77950,,,                221092,                  3716,                   -293,                 -3006,                 11945,                 -3509,                  1300,                              0,,,                    730,                231975,,,               -179284,               -357973,                 18650,                -10781,                 -3758,                  3486,                173204,                      1,               -356455,,                  6431,                227962,                405540,               -252295,                   -231,                  1605,                   -584,                388428,                 31973,                263948,                341898,                  2876,                 -8963,                 -5015,                330796,,,                -24043,,                              0,                -88038,,               -265642,,              1657957,               -989089,,                -76741,                400000,                -13500,                    307,                879206,                 31849,                976209,              2347006,              3323215,              3323215,               -153561,                -99728,,,,,,,,,,,,,,,,,,,,,,,,,,
8105,2013年度,,               -557978,               -557978,,,                865242,                 15236,                 -4003,                  8448,                 46352,                 -8095,                  6825,                     60,,                 -1846,                 -1483,,,,                -93239,               -760504,               -204707,                -35481,                    -12,                -19352,                678919,                    -68,               -434444,,                 73580,                157102,                351192,                252417,                 11568,                 10052,,                849804,                415360,              1335527,                777549,                 20205,                -44620,                -32586,                721227,,,               -316450,                    315,                 -6974,                              0,                146806,                658898,,              5334677,             -4243132,               -100272,               -919173,                              0,             -2224000,,             -1966946,                 72162,               -514659,              2861665,              2347006,              2347006,,                200000,,                   -679,                 -5890,                              0,                920167,                 -4170,                 -1937,                    679,                 -8340,                923580,                -80060,                              0,                     21,                -15046,,,,,,,,,,,,
8105,2013年01月01日至2013年12月31日,,               -557978,               -557978,,,                865242,                 15236,                 -4003,                  8448,                 46352,                 -8095,                  6825,                     60,                              0,                 -1846,                 -1483,,,,                -93239,               -760504,               -204707,                -35481,                    -12,                -19352,,                    -68,               -434444,,                 73580,                157102,                351192,                252417,                 11568,                 10052,,                849804,                415360,              1335527,                777549,                 20205,                -44620,                -32586,                721227,,,               -316450,                    315,                 -6974,                              0,                146806,                658898,,              5334677,             -4243132,               -100272,               -919173,                              0,             -2224000,                              0,             -1966946,                 72162,               -514659,              2861665,              2347006,              2347006,,                200000,,                   -679,                 -5890,,                920167,                 -4170,                 -1937,                    679,                 -8340,                923580,                -80060,                              0,                     21,                -15046,                              0,                              0,                678919,                              0,                              0,                              0,,,,,,
8105,2013年01月01日至2013年09月30日,,               -521749,               -521749,,,                641827,                 12776,                  2401,                  8047,                 39924,                -11585,                  4403,                    206,                              0,                 -4113,                 -1483,,,,                 -9864,               -375293,               -219700,               -121969,                    -75,                -91721,                324556,                              0,               -494066,,                 19772,                -66778,                304710,                 -3946,                  2854,                 20602,,                271584,               -222482,                462397,                -59352,                 23465,                -32468,                -33237,               -100913,,,               -303924,                 13208,                 -2428,                -37810,                183141,                666128,,              4107226,             -2893928,                              0,               -919173,                              0,             -2085378,                              0,             -1595643,                 24925,             -1005503,              2861665,              1856162,              1856162,,                199283,,                   -679,                 -5869,,                684879,                 -4170,                 -1460,                    679,                 -8340,                919051,                -96770,                              0,,                 -3673,                   -976,,,,,,,,,,,
