證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融資產（增加）減少,　　 以成本衡量之金融資產減資退回股款,　　 處分子公司,　　 應付短期票券增加,　　 償還長期借款,　 匯率變動對現金及約當現金之影響,　　 舉借長期借款,　　 其他投資活動,　　 非控制權益變動
1724,2015年01月01日至2015年09月30日,,                102438,                102438,,,                132195,                     87,                  4997,                  2539,                 -4140,                    -27,                  4410,                140061,,,                    352,                    -34,                -59831,                  5391,                   -813,                  8703,                 -4804,                -51036,,                 -6289,                 -2734,                  5295,                 -5649,                  4473,                  1154,                 -3750,                -54786,                 85275,                187713,                 -2541,                 -9974,                175198,,                -99768,                     27,                 -3588,                              0,               -103329,,              1170000,             -1290000,                              0,                -25563,               -145563,                -73694,                180870,                107176,                107176,,,,,,,,,,,,,
1724,2015年01月01日至2015年06月30日,,                 38694,                 38694,,,                 86963,                     66,                  2339,                  1885,                 -2236,                              0,                  2400,                 91417,,,                  3634,                      4,                -18855,                  3958,                    -70,                  8354,                 -6279,                 -9254,,                -12925,                  3177,                 11240,                 -5213,                  3417,                    914,                    610,                 -8644,                 82773,                121467,                 -1908,                 -5794,                113765,,                -69504,,                 -3399,,                -72903,,                910000,               -960000,                              0,,                -50000,                 -9138,                180870,                171732,                171732,,,,,,,,,,,,,
1724,2015年01月01日至2015年03月31日,,                 11746,                 11746,,,                 43017,                     45,                  5232,                    982,                   -208,                              0,                  2513,                 51581,,,                  6783,                      5,                 -4138,                 -4977,                    943,                 33887,                    116,                 32619,,                -13158,                  7053,                   -905,                 -3576,                 -1639,                    462,                -11763,                 20856,                 72437,                 84183,                   -948,                              0,                 83235,,                -40774,,,                  4543,                -36231,,                440000,               -470000,                              0,,                -30000,                 17004,                180870,                197874,                197874,,,,,,,,,,,,,
1724,2014年度,,                 50288,                 50288,,,                167691,                    210,                  1137,                  3478,                 37452,                  7344,                 -1441,,,,                 -9934,                     -5,               -230337,                 -5695,                150202,                -84797,                -10551,               -191117,,                 29825,                 37530,                 23039,                 -1014,                 13692,                 -7943,                 95129,                -95988,                119883,                170171,                 -3520,                 -6121,                160530,,               -209819,                              0,                              0,                  1802,               -206788,,              1650000,             -1580000,                -59956,                -25563,                -15519,                -61777,                242647,                180870,                180870,,                              0,                              0,                215871,                              0,                  1229,                              0,                              0,                              0,                              0,,,
1724,2014年01月01日至2014年09月30日,,                 13767,                 13767,,,                125343,                    166,                  1209,                  2507,                 39747,                  7344,                 -1076,                175240,,,                -10024,                     -2,               -208781,                 -6980,                145046,               -104650,                -13814,               -199205,,                 24984,                 35752,                 27887,                 -6739,                 11349,                 -8708,                 84525,               -114680,                 60560,                 74327,                 -2477,                 -5348,                 66502,,               -195362,                              0,                              0,                  9628,               -185734,,              1126726,             -1081726,                -59956,                -25563,                -40519,               -159751,                242647,                 82896,                 82896,,,,,,,,,,,,,
1724,2014年01月01日至2014年06月30日,,                -33014,                -33014,,,                 82715,                    122,                  1150,                  1565,                 42309,                  2341,                  2701,                132903,,,                 -9185,                     -1,               -151213,                 -2490,                148773,                -79098,                -13626,               -106840,,                 11640,                 32459,                 19975,                 -9073,                  3783,                 -9015,                 49769,                -57071,                 75832,                 42818,                 -1598,                 -1557,                 39663,,               -154722,,                 11487,,               -143235,,                725000,               -705000,                 -9970,,                 10030,                -93542,                242647,                149105,                149105,,,,,,,,,,,,,
1724,2014年01月01日至2014年03月31日,,                  4742,                  4742,,,                 39386,                     69,                   -195,                    789,                    353,                    104,                 -2745,                 37761,,,                   -710,                              0,                -62920,                      8,                -25950,                -54063,                 -2058,               -145693,,                 13490,                  7855,                 15037,                 -3921,                 -5608,                 -6528,                 20325,               -125368,                -87607,                -82865,                   -827,                 -1556,                -85248,,                -76184,,,                 16237,                -59947,,                490000,               -480000,                     -3,,                  9997,               -135198,                242647,                107449,                107449,,,,,,,,,,,,,
1724,2013年度,,                 52933,                 52933,,,                135950,                    339,                 -3822,                  3125,                 17300,                 69343,                  1067,,,,                 26429,                     -8,                320314,                  5576,               -145111,                103136,                 10558,                327784,,                -59590,                -72734,                -24643,                  1326,                -17532,                -17676,               -190849,                136935,                331431,                384364,                 -3020,                -40842,                340502,,               -289386,                     62,                   -691,                              0,               -262166,,              1282000,             -1089970,                              0,               -127814,                 49172,                127280,                115367,                242647,                242647,,                  1774,                -30580,                194496,                  6890,                              0,                 27849,                 59956,                -75000,                   -228,,,
1724,2013年01月01日至2013年12月31日,,                 52933,                 52933,,,                135950,                    339,                 -3822,                  3125,                 17300,                 69343,                  1067,,,,                 26429,                     -8,                320314,                  5576,               -145111,                103136,                 10558,                327784,,                -59590,                -72734,                -24643,                  1326,                -17532,                -17676,               -190849,                136935,                331431,                384364,                 -3020,                -40842,                340502,,               -289386,                     62,                   -691,,               -262166,,              1282000,             -1089970,                              0,               -127814,                 49172,                127280,                115367,                242647,                242647,,                  1774,                -30580,                194496,                  6890,                              0,                 27849,                 59956,                -75000,                   -228,                              0,                              0,
1724,2013年01月01日至2013年09月30日,,               -105342,               -105342,,,                101059,                    262,                    116,                  1994,                    -66,                147463,                    295,,,,                 18013,                    -93,                150313,                  3683,                 -4274,                 84164,                  7373,                266069,,                -47939,                -39368,                -29306,                 -2334,                 -9401,                 -4968,               -133316,                132753,                355070,                249728,                 -1902,                -40833,                206993,,               -182029,,                -28621,                              0,               -182801,,                972000,               -719970,                              0,               -127814,                109170,                133131,                115367,                248498,                248498,,                  1774,                -30580,                222317,                  6890,,                 27849,                 59954,                -75000,                   -231,,,
1724,2013年01月01日至2013年06月30日,,                138632,                138632,,,                 66663,                    185,                  2673,                  1159,                  1520,                              0,                   -862,,,,                  4082,                    -91,                 -8421,                  4693,                 -4393,                -72088,                    340,                -68988,,                -14020,                -17435,                  4421,                 -1276,                 18203,                 -5492,                -15599,                -84587,                -42055,                 96577,                 -1120,                -21154,                 74303,,               -132751,,                -19308,                              0,               -124210,,                445000,               -409970,                              0,,                 84950,                 34902,                115367,                150269,                150269,,                  1774,                -30580,                 42532,                  6890,,                 27849,                124920,                -75000,                   -141,,,
1724,2013年01月01日至2013年03月31日,,                 76467,                 76467,,,                 31156,                    100,                   -774,                    575,                    657,                              0,                 -1049,,,,                 13103,                    -48,                 44910,                  4658,                 -2844,                -33427,                  6492,                 32844,,                -25829,                -16105,                 -8527,                     50,                 -1664,                 -6011,                -58086,                -25242,                -23345,                 53122,                   -549,                 -2344,                 50229,,                -44111,,                -20957,,                -37219,,                177030,               -105000,,,                 56975,                 70259,                115367,                185626,                185626,,                   -301,                -28467,                  1897,,,                 27849,                 49945,                -65000,                    274,                              0,,
1724,2012年01月01日至2012年12月31日,,                268309,                268309,,,                129742,                    532,                  2798,                  1912,                 35093,                     37,                -10405,,,,                 19042,                      9,                  6388,                 -3864,                  1481,                188187,                  7120,                218363,,                  1080,                 17707,                 18674,                    379,                -26434,                  2416,                 13822,                232185,                390747,                659056,                 -1968,                -91956,                565132,,               -174189,                     60,                              0,,               -161719,,              1060080,             -1100107,                -49891,               -255628,               -411356,                 -8535,                123902,                115367,                115367,,                 -1147,                              0,                158562,                              0,                    353,                              0,                              0,               -140810,                   -592,                 75000,                 12057,
1724,2012年01月01日至2012年09月30日,,                261767,                261767,,,                 95417,                    408,                  3535,                  1227,                -13365,                     37,                -10565,,,,                 10710,                    -47,                -92557,                    -21,                -10262,                125097,                  9913,                 42833,,                 22116,                 30683,                 36569,                 11824,                 24659,                  1796,                127647,                170480,                246169,                507936,                 -1699,                -89695,                416542,,               -148314,                     60,                              0,,               -135780,,                790400,               -675401,,               -255628,               -231518,                 48967,                123902,                172869,                172869,,                 -1005,                              0,                 75689,                              0,                    417,                              0,                 49921,               -140810,                   -277,                              0,                 12057,
1724,2012年01月01日至2012年06月30日,,                171455,                171455,,,                 62667,                    272,                   -450,                  1365,                 -8938,                     37,                    664,,,,                 11462,                    -34,                -24714,                     10,                   -774,                130179,                  8586,                124781,,                  6903,                  7113,                 39926,                  9572,                 10300,                  1210,                 75024,                199805,                254879,                426334,                 -1447,                -51196,                373691,,                -40434,                     23,                -17660,,                -52354,,                510080,               -604978,,,               -256072,                 65454,                123902,                189356,                189356,,                   -477,                    -66,                 55074,                     66,,                              0,                -19914,               -140810,                    189,,                  5717,                   -450
