證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 以成本衡量之金融資產減資退回股款,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 應收款項減少,　　 其他非流動資產增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 預付費用（增加）減少,　　 存出保證金減少,　　 其他非流動資產減少,　　 短期借款增加,　　 其他非流動負債減少,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他營業負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 應收款項增加,　　 應付短期票券增加,　　　　 處分其他資產損失（利益）,　　 發行公司債,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　　　　 其他應收款－關係人（增加）減少,　　　　　 應付帳款－關係人增加（減少）,　　 其他金融資產增加,　　 其他投資活動
6115,2015年01月01日至2015年09月30日,,                611773,                611773,,,                122971,                  6668,                 12865,                 15813,                -57140,                 -4673,                -26334,                 -1199,                              0,                              0,                 68971,,,                  4324,                -62343,                -30447,                 56919,                    561,                 -6794,                -37780,,                              0,                  3795,                -77095,                  9499,                 10248,                -53553,                -91333,                -22362,                589411,               -133869,                455542,,               -180745,                              0,                              0,                922081,                  1889,                    414,                -52304,                  7764,                   -395,                 10624,                -62089,                 46639,                  4673,                698551,,                301229,                -10000,                              0,                -83307,                              0,               -624257,                -12324,                 29665,               -398994,                 58235,                813334,              1464664,              2277998,              2277998,,,,,,,,,,,,,,,,,,,,,,,,,,
6115,2015年01月01日至2015年06月30日,,                250554,                250554,,,                 81188,                  4394,                  4937,                 10785,                -37079,                   -555,                -24465,                 -1215,,,                 37990,,,                 -1552,                275160,                -24216,                  9121,                 23306,                 -3103,                278716,,                              0,                    814,               -134144,                 21332,                 -4742,               -116740,                161976,                199966,                450520,                -79996,                370524,,               -169618,,,                789825,,,                -25374,                  3402,                              0,                 10624,                -78713,                 30293,                    555,                560994,,               -195860,                190000,                              0,                -49983,,,                 -8427,,                -64270,                -62974,                804274,              1464664,              2268938,              2268938,,,,,,,,,,,,,,,,,,,,,,,,,,
6115,2015年01月01日至2015年03月31日,,                110657,                110657,,,                 40847,                  2249,                  2189,                  6015,                -20358,                              0,                 -7006,                              0,,,                 23936,,,                -39634,                257145,                -23782,                 16222,,                 -3128,                229501,,,                   -639,               -135433,                  3045,                 -6084,               -139111,                 90390,                114326,                224983,                -10439,                214544,,                -77720,,                              0,                212733,,,                -13000,                    178,                              0,                 10624,                -77470,                 14642,                              0,                 69987,,                 -1313,                -10000,                -33324,                              0,                              0,,                 -4783,,                -49420,                -21704,                213407,              1464664,              1678071,              1678071,                 22678,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,
6115,2014年度,,                833898,                833898,,,                158773,                  8997,                 -1009,                 22928,                -77883,                 -5104,                -21413,                    950,                 -2808,                -24878,,,,                -49913,                185708,                  6511,                 75758,                 45575,                  2165,                265804,,                  4419,                 -3127,                -93335,                -25899,                -14676,               -136513,                129291,                190344,              1024242,               -138068,                886174,,                -64266,                 60767,,,,                -32881,               -152686,                 11145,                -10000,,                 -8528,                 76024,                  5104,             -1046092,,                -35260,,                200000,                -82298,                              0,               -602648,                -16413,,               -626619,                 97604,               -688933,              2153597,              1464664,              1464664,,,,                              0,,,                  2500,                 61053,                 -3895,               -923087,                              0,                  2940,                              0,                -10624,                -90000,,,,,,,,,,,
6115,2014年01月01日至2014年09月30日,,                616309,                616309,,,                117369,                  6748,                 -3832,                 17429,                -61962,                 -5104,                -20071,                    299,                 -1896,                -24375,                 24605,,,                -40914,                 53622,                  1138,                 40903,                 20642,                  1997,                 77388,,                  3853,                   -497,               -168173,                 21647,                  9044,               -134126,                -56738,                -32133,                584176,                -57932,                526244,,                -64276,                 60777,               -379722,                              0,                              0,                -32881,                -52887,                    660,                -10000,                              0,                -60049,                 57828,                  5104,               -475446,,                 87742,                100000,                134361,                              0,                    382,               -602648,                -12250,                              0,               -292413,                 15614,               -226001,              2153597,              1927596,              1927596,,,,,,,,,,,,,,,,,,,,,,,,,,
6115,2014年01月01日至2014年06月30日,,                342527,                342527,,,                 77642,                  4498,                    688,                 11112,                -28640,                   -537,                -16460,                     14,,,                 48317,,,                -34940,                134296,                   -180,                 29416,                -13178,                 -1967,                113447,,                    239,                  5105,               -145619,                 83409,                 -7438,                -64304,                 49143,                 97460,                439987,                -41950,                398037,,                -64276,,,               -145357,,,                -28994,                    708,                -10000,                              0,                -48937,                 28677,                    537,               -267642,,               -247853,               -100000,                167686,                              0,,,                 -7511,,               -187678,                -42182,                -99465,              2153597,              2054132,              2054132,,,,,,,,,,,,,,,,,,,,,,,,,,
6115,2014年01月01日至2014年03月31日,,                202499,                202499,,,                 39718,                  2250,                   -874,                  5893,                -15093,                   -537,                 -7808,                     29,,,                 23578,,,                -22654,                147082,                   -976,                -11691,,                 -5167,                 82606,,,                   -373,               -139028,                 83168,                 -4171,                -60404,                 22202,                 45780,                248279,                 -6246,                242033,,                 -5395,,                              0,                 29146,,,                -22842,                    242,                -10000,                              0,                              0,                 15093,                    537,                  7354,,               -261842,                              0,                 81667,                              0,                              0,,                 -3803,,               -184236,                  3059,                 68210,              2153597,              2221807,              2221807,                -23988,                              0,                    573,                              0,                   -258,,,,,,,,,,,,,,,,,,,,,
6115,2013年度,,                826030,                826030,,,                153186,                              0,                 -4133,                 26206,                -79852,                 -4649,                 -7590,                  1033,                   -615,                -12777,,,,                 -1178,                 85847,                -12902,                -43973,                -79681,                 -2856,                -54743,,                              0,                 -1982,                 62632,                  2861,                 -7130,                 56381,                  1638,                 72447,                898477,               -237810,                660667,,                              0,                              0,,,,                              0,                -76685,                  4695,                -33426,,                -13831,                 79852,                  4649,                 16473,,                              0,,                 63500,                              0,                    400,               -527505,                -15149,,               -224267,                155483,                608356,              1545241,              2153597,              2153597,,,,                254487,,,                              0,                 70809,                              0,                              0,                 73171,                  2643,                -24595,                              0,                              0,,,,,,,,,,,
6115,2013年01月01日至2013年12月31日,,                826030,                826030,,,                153186,,                 -4133,                 26206,                -79852,                 -4649,                 -7590,                  1033,                   -615,                -12777,,,,                 -1178,                 85847,                -12902,                -43973,                -79681,                 -2856,                -54743,,,                 -1982,                 62632,                  2861,                 -7130,                 56381,                  1638,                 72447,                898477,               -237810,                660667,,                              0,                              0,,,,,                -76685,                  4695,                -33426,,                -13831,                 79852,                  4649,                 16473,,                              0,,                 63500,                              0,                    400,               -527505,                -15149,,               -224267,                155483,                608356,              1545241,              2153597,              2153597,,,,                254487,,,,                 70809,,                              0,                 73171,                  2643,                -24595,,                              0,,                              0,                              0,,,,,,,,
6115,2013年01月01日至2013年09月30日,,                611185,                611185,,,                115734,                              0,                 -3736,                 19479,                -53488,                   -539,                 -2130,                  1143,                              0,                -12777,,,,                  7572,                 52385,                    219,                -20741,,                 -8256,                -84211,,                              0,                    247,                -80596,                -10629,                 12996,                -77982,               -162193,                -98507,                512678,               -175264,                337414,,                              0,                              0,,,,                              0,                -44117,                  4250,                              0,,                -13901,                 51755,                    539,                380976,,                              0,                100000,                 18500,                              0,                  1291,               -527505,                 -9898,,               -208735,                115870,                625525,              1545241,              2170766,              2170766,               -115390,,,                208877,,,,                 63686,,                407045,,,                -24595,,,,,,,,,,,,,
