證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他應收款增加,　　 取得投資性不動產,　　 處分投資性不動產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 存入保證金增加,　　 其他應付款－關係人增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他營業資產（增加）減少,　　　　　 其他營業負債增加（減少）,　　 償還長期借款,　　 其他應收款－關係人減少,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他應收款－關係人（增加）減少,　　　　　 其他應付款－關係人增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分以成本衡量之金融資產,　　 採用權益法之被投資公司減資退回股款,　　 其他應收款－關係人增加,　　 預付設備款增加,　　 短期借款減少,　　 應付租賃款減少,　　 處分採用權益法之投資,　　 處分無活絡市場之債券投資,　　 預付投資款增加,　　　　 攤銷費用,　　　　 處分無形資產損失（利益）,　　 處分無形資產,　　 應付短期票券減少,　　 取得無形資產,　　 取得無活絡市場之債券投資,　　 存出保證金減少
1103,2015年01月01日至2015年09月30日,,               -369795,               -369795,,,                257731,                  2072,                292992,                167200,                -72081,               -556490,                 54413,                 -1737,                -45981,                 12616,                158749,                -18560,                250924,,,                119366,                287651,                 -1259,                 46908,                  6566,                  8329,                -15607,                -39487,                  1575,                414042,,                   -641,                              0,               -301996,                 12328,               -113353,                 -6042,                224544,                     37,                   -806,               -185929,                228113,                479037,                109242,               -165242,                -43783,                -99783,,             -2328680,                106674,                  4730,                              0,                              0,                  4234,                147940,                -84216,                  3693,                 23703,                 55077,                -37025,                 61552,             -1244224,                116123,                  2242,                112392,                552994,             -2502791,,                -85185,               -112000,              1259918,                  5545,                              0,                -34122,                -13865,                -28442,                991849,                -20675,             -1631400,              3163688,              1532288,              1532288,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,2015年01月01日至2015年06月30日,,                 -9609,                 -9609,,,                166787,                              0,                -60766,                104009,                -50586,               -291334,                 15069,                 -2490,                -39907,                  4058,                  3060,,               -152100,,,                109302,                221717,                    230,                 57560,                 -4824,                 15784,                   -380,                -53480,                    251,                352143,,                    209,,               -298305,                -12745,                -37942,                 -4091,                115794,                  2408,                   -533,               -235265,                116878,                -35222,                -44831,               -105247,                -37824,               -187902,,,                102635,                              0,                              0,                              0,,                147940,                -68456,                  2490,                 22480,                121695,                -37005,                 55479,               -111213,                 97625,,                 75841,                290691,                700202,,                351826,                -41000,,                 10604,,                 -2656,,                   -200,               -112963,                -18921,                380416,              3163688,              3544104,              3544104,                  5983,                    -60,               -431537,,,,,,,,,,,,,,,,,,,,,,,,,
1103,2015年01月01日至2015年03月31日,,               -209547,               -209547,,,                 83581,                              0,                -57103,                 52280,                -25728,,                  5220,                              0,,                  3775,,,                 62025,,,                              0,                197357,                  2464,                 33179,                -26211,                 23175,                 20079,                -78592,                  2405,                176335,,                   -772,,               -247448,                 10239,                -39040,                 -2101,                 -7124,                  1625,                   -272,               -284893,               -108558,                -46533,               -256080,                -53373,                   -140,               -309593,,,                 19333,,                              0,,,                147940,                -38363,                              0,                    -20,,                 -6783,,                -36305,                231566,,                 17605,,                349797,,                779000,                114000,,                  7958,,,,                   -200,                -33339,                -17796,                -10931,              3163688,              3152757,              3152757,                  2479,                              0,               -934097,                 14824,,,,,,,,,,,,,,,,,,,,,,,,
1103,2014年度,,                  9301,                  9301,,,                377787,                   -718,                  2173,                193067,                -93360,               -545535,                 17916,                 -9436,                              0,                 41200,                241515,,,,,,                107539,                  9282,                 77291,                 -6953,                 30744,               -372939,                 42775,                   -631,             -1048849,,                   -599,,                -58404,                 11701,                -34007,                 24769,                  4652,                  2418,,                -52381,             -1101230,               -848828,               -839527,               -196738,                -78763,             -1115028,,                              0,                262645,                 16848,               -672967,                    200,                              0,,                -99669,                 15884,                -12483,,             -1093061,                              0,               -197537,                133088,,                 90742,                545535,               -642933,,                260916,                236000,              2230865,                 58250,,               -693869,,               -531078,              1561084,                 65946,               -130931,              3294619,              3163688,              3163688,               -924980,                    -29,                              0,,,                 27793,                252402,                -10977,                              0,                 -2882,                              0,                669179,                              0,                              0,               -196136,               -105201,                              0,                              0,,,,,,,,,,
1103,2014年01月01日至2014年09月30日,,                222931,                222931,,,                278534,                     -3,                 44538,                138426,                -51061,               -533198,                 10214,                 -8597,                              0,                 20054,                  2720,                 -7363,               -105736,,,                572292,                196770,                  6983,                 35171,                      3,                 22900,               -348520,                 -2414,                -15916,                467269,,                   -629,                    199,               -107258,                 53909,                -77666,                 26643,                  9917,                 -1391,                 -2631,                -98907,                368362,                262626,                485557,               -143169,                -77295,                265093,,                              0,                197449,                 10935,               -672967,                    200,                              0,                              0,                -81123,                 14882,                -12355,               -116865,             -1115912,                              0,               -541007,                164754,               -999011,                 48093,                528580,             -2574347,,              2270311,                604000,                 59122,                 89380,                 17075,               -666667,                              0,               -531078,              1842143,                 41071,               -426040,              3294619,              2868579,              2868579,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,2014年01月01日至2014年06月30日,,                 30519,                 30519,,,                186879,                     -3,                137476,                 87069,                -33361,               -298590,                  9982,                 -5998,                              0,                              0,                  2720,,                 86174,,,                377428,                277287,                  5299,                 70665,                      6,                 22416,               -267002,                  5453,                -17450,               -136461,,                   -364,,               -109595,                 14000,                -30867,                 48357,                -10099,                 -1495,                   -823,                -91450,               -227911,               -141737,               -111218,                -90643,                -50994,               -252855,,,                              0,                 10935,               -672967,                    200,,                              0,                -46769,                 10284,                -15594,               -125584,             -1062575,                              0,               -547495,                 69398,,                 29413,                250279,             -2100475,,              1391107,                768756,,                 81553,,                 -2308,,               -531078,              1596931,                -12661,               -769060,              3294619,              2525559,              2525559,               -610563,                   -564,               -111099,,,,,,,,,,,,,,,,,,,,,,,,,
1103,2014年01月01日至2014年03月31日,,                -41789,                -41789,,,                 95383,                     -3,                 13247,                 43531,                -16863,,                  7882,                 -5999,,                              0,,,                137178,,,                376925,                116410,                   -835,                -13284,                      8,                 25786,                -25056,                -24703,                -19927,                -99523,,                   -364,,                -41040,                 -8567,                -53346,                              0,                 37552,                 13212,                   -569,                -53153,               -152676,                -15498,                -57287,                -42928,                    520,                -99695,,,                              0,,               -673007,,,                              0,                -17771,                 10283,                -22731,,                              0,,                -56436,                632382,,                 16476,,               -110804,,                620000,                224847,,                 80196,,,,               -501170,                185932,                 21086,                 -3481,              3294619,              3291138,              3291138,               -534847,                    -31,               -237941,                              0,,,,,,,,,,,,,,,,,,,,,,,,
1103,2013年度,,              1338804,              1338804,,,                405155,                -10010,               -635271,                171332,                -90700,               -305295,                   -956,                 -3714,               -654569,               -159567,                148626,,,,,,                -74505,                  3140,                -41711,                     -6,                  4149,               -339053,                 13022,                 35105,               -718937,,                 -1182,,                 72335,                 34912,                 -6737,                              0,                  3698,                  1983,,                 81406,               -637531,             -1764560,               -425756,               -188611,               -113552,               -727919,,                -20325,                 44904,                  4500,                              0,                 -5550,                    746,,               -281069,                 32143,                 -8860,,               -252355,                778747,               -503844,                186429,,                 78091,                305295,                881881,,                              0,                              0,                              0,                 97603,,                -30630,,               -111505,             -1198763,                 55420,               -989381,              4284000,              3294619,              3294619,               -318568,                   -123,               -690149,,,                  7940,             -1127029,                   -510,                 -4176,                -19304,               -222410,                402092,                341280,                  2067,                              0,                              0,               -464000,                    -82,,,,,,,,,,
1103,2013年01月01日至2013年12月31日,,              1338804,              1338804,,,                405155,                -10010,               -635271,                171332,                -90700,               -305295,                   -956,                 -3714,               -654569,               -159567,                148626,,,,,,                -74505,                  3140,                -41711,                     -6,                  4149,               -339053,                 13022,                 35105,               -718937,,                 -1182,,                 72335,                 34912,                 -6737,,                  3698,                  1983,,                 81406,               -637531,             -1764560,               -425756,               -188611,               -113552,               -727919,,                -20325,                 44904,                  4500,,                 -5550,                    746,,               -281069,                 32143,                 -8860,,               -252355,                778747,               -503844,                186429,,                 78091,                305295,                881881,,                              0,,                              0,                 97603,,                -30630,,               -111505,             -1198763,                 55420,               -989381,              4284000,              3294619,              3294619,               -318568,                   -123,               -690149,,,                  7940,             -1127029,                   -510,                 -4176,                -19304,               -222410,                402092,                341280,                  2067,,,               -464000,                    -82,,,,                              0,                              0,                              0,                              0,,,
1103,2013年01月01日至2013年09月30日,,                187124,                187124,,,                301223,                 -9678,               -255111,                130543,                -68491,               -305397,                  1593,                 -1043,,                  2191,                 13391,                 -2286,,,,,                 73443,                  2246,                -64365,                     -9,                 22205,                 -9806,               -265201,                 32393,               -193445,,                 -1972,                              0,                -44974,                 63636,                -50022,                              0,                450108,                 17130,,                416404,                222959,                 29894,                217018,               -145779,                -91620,                -20381,,                -20325,                 36589,                  4500,                              0,                 -5550,                    746,,               -247266,                  1242,                 -5330,                              0,               -252355,,               -307217,                186377,,                 59653,                305397,                -83841,,                              0,                              0,                              0,                 97173,,                -14630,,               -111505,             -1111080,                 45786,             -1169516,              4284000,              3114484,              3114484,                 15649,                 -2056,               -988108,,,,               -193065,,                 -4176,                -11270,               -220076,                377706,,                  2068,,,                -94000,                    -10,,,,,,,,,,
