證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 已實現銷貨損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得持有至到期日金融資產,　　 持有至到期日金融資產到期還本,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 處分避險之衍生金融資產,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 應收款項減少,　　 長期應收租賃款減少,　　 收取之利息,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金增加,　　 存入保證金減少,　　 應付租賃款減少,　　 發放現金股利,　　 員工執行認股權,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 未實現銷貨利益（損失）,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分子公司,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 其他籌資活動,　　 其他金融資產增加,　　 其他非流動資產增加,　　 停業單位稅前淨利（淨損）,　　 其他非流動資產減少,　　 償還公司債,　　　　　 避險之衍生金融資產（增加）減少
2330,2015年度,,            350428911,            350428911,,,            219303369,              3202200,              3190331,             -4129316,               -621513,             -4132128,               -433559,            -22157929,             -2507707,                154721,              2604098,                -15126,              2563439,                147933,            197168813,,,               -228560,             26630123,               -192767,                 53607,               -655249,                263384,                720301,             26590839,,             -2693358,               -369134,               -382774,             -2833292,                 52540,              2860250,             -3365768,             23225071,            220393884,            570822795,            -40943357,            529879438,,            -13392330,             57493051,            -28181915,             16800000,             -2586169,                368778,                  2659,              5171962,           -257516835,                816852,               -404458,                348434,             -4283870,                398185,                              0,              3641920,              4023801,                 54098,           -217245837,,              3138680,                754873,               -742458,                -29098,           -116683481,                 33891,             -3156218,                -50218,           -116734029,              8258851,            204158423,            358449029,            562607452,            562688930,                -81478,,,,,,,,,,,,,,,,,
2330,2015年01月01日至2015年09月30日,,            269785282,            269785282,,,            163884425,              2365320,              2370284,             -2875858,               -616675,             -2876252,                 49503,            -21564139,             -2305323,                132015,              2375938,                   -735,              2492659,                  7487,            143438649,,,               -213641,             15780788,               -198053,                 51115,              1271757,                925665,              1049004,             18666635,,             -3106992,               -363369,               -540919,                 52737,                 43749,             -1947397,             -5862191,             12804444,            156243093,            426028375,            -40821123,            385207252,,                 -3628,             53990941,            -19301111,             13900000,                -87970,                357993,,              3962848,           -172993344,                 70433,               -267994,                227253,             -2657499,                              0,,              2606926,              4023801,                105699,           -116065652,,             -2628330,                557639,               -552993,                -29098,           -116683481,                 33891,             -2704853,                -42719,           -122049944,             10109235,            157200891,            358449029,            515649920,            515731398,                -81478,,,,,,,,,,,,,,,,,
2330,2015年01月01日至2015年06月30日,,            186390663,            186390663,,,            108544796,              1556307,              1577343,             -1817825,               -608707,             -1950398,                 50368,            -17712964,             -2305323,,                 31305,                              0,             -2014106,                438114,             85807446,,,                428017,             14569490,               -431752,                 17984,                 59374,                731724,                499150,             15873987,,             -1587537,               -164145,             -1844746,             -1689541,                 17965,             10782136,              5514132,             21388119,            107195565,            293586228,            -26518415,            267067813,,                 -3628,             39269616,            -11766723,              9100000,                -87321,                 86756,,              3962848,           -102689656,                 30462,               -218253,                161583,             -1589831,                              0,,              1764337,                595980,                105699,            -61278131,,            -30334110,                454190,               -443769,                -29098,,                 33891,             -1212515,                -42719,            -31574130,             -3850952,            170364600,            358449029,            528813629,            528895107,                -81478,                 18536,,,,,,,,,,,,,,,,
2330,2015年01月01日至2015年03月31日,,             88258980,             88258980,,,             54706227,                771769,                793942,               -881782,,             -1134649,                  4081,                -45204,,,,                              0,             -1054551,                 10208,             53189588,,,               -526938,             16205075,               -279066,                 15717,              1738305,                -32060,               -425720,             16695313,,             -2573738,                118123,             -2314512,             -2624112,                -14130,              5383645,             -2024724,             14670589,             67860177,            156119157,               -118496,            156000661,,                              0,                 36021,             -9372767,                800000,                -31533,                  9125,,,            -48875682,                 30161,               -189442,                101714,             -1151372,                              0,,                874723,,                601047,            -57168005,,                              0,                176072,               -174920,,,                 30189,               -861616,                   -179,            -18171589,             -1779163,             78881904,            358449029,            437330933,            437412411,                -81478,                 19547,            -17341135,,,,,,,,,,,,,,,
2330,2014年度,,            302078357,            302078357,,,            197645186,              2606349,              3236345,             -2730674,               -649733,             -3950469,                -14518,               -362405,             -2028643,                211477,                975330,                -28556,              3615493,                487965,            199013147,,,                342853,            -43090068,                -26405,                -11766,            -28871597,               -744868,             -2612158,            -75014009,,              6634198,               -194866,              2836910,             10713628,                 60446,              5314019,             25364335,            -49649674,            149363473,            451441830,            -29918099,            421523731,,                -91909,                689420,             -5882316,              3200000,                -23151,                 87501,                              0,              3471883,           -288540028,                200263,                -57988,              2296872,             -3859486,                              0,                161900,              2578663,              3868675,               -520856,           -282420557,,             18563525,             30142823,                 -7704,                -28426,            -77785851,                 47055,             -3192971,                -66735,            -32328284,              9060170,            115835060,            242695447,            358530507,            358449029,                 81478,,,,,,,,,,,,,,,,,
2330,2014年01月01日至2014年09月30日,,            212767541,            212767541,,,            141919819,              1914239,              2414084,             -1974366,               -644241,             -3040159,                -13482,               -326727,             -2028643,                176920,                239864,                -13442,              1200859,                478469,            140303194,,,                678501,            -42349537,               -241059,                  4897,            -27842096,                137831,             -2244906,            -71856369,,              5726261,               -397779,                 73286,             10829466,                 37175,                220924,             16489333,            -55367036,             84936158,            297703699,            -29848815,            267854884,,                -91405,                663433,             -1396723,              3200000,                 -3765,                 68919,,              3471883,           -236115030,                163250,                -49868,                 73851,             -2268872,                 83840,,              1874722,              3867331,               -520856,           -226979290,,             20610319,                 13213,                 -4981,                -28426,            -77785851,                 33487,             -2743513,                -58571,            -59964323,              2277600,            -16811129,            242695447,            225884318,            225884318,                              0,,,,,,,,,,,,,,,,,
2330,2014年01月01日至2014年06月30日,,            127390897,            127390897,,,             86338443,              1263048,              1598030,             -1292325,               -637957,             -2003434,                -15325,               -186714,             -2028643,,                239864,                -16648,              1646248,                509923,             85414510,,,                -82244,            -14774504,               -171024,                 13258,            -13459372,                 70323,               -389931,            -28793494,,              5331172,                 -6675,                113564,              2391298,                  9110,              7362054,             15200523,            -13592971,             71821539,            199212436,            -22602632,            176609804,,                -91592,                473520,             -1396723,              2900000,                 -3773,                 62445,,              3471883,           -188233322,                114987,                -25460,                 59041,             -1204154,                161900,,              1248110,                629843,               -520856,           -182354151,,             19220278,                 10374,                 -3742,                -28426,,                 33487,               -889467,                -45527,             18296977,               -194504,             12358126,            242695447,            255053573,            255053573,                              0,                              0,,,,,,,,,,,,,,,,
2330,2014年01月01日至2014年03月31日,,             53297325,             53297325,,,             40985942,                636435,                796580,               -613699,,               -955609,                   -497,                -44745,,,,                -21017,              2665824,                  2283,             43451497,,,                233713,             -2124198,               -267262,                  4415,             -5986376,                615697,                -28952,             -7552963,,                722298,               -358406,              2359196,               -150758,                 -7978,              3279960,              5844312,             -1708651,             41742846,             95040171,               -179230,             94860941,,                 -5181,                 62843,             -1396723,                800000,                 -3782,                 28533,,,           -114905317,                 55255,                 -7869,                 16506,             -1178194,                 78060,,                596277,,                              0,           -115859592,,              8819028,                  3744,                 -1443,,,                 22303,               -863834,                -29574,              7950224,              2050275,            -10998152,            242695447,            231697295,            231697295,                              0,                              0,                              0,,,,,,,,,,,,,,,
2330,2013年度,,            215487122,            215487122,,,            153979847,              2202022,              2646776,             -1835980,               -506143,             -3972031,                -48848,             -1311807,                    733,                352214,                              0,                 20870,                317547,                228106,,,,                -32189,            -14131066,               -204278,                 50589,                122472,               -312251,                 18578,            -14488145,,                346401,                850094,              1595810,              4414942,,              1552210,              8769011,             -5719134,            146359484,            361846606,            -14463069,            347383537,,                -21303,              2418578,             -1795949,              5145850,                -27165,                 67986,,                              0,           -287594773,                173554,                -98888,                113399,             -2750361,,                              0,              1790725,              2648024,               -143982,           -281054215,,            -19636240,                 41519,               -113087,                -27796,            -77773307,                124570,             -1330886,                202619,             32105925,                849612,             99284859,            143410588,            242695447,            242695447,                              0,,,,                  5312,            152078618,                  9554,               -979910,            130844821,                690000,                -62500,               -853788,,,,,,
2330,2013年01月01日至2013年12月31日,,            215487122,            215487122,,,            153979847,              2202022,              2646776,             -1835980,               -506143,             -3972031,                -48848,             -1311807,                    733,                352214,                              0,,                317547,                228106,,,,                -32189,            -14131066,               -204278,                 50589,                122472,               -312251,                 18578,            -14488145,,                346401,                850094,              1595810,              4414942,,              1552210,              8769011,             -5719134,            146359484,            361846606,            -14463069,            347383537,,                -21303,              2418578,             -1795949,              5145850,                -27165,                 67986,,,           -287594773,                173554,                -98888,                113399,             -2750361,,,              1790725,              2648024,               -143982,           -281054215,,                              0,                 41519,               -113087,                -27796,            -77773307,                124570,             -1330886,                202619,             32105925,                849612,             99284859,            143410588,            242695447,            242695447,,                 20870,            -19636240,,                  5312,            152078618,                  9554,               -979910,            130844821,                690000,                -62500,               -853788,,,                              0,                              0,                              0,
