證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 處分投資性不動產,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 應付款項增加,　　 其他應付款－關係人增加,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 呆帳費用提列（轉列收入）數,　　　　 處分採用權益法之投資損失（利益）,　　　　　 應收帳款－關係人（增加）減少,　　 取得備供出售金融資產,　　 預付投資款增加,　　 其他應收款增加,　　 其他非流動負債增加,　　 處分以成本衡量之金融資產,　　 預收款項增加－處分資產,　　　 不影響現金流量之收益費損項目,　　　　 投資性不動產公允價值調整損失(利益),　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他應付款－關係人增加（減少）,　　 其他應收款－關係人減少,　　 其他非流動資產增加,　　 現金增資,　　 庫藏股票買回成本,　　 庫藏股票處分,　　　　　 遞延借項（增加）減少,　　 其他預付款項增加,　　 存入保證金減少,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　　 其他應收款－關係人（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 對子公司之收購（扣除所取得之現金）,　　 應付短期票券增加,　　 其他應付款－關係人減少,　　 其他非流動負債減少,　　 其他籌資活動
1432,2015年01月01日至2015年09月30日,,               -109296,                 79645,                -29651,,,                 15869,                  6463,                    460,                 14652,                 -1124,                 -2785,                  2464,                 12055,                    209,                -69498,               -110824,                 -5708,                  2525,               -135242,,,                              0,                 15126,                -12358,                  2550,                -37158,                -97568,                  5800,                -42949,               -166557,,                   -106,                113661,                  4211,                 29682,                 20617,                    293,                 -4308,                164050,                 -2507,               -137749,               -167400,                    968,                  2785,                -11054,                 -6766,               -181467,,                 16699,                              0,               -164203,                              0,             -1583230,                  2176,                -72590,                230072,                     18,                  9753,             -1561305,,                200000,                495000,                740965,                -23679,                 12849,                              0,                  4576,                197023,              1626734,                -20094,               -136132,                554147,                418015,                418015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1432,2015年01月01日至2015年06月30日,,               -113011,                 79645,                -33366,,,                 10877,                  4112,                  1326,                  8978,                   -955,,                  1643,                  6343,                    209,                              0,               -110824,                 -3927,                    356,                -81862,,,                              0,                 16343,                -15545,                  8216,                -20085,                -69817,                  2900,                 -5246,                -83349,,                  4600,                  7994,,                 -2883,                  7981,                    399,                 -4287,                 13804,                -69545,               -151407,               -184773,                    929,,                 -7784,                 -1962,               -193590,,                 13149,                              0,                -29653,,               -941392,                  2174,                -55649,                              0,                    489,                173912,               -836970,,                200000,                495000,                472965,                   -789,                      4,,                -85586,                 61055,              1142649,                 -7474,                104615,                554147,                658762,                658762,                              0,                              0,                   -115,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,
1432,2015年01月01日至2015年03月31日,,                -48878,                -30962,                -79840,,,                 10487,                  2166,                   -255,                  2493,                   -144,,                    822,                  3136,                    209,                              0,,                              0,                 -3433,                 15481,,,                              0,                 16343,                -21792,                  9402,                -17502,                -36024,                -95049,                              0,               -144622,,                  9419,                  6696,,                 -7555,,                              0,                              0,                  8560,               -136062,               -120581,               -200421,                    130,,                 -5182,                              0,               -205473,,,                              0,                 -1432,,               -520991,                  2176,                -12249,                              0,                -13045,                  6743,               -470061,,                              0,                495000,                 64400,                   -150,                    -59,,                 21134,                 58496,                639740,                   -401,                -36195,                554147,                517952,                517952,                              0,,,                              0,                              0,                              0,                    919,                  7179,                 61558,,,,,,,,,,,,,,,,,,,,,
1432,2014年度,,                -61655,                -74669,               -136324,,,                 48904,                  2600,                  1256,                 10587,                 -6359,                 -1394,                    822,                 11455,                   -234,                -90781,,                -13169,                    294,,,,                 54444,                 -5759,                -24372,                 -8488,                 13454,                -53477,,                              0,                -24198,,                  2367,                 64020,,                 66924,,                              0,                 -1104,                132207,                108009,                 71990,                -64334,                  6361,                  1394,                -22240,                 -9534,                -88353,,,                -26192,                -13999,                 24975,               -870991,                  1777,                -11576,                308811,                   -561,                664388,                 86657,,                  6333,,                134500,                -94216,                  2228,,                108460,                193050,                300154,                 22760,                321218,                232929,                554147,                554147,                              0,,,                              0,,,                 19973,,                 10758,,                              0,                -36019,                              0,                    567,                 -1300,                              0,                -70174,                              0,,,,,,,,,,,,
1432,2014年01月01日至2014年09月30日,,                -13730,                -38235,                -51965,,,                 35900,                  2097,                  1256,                  7734,                 -4804,                 -1394,                              0,                  7748,                   -234,                -89657,                              0,                 -9215,                              0,                -50569,,,                 54444,                  7611,               -132843,                    378,                   -824,                -31737,                399546,                 -4723,                291852,,                  2265,                104406,                              0,                 53175,                              0,                  9142,                 -1104,                167884,                459736,                409167,                357202,                  4806,                  1394,                 -9769,                 -8430,                345203,,                              0,                -26190,                -11228,                 16630,               -472263,                  1536,                -12253,                252235,                              0,                -27196,               -278729,,                  6333,                              0,                  2900,                   -216,                  2853,                  1966,                 11964,                193050,                218850,                 16034,                301358,                232929,                534287,                534287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1432,2014年01月01日至2014年06月30日,,                -68942,                -36452,               -105394,,,                 22939,                    855,                  1256,                  5225,                 -3828,,                              0,                  3866,                   -242,                 -6614,                              0,                              0,                              0,                 19364,,,                 54444,                -10285,               -127436,                -15230,                -39108,                -10552,                400000,                 -5786,                246047,,                  2430,                151871,,                 59213,                              0,                  8004,                              0,                221518,                467565,                486929,                381535,                  3830,,                 -5244,                   -249,                379872,,                              0,                -18752,                 -9815,,                -49570,                  1276,                -11787,                 37759,                              0,               -408737,               -467126,,                 45333,                              0,                              0,                   -216,                  3606,,                  4901,                              0,                 54329,                  9543,                -23382,                232929,                209547,                209547,                              0,                 -4093,                              0,                              0,                 -7500,                              0,                    705,,,,,,,,,,,,,,,,,,,,,,,
1432,2014年01月01日至2014年03月31日,,                -24809,                -32227,                -57036,,,                 11614,                    480,                    283,                  1858,                 -2055,,                              0,                    719,                   -171,                 -6614,,                 -4093,                     25,                  2046,,,                  9877,                  8467,                -51498,                 -4659,                -35520,                 -6171,                100000,                              0,                 20496,,                  2895,                 67590,,                 11559,,                  3469,                  1452,                 86965,                107461,                109507,                 52471,                  2056,,                 -5192,                 -3594,                 45741,,,                -18750,                 -9815,,                 -5661,                  1143,                -11150,                 37729,                              0,                -30313,                -48638,,                 10000,                              0,                   -216,                              0,                     -6,,                              0,                              0,                  9778,                  1031,                  7912,                232929,                240841,                240841,                              0,,,                              0,                -11821,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,
1432,2013年度,,                -75138,                -34061,               -109199,,,                 50746,                  1741,                 -7262,                 24342,                 -1572,                 -5726,                  2966,                    453,                    -63,                              0,,                              0,                     97,,,,                -14302,                 -3794,                 22931,                -10213,                 -2824,                -13332,,                   -177,                -21711,,                              0,                  2955,,                  6998,,                  1649,                  2526,                 21512,                   -199,                 52408,                -56791,                  1896,                  5726,                -13010,                   -525,                -62704,,,                              0,                              0,                              0,               -185250,                    809,                -11462,                              0,                -10659,               -693201,               -906641,,                 37000,,                168700,                   -447,                  6543,,                -29171,                   -720,                992495,                 -1831,                 21319,                211610,                232929,                232929,                              0,,,                -15348,,,                -17729,,                              0,,                -13115,                 52607,                  7384,                 12253,                 -3783,                800000,                              0,                 28319,,,,,,,,,,,,
1432,2013年01月01日至2013年12月31日,,               -109199,,               -109199,,,                 50746,                  1741,                -11594,                 24342,                 -1572,                 -5726,                  2966,                    454,                    -63,                              0,,,,,,,                 -9970,                 -3794,                 22931,                -10213,                 -2824,                -13332,               -654500,                   -177,               -671879,,                              0,                  2955,,                  6998,,                  1649,                  2526,                 21512,               -650367,               -602188,               -711387,                  1896,                  5726,                -13010,                   -525,               -717300,,,,,,               -185250,                    809,                -11462,                              0,                -10659,                 -3563,               -251921,,                 37000,,                168700,                   -447,                  6543,,,                   -720,                992495,                 -1955,                 21319,                211610,                232929,                232929,                              0,,,                -15348,,,                              0,,,,,                 48179,                  7384,                 12253,,                800000,,                 28319,,                -38701,,                              0,                -13115,                              0,                              0,                              0,                              0,                -29171,                -17729,                              0
1432,2013年01月01日至2013年09月30日,,                -74425,,                -74425,,,                 38680,                  1229,                -10213,                 13726,                 -1067,                 -5696,,                    344,                              0,                              0,,                              0,,,,,                -24104,                  4445,               -137264,                    -44,                 -1883,                -15735,                 42891,                    -25,               -131719,,                  1478,                 68353,,                 18057,,                 35546,                  2691,                126125,                 -5594,                 31409,                -43016,                  1459,                  5618,                -10975,                   -157,                -47071,,,                              0,                              0,                              0,               -158017,                              0,                -12513,                              0,                 -9989,                -18958,               -185028,,                 37000,,                168700,                   -447,                  4400,,                -22409,                              0,                193607,                  9188,                -29304,                211610,                182306,                182306,                              0,,,                    740,,,                -21956,,,,,                 37003,,                 12253,                  1456,,,                 28319,                              0,,,,,,,,,,,
