證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還長期借款,　　 存入保證金減少,　　 其他應付款－關係人增加,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　 短期借款增加,　　 存入保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損迴轉利益,　　　　 未實現銷貨利益（損失）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他流動資產（增加）減少,　　 對子公司之收購（扣除所取得之現金）,　　　　 其他項目,　　　　　 持有供交易之金融負債增加（減少）,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分其他資產損失（利益）,　　　　 處分投資損失（利益）,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 償還公司債,　　　　　 其他營業資產（增加）減少,　　　　　 其他營業負債增加（減少）,　　 處分以成本衡量之金融資產,　　 其他非流動資產增加,　　 其他投資活動
3536,2015年01月01日至2015年09月30日,,                -51687,                -51687,,,                 52374,                  1106,                  1563,                 10499,                   -172,                  2080,                 -3940,                 11055,                -13348,                 61217,,,                 -8661,                  6082,                -11271,                  4065,                  9766,                 -5678,                 80405,                              0,                 -9022,                 65686,,                              0,                -29093,                -44257,                -17497,                 12242,                    212,                -78393,                -12707,                 48510,                 -3177,                    175,                -10902,                 -3648,                -17552,,                -20438,                  5195,                 -2570,                              0,                    -10,                -17823,,                -12216,                 -2700,                      5,                  9050,                106570,                100709,                  1581,                 66915,                 90708,                157623,                157623,,,,,,,,,,,,,,,,,,,,,,,
3536,2015年01月01日至2015年06月30日,,                -53900,                -53900,,,                 35419,                    735,                   -111,                  7115,                   -115,                  2080,                   -215,                 14899,                 -4006,                 55801,,,,                  5942,                 21363,                  3914,                 12145,                 -3915,                 28520,                              0,                 -6903,                 61066,,                              0,                -39219,                -44257,                 -4532,                  9635,                   -418,                -78791,                -17725,                 38076,                -15824,                    161,                 -7741,                   -693,                -24097,,                -12162,                    467,                     56,                              0,                    -10,                -11649,,,                 -1800,                     -4,                   -563,                106570,                105219,                 -6425,                 63048,                 90708,                153756,                153756,                              0,                  1016,,,,,,,,,,,,,,,,,,,,,
3536,2015年01月01日至2015年03月31日,,                -37757,                -37757,,,                 17854,                    376,                   -111,                  3659,                    -48,                  2080,                      3,                  8574,                 -2837,                 29550,,,,                    337,                 21664,                    -81,                 18862,                   -361,                 -2415,                              0,                -17303,                 20703,,                              0,                -34934,                -27473,                    485,                  6292,                    -20,                -55650,                -34947,                 -5397,                -43154,                     46,                 -4199,                   -764,                -48071,,                 -6781,                              0,                     75,,                              0,                 -6706,,                              0,                   -900,                     -3,                   -942,                106570,                130857,                 -5045,                 71035,                 90708,                161743,                161743,,                 26132,                              0,,,,,,,,,,,,,,,,,,,,
3536,2014年度,,               -484831,               -484831,,,                123140,                  1480,                   -120,                 18035,                   -881,,                 -3192,                397016,                 -2871,,,,,                 -4229,                -12569,                 -1188,                 -5738,                    940,                -25723,                  3805,                  1784,                -42918,,,                 14098,                  6775,                -43234,                 17862,                  1346,                 -3153,                -46071,                494706,                  9875,                  1152,                -20037,                -12236,                -21246,,                -32535,                  4709,                  2257,                   -113,                 83374,                 57692,,               -186085,                 -3600,,                 38842,,               -150832,                 17279,                -97107,                187815,                 90708,                 90708,,,                     11,,                  8170,                              0,                540777,                              0,                              0,,,,,,,,,,,,,,
3536,2014年01月01日至2014年09月30日,,               -473093,               -473093,,,                102608,                  1104,                   -186,                 14392,                   -703,                              0,                    -56,                399627,                 -3126,                513660,,,                              0,                  1303,                -58679,                 -2205,                   -955,                    645,                -15522,                    -51,                    -65,                -75529,,                 19530,                 16813,                -24444,                -40717,                 17323,                  1956,                 -9539,                -85068,                428592,                -44501,                    977,                -15548,                 -4613,                -63685,,                -26861,                    145,                  1875,                   -113,                 63845,                 38891,,                -85919,                 -2700,                  1587,                 41095,                              0,                -45937,                  3381,                -67350,                187815,                120465,                120465,,,,,,,,,,,,,,,,,,,,,,,
3536,2014年01月01日至2014年06月30日,,               -471522,               -471522,,,                 82205,                    738,                   -187,                  9867,                   -479,                              0,                    -38,                397635,                 -2013,                487728,,,,                  2168,                 -3594,                  1368,                -29379,                 -3667,                -11480,                    -34,                    791,                -43827,,                  9701,                -10169,                -25172,                -22140,                 17643,                 12650,                -17487,                -61314,                426414,                -45108,                    123,                 -7195,                 -2383,                -54563,,                -17626,                     38,                              0,                   -113,                 -9893,                -28267,,,                 -1800,                     -1,                  3640,                              0,                  9598,                 -1690,                -74922,                187815,                112893,                112893,                   -673,                  7759,,,,,,,,,,,,,,,,,,,,,
3536,2014年01月01日至2014年03月31日,,                -45738,                -45738,,,                 41316,                    371,                   -272,                  4523,                   -232,                              0,                    -38,                    538,                 -2587,                 43619,,,,                 -1355,                 43940,                 -6420,                -13000,                   -649,                -18294,                    -17,                 -2354,                  1851,,                  3666,                 -1634,                -18235,                -22707,                 10133,                   -491,                -29268,                -27417,                 16202,                -29536,                     53,                 -7131,                 -1270,                -37884,,                 -7672,                     38,                   -295,,                 -1946,                 -9875,,                -52925,                   -900,                              0,                 67796,                              0,                 13974,                  1517,                -32268,                187815,                155547,                155547,,                              0,                      3,,,,,,,,,,,,,,,,,,,,
3536,2013年度,,               -130653,               -130653,,,                171326,                  1786,                  5095,                 17997,                   -972,,                    700,                  1462,                 -8698,,,,,                 -1716,                -36333,                 -2877,                -20852,                 -7282,                -50322,                   -855,                -18953,               -139164,,,                 88466,                    637,                 72392,                              0,                -50696,                110799,                -28365,                142259,                 11606,                    732,                -15627,                 -3207,                 -6496,,                -54250,                  7284,                   -478,                              0,                 -1067,               -188951,,                -44240,                 -3600,,                    695,,                -46957,                 -5292,               -247696,                435511,                187815,                187815,,,                    188,,                  6851,                -24923,                170624,                     26,               -140440,,,,,,,,,,,,,,
3536,2013年01月01日至2013年12月31日,,               -130653,               -130653,,,                171326,                  1786,                  5095,                 17997,                   -972,,                    700,                  8313,                 -8698,,,,,                 -1716,                -36333,                 -2877,                -20852,                 -7282,                -50322,                   -855,                -18953,               -139164,,,                 88466,                    637,                 72392,                              0,                -50696,                110799,                -28365,                142259,                 11606,                    732,                -15627,                 -3207,                 -6496,,                -54250,                  7284,                   -478,,                 -1067,               -188951,,                -44240,                 -3600,,                    695,                              0,                -46957,                 -5292,               -247696,                435511,                187815,                187815,,                              0,                    188,,                              0,                -24923,                170624,                     26,               -140440,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,,
3536,2013年01月01日至2013年09月30日,,                -88456,                -88456,,,                120686,                  1393,                  5116,                 13188,                   -688,,                   -351,                  3190,                 -7471,,,,,                 -4651,                  7909,                 -9556,                -17109,                 -8615,                -62805,                -25183,                -48939,               -168949,,                  9739,                 90603,                -23929,                 30095,                 37447,                -50845,                 93110,                -75839,                 42254,                -46202,                    688,                 -2951,                 -1647,                -50112,,                -45037,                 11359,                   -219,                              0,                   -453,               -172890,,                -73270,                 -2700,,                    522,,                -75206,                 -1933,               -300141,                435511,                135370,                135370,,,                    242,,,,                118093,,               -138540,                -16970,,,,,,,,,,,,,
3536,2013年01月01日至2013年06月30日,,                -56579,                -56579,,,                 81822,                    921,                  5116,                  9169,                   -406,,                   -387,                  2220,                 -6227,,,,,                 -3934,                 19176,                -11723,                 -6469,                 -7775,                -82616,                -10364,                -54299,               -159007,,                 13913,                121491,                -36405,                 29118,                 59357,                -49988,                137486,                -21521,                 45803,                -10776,                    349,                 -7204,                   -912,                -18543,,                -10840,                  3755,                   -348,                              0,                 -1627,               -148135,,               -147639,                 -1800,,                    978,,               -148216,                  7305,               -307589,                435511,                127922,                127922,,,                    245,,,                -24904,                 67324,                 -1003,               -139075,,,,,,,,,,,,,,
