證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 持有供交易之金融資產（增加）減少,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得以成本衡量之金融資產,　　 預付投資款增加,　　 現金增資,　　 其他籌資活動,　　 存入保證金增加,　　 支付之股利,　　 員工購買庫藏股,　　 其他非流動負債增加,　　 庫藏股票處分
3583,2015年01月01日至2015年09月30日,,                 49793,                 49793,,,                176233,                    195,                 19812,                -14939,                  8304,                   -735,                    754,                    362,                 13214,                 11377,                214577,,,                -11755,               -172888,                  9436,                 13102,               -162105,,                204261,                -56326,                 12143,                -31918,                  7758,                   -818,                135100,                -27005,                187572,                237365,                    735,                 -8347,                -45456,                184297,,                 21363,                 -4030,                -24238,                     99,                  8396,                  1590,,                215529,                -30000,                 70000,               -202098,               -121709,                -47708,               -115986,                  7780,                 77681,                347605,                425286,                425286,,,,,,,,,,,,,,,,
3583,2015年01月01日至2015年06月30日,,                 38151,                 38151,,,                116915,                    129,                  7884,                -14939,                  5315,                   -326,                              0,                    353,                  6563,                  9345,                131239,,,               -103530,               -138290,                -17258,                 10653,               -227062,,                 66827,                -45455,                  6238,                -55112,                    133,                   -564,                -27933,               -254995,               -123756,                -85605,                    326,                 -5495,                -33913,               -124687,,,                 -4030,                -12883,                     98,                  1453,                -15362,,                110529,                -30000,                 30000,                -16722,,                -29272,                 64535,                 -6699,                -82213,                347605,                265392,                265392,                 21363,,,,,,,,,,,,,,,
3583,2015年01月01日至2015年03月31日,,                 17105,                 17105,,,                 57764,                     65,                  3345,                -14760,                  2102,                   -146,                              0,                    353,                  4093,                  8656,                 61472,,,                -16708,               -140230,                  6105,                    370,               -150463,,                107123,                -44717,                  2923,                -47080,                 -2569,                   -287,                 15393,               -135070,                -73598,                -56493,                    146,                 -2685,                              0,                -59032,,,,                 -8498,                     98,                  2967,                 -5433,,                 65000,                -30000,                 30000,                 -8355,,,                 56645,                 -1825,                 -9645,                347605,                337960,                337960,,,,,,,,,,,,,,,,
3583,2014年度,,                317108,                317108,,,                220279,                    259,                  3016,                   -522,                 10671,                 -1862,                  3287,                     62,                  1795,                 -8760,,,,                -23697,                -88573,                -48630,                   -711,               -161611,,                121157,                  1049,                -10027,                 89943,                  2153,,                203433,                 41822,                214857,                531965,                  1862,                -10586,                -51315,                471926,,,,               -329269,                     30,                -25005,               -364244,,                631855,               -526855,,                -33335,               -243417,,               -171752,                 14727,                -49343,                396948,                347605,                347605,,,                              0,                  1708,                -56898,                173035,                   -842,                 -2680,                 -7320,                              0,                              0,,,,,
3583,2014年01月01日至2014年09月30日,,                151659,                151659,,,                163475,                    194,                  9835,                   -523,                  7579,                 -1125,                  3276,                     11,                -28386,                  1074,                155410,,,                 67794,                -90193,                -25710,                -11635,                -59744,,                181830,                -24462,                 -9099,                 -6019,                  1538,                   -830,                142958,                 83214,                238624,                390283,                  1125,                 -7613,                -51786,                332009,,                              0,                              0,               -282068,                  2952,                -21259,               -300375,,                458792,               -293896,                 30000,                -24986,               -243417,                              0,                -73507,                  2172,                -39701,                396948,                357247,                357247,,,,,,,,,,,,,,,,
3583,2014年01月01日至2014年06月30日,,                 57199,                 57199,,,                107938,                    129,                  1780,                   -254,                  4974,                   -654,                  2114,                     36,                -19277,                  1937,                 98723,,,                108825,                 -9652,                 -2982,                 32547,                128738,,                 24420,                -44903,                 -7323,                 43604,                  2624,                   -557,                 17865,                146603,                245326,                302525,                    654,                 -5008,                -47276,                250895,,,                              0,               -151118,                     24,                 -5209,               -156303,,                  1836,                -61836,                              0,                -16645,,                              0,                -76645,                    -88,                 17859,                396948,                414807,                414807,                              0,,,,,,,,,,,,,,,
3583,2014年01月01日至2014年03月31日,,                 13270,                 13270,,,                 54038,                     65,                  5545,                   -292,                  2507,                   -234,                  1254,                      2,                -18196,                 -1439,                 43250,,,                164527,                 19837,                 -5673,                 24130,                202821,,                 -6189,                -65045,                 -1114,                -15252,                 -1779,                   -281,                -89660,                113161,                156411,                169681,                    234,                 -2541,                 -3407,                163967,,,,               -105424,                              0,                -12331,               -117755,,                 65583,                -50687,                              0,                 -8316,,,                  6580,                  3321,                 56113,                396948,                453061,                453061,,,,,,,,,,,,,,,,
3583,2013年度,,                327800,                327800,,,                200651,                    260,                 -3031,                   -640,                 11868,                   -602,                  8383,                  2484,                              0,                 -3936,,,,               -205985,                200464,                 51260,                -69342,                -23603,,                -34751,                 52837,                 19265,               -102981,                   -940,,                -67807,                -91410,                133019,                460819,                    602,                -12219,                -19239,                429963,,,,               -189985,                    137,                  3857,               -188991,,                377737,               -482832,,               -130156,                              0,,               -107383,                  7668,                141257,                255691,                396948,                396948,,,                  4015,                  7000,                 -2023,                224429,                 -1237,                 -3000,                              0,                249576,               -121708,,,,,
3583,2013年01月01日至2013年12月31日,,                327800,                327800,,,                200651,                    260,                 -3368,                   -640,                 11868,                   -602,                  8383,                  2484,                 -2023,                 -3936,,,,               -205985,                200464,                 51260,                -69342,                -23603,,                -34751,                 52837,                 19265,               -102981,                   -940,,                -67807,                -91410,                132682,                460482,                    602,                -12219,,                429626,,,,               -189985,                    137,                  3857,               -188991,,                377737,               -482832,                              0,               -130156,                              0,,               -107383,                  8005,                141257,                255691,                396948,                396948,,,                  4015,                  7000,,                224092,                 -1237,                 -3000,                              0,                249576,               -121708,                              0,                -19239,                              0,,
3583,2013年01月01日至2013年09月30日,,                212934,                212934,,,                149555,                    194,                 -5835,                   -363,                  9246,                   -304,                  4126,                  2484,                  7924,                   -814,,,,               -107867,                 27623,                 37215,                -21168,                -64197,,                -13411,                  6405,                 12918,                 39941,                   -486,,                 44427,                -19770,                157458,                370392,                    304,                 -8641,                -19156,                342899,,,,               -144125,                    136,                 -2121,               -149110,,                320088,               -425183,                              0,               -121849,                              0,,                -98987,                  5613,                100415,                255691,                356106,                356106,,,                  4015,                  7000,,                177228,                   -940,                 -3000,,                249576,               -121708,                     89,,,,
3583,2013年01月01日至2013年06月30日,,                112185,                112185,,,                 99877,                    130,                 -4825,                   -470,                  6436,                   -237,                   -222,                    -19,                  2838,                 -3095,,,,               -125395,                -41291,                  3235,                  4445,               -159006,,                171021,                  6436,                  9439,                 14402,                   -840,,                199835,                 40829,                152257,                264442,                    237,                 -5834,                -19216,                239629,,,,                -70271,                    120,                -11486,                -84637,,                137646,               -282741,,               -103551,,,                  1020,                  8286,                164298,                255691,                419989,                419989,,,                  4015,                  7000,,                111428,                   -623,                 -3000,,                249576,,                     90,,,,
3583,2013年01月01日至2013年03月31日,,                 42049,                 42049,,,                 49941,                     65,                   -156,                   -307,                  3558,                    -29,                              0,                              0,                  3797,                 -4508,,,,                  2561,                 79469,                 27263,                -32153,                 77140,,                 -7576,                  6713,                  3538,                -56848,                -16626,,                -71099,                  6041,                 62417,                104466,                     29,                 -2899,                    100,                101696,,,,                -52726,,                   -500,                -53226,,                 72939,               -238034,,                -18268,,,                 66302,                  7177,                121949,                255691,                377640,                377640,,,                  4015,,,                 56376,                   -300,,,                249576,,                     89,,,,
3583,2012年01月01日至2012年12月31日,,                212333,                212333,,,                193971,                    260,                  4896,                   -546,                 21793,                   -552,                              0,                    331,                 26336,                  4160,,,,                113158,                 19435,                  5688,                 37802,                176083,,                -98729,                 26255,                -19520,                -37297,                  1920,,               -128461,                 47622,                298421,                510754,                    552,                -22379,,                477374,,,,                -59700,                      7,                  3107,                -75530,,                496389,               -699340,                670000,               -844741,                -37020,,               -411858,                 -7473,                -17487,                273178,                255691,                255691,,,                              0,                    150,,                250799,                 -1090,                 -3000,                -15944,                              0,                              0,                   -606,                -11553,                  3460,,
3583,2012年01月01日至2012年09月30日,,                124414,                124414,,,                143914,                    194,                  6740,                   -499,                 17667,                   -410,                              0,                     29,                 19836,                  7432,,,,                116223,                -27462,                 34363,                 22988,                146112,,                -31857,                   -435,                -12588,                  8778,                    356,,                -36601,                109511,                304564,                428978,                    410,                -18677,                -11540,                399171,,,,                -47797,                      5,                  4404,                -46388,,                208837,               -336883,                240000,               -386487,                -37020,,               -308699,                 -7010,                 37074,                273178,                310252,                310252,,,                              0,                    150,,                195053,                   -855,                 -3000,,                              0,                              0,                   -606,,                  3460,,
