證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 利息費用,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　 採用權益法之被投資公司減資退回股款,　　 其他應收款－關係人增加,　　 其他應付款－關係人減少,　　　　 呆帳費用提列（轉列收入）數,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 償還長期借款,　　 員工執行認股權
4545,2015年01月01日至2015年09月30日,,                555804,                555804,,,                 82290,                  3063,                -26003,                  1678,                 -2525,                 58503,,,                -64121,                -18198,                   -564,                 -1723,                -84606,,                 10750,                -13850,                 -3100,                -87706,                -29203,                526601,                 18450,                 -2827,               -114991,                427233,,               -182380,                  4808,                 -2887,                              0,                  6070,                 -9735,               -184124,,                186157,                 50000,               -382602,               -146445,                  8028,                104692,                656684,                761376,                761376,,,,,,,,,,,
4545,2015年01月01日至2015年06月30日,,                297114,                297114,,,                 51185,                  2079,                -13882,                  1684,                 -2221,                 38845,,,                110938,                -72745,                 -6544,                 -1462,                 30187,,                  6631,                -40034,                -33403,                 -3216,                 35629,                332743,                 18450,                 -1845,                -69311,                280037,,               -134025,                  4856,                 -2527,                    339,,                 -7197,               -138554,,                -16568,                 50000,,                 33432,                 -5622,                169293,                656684,                825977,                825977,,,,,,,,,,,
4545,2014年度,,                622384,                622384,,,                 91476,                  6927,                -24520,                  5374,                  8062,,,,               -114908,               -210858,                 -8467,                 -5745,               -339978,,                 89619,                235824,                325443,                -14535,                 72784,                695168,,                 -7547,                -85815,                601806,,               -146520,                  8271,,                 12448,,                 -9191,               -134992,,               -331093,,               -157080,               -488173,                  8823,                -12536,                669220,                656684,                656684,,                              0,                 87319,                              0,,,,,,,
4545,2014年01月01日至2014年09月30日,,                448500,                448500,,,                 67082,                  5539,                -15306,                  2695,                              0,                 60010,,,               -118116,               -125250,                -29796,                 -4202,               -277364,,                 80255,                150464,                230719,                -46645,                 13365,                461865,                              0,                 -5623,                -57560,                398682,,               -114081,                  8059,                 -3483,                -20494,                              0,                 -1526,               -131525,,               -107977,                              0,               -157080,               -265057,                  5503,                  7603,                669220,                676823,                676823,,,,,,,,,,,
4545,2014年01月01日至2014年06月30日,,                203741,                203741,,,                 44431,                  3601,                 -8348,                  2518,                              0,                 42202,,,                 -3195,               -115287,                -38078,                 -2689,               -159249,,                102420,                 -1445,                100975,                -58274,                -16072,                187669,                              0,                 -3812,                -56252,                127605,,                -68885,                  7718,                   -338,                -13659,,                 -1289,                -76453,,                -86844,                              0,,                -86844,                  4306,                -31386,                669220,                637834,                637834,,,,,,,,,,,
4545,2013年度,,                295373,                295373,,,                 88616,                  7975,                -14344,                 18502,                              0,,,,               -150977,                 30496,                 48129,                 -4365,                -76717,,                 24729,                 10607,                 35336,                -41381,                 54459,                349832,,                 -8568,                -26232,                315032,,                -95386,                 22158,,                 16782,,                -17960,                -63870,,                -74177,,                -11926,                -86103,                  1926,                166985,                502235,                669220,                669220,,                 -4909,                 95840,                 10536,,,,,,,
4545,2013年01月01日至2013年12月31日,,                295373,                295373,,,                 88616,                  7975,                -14344,                 18502,,,,,               -150977,                 30496,                 48129,                 -4365,                -76717,,                 24729,                 10607,                 35336,                -41381,                 54459,                349832,,                 -8568,                -26232,                315032,,                -95386,                 22158,,                 16782,,                -17960,                -63870,,                -74177,,                -11926,                -86103,                  1926,                166985,                502235,                669220,                669220,,,                 95840,                 10536,,                              0,                 -4909,                              0,                              0,                              0,                              0
4545,2013年01月01日至2013年06月30日,,                 57065,                 57065,,,                 44139,                  3604,                 -5688,                 17874,,,,,                 -5151,                 14073,                -14319,                 -2125,                 -7522,,                 12900,                -38200,                -25300,                -32822,                 27107,                 84172,,                 -4352,                -12387,                 67433,,                -58392,                 20020,                 -6725,                  1610,,                 -4965,                -52479,,                -58618,,,                -69973,                    296,                -54723,                502235,                447512,                447512,,,                 59929,,                 -4027,                -11355,,,,,
4545,2012年01月01日至2012年12月31日,,                193378,                193378,,,                 81081,                 11624,                  8384,                  4696,,,,,               -155340,                 26348,                -17075,                 -2457,               -148524,,                 22920,                 -4477,                 18443,               -130081,                -95238,                 98140,,                -11306,                -22760,                 64074,,                -94703,                  8481,,                -35710,,                 -4267,               -543158,,                511370,,               -185277,                327111,                 -3092,               -155065,                657300,                502235,                502235,,,                 34843,                              0,,                 -5866,                -70942,               -138340,               -278619,                -58556,                 65440
4545,2012年01月01日至2012年06月30日,,                 35001,                 35001,,,                 36291,                  4154,                  1262,                  2029,,,,,               -108974,                 -8581,                -41255,                   -438,               -159248,,                 36316,                 58039,                 94355,                -64893,                -21157,                 13844,,                 -4812,                -10855,                 -1823,,                -53466,                  2501,                 -2823,               -118793,,                 -2545,               -176225,,                222650,,               -185277,                 94945,                -10475,                -93578,                657300,                563722,                563722,,,                 43736,,                 -1099,                 63719,,,,                 -6147,
