證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產減少,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產重分類淨損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　　 其他流動資產（增加）減少,　　 存出保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 以成本衡量之金融資產減資退回股款,　　 現金減資,　　 其他籌資活動
2436,2015年01月01日至2015年09月30日,,                135668,                135668,,,                 30468,                  3414,                      6,                     11,                              0,                 -1420,                -73381,                              0,                -38476,                              0,                 11492,                 -3701,                -71587,,,                    219,                  2677,                 21444,                 -3977,                -24559,                   -225,                 -4421,,                    161,                 -6932,                  6948,                -26972,                  1903,                    940,                -23952,                -28373,                -99960,                 35708,                  1420,                              0,                   -230,                 36898,,               -984414,                986095,                              0,                              0,                -27239,                              0,                    -69,                   -405,                              0,                 46428,                 20396,,                190000,               -199260,                              0,                   -328,                 -9588,                 14838,                 62544,                551401,                613945,                613945,,,,,,,,,,
2436,2015年01月01日至2015年06月30日,,                 76672,                 76672,,,                 20306,                  2440,                    -37,                     10,                              0,                   -905,                   -997,                              0,                -92747,                              0,,                 12560,                -55416,,,,                 -3360,                 65534,                  1603,                -59652,                 -1654,                  2471,,                    187,                 71702,                  9062,                -30708,                  1088,                    587,                 51918,                 54389,                 -1027,                 75645,                    381,                              0,                   -125,                 75901,,               -742100,                844117,                              0,                              0,                -18106,                              0,,                   -405,,                    490,                 83973,,,,                              0,                   -328,                   -328,                 -8122,                151424,                551401,                702825,                702825,                              0,                  3954,                              0,                    -23,,,,,,
2436,2015年01月01日至2015年03月31日,,                 16196,                 16196,,,                  9873,                  1213,                    -43,                      6,                              0,                   -381,                   -490,                              0,                -27012,                              0,,                  5138,                 -8718,,,,                  4404,                 68479,                     94,                 15758,                 -1784,                 86951,,                   -556,                -26860,                  3288,                -17405,                   -338,                    237,                -41634,                 45317,                 36599,                 52795,                    381,                              0,                    -38,                 53138,,               -363382,                340556,,,                 -9893,                              0,,                              0,,                    490,                -32229,,,,,                   -328,                   -328,                 -3506,                 17075,                551401,                568476,                568476,,                  2978,,                              0,,,,,,
2436,2014年度,,                214143,                214143,,,                 40060,                  3791,                    346,                    -18,                     42,                 -1668,                -61767,                   -154,               -135066,                  1998,,                -28250,,,,                    353,                 -1599,                  2355,                  1770,                -95762,                 -5425,                -98308,,                   -378,                 -6632,                -23134,                 52827,                 -2479,,                 21595,                -76713,               -258170,                -44027,                  1668,                    -42,                -19600,                -62001,,             -2715501,              2817112,                -12200,                              0,                -41761,                    160,,                 -9361,                              0,                 61767,                 99945,,,                -39853,                              0,                   -104,                -39957,                 15954,                 13941,                537460,                551401,                551401,,                   -771,,                   -271,,               -181457,                  1391,                              0,                              0,
2436,2014年01月01日至2014年09月30日,,                187411,                187411,,,                 30616,                  2643,                              0,                    -19,                     40,                 -1114,                -61943,                   -160,               -115617,                  1199,                    366,                 -7123,               -151112,,,                              0,                 -4113,                -76400,                 -7141,               -125286,                -12152,               -225092,,                  5216,                 97438,                 -5789,                 25555,                  1044,                    928,                124392,               -100700,               -251812,                -64401,                    997,                    -40,                -19530,                -82974,,             -2543406,              2467109,                -12200,                              0,                -24826,                    160,                   -271,                 -2129,                              0,                 41640,                -73923,,                              0,                -39853,                              0,                   -104,                -39957,                  4598,               -192256,                537460,                345204,                345204,,,,,,,,,,
2436,2014年01月01日至2014年06月30日,,                 95715,                 95715,,,                 20100,                  1710,                    -72,                    -54,                     40,                   -606,                -11582,                   -160,                -90160,                  1199,,                 -2910,                -79257,,,,                    717,                 24631,                 -2952,                -66482,                  3153,                -40933,,                  1745,                 78686,                -11958,                 12092,                   -632,                    577,                 80510,                 39577,                -39680,                 56035,                    335,                    -40,                -12225,                 44105,,             -1820112,              2003334,                -12200,                              0,                -11412,                    160,,                 -2129,,                    924,                158731,,,,                              0,                   -104,                   -104,                  1638,                204370,                537460,                741830,                741830,                              0,                  3238,                              0,                    166,,,,,,
2436,2014年01月01日至2014年03月31日,,                 56610,                 56610,,,                  9877,                    838,                    -31,                    -56,                     38,                   -125,                   -924,                   -150,                -55724,                  1199,,                -10255,                -54175,,,,                  2122,                 62261,                   -453,                   -274,                    652,                 64308,,                   -141,                -27865,                -14900,                  1685,                   -769,                    351,                -41639,                 22669,                -31506,                 25104,                      5,                    -38,                 -1711,                 23360,,               -979501,              1011941,,,                 -2399,                    150,,                   -283,,                    924,                 31003,,,,,                   -104,                   -104,                  5661,                 59920,                537460,                597380,                597380,,                  1138,,                    171,,,,,,
2436,2013年度,,                152500,                152500,,,                 42732,                  2930,                   -234,                     30,                    376,                   -880,                -64508,                 -1253,                -19108,                  2210,,                -15112,,,,                   -595,                 -7627,                -34307,                 -2350,                -47761,                 -5197,                -97837,,                   -263,                 14390,                  7755,                 -4835,                   -281,,                 16972,                -80865,               -122648,                 29852,                  1316,                   -376,                 -5595,                 25197,,             -2400106,              2614173,                -30000,                 10794,                -33920,                  7225,,                 -2952,                  8000,                 64508,                240828,,,                -73800,                 -9426,                    914,               -328312,                  9540,                -52747,                590207,                537460,                537460,,                 11034,,                     22,,                -41783,                    206,                  3084,               -246000,
2436,2013年01月01日至2013年12月31日,,                152500,                152500,,,                 42732,                  2930,,                     30,                    376,                   -880,                -64508,                 -1253,                -19108,                  2210,,                -15112,,,,                   -595,                 -7627,                -34541,                 -2350,                -36727,                 -5197,                -87037,,                   -263,                 14390,                  7755,                 -4835,                   -281,,                 16972,                -70065,               -122648,                 29852,                  1316,                   -376,                 -5595,                 25197,,             -2400106,              2614173,                -30000,                 10794,                -33920,                  7225,,                 -2952,                  8000,                 64508,                240828,,,                -73800,                 -9426,                    914,               -328312,                  9540,                -52747,                590207,                537460,                537460,,,,                     22,,                -52583,                    206,                  3084,               -246000,
2436,2013年01月01日至2013年09月30日,,                122751,                122751,,,                 32576,                  2140,,                    -30,                     20,                   -708,                -60956,                 -1246,                -16890,                  2210,                 10641,                 -9531,,,,                   -451,                 -2038,                -45119,                 -6204,                -54198,                 -3519,               -111529,,                  1528,                  6737,                 -5083,                -21923,                 -1630,,                -20322,               -131851,               -173625,                -50874,                  1136,                    -20,                 -5556,                -55314,,             -1895111,              1996590,                -30000,                 10827,                -27583,                  7215,,                   -762,                  8000,                 57130,                126506,,,                -73800,                 -9426,                    914,                -82312,                  7424,                 -3696,                590207,                586511,                586511,,,,                    200,,                -41774,                     49,,,
