證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 遞延貸項增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 處分以成本衡量之金融資產,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 處分無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 其他金融負債增加,　　 其他金融負債減少,　　 其他非流動負債增加,　　 其他非流動負債減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 預付費用（增加）減少,　　 短期借款增加,　　　　　 持有供交易之金融負債增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分持有至到期日金融資產,　　 取得以成本衡量之金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 員工執行認股權,　　 取得持有至到期日金融資產,　　 預付投資款增加,　　 存入保證金增加,　　　　 處分其他資產損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　 以成本衡量之金融資產減資退回股款,　　 現金減資,　　　　 金融資產減損迴轉利益,　　　　　 應收票據（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 應付票據增加（減少）,　　　　　 負債準備增加（減少）
2382,2015年01月01日至2015年09月30日,,             16550993,             16550993,,,              4804983,                700732,                 52915,                -29527,              1705311,             -3134700,               -317057,                 15777,                673055,                 74088,                    140,               -106768,                              0,                    776,                268373,                              0,              4708098,,,                -28735,             12307318,                 54513,            -60045165,               -126233,               -760450,            -48598752,,             22207265,             -3286975,                118583,              2765073,                 -2318,                  6340,             21807968,            -26790784,            -22082686,             -5531693,              2758926,                317057,             -1895589,             -3451362,             -7802661,,             -6018451,              7477029,            -81878169,             64094933,                170008,                              0,                 56250,             -4127453,                469486,               -200805,                              0,                -17556,                543010,               -745944,                 13022,            -20164640,,            -46436515,               -200000,             14149233,            -26629143,                  1941,                 -2838,                132852,                -11344,            -15923325,                              0,            -74919139,              2612049,           -100274391,            222057452,            121783061,            121783061,,,,,,,,,,,,,,,,,,,,,,,
2382,2015年01月01日至2015年06月30日,,              9440990,              9440990,,,              3213709,                461058,                 50048,                -25873,              1218871,             -2297954,               -285136,                  9119,                468197,                 70472,                    140,                -87069,                              0,                    776,               -220742,,              2575616,,,                -65262,              2973191,                480188,            -30568590,                106891,               -166761,            -26677802,,             13038987,             -2191340,                 50593,             -3357524,                 -1566,                  1429,              7540579,            -19137223,            -16561607,             -7120617,              1961971,                 67825,             -1292938,             -3420033,             -9803792,,             -4454823,              4542689,            -33131806,             30702186,                 70477,,,             -3347726,                326652,               -144963,                              0,                -16625,              1430008,               -636943,                  7796,             -4653078,,            -15875635,,              9511718,            -26084314,                    637,                 -1725,                 88236,                -11252,                              0,                              0,             -7262248,             -4277056,            -25996174,            222057452,            196061278,            196061278,                562541,             25110087,,,,,,,,,,,,,,,,,,,,,
2382,2015年01月01日至2015年03月31日,,              4478343,              4478343,,,              1628776,                220821,               -285530,                -13110,                851217,             -1724348,                -13713,                  4761,                301497,                 63828,                              0,                -75002,,                    776,               -245907,,                714066,,,               -117209,             35653446,               -379760,            -22615040,                -38792,                972327,             12654401,,            -28033527,               -831198,                484265,              1663812,                   -721,                   -956,            -26718325,            -14063924,            -13349858,             -8871515,              1351499,                 13713,               -903143,               -200834,             -8610280,,             -3001860,              2456067,            -15814170,             15529323,                 48878,,,             -2587673,                176763,                -69826,                              0,                -19570,                869694,               -411743,                  3495,             -2820622,,            -22314760,,                              0,             -1434210,                    103,                 -2551,                 44489,                -11375,                              0,,              5585099,             -2462049,             -8307852,            222057452,            213749600,            213749600,               -820571,             29303403,                              0,,,,,,,,,,,,,,,,,,,,
2382,2014年度,,             24361065,             24361065,,,              5537047,                703239,                378474,,              2953837,             -8558623,               -159708,                -10498,                410483,                  3784,                  1073,               -119877,                549930,                -32917,              1214099,                -75942,,,,                156310,              3283357,               -839479,            -11178443,             -1771853,             -3800764,            -14150872,,            -30606576,             11156406,              2900564,              8573160,,                  2486,             -7979003,            -22129875,            -19335474,              5025591,              8484544,                160870,             -2813439,             -5420163,              5437403,,             -1698344,,            -71552469,             71502730,                145398,                157227,                  5822,             -7310308,                740248,               -139773,                  1978,             -1462244,                 98961,               -740138,                 14248,            -10236664,,            -35526880,,              1505890,             -1060512,                 18268,                 -2336,                134093,                   -473,            -15920609,                   -233,              9094247,             10314197,             14609183,            207448269,            222057452,            222057452,,             59947039,                              0,,                              0,              2794401,                 -5043,                              0,                              0,                              0,                              0,,,,,,,,,,,,
2382,2014年01月01日至2014年09月30日,,             17970590,             17970590,,,              4119325,                522603,                507922,                -16388,              1884163,             -6845538,               -159186,                -13715,                172891,                  2496,                    -72,               -101276,                524430,                -28687,                406804,                -50695,                925077,,,                 80216,             14420801,               -406449,            -28310225,               -945685,             -2166652,            -17327994,,              6923273,              2926035,              3761346,              3484743,                 -2273,                    188,             17093312,               -234682,                690395,             18660985,              6629719,                160349,             -1784441,             -3033588,             20633024,,            -10945884,              9660424,            -48153518,             55205109,                123081,                122716,                  5822,             -2575096,                670114,                -81083,                  1978,             -1893022,                103587,               -443553,                 11663,              1812338,,            -29104575,               -600000,                897930,               -240990,                 20507,                 -5401,                 90436,                   -823,            -15920610,                   -233,            -44863759,              3362944,            -19055453,            207448269,            188392816,            188392816,,,,,,,,,,,,,,,,,,,,,,,
2382,2014年01月01日至2014年06月30日,,             11842394,             11842394,,,              2753668,                355112,                212245,               -138786,              1148289,             -4683710,               -132086,                 -5737,                 67168,                  2445,                   -133,                -70171,                496552,                -27822,                 34313,,                 11347,,,                 53106,             25694894,               -176364,            -10034009,                -55631,             -1761447,             14211078,,            -18973221,                922014,              1469732,              3784841,                 -1500,                  1228,            -12796906,              1414172,              1425519,             13267913,              4140663,                405036,             -1080283,             -2730585,             14002744,,             -7052663,              5693506,            -36492283,             33670299,                 95003,,,             -1573604,                421867,                -35918,                  1485,             -3244413,                 64094,               -200440,                  7792,             -8645275,,            -16523227,,                899761,                -90555,                  8850,                 -5037,                 48546,                   -825,                 -1930,                   -233,             -5721146,               -278642,               -642319,            207448269,            206805950,            206805950,                490529,              9943504,,,,,,,,,,,,,,,,,,,,,
2382,2014年01月01日至2014年03月31日,,              6149816,              6149816,,,              1375343,                181734,                -83121,                              0,                713462,             -2374771,                              0,                 -7666,                 -5641,                              0,                    -48,                -50538,,                -23485,                399393,,                124662,,,                -11248,             46696395,               -339912,            -10603740,                126311,               -205398,             36147863,,            -29538405,             -1751812,                556523,              3274760,                   -716,                  1016,            -27458095,              8689768,              8814430,             14964246,              1860635,                              0,               -663836,               -358139,             15802906,,             -3290149,              3258910,            -22171651,             17788624,                  1273,,,               -829323,                210657,                -14501,                    360,               -593675,                 55154,                -97592,                  3914,             -5677999,,            -21322600,,              1007545,                              0,                    797,                   -731,                    666,                   -827,                 -1930,,              5137266,              3473106,             18735279,            207448269,            226183548,            226183548,                485455,             25454346,                    539,,,,,,,,,,,,,,,,,,,,
2382,2013年度,,             24217397,             24217397,,,              5981555,                719750,                295346,,              1913705,             -6330655,               -110075,                 44795,                283339,                  7219,                              0,               -287458,                122513,                              0,                              0,               -160246,,,,                 81076,             16167905,                720358,             11200734,              1079696,                 97958,             29347727,,             -6372788,               -359652,               -433735,                699764,,               -170506,             -6668869,             22678858,             25222621,             49440018,              6064044,                358585,             -2102364,             -5426185,             48334098,,             -2008593,,            -64256114,             62722736,                187349,                 10114,                              0,             -2204293,                254385,               -191458,                              0,                              0,                509565,               -270736,                 70752,             -4585917,,            -38670240,,             13127746,            -11993659,                 10479,                              0,                  6996,                              0,            -15913371,                              0,            -28510932,              4702170,             19939419,            187508850,            207448269,            207448269,,             24505826,                -28165,,                 63975,              2543763,                 -3787,                867132,                -67672,               -209084,                415291,,,,,,,,,,,,
2382,2013年01月01日至2013年12月31日,,             24217397,             24217397,,,              5981555,                719750,                295346,,              1913705,             -6330655,               -110075,                 44795,                283339,                  7219,,               -287458,                122513,,,               -160246,,,,                 81076,             16167905,                720358,             11200734,              1079696,                 97958,             29347727,,             -6372788,               -359652,               -433735,                699764,,               -170506,             -6668869,             22678858,             25222621,             49440018,              6064044,                358585,             -2102364,             -5426185,             48334098,,             -2008593,,            -64256114,             62722736,                187349,                 10114,                              0,             -2204293,                254385,               -191458,,                              0,                509565,               -270736,                 70752,             -4585917,,            -38670240,,             13127746,            -11993659,                 10479,                              0,                  6996,,            -15913371,,            -28510932,              4702170,             19939419,            187508850,            207448269,            207448269,,             24505826,                -28165,,                 63975,              2543763,                 -3787,                867132,                -67672,               -209084,                415291,                              0,,,                              0,                              0,                              0,                              0,,,,,
2382,2013年01月01日至2013年09月30日,,             17783593,             17783593,,,              4575901,                543043,               -170915,,              1455863,             -4387744,                -90674,                 44597,                125609,                  7220,                              0,               -257082,                119562,                -11948,              1053127,                -35162,,,,                125708,             66526586,                129688,            -16757345,             -1291432,               -742660,             47990545,,             -9336866,               -670795,               -632802,              3579796,,               -145974,             -7237271,             40753274,             43766071,             61549664,              4263304,                339185,             -1636606,             -3653721,             60861826,,                              0,                              0,            -47543214,             51546585,                169362,                              0,                              0,             -1975136,                181387,               -121371,                              0,               -714653,                 99238,               -142280,                 71725,               -720900,,            -34147327,                              0,             13084154,            -13054593,                  1717,                              0,                              0,                              0,            -16697814,                              0,            -29599475,              2754487,             33295938,            187508850,            220804788,            220804788,,             21008807,                -28165,,                 41400,              3012797,                 -2465,,,               -209084,                200597,             -2073915,                 -9544,                  4984,,,,,,,,,
