證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 處分投資性不動產,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 應付短期票券減少,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他非流動負債增加,　　 發放現金股利,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動資產減少,　　 存入保證金減少,　　 其他非流動負債減少,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 處分無形資產損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 金融資產減損損失,　　　　 逾期未領股利及董監酬勞轉列其他收入,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他應收款－關係人（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 取得備供出售金融資產,　　 取得無活絡市場之債券投資,　　 取得採用權益法之投資,　　 取得投資性不動產,　　 處分無活絡市場之債券投資,　　 其他投資活動,　　 庫藏股票買回成本,　　 取得按攤銷後成本衡量之金融資產,　　 按攤銷後成本衡量之金融資產到期還本,　　 預付投資款增加
1304,2015年01月01日至2015年09月30日,,              1498406,                -32871,              1465535,,,              1244887,                 43745,                   -997,                 66650,                203901,               -115666,               -149925,                  3711,                 -1956,                -37027,                  1187,               -110859,                 46323,              1193974,,,             -2513614,                665309,                 56758,                 -5566,                -50724,              1272663,                 44246,               -213145,               -744073,,                -47486,               -341745,                 26016,                 -7200,                -18722,                 99864,                -41140,               -330413,             -1074486,                119488,              1585023,                121834,               -195840,               -296565,              1214452,,                 71091,              2191940,                -25931,                 82032,                  1349,                              0,             -3159489,                 79256,                 11941,                -39039,                              0,                -50449,                149925,               -687374,,               -918019,                              0,               -359141,              1996343,             -1000000,              5043000,             -5023066,                  1409,                  3976,               -451006,               -195781,                              0,               -902285,               -148093,               -523300,              7485579,              6962279,              6962279,,,,,,,,,,,,,,,,,,,,,,
1304,2015年01月01日至2015年06月30日,,              1374593,                -13627,              1360966,,,                826330,                 28154,                  1796,                -45347,                136364,                -91704,                -38256,                    738,                   -293,                -21775,                    828,               -179893,                 27832,                644774,,,             -2395208,                571877,                 19024,                -18860,                 80255,                606574,                158239,               -447205,             -1425304,,                -34272,                776653,               -247495,,                -11179,                119373,                -31704,                571376,               -853928,               -209154,              1151812,                 99658,               -143494,               -191625,                916351,,                 71091,              1372277,                 -8552,                 57032,,                              0,             -2406563,                 13164,                 11647,                -33761,,,                    263,               -974737,,                121827,                212822,,              2000000,             -1000000,              3312000,             -2984644,,,                 -3132,                 10233,                              0,              1667709,               -245995,              1363328,              7485579,              8848907,              8848907,                -51335,                  1427,                 -2824,,,,,,,,,,,,,,,,,,,
1304,2015年01月01日至2015年03月31日,,                461549,                 -6614,                454935,,,                415544,                 13621,                   -835,                -69812,                 71892,                -38118,,                   -999,                   -356,                -21775,               -156068,,                 15095,                228189,,,             -2321063,                316553,                490228,                -29279,                106516,              1470100,                 47701,               -448675,               -367919,,                -18718,               -131114,               -115260,,                 -9886,                158534,                -24428,               -140872,               -508791,               -280602,                174333,                 47502,                -74695,                -12366,                134774,,                 32439,              1410784,                 -7207,                 57034,,                              0,             -1125700,                  4686,                 10759,                   -104,,                -53172,,                329519,,             -1080006,                178278,,              1996343,               -500000,              1619000,             -1504422,                 -1442,                 -1427,,                  5851,                              0,                712175,                -65949,              1110519,              7485579,              8596098,              8596098,,,,,,,,,,,,,,,,,,,,,,
1304,2014年度,,                877352,                -26566,                850786,,,              1622548,                 46093,                   -220,                 86065,                271589,               -185062,               -162349,                    325,                -23227,               -167774,                296515,,                 29360,,,,              3030969,                366643,               -709957,                 82511,               -171977,               -644999,                -82781,                 45746,              1916155,,                -14280,             -1521544,                 65300,                 -9552,                -33025,                 70238,,             -1457540,                458615,              2331038,              3181824,                182041,               -269060,               -366001,              2728804,,                327717,,               -554510,                     14,                  9149,                              0,             -3871514,                 82993,                  3517,                -54018,                 21083,                111048,                162349,             -3994376,,                263547,                356701,,,,              6922289,             -6121168,                 -3912,                    730,               -685561,               -566216,                              0,                166410,                -95011,             -1194173,              8679752,              7485579,              7485579,,,,,                              0,                              0,                 41074,                 17486,                              0,              1872423,                              0,                -14677,                -10625,                -62156,               -159423,                              0,,,,,,
1304,2014年01月01日至2014年09月30日,,                929211,                -21189,                908022,,,              1186742,                 33516,                  1136,                 95420,                203137,               -137845,               -159471,                              0,                -23884,               -141223,                  2296,                 42494,                 36484,              1138802,,,              1252291,                247642,               -863610,                    964,               -132897,               -845171,               -273696,               -122618,               -737095,,                -15366,               -965937,                168494,                 -9552,                -29399,                179683,                -46213,               -718290,             -1455385,               -316583,                591439,                 82346,               -207378,               -377645,                 88762,,                305681,              1105505,               -536319,                     14,                  9149,               -159423,             -2501928,                 78474,                 13693,                 -4543,                 21083,                 -2786,                158406,             -1512994,,              1063195,                633271,                              0,                              0,                              0,              5186573,             -3957087,                 -7074,                 -1343,               -677647,               -552632,                  7006,              1694262,                -54015,                216015,              8679752,              8895767,              8895767,,,,,,,,,,,,,,,,,,,,,,
1304,2014年01月01日至2014年06月30日,,                549827,                -14189,                535638,,,                774342,                 21234,                 -2846,                125813,                134192,                -95241,                -69091,                              0,                  5076,                -81852,                  2721,                 -1463,                 40941,                853826,,,              1126152,                305243,             -1098763,                   -408,                -91518,               -579716,                -23982,               -109817,               -472809,,                  5801,             -1083435,               -126914,,                -38205,                130624,                -34004,             -1146133,             -1618942,               -765116,               -229478,                 64141,               -146341,               -279399,               -591077,,                153286,                836741,               -527170,                     14,,               -159423,             -1519838,                  8249,                  6310,                 -3058,,,                    779,             -1144507,,              1287189,                535251,,                              0,                              0,              1198289,               -312862,,,                -29153,                 42131,                  7006,              2722496,                 53798,              1040710,              8679752,              9720462,              9720462,                 59603,                 -3465,                 -1890,,,,,,,,,,,,,,,,,,,
1304,2014年01月01日至2014年03月31日,,                253299,                 -7838,                245461,,,                379736,                  9696,                   -374,                 91408,                 63637,                -37506,,                              0,                  6651,                -48800,                 75773,,                 18911,                559132,,,               -171073,                 50068,                -28751,                 26779,                -71615,             -1218586,               -342897,                -45881,             -1801956,,                 14484,               -995954,               -234532,,                -14951,                 77966,                -26801,             -1179788,             -2981744,             -2422612,             -2177151,                 41318,                -67627,                 -6779,             -2210239,,                 91014,                987017,                              0,                     14,,               -214500,               -790314,                  4133,                 18657,                -16200,,                324182,,                404003,,              1578469,                449383,,                              0,                              0,                944555,                -62863,                 -2593,                    233,,                  4549,                  7006,              2918739,                114832,              1227335,              8679752,              9907087,              9907087,,,,,,,,,,,,,,,,,,,,,,
1304,2013年度,,              2105006,                -17515,              2087491,,,              1500872,                 33612,                    856,               -396755,                221283,               -174687,               -253776,                              0,                    996,                -55545,                 26903,,                 16973,,,,                423702,               -168091,               -933667,                -17575,                 46289,             -1113250,               -394651,                209125,             -1947995,,                 35721,              1282140,                142511,                     71,                -18377,               -133825,,              1305817,               -642178,                384036,              2471527,                165217,               -215317,               -266846,              2154581,,                291846,,                              0,                170238,                 97643,                -29540,             -2132943,                 19943,                 12018,               -127090,                              0,                -99665,                254888,             -3453989,,              1340626,                216237,,,,              4313917,             -4793672,                  6720,                  1211,             -1142602,               -468916,                              0,               -526479,               -103959,             -1929846,             10609598,              8679752,              8679752,,,,,                  1824,                    806,                 17682,                 87997,                 -2827,              1026214,                    123,                 -2424,                -13082,             -1898085,                              0,                   -160,,,,,,
1304,2013年01月01日至2013年12月31日,,              2105006,                -17515,              2087491,,,              1500872,                 39058,                    856,               -396755,                221283,               -174687,               -253776,                              0,                    996,                 43223,                 26903,,                 16973,,,,                324934,               -168287,               -933471,                -17575,                 38122,             -1113250,               -394651,                209125,             -2054930,,                 35721,              1282140,                142511,                     71,                -18377,               -133825,,              1305817,               -749113,                363633,              2451124,                165217,               -215317,               -266846,              2134178,,                291846,,                              0,                170238,                 97643,                -29540,             -2132943,                 19943,                 12018,               -127090,,                -99665,                254888,             -3453989,,              1340626,,                216237,,,              4313917,             -4793672,                  6720,                  1211,             -1142602,               -468916,                  8167,               -518312,                -91723,             -1929846,             10609598,              8679752,              8679752,                              0,,,,                  1824,                    806,,                 87997,                 -2827,              1112746,                    123,                 -2424,                -13082,             -2519277,,                   -160,                621192,                              0,                              0,,,
1304,2013年01月01日至2013年09月30日,,              1652923,                -14020,              1638903,,,              1125833,                 22645,                  3011,               -234688,                164311,               -130588,               -208227,,                  3849,                -33007,                 38347,,                 27127,,,,                -44466,                 -7179,             -1021013,                  6907,                154428,                -30564,               -554545,                 88409,             -1408029,,                487557,,                192154,                    -12,                -18516,                -45573,,                552463,               -855566,                -75129,              1563774,                107670,               -170750,               -250630,              1250064,,                263279,,                 -3116,                170238,                 97124,                              0,             -1488351,                 11206,                 31641,               -112295,                              0,                -83788,                104438,             -2777786,,                982683,,               -107741,,,              3750000,             -3505191,                  6754,                  1140,             -1129493,               -470023,                  8167,               -463704,                 15389,             -1976037,             10609598,              8633561,              8633561,,,,,                  1824,,,,,                780437,                     -6,                -63147,,             -1768162,,,,,,,,
