證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現銷貨利益（損失）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 預收款項增加－處分資產,　　 存出保證金增加,　　 其他金融資產增加,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損損失,　　 存出保證金減少,　　 其他金融資產減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他籌資活動,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 處分投資損失（利益）,　　 處分以成本衡量之金融資產,　　 取得無形資產,　　　　　 其他應收款－關係人（增加）減少
1225,2015年01月01日至2015年09月30日,,                134774,                134774,,,                 89331,                  5357,                  3248,                 35090,                 -1873,                  6343,                    -11,                    275,                137760,,,                 -7818,                              0,                 13086,                 44566,                -18276,                -34356,                -24524,                   -172,                -27494,,                -10689,                -13775,                 -2211,                -15604,                 -2373,                 -4169,                  4070,                   -423,                -45174,                -72668,                 65092,                199866,                  1949,                -35522,                 -4164,                162129,,                -24291,                    302,                197362,                 -1604,                 48832,                 -6435,                 16400,                230566,,               -282125,                 30000,                 30000,               -302487,                 16396,                -54676,               -562892,                    544,               -169653,                400457,                230804,                230804,,,,,,,,,,,,
1225,2015年01月01日至2015年06月30日,,                 58265,                 58265,,,                 60386,                  3649,                  3193,                 24280,                 -1345,                  8255,                    -58,                     62,                 98422,,,                  6710,                              0,                 75142,                 14873,                  1507,                -32655,                  5246,                  6047,                 76870,,                -11481,                -26476,                  1190,                -33309,                 -2373,,                   -515,                   -297,                -73261,                  3609,                102031,                160296,                  1374,                -24306,                    -93,                137271,,                -15654,                    245,,,,                   -224,,                -15360,,                -64586,                 20000,                 30000,               -272487,                 29971,,               -257102,                    -51,               -135242,                400457,                265215,                265215,                              0,                     55,                    218,,,,,,,,,
1225,2015年01月01日至2015年03月31日,,                 39898,                 39898,,,                 30234,                  1884,                   -618,                 12256,                   -628,                  2635,                              0,                    110,                 45873,,,                 63464,                              0,                 65608,                 17670,                    -78,                196257,                 -4148,                 -1987,                336786,,                -12771,                -38064,                  5551,                -34260,                 -2373,,                    896,                   -183,                -81204,                255582,                301455,                341353,                    651,                -11824,                    -39,                330141,,                 -9519,                    150,,                    555,                 -1237,                   -838,,                -10889,,               -137201,,                              0,               -137487,                 20945,,               -253743,                     33,                 65542,                400457,                465999,                465999,,,,,,,,,,,,
1225,2014年度,,                 79022,                 79022,,,                122154,                  6519,                  1437,                 59330,                 -2553,                -18272,                  6493,                     43,,,,                 23197,                 31052,                 56938,                -34940,                 -3294,               -209972,                 11513,                 -1233,               -126739,,                -18532,                 15054,                    861,                 32760,                 -2830,,                 -4160,,                  8630,               -118109,                 57145,                136167,                  2570,                -56691,                -27228,                 54818,,                -34049,                  9080,,                   -257,                  1377,                 17008,                 17000,                 10159,,               -106866,                250000,              1858369,             -1871405,                 -3000,                -50359,                 76739,                    365,                142081,                258376,                400457,                400457,                    103,,,,                175254,                -14523,                              0,,,,,
1225,2014年01月01日至2014年09月30日,,                -10811,                -10811,,,                 91832,                  4569,                     -2,                 45654,                 -1831,                -12533,                  6586,                    -73,                134202,,,                  4415,                 30999,                 79249,                -87156,                -21249,               -441428,                 25580,                    -44,               -409634,,                -27942,                    330,                    631,                 -8502,                 -5203,                 -2507,                   -395,                   -860,                -44448,               -454082,               -319880,               -330691,                  1863,                -43309,                -15361,               -387498,,                -20847,                  8758,                              0,                  3852,                  5473,                 20715,                 17000,                 34951,,                353329,                200000,                410800,               -643036,                 32779,                -50359,                303513,                    225,                -48809,                258376,                209567,                209567,,,,,,,,,,,,
1225,2014年01月01日至2014年06月30日,,                 53381,                 53381,,,                 61559,                  3088,                     -1,                 30823,                 -1238,                 -8494,                     79,                    186,                 89848,,,                 43962,                 31052,                 33204,                 -3723,                -12819,               -573727,                    428,                    237,               -481386,,                -28127,                -14394,                  1132,                 15775,                 -5203,,                 -1548,                   -580,                -32945,               -514331,               -424483,               -371102,                  1272,                -28987,                -15448,               -414265,,                -17010,                    487,,,,                  6109,,                    416,,                422940,                100000,                250800,               -271538,                 33932,,                536134,                    125,                122410,                258376,                380786,                380786,                  3846,                  1502,                  9328,,,,,,,,,
1225,2014年01月01日至2014年03月31日,,                 47982,                 47982,,,                 30819,                  1565,                              0,                 14939,                   -542,                 -4003,                    129,                    282,                 43189,,,                 35823,                 31052,                 14885,                -20425,                 -1721,               -367783,                 19835,                   -935,               -289269,,                -24945,                 11559,                    938,                 16452,                 -3671,,                 -3502,                   -271,                 -3440,               -292709,               -249520,               -201538,                    570,                -13871,                    -42,               -214881,,                -13398,                     14,,                  3806,                  8392,                  9738,,                  8552,,                284451,,                    800,               -111538,                 52371,,                226084,                    362,                 20117,                258376,                278493,                278493,,,,,,,,,,,,
1225,2013年度,,                 97969,                 97969,,,                123789,                  6707,                 15927,                 59849,                 -2113,                -17404,                    -27,                    152,,,,                126686,                 28564,                126367,                 18174,                  4326,                457676,                -38954,                 -5710,                717129,,                  8474,               -105398,                 -4943,                 -1211,                  3732,,                  5530,,                -94625,                622504,                809384,                907353,                  2102,                -54184,                -10620,                844651,,                -36216,                  3943,,                 17591,                 -9644,               -131878,                 20000,               -136204,,                216822,               -410000,                370000,               -673323,                              0,                -37481,               -571463,                    464,                137448,                120928,                258376,                258376,                              0,,,,                186880,                   -809,                -37481,,,,,
1225,2013年01月01日至2013年12月31日,,                 97969,                 97969,,,                123789,                  6707,                 15927,                 59849,                 -2113,                -17404,                    -27,                    152,,,,                126686,                 28564,                126367,                 18174,                  4326,                457676,                -38954,                 -5710,                717129,,                  8474,               -105398,                 -4943,                 -1211,                  3732,,                  5530,,                -94625,                622504,                809384,                907353,                  2102,                -54184,                -10620,                844651,,                -36216,                  3943,,                 17591,                 -9644,               -131878,                 20000,               -136204,,                216822,               -410000,                370000,               -673323,                              0,                -37481,               -571463,                    464,                137448,                120928,                258376,                258376,,,,,                186880,                   -809,                -37481,                              0,                              0,                              0,                              0,
1225,2013年01月01日至2013年09月30日,,                 55523,                 55523,,,                 92852,                  5162,                  1507,                 44910,                 -1365,                -10400,                    -20,                    148,,,,                 73870,                 -3865,                140575,                  7774,                    907,                174473,                -38932,                 -4741,                350061,,                -13548,                -67190,                 -1718,                  5205,                  6838,,                  4874,,                -66172,                283889,                416683,                472206,                  1338,                -40765,                -10561,                422218,,                -27749,                  3891,,                 10885,                -11899,                 -1630,                 20000,                 -6502,,                135283,                 10000,                170000,               -563077,                 29809,                -37481,               -292947,                    345,                123114,                120928,                244042,                244042,,,,,                132794,                   -633,                -37481,,,,,
