證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 其他項目,　　　　　 持有供交易之金融資產（增加）減少,　　 收取之股利,　　 存出保證金減少,　　 存入保證金增加,　　 預付投資款增加,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 處分待出售非流動資產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分待出售非流動資產,　　 償還長期借款,　　　　　 預收款項增加（減少）,　　 其他金融資產增加,　　 其他投資活動,　　　　　 其他金融負債增加（減少）
1730,2015年度,,                212029,                212029,,,                 31309,                 36295,                              0,                     98,                  1438,                 -1754,                   -340,                   -801,                 66245,,,                  7481,                              0,                 -3115,                -11855,                    845,                              0,                  3249,                 15847,                  3622,                 16074,,                 -2046,                 -1247,                     49,                -31346,                   -779,                    458,                -34911,                -18837,                 47408,                259437,                  1754,                 -1430,                -42998,                216763,,                              0,               -215260,                190555,                -40300,                -44018,                  1420,                 -1643,                 -6292,                 -2915,                 -1079,               -119532,,                100000,                 -6375,                              0,                -30000,                    277,                -90918,                -27016,                   -477,                 69738,                285901,                355639,                355639,,,,,,,,,,,,,,,,,,,
1730,2015年01月01日至2015年09月30日,,                148885,                148885,,,                 23096,                 26718,                              0,                     97,                    869,                 -1256,                   -210,                   -660,                 48654,,,                  5550,,                 26965,                -12860,                     77,                              0,                 -7334,                 16623,                   -638,                 28383,,                 -9825,                -26785,                 -1398,                -51523,                    384,                    343,                -88804,                -60421,                -11767,                137118,                  1256,                   -892,                -40624,                 96858,,,               -156427,                129051,                     85,                -28614,                    992,                 -1621,                 -1946,                   -932,                 -3078,                -62490,,                 40464,                              0,                              0,                -10000,                              0,                -90918,                -60295,                  3130,                -22797,                285901,                263104,                263104,                              0,                              0,                              0,                              0,                    159,,,,,,,,,,,,,,
1730,2015年01月01日至2015年06月30日,,                 90802,                 90802,,,                 14936,                 17676,                              0,                     58,                    564,                   -896,                   -376,                   -390,                 31572,,,                  4560,,                 66364,                 -2749,,                              0,                 20256,                 -3011,                    175,                 85595,,                   -884,                -41420,                   -671,                -67797,                    309,                    229,               -110234,                -24639,                  6933,                 97735,                    896,                   -606,                -20712,                 77313,,,               -110463,                 72716,                     85,                -21811,                    979,                 -1413,                   -482,                   -930,                 -2288,                -63607,,,                     45,,                -50000,                   -553,,                -50508,                 -3563,                -40365,                285901,                245536,                245536,,,,,,,,,,,,,,,,,,,
1730,2015年01月01日至2015年03月31日,,                 44644,                 44644,,,                  7412,                  8754,                              0,                     55,                    313,                   -411,                    156,                   -163,                 16116,,,                  2238,,                 22807,                    828,,                              0,                 17664,                 -1696,                    910,                 42751,,                 10170,                -19094,                 -1301,                -35705,                  1035,                    115,                -44780,                 -2029,                 14087,                 58731,                    411,                   -311,                  1396,                 60227,,,                -72980,                 37167,,                 -9097,                     21,                   -256,                   -481,                   -931,                 -1220,                -62477,,,                              0,,                -10000,                   -699,,                -10699,                 -1265,                -14214,                285901,                271687,                271687,,,,,,                -14700,,,,,,,,,,,,,
1730,2014年度,,                150088,                150088,,,                 23848,                  9824,                 -5359,                  1928,                    316,                 -2790,                    265,                   -943,                 27089,,,                   -713,                    300,                 -8061,                 -1626,                              0,                  4891,                -16041,                 17113,                    476,                 -3661,,                  4160,                    726,                  1133,                 47143,                 -4916,                   -503,                 47743,                 44082,                 71171,                221259,                  2790,                   -378,                -38449,                185222,,                  5000,                -94260,                159424,               -181821,                -30244,                    263,                 -2087,                   -472,                 -6265,                 -4149,               -154611,,                              0,                -10000,                120000,                              0,                    405,               -144399,                -33994,                  9576,                  6193,                279708,                285901,                285901,,,,,,,,,,,,,,,,,,,
1730,2014年01月01日至2014年09月30日,,                 99498,                 99498,,,                 16801,                  3464,                 -5326,                  2294,                    155,                 -2208,                    227,                   -801,                 14606,,,                  4275,,                 28709,                 -2201,                              0,                  4891,                 -8820,                  4630,                   -914,                 30570,,                     31,                -27963,                              0,                -24816,                 -3539,                    468,                -55819,                -25249,                -10643,                 88855,                  2208,                   -154,                -29538,                 61371,,,                -78968,                128912,                              0,                -18241,                    262,                 -1953,                   -472,                 -3232,                 -2315,                 23993,,                              0,                -10000,                              0,                -20000,                   -311,               -144399,               -174710,                  2159,                -87187,                284708,                197521,                197521,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,
1730,2014年01月01日至2014年06月30日,,                 61352,                 61352,,,                 11224,                  2107,                 -5097,                  3828,                     15,                 -1363,                    158,                   -591,                 10281,,,                   -934,,                 52886,                 -3182,,                  4891,                  8984,                  5496,                   -652,                 67489,,                      4,                -35823,                              0,                -26455,                 -1871,                    312,                -63833,                  3656,                 13937,                 75289,                  1363,                    -16,                -17312,                 59324,,,                -30998,                 76936,                              0,                 -5680,                    187,                 -2003,                   -472,                   -238,                 -2053,                 35679,,,                -10000,,                              0,                   -320,,                -10320,                 -1152,                 83531,                284708,                368239,                368239,,,,,,,,,,,,,,,,,,,
1730,2014年01月01日至2014年03月31日,,                 27188,                 27188,,,                  5678,                    968,                 -2413,                  3458,                      5,                   -474,                    -50,                   -547,                  6625,,,                -13599,,                 65410,                  5121,,                  4216,                 -7644,                  9603,                   -103,                 63004,,                    423,                -19897,                              0,                -45904,                 -3761,                    156,                -68983,                 -5979,                    646,                 27834,                    474,                     -4,                   -457,                 27847,,,                              0,                 60023,,                 -1296,                     50,                 -2003,                              0,                    -47,                 -1791,                 54936,,,                -10000,,                -20000,                   -805,,                -30805,                  1795,                 53773,                284708,                338481,                338481,,,,,,                              0,,,,,,,,,,,,,
1730,2013年度,,                229422,                229422,,,                 19136,                  7978,                   -476,                 -1860,                  1448,                   -646,                    662,                   -518,,,,                  7785,                  1066,                -51438,                  7548,,                 -1609,                -26936,                 -2121,                 -1329,                -67034,,                   -985,                -34271,                 -1935,                 40147,                    395,,                  3686,                -63348,               -141631,                 87791,                    646,                 -1396,                -24671,                 63673,,,               -182859,                120848,                              0,                -19767,                  2767,                              0,                   -450,                 -2048,                 -4594,                153179,,,                -20000,                              0,                -80000,                   -668,                -58829,               -159497,                  7429,                 64784,                214924,                279708,                279708,                   -807,                              0,                  1303,                  3249,                              0,                 -1311,,                 -1303,               -101897,                -78283,                    335,                              0,                              0,                237344,,,,,
1730,2013年01月01日至2013年12月31日,,                229422,                229422,,,                 19136,                  7978,                   -476,                 -1860,                  1448,                   -646,                    662,                   -518,,,,                  7785,                  1066,                -51438,                  7548,,                 -1609,                -26936,                 -2121,                 -1329,                -67034,,                   -985,                -34271,                 -1935,                 40147,                    395,,                  3686,                -63348,               -141631,                 87791,                    646,                 -1396,                -24671,                 63673,,,               -182859,                120848,,                -19767,                  2767,,                   -450,                 -2048,                 -4594,                153179,,,                -20000,                              0,                -80000,                   -668,                -58829,               -159497,                  7429,                 64784,                214924,                279708,                279708,                   -807,                              0,                  1303,                  3249,,                 -1311,,                 -1303,               -101897,                -78283,                    335,,,                237344,                              0,,,,
